,dates,aus0161-0000,aus0161-0001,aus0161-0002,aus0161-0003,aus0161-0004,aus0161-0005,aus0161-0006,aus0161-0007,aus0161-0008
0,1987-05-22 23:07:20+00:00,163.07174109944634,183.5976573800366,189.39751157288725,200.82878476490265,194.37463350492533,188.40946347275877,182.74969606424455,184.0746470456899,182.9397304784517
1,1987-09-11 23:10:05+00:00,196.8389200236194,205.35790688658395,204.45005127266134,208.00253170026704,199.8270518425617,191.81543905068057,183.47941414129602,185.5240185844081,178.5657687743836
2,1987-10-06 23:04:27+00:00,236.04869159896944,249.98962568683382,244.3792369722959,242.51723878511825,236.20717946559174,219.0033645668628,218.2231386951028,209.73844825772267,198.77894846469897
3,1987-10-22 23:04:43+00:00,251.24091570580413,249.70821554834055,242.20263985642612,238.0909226997195,230.5832062601387,215.77053408453693,208.21624195082143,199.2272184504513,188.36840097978035
4,1987-10-29 23:11:01+00:00,242.11174654745554,232.3871953859296,218.27127773191066,215.73313726920784,205.10394830784654,195.28694182672788,189.8798018594017,188.48268907664254,177.47107863631808
5,1987-11-14 23:11:23+00:00,216.78690236181254,223.4518778440568,213.1199611692241,205.56543502929114,199.14778236725135,188.33971861956212,177.34392710850474,176.4910879134649,169.67147387775188
6,1988-02-18 23:12:59+00:00,174.85670001913442,197.59753041580595,200.0830234349463,205.7031130127372,194.43950351473146,185.10548623443032,179.8477939367304,174.8539837046958,172.62369814478265
7,1988-04-22 23:13:28+00:00,161.32209781169743,189.45688286535858,194.27906501532587,203.6639442585696,196.79950086361586,183.07077086681537,154.47561726491256,180.5722579342724,189.77175089005868
8,1988-05-08 23:13:38+00:00,154.27928948056135,174.4336779295501,189.40228545876303,195.17272204947042,193.98556451702555,183.87754104726272,185.28427297737903,183.91050088086928,184.31990416973053
9,1988-06-09 23:13:51+00:00,174.14175839017403,191.59473568786996,212.00610867057796,211.49386441645822,194.4990502051459,182.75740248587107,172.22929680411897,183.7750948386986,193.12766450196366
10,1988-06-18 23:07:44+00:00,182.67112465051116,200.63437983842692,214.51172946702104,221.81770215034976,212.66987803908683,200.6857318046969,187.990150759832,186.84336639759778,188.023242836826
11,1988-06-25 23:13:57+00:00,176.606191007307,191.33267002287974,211.48310075045057,213.32244026369116,216.59971358294064,194.34252169356034,173.66357547680025,173.5894048782799,174.9761425370401
12,1988-07-27 23:14:02+00:00,171.05552531575543,191.74315118690413,193.46812882123416,207.51739466805185,207.3985152925892,192.05882890193018,187.12661969127828,162.42495668481115,163.5911655264709
13,1988-08-12 23:14:01+00:00,174.62632851219564,189.1299640030805,192.11649885997588,197.7712859848876,184.44641544248068,178.15102756110537,159.0734705597721,148.80148423978596,154.4460517251017
