,dates,mex0502-0000,mex0502-0001,mex0502-0002,mex0502-0003,mex0502-0004,mex0502-0005,mex0502-0006,mex0502-0007,mex0502-0008,mex0502-0009,mex0502-0010,mex0502-0011,mex0502-0012,mex0502-0013,mex0502-0014,mex0502-0015,mex0502-0016,mex0502-0017,mex0502-0018,mex0502-0019,mex0502-0020,mex0502-0021,mex0502-0022,mex0502-0023,mex0502-0024,mex0502-0025,mex0502-0026
0,1986-04-21 17:30:29+00:00,235.87993068737615,240.07062052859595,241.94032385095176,258.6806023944132,262.4039872091862,256.9732738064601,253.59576365297875,247.8337720814934,247.79641931576083,242.43107172643505,230.34937477802163,222.7511713400046,217.7811085291998,222.7717233479426,216.6897695364482,218.6931021713203,229.34732760428125,244.301472235338,251.97358197054527,249.13097634077985,240.57967029445035,234.35834000797274,225.64433713101118,228.94800182135668,226.01337402494883,230.99311107600374,232.45692046840543
1,1986-05-07 17:30:05+00:00,227.67964703028588,237.27970726436521,238.79171447446348,248.42794521124554,252.18012383198507,251.75035486388774,240.34275677060484,237.34225428231363,244.41363839897716,238.36654081467861,225.76336506367562,218.11355083138085,212.11467081691544,208.8054178707677,207.76632269769584,215.94852956811178,220.07902017399454,231.83470189602377,247.22863927401954,239.61345366464397,232.420882615194,223.35345054860383,218.83936281784744,216.2761154429635,215.53478593758987,216.20748489691096,221.0314125212713
2,1986-09-12 17:25:50+00:00,228.1137004195938,230.60974619324185,236.44912885997874,244.13368011372262,250.23261730773453,264.8281899635596,247.82518700195016,244.6020920379314,247.4376492206153,240.40870918032238,224.85354016907343,222.38521409205984,220.34683642705426,218.47415123587402,220.27192749110532,219.79839509524535,233.54604957621535,247.35286460944292,260.7398616231406,257.04901562027567,247.1774360025192,236.76086970324792,231.6389419792905,223.57861067432236,223.48907650642758,229.3986458129836,230.05061724009045
3,1987-06-11 17:29:41+00:00,225.37860920792934,227.82968481661203,228.08030805070845,242.41115073729648,247.35835539969503,245.16317880073305,230.59090803759912,237.89792349699923,238.9477331640373,238.82526246634927,227.34485414257858,225.63612014205336,217.46193494411577,217.3507875835558,211.73169593016462,213.55108155205386,219.3285985501554,232.81935458714423,242.86013995418244,246.6785047712903,234.64051849774978,231.47467142498715,225.88730679490646,219.82381187258684,217.37045535254174,219.27806392501157,225.39085212877401
4,1987-09-15 17:32:04+00:00,242.5642543726457,241.13615409771612,236.28202181959637,251.60411799256875,261.7661503692606,252.49832393399967,250.99615198380926,252.89554416984058,251.67874788864023,244.81790250516204,238.13228909242181,242.09645622251242,230.3285652271837,225.9166374927526,228.45828144800734,232.11742736216902,243.35231296419602,258.618128491332,268.07392245619263,263.3761064271754,258.2341727816189,247.61285990601715,237.56508780540855,231.21082380158396,229.27203738687194,229.73971478791623,236.81537039761562
5,1989-04-13 17:34:18+00:00,265.4134796750251,,,,,,279.7696628908406,279.35260431218364,,,,279.20940427646235,,263.053251277222,259.59074149763853,263.092750212578,268.2506138171365,271.9539753823759,289.9676282731522,282.83279167096384,265.3354976349044,252.14127649105146,254.1552696886558,245.32438362610753,237.8444383885965,232.7432963815177,244.84256104247194
6,1990-05-02 17:25:18+00:00,264.5330951168874,270.6396540598742,,288.72783802888137,,,279.8968686059953,274.4729942593331,273.73590057320786,267.6942141323116,267.6915530874835,257.03399757376275,250.68976387874045,248.36198673950992,241.1267240771363,242.8918991560143,255.99085584179068,254.7093139401282,268.8913246866802,260.50233571818546,248.60058134436258,236.83043883474903,229.79682998534747,224.085386234439,225.85007042346126,237.836586336994,248.87673019944913
7,1992-08-27 17:27:34+00:00,209.2161906837407,211.05946030410934,211.38939823184614,,235.05741322916285,232.6203078037948,232.05331919063534,229.46251131112527,231.1817867579045,224.21981544114826,216.23478866273035,213.59309769307987,204.85049322911226,202.01118839119053,202.40510920783123,211.85191168164468,213.1375206980677,222.09635453510737,234.11036994702715,228.01992806258784,213.08749423371563,207.28000119470627,205.63950027933842,197.11649096253007,197.0262920485428,202.23992894891637,211.30941545510788
8,1993-02-03 17:27:03+00:00,235.69301338294247,245.66343848803467,252.63839915033748,269.72146675480644,272.63212590018526,260.02218867875786,266.7775489721484,257.2629826842763,256.9616033978474,248.23001407823784,243.6766029602802,236.0382027821821,228.94892457544222,222.18235293444303,222.65291552285848,222.49621400239243,234.25539471888317,246.71083921519372,,,,,,215.81238837223805,218.19309460858454,222.4167253265855,230.02400945208518
9,1993-03-07 17:27:20+00:00,215.8453905287267,223.5890776164802,222.77617463489725,235.30351776791989,240.23552876959232,214.17609411982608,232.13300626222443,235.3990204343939,231.9052310822423,229.49945865378712,221.80311951162494,211.24419163008054,206.43989153563177,200.86918482042842,200.53543961400447,202.21154280535507,210.43161521288238,217.6724116468039,229.5890393103263,220.85031504864526,210.2375726499634,201.7271800654887,202.4621310902374,198.93034821668874,195.29345969378397,191.3287154391782,197.53405017135952
10,1993-04-08 17:27:28+00:00,220.0959815940539,225.42708128845166,226.51815727776932,240.88232677398767,247.35008658816335,246.3915436144231,237.23189615548492,236.12563344431663,234.2848356965499,225.58242517954665,217.00882840956817,211.0328123241693,200.27501945160375,196.50353384291333,198.14390720837395,203.5796152723933,206.86090785613635,221.38043608668306,232.68456120792519,222.2832789688682,206.4762940222521,207.08719853530516,203.67729752979977,194.37988492780767,194.24689921530003,197.49683192800046,205.09147341906606
