dates,satname,nzd0372-0000,nzd0372-0001,nzd0372-0002,nzd0372-0003,nzd0372-0004,nzd0372-0005,nzd0372-0006,nzd0372-0007,nzd0372-0008,nzd0372-0009,nzd0372-0010,nzd0372-0011,nzd0372-0012,nzd0372-0013,nzd0372-0014,nzd0372-0015,nzd0372-0016,nzd0372-0017,nzd0372-0018,nzd0372-0019,nzd0372-0020,nzd0372-0021,nzd0372-0022,nzd0372-0023,nzd0372-0024,nzd0372-0025,nzd0372-0026,nzd0372-0027,nzd0372-0028,nzd0372-0029,nzd0372-0030,nzd0372-0031,nzd0372-0032,nzd0372-0033,nzd0372-0034,nzd0372-0035,nzd0372-0036,nzd0372-0037,nzd0372-0038,nzd0372-0039,nzd0372-0040,nzd0372-0041,nzd0372-0042,nzd0372-0043,nzd0372-0044,nzd0372-0045,nzd0372-0046,nzd0372-0047,nzd0372-0048,nzd0372-0049,nzd0372-0050,nzd0372-0051,nzd0372-0052,nzd0372-0053,nzd0372-0054,nzd0372-0055,nzd0372-0056,nzd0372-0057,nzd0372-0058,nzd0372-0059,nzd0372-0060,nzd0372-0061,nzd0372-0062,nzd0372-0063,nzd0372-0064,nzd0372-0065,nzd0372-0066,nzd0372-0067
1999-10-13 22:06:24+00:00,L7,459.19,452.50,441.61,408.34,385.78,376.70,371.80,367.81,360.83,354.42,353.71,351.37,344.24,352.66,348.67,352.05,354.18,357.73,361.82,366.35,365.15,366.20,366.76,372.60,370.11,368.93,371.46,369.81,369.67,368.55,367.84,367.37,367.06,365.12,367.07,367.83,366.82,370.03,376.14,372.22,382.33,382.16,382.12,375.21,368.10,372.68,369.39,366.25,366.46,373.38,378.00,383.51,380.26,380.73,376.48,376.65,372.45,364.10,366.39,373.76,382.14,389.11,392.69,391.44,396.50,394.06,406.38,401.29
1999-11-21 22:12:24+00:00,L7,419.65,414.36,398.21,364.82,353.18,347.73,344.27,338.03,331.85,326.52,326.93,325.58,325.15,324.40,329.28,,,,,338.76,337.61,338.48,339.69,,,,340.66,336.36,336.34,337.58,338.28,340.87,339.14,335.96,338.36,337.12,342.03,340.40,345.67,346.22,349.29,348.42,349.54,348.59,346.08,347.09,345.08,345.48,344.63,344.08,346.82,349.74,348.02,348.28,348.72,343.30,342.91,341.68,337.97,344.29,352.74,355.46,360.08,367.75,367.55,369.57,369.95,360.89
2000-02-25 22:12:13+00:00,L7,559.10,582.02,569.23,460.18,442.82,404.35,409.38,411.52,403.70,397.84,404.32,400.21,403.90,417.01,416.94,418.19,415.37,413.87,410.62,417.04,417.34,420.49,423.20,420.75,415.03,412.86,411.93,414.26,420.57,418.21,415.71,417.09,416.57,420.12,421.04,426.15,428.25,422.43,423.36,423.01,421.19,420.49,426.96,428.89,433.97,429.58,423.18,428.40,433.08,419.15,419.22,416.83,417.99,415.99,416.53,424.02,427.34,436.42,437.02,442.63,457.74,458.67,473.63,491.24,508.23,507.32,515.20,541.07
2000-03-12 22:12:09+00:00,L7,,,,,,404.72,401.68,395.67,388.27,384.04,391.04,385.18,385.53,390.94,395.85,394.61,404.29,407.73,405.34,405.67,405.31,405.21,404.70,402.97,402.72,403.87,409.80,411.31,409.25,413.86,420.94,421.18,417.54,416.96,415.46,423.44,425.54,413.93,414.16,411.81,419.57,418.68,417.55,419.70,418.81,417.38,415.74,411.05,410.20,412.27,409.20,413.17,417.08,412.37,416.51,425.22,423.53,425.06,427.20,436.26,446.80,459.05,465.13,481.88,483.91,484.81,486.47,506.34
2000-05-31 22:11:30+00:00,L7,,,,,340.61,330.61,327.98,335.45,327.50,,,,,,,,,,,,,,,,,,,,,,,337.69,338.38,338.89,337.69,327.96,333.33,329.01,331.63,336.14,337.32,336.44,337.81,335.12,334.54,331.29,330.18,335.25,330.41,333.73,340.81,342.69,341.34,347.69,347.31,345.04,343.13,358.84,345.93,352.50,356.31,359.79,365.79,368.09,366.62,367.82,374.50,355.04
2000-09-04 22:10:22+00:00,L7,,,,,,,,,,367.08,357.86,359.58,350.00,357.42,361.39,361.53,374.70,376.54,372.98,369.44,381.15,378.52,372.77,371.19,386.11,394.21,394.72,394.16,391.89,389.05,388.00,386.22,387.31,386.79,393.12,392.99,392.07,382.23,379.32,373.70,385.04,387.45,387.01,389.76,394.27,390.69,395.66,394.30,389.15,389.03,388.21,388.15,389.07,393.21,391.37,392.04,387.72,387.48,368.79,378.74,400.21,414.82,429.33,426.14,425.55,417.98,448.01,459.01
2000-09-13 22:04:02+00:00,L7,317.75,327.66,316.66,304.90,305.72,300.58,301.27,288.48,290.62,280.67,282.65,,,,,,,,,,,,,,,,304.82,300.91,304.80,304.71,306.23,308.02,307.66,312.15,307.79,307.60,297.62,304.49,303.64,302.49,305.13,303.46,301.05,300.45,301.11,302.43,305.92,302.39,,305.15,305.33,,,315.79,308.03,315.12,309.62,315.05,307.65,314.11,321.20,328.01,328.83,327.55,311.13,312.20,318.45,315.53
2000-09-20 22:10:03+00:00,L7,533.01,475.64,449.43,425.82,412.45,390.90,393.94,392.66,372.40,366.81,365.19,365.31,360.49,369.32,373.79,371.62,375.28,382.99,383.35,386.41,386.41,389.18,387.53,390.30,395.06,399.28,401.10,399.82,400.49,400.32,395.49,393.77,394.52,389.87,389.58,388.17,390.00,389.41,385.10,386.83,388.48,389.50,390.54,391.98,394.45,394.04,395.86,395.82,396.47,395.03,393.04,388.58,383.12,378.73,379.19,383.61,387.74,390.60,393.00,395.42,398.37,394.86,402.97,408.04,415.80,429.25,434.21,428.40
2000-10-15 22:03:32+00:00,L7,304.25,302.42,237.80,,,,,,,,,,,,,,,,,,,,,,,,268.60,279.65,274.18,252.51,,309.25,305.77,303.03,287.42,,,,,,,,,289.64,291.25,291.54,284.25,294.00,,,,,,272.69,,,,,,,,,,232.78,245.96,281.57,279.16,288.82
2000-11-07 22:09:53+00:00,L7,437.68,443.74,423.20,386.87,365.48,355.15,346.25,,,,,,,,,,,,,,,,,,,349.48,364.38,366.37,366.41,361.56,356.21,349.00,344.83,339.04,335.95,341.72,342.68,344.24,343.94,349.31,348.47,351.34,359.03,355.25,356.19,355.46,350.68,343.30,342.31,344.17,341.13,335.63,335.07,333.25,342.07,348.71,343.94,345.50,342.38,346.74,351.76,357.89,360.25,365.31,369.66,364.48,368.16,361.20
