dates,nzd0372-0000,nzd0372-0001,nzd0372-0002,nzd0372-0003,nzd0372-0004,nzd0372-0005,nzd0372-0006,nzd0372-0007,nzd0372-0008,nzd0372-0009,nzd0372-0010,nzd0372-0011,nzd0372-0012,nzd0372-0013,nzd0372-0014,nzd0372-0015,nzd0372-0016,nzd0372-0017,nzd0372-0018,nzd0372-0019,nzd0372-0020,nzd0372-0021,nzd0372-0022,nzd0372-0023,nzd0372-0024,nzd0372-0025,nzd0372-0026,nzd0372-0027,nzd0372-0028,nzd0372-0029,nzd0372-0030,nzd0372-0031,nzd0372-0032,nzd0372-0033,nzd0372-0034,nzd0372-0035,nzd0372-0036,nzd0372-0037,nzd0372-0038,nzd0372-0039,nzd0372-0040,nzd0372-0041,nzd0372-0042,nzd0372-0043,nzd0372-0044,nzd0372-0045,nzd0372-0046,nzd0372-0047,nzd0372-0048,nzd0372-0049,nzd0372-0050,nzd0372-0051,nzd0372-0052,nzd0372-0053,nzd0372-0054,nzd0372-0055,nzd0372-0056,nzd0372-0057,nzd0372-0058,nzd0372-0059,nzd0372-0060,nzd0372-0061,nzd0372-0062,nzd0372-0063,nzd0372-0064,nzd0372-0065,nzd0372-0066,nzd0372-0067,satname
1999-10-13 22:06:24+00:00,,,432.61,401.14,378.58,371.56,366.66,362.67,355.69,349.28,348.57,346.23,339.10,347.52,343.53,,,352.59,355.82,361.21,360.01,360.20,360.76,366.60,364.97,362.93,366.32,363.81,364.53,363.41,363.34,361.37,361.06,359.98,361.93,362.69,361.68,365.53,371.64,367.72,377.19,376.16,376.12,370.07,362.96,366.68,363.39,360.25,360.46,368.24,372.86,378.37,375.12,375.59,370.48,370.65,366.45,358.10,360.39,367.76,376.14,383.11,386.69,385.44,390.50,388.06,399.18,392.29,L7
1999-11-21 22:12:24+00:00,512.98,507.69,468.21,420.82,409.18,387.73,384.27,378.03,371.85,366.52,366.93,365.58,365.15,364.40,369.28,,,,,378.76,377.61,385.15,386.36,,,,380.66,383.03,376.34,377.58,373.28,387.54,385.81,375.96,378.36,377.12,382.03,375.40,380.67,381.22,389.29,395.09,396.21,388.59,386.08,393.76,391.75,392.15,391.30,384.08,386.82,389.74,388.02,388.28,395.39,389.97,389.58,388.35,384.64,390.96,399.41,402.13,406.75,414.42,414.22,416.24,425.95,430.89,L7
2000-02-25 22:12:13+00:00,502.43,525.35,,426.18,408.82,380.06,385.09,387.23,379.41,373.55,380.03,375.92,379.61,392.72,392.65,393.90,391.08,389.58,382.29,392.75,393.05,392.16,394.87,392.42,390.74,384.53,387.64,385.93,396.28,393.92,394.46,388.76,388.24,395.83,396.75,401.86,403.96,401.18,402.11,401.76,396.90,392.16,398.63,404.60,409.68,401.25,394.85,400.07,404.75,394.86,394.93,392.54,393.70,391.70,388.20,395.69,399.01,408.09,408.69,414.30,429.41,430.34,445.30,462.91,479.90,478.99,481.20,,L7
2000-03-12 22:12:09+00:00,,,,,,375.58,372.54,366.53,359.13,354.90,361.90,356.04,356.39,361.80,366.71,365.47,375.15,378.59,371.34,376.53,376.17,371.21,370.70,368.97,373.58,369.87,380.66,377.31,380.11,384.72,395.44,387.18,383.54,387.82,386.32,394.30,396.40,388.43,388.66,386.31,390.43,384.68,383.55,390.56,389.67,383.38,381.74,377.05,376.20,383.13,380.06,384.03,387.94,383.23,382.51,391.22,389.53,391.06,393.20,402.26,412.80,425.05,431.13,447.88,449.91,450.81,445.67,455.34,L7
2000-05-31 22:11:30+00:00,,,,,396.61,370.61,367.98,375.45,367.50,,,,,,,,,,,,,,,,,,,,,,,384.36,385.05,378.89,377.69,367.96,373.33,364.01,366.63,371.14,377.32,383.11,384.48,375.12,374.54,377.96,376.85,381.92,377.08,373.73,380.81,382.69,381.34,387.69,393.98,391.71,389.80,405.51,392.60,399.17,402.98,406.46,412.46,414.76,413.29,414.49,430.50,425.04,L7
2000-09-04 22:10:22+00:00,,,,,,,,,,341.94,332.72,334.44,324.86,332.28,336.25,336.39,349.56,351.40,343.65,344.30,356.01,349.19,343.44,341.86,360.97,364.88,369.58,364.83,366.75,363.91,366.00,356.89,357.98,361.65,367.98,367.85,366.93,360.23,357.32,351.70,359.90,358.12,357.68,364.62,369.13,361.36,366.33,364.97,359.82,363.89,363.07,363.01,363.93,368.07,362.04,362.71,358.39,358.15,339.46,349.41,370.88,385.49,400.00,396.81,396.22,388.65,412.81,415.01,L7
2000-09-13 22:04:02+00:00,,,376.16,352.50,353.32,334.58,335.27,,324.62,314.67,316.65,,,,,,,,,,,,,,,,338.82,340.58,338.80,338.71,335.98,347.69,347.33,346.15,341.79,341.60,331.62,334.24,333.39,332.24,339.13,343.13,340.72,334.45,335.11,342.10,345.59,342.06,,339.15,339.33,,,349.79,347.70,354.79,349.29,354.72,347.32,353.78,360.87,367.68,368.50,367.22,350.80,351.87,366.05,375.03,L7
2000-09-20 22:10:03+00:00,467.01,,399.93,386.22,372.85,362.61,365.65,364.37,344.11,338.52,336.90,337.02,332.20,341.03,345.50,343.33,346.99,354.70,350.35,358.12,358.12,356.18,354.53,357.30,366.77,366.28,372.81,366.82,372.20,372.03,370.74,360.77,361.52,361.58,361.29,359.88,361.71,364.66,360.35,362.08,360.19,356.50,357.54,363.69,366.16,361.04,362.86,362.82,363.47,366.74,364.75,360.29,354.83,350.44,346.19,350.61,354.74,357.60,360.00,362.42,365.37,361.86,369.97,375.04,382.80,,394.61,378.90,L7
2000-10-15 22:03:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.25,321.77,316.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-11-07 22:09:53+00:00,458.35,,438.70,399.27,377.88,364.01,355.11,,,,,,,,,,,,,,,,,,,359.81,373.24,376.70,375.27,370.42,363.96,359.33,355.16,347.90,344.81,350.58,351.54,351.99,351.69,357.06,357.33,361.67,369.36,364.11,365.05,365.79,361.01,353.63,352.64,353.03,349.99,344.49,343.93,342.11,352.40,359.04,354.27,355.83,352.71,357.07,362.09,368.22,370.58,375.64,379.99,374.81,380.56,376.70,L7
2000-12-18 22:03:49+00:00,,547.92,410.82,407.84,387.38,367.80,370.94,364.25,349.85,349.77,353.75,345.50,338.02,343.02,335.42,347.96,372.28,376.02,368.52,377.54,382.20,379.05,371.00,374.36,387.37,388.75,397.56,392.01,395.33,391.91,385.63,366.08,358.41,365.71,368.94,404.11,389.36,384.74,375.63,378.91,383.32,388.09,391.10,397.32,398.51,394.15,391.95,380.46,359.81,356.10,351.53,345.37,363.03,372.76,384.53,392.30,383.38,371.28,378.87,382.32,384.89,373.26,390.45,422.22,429.49,425.48,412.30,402.07,L7
