dates,nzd0254-0000,nzd0254-0001,nzd0254-0002,nzd0254-0003,nzd0254-0004,nzd0254-0005,nzd0254-0006,nzd0254-0007,nzd0254-0008,nzd0254-0009,nzd0254-0010,nzd0254-0011,nzd0254-0012,nzd0254-0013,nzd0254-0014,nzd0254-0015,nzd0254-0016,nzd0254-0017,nzd0254-0018,nzd0254-0019,nzd0254-0020,nzd0254-0021,nzd0254-0022,nzd0254-0023,nzd0254-0024,nzd0254-0025,nzd0254-0026,nzd0254-0027,nzd0254-0028,nzd0254-0029,nzd0254-0030,nzd0254-0031,nzd0254-0032,nzd0254-0033,nzd0254-0034,nzd0254-0035,nzd0254-0036,satname
1999-08-05 21:46:59+00:00,231.60,220.23,212.12,201.97,213.15,254.70,207.06,224.43,228.84,237.71,244.46,255.04,257.52,287.74,307.70,289.89,277.79,270.59,270.68,265.10,271.53,280.19,291.27,294.98,281.77,290.44,288.67,289.96,288.48,299.23,295.69,292.88,296.25,305.70,325.61,347.82,385.23,L7
1999-08-21 21:46:56+00:00,235.96,233.92,232.67,230.65,217.92,254.39,232.03,235.65,236.08,239.94,247.48,255.03,276.07,304.98,330.97,308.15,293.24,282.55,279.07,271.62,273.86,289.10,293.94,295.06,294.51,300.31,300.80,312.08,319.28,322.75,305.82,298.19,300.47,313.27,330.06,355.95,388.31,L7
1999-09-06 21:46:59+00:00,245.87,240.03,225.25,234.68,240.52,262.17,245.05,251.04,240.43,236.16,244.09,259.00,282.86,310.48,331.65,297.59,282.92,278.26,275.91,268.48,275.98,292.52,290.71,309.61,316.95,310.88,317.05,326.51,320.42,325.68,312.72,309.00,308.86,314.03,333.83,359.73,391.75,L7
1999-09-22 21:47:00+00:00,247.27,242.46,224.36,219.19,229.68,254.63,228.34,241.29,245.70,241.89,255.61,290.27,,,322.12,288.92,276.75,279.95,271.98,276.36,281.83,277.79,292.77,300.65,307.25,299.31,306.45,330.80,319.48,314.03,317.16,315.23,303.70,316.66,333.31,360.94,388.92,L7
1999-10-24 21:46:56+00:00,247.36,231.07,224.43,221.33,225.86,257.44,240.96,246.93,248.93,256.00,271.79,270.21,284.31,299.21,317.00,292.22,285.23,279.03,285.01,285.90,289.88,294.58,296.86,302.52,309.06,329.43,342.71,345.88,330.94,335.94,330.92,308.80,308.04,315.72,331.11,357.23,388.44,L7
2000-02-13 21:46:48+00:00,225.05,209.71,205.53,211.37,214.62,231.56,220.58,229.38,231.45,234.33,241.32,250.47,253.73,274.78,293.38,282.18,274.07,265.70,270.33,263.11,275.04,282.88,292.93,299.13,294.20,300.66,308.88,325.76,325.46,320.06,311.55,304.56,306.51,321.35,336.67,363.41,390.50,L7
2000-04-01 21:46:34+00:00,249.55,248.45,241.26,227.74,233.79,257.56,244.59,248.75,244.89,252.66,261.12,263.70,277.91,297.79,319.94,300.90,290.30,283.42,282.87,281.18,280.73,291.08,295.92,293.30,296.32,295.87,298.68,316.58,315.00,316.05,311.87,308.22,318.84,325.35,332.12,356.88,387.12,L7
2000-05-19 21:46:07+00:00,244.71,236.19,228.67,222.90,225.29,249.63,211.47,234.41,238.96,249.55,257.97,270.22,275.88,296.53,308.84,302.99,290.79,289.83,283.11,277.48,282.55,287.17,293.35,297.32,304.01,300.48,307.00,317.79,309.89,309.42,308.38,307.91,309.16,322.09,336.73,360.89,390.51,L7
2000-08-07 21:45:08+00:00,245.77,241.39,228.13,220.81,226.63,258.36,221.75,231.00,238.95,244.43,255.19,269.10,280.93,300.59,317.31,297.61,286.59,288.77,286.30,279.57,280.03,283.38,294.02,295.75,289.10,297.46,303.09,303.20,300.87,299.72,303.61,305.79,309.71,317.90,335.91,362.16,391.19,L7
2001-04-04 21:44:06+00:00,242.98,226.56,211.32,215.41,225.40,257.65,237.88,241.69,251.12,257.47,269.32,274.89,294.02,306.86,315.86,299.65,286.59,280.24,279.75,283.73,278.67,285.15,295.39,289.29,286.45,294.72,301.71,313.61,309.72,317.72,317.21,308.97,315.54,328.99,342.97,359.44,387.51,L7
2001-04-20 21:44:10+00:00,240.76,224.98,217.23,224.41,227.25,253.12,228.79,243.24,251.09,265.01,277.34,283.53,297.50,310.68,321.26,303.20,295.65,296.74,285.52,288.16,285.10,295.16,301.76,297.44,304.78,302.35,305.69,316.50,315.29,315.28,317.59,307.60,311.71,324.61,335.83,360.49,390.40,L7
2001-05-22 21:43:54+00:00,217.96,216.96,212.73,209.75,218.60,254.60,211.58,229.07,235.89,247.13,259.11,265.41,286.92,,313.26,299.71,290.48,289.29,280.49,270.77,275.56,288.97,295.85,302.22,296.28,,,313.86,308.14,310.10,305.03,301.74,301.39,311.58,329.01,354.73,387.23,L7
2001-07-25 21:43:18+00:00,233.99,226.08,208.69,215.29,219.47,254.18,216.77,232.89,242.67,250.69,259.66,268.37,268.74,,303.27,285.17,282.23,276.93,276.09,272.45,281.53,288.91,297.00,304.90,301.11,,,312.84,314.19,313.45,307.95,306.45,312.49,324.79,335.47,357.37,385.85,L7
2001-08-10 21:43:00+00:00,245.19,237.26,223.84,225.43,225.04,261.72,222.79,244.59,248.61,255.68,264.42,274.05,279.29,296.46,313.33,294.43,290.65,282.68,279.83,281.50,283.11,288.06,298.55,304.65,302.14,305.76,301.14,313.11,310.34,307.42,306.03,302.95,307.07,317.97,327.79,355.00,384.69,L7
2001-08-26 21:42:49+00:00,240.19,237.52,229.02,227.02,227.68,260.16,228.31,239.74,251.30,254.96,263.15,272.54,282.33,296.87,312.63,298.69,295.68,285.06,280.17,277.19,279.98,282.76,287.78,296.86,295.98,297.81,301.10,307.94,306.44,304.55,306.48,303.15,308.03,321.19,334.40,356.02,387.97,L7
2001-10-13 21:42:15+00:00,262.66,254.34,242.34,240.56,253.33,268.32,244.00,252.04,272.45,289.49,282.84,287.70,292.93,299.33,323.41,295.62,292.48,296.96,293.60,284.76,279.54,287.86,298.75,298.39,294.47,305.82,318.49,318.30,315.73,318.23,319.02,321.80,326.54,330.62,351.98,367.30,389.24,L7
2001-10-29 21:42:21+00:00,256.21,257.06,248.65,235.30,236.09,256.98,238.18,243.76,257.49,271.14,275.34,278.07,289.96,297.24,321.18,304.52,292.26,287.20,290.19,280.52,282.34,294.30,303.49,304.43,295.81,296.60,323.38,338.65,330.38,330.92,309.00,313.16,318.19,330.74,344.84,359.41,386.72,L7
2002-01-17 21:42:52+00:00,269.95,260.48,258.12,248.78,257.78,268.54,262.57,262.08,265.69,273.97,281.80,296.18,306.68,323.20,346.56,332.19,315.05,303.33,298.79,296.80,298.70,302.70,322.62,315.47,313.79,314.21,322.21,334.37,336.58,324.83,320.73,314.89,314.00,332.38,343.24,357.60,388.14,L7
2002-02-02 21:42:54+00:00,250.86,232.47,206.65,226.99,235.45,262.14,251.46,250.00,253.65,259.69,271.75,284.47,290.75,299.03,313.18,274.51,290.04,287.66,283.93,279.02,285.65,291.36,299.21,299.19,298.41,299.94,304.42,306.49,286.69,311.66,306.09,303.98,303.96,319.18,323.76,344.35,372.38,L7
2002-02-18 21:42:54+00:00,257.62,242.89,229.04,229.28,230.84,260.68,242.71,245.80,255.32,261.03,269.31,278.21,282.84,290.95,305.13,295.06,288.31,288.15,281.23,279.37,284.22,288.52,295.85,297.76,296.54,296.65,300.78,306.82,314.21,309.65,309.67,306.67,310.36,324.33,331.72,351.37,385.15,L7
2002-04-07 21:42:52+00:00,240.30,239.29,226.51,224.95,226.00,255.07,231.21,244.18,246.19,250.86,256.68,261.78,268.81,285.90,306.38,300.25,289.18,284.58,279.40,271.86,272.46,281.87,290.94,291.66,284.09,294.93,309.08,326.56,323.28,318.83,327.51,330.43,342.43,348.63,360.55,365.05,389.95,L7
2002-09-14 21:41:55+00:00,271.92,253.27,242.79,238.56,235.53,261.17,241.78,254.55,258.20,255.72,259.29,263.71,281.30,288.99,306.07,296.01,288.31,282.16,275.43,280.51,283.52,287.05,293.67,296.24,297.17,297.42,305.64,314.87,315.81,316.55,327.15,318.27,322.04,324.64,334.87,358.79,390.22,L7
2002-09-30 21:41:23+00:00,,,,,,,,253.47,260.00,260.79,262.04,265.83,276.97,288.71,306.70,304.47,293.11,279.72,282.40,280.18,283.37,291.98,310.88,306.38,310.53,314.14,312.28,,,,,,,,,,,L7
2002-11-01 21:41:54+00:00,276.34,262.83,241.96,241.59,245.94,270.04,257.94,253.20,249.31,256.74,264.13,260.63,277.92,302.92,313.32,295.67,283.93,280.46,271.49,270.24,273.17,291.50,301.14,300.53,298.58,292.07,294.14,305.49,307.40,322.32,322.93,326.88,323.24,318.99,332.55,355.34,386.00,L7
2003-01-20 21:42:33+00:00,278.97,258.48,250.78,254.11,251.01,271.35,252.73,256.01,262.99,262.10,274.60,284.93,297.92,313.67,330.93,316.33,303.07,298.46,289.88,283.66,285.61,294.60,300.72,309.00,302.57,302.10,300.43,311.68,316.50,314.72,319.47,318.99,310.32,319.11,334.72,357.47,393.49,L7
2003-02-05 21:42:41+00:00,283.74,266.27,258.25,262.11,259.32,272.90,255.25,262.43,266.33,269.53,276.00,290.42,303.05,320.17,339.40,326.67,310.70,300.80,296.11,288.70,294.14,299.90,312.73,314.36,309.82,305.54,306.43,319.74,323.95,320.99,322.56,319.22,310.09,319.10,330.27,352.81,388.13,L7
2003-02-21 21:42:44+00:00,275.00,259.30,242.24,252.58,249.49,267.11,249.58,255.20,255.25,264.63,272.40,285.26,297.85,314.48,330.39,326.48,309.25,292.63,292.42,288.65,288.99,294.00,300.54,303.94,300.54,297.44,303.57,308.84,311.99,308.60,305.24,306.87,309.28,321.74,327.40,357.05,388.00,L7
2003-04-10 21:42:49+00:00,258.35,250.11,244.57,236.07,235.53,260.91,227.84,235.33,235.98,246.96,256.24,270.24,292.80,316.97,332.66,320.95,308.58,304.45,296.62,289.26,298.17,289.18,307.64,303.00,292.90,292.89,286.98,293.28,296.84,302.90,301.19,304.49,304.32,317.32,330.62,354.56,388.70,L7
2003-04-26 21:42:49+00:00,234.85,239.94,232.91,215.84,221.95,253.82,224.31,225.02,232.10,237.93,249.90,261.44,274.05,300.28,325.02,310.49,297.22,283.85,283.22,280.42,282.48,284.41,291.45,291.63,290.83,282.57,277.64,296.71,295.35,308.93,300.32,305.96,316.69,312.36,334.72,362.47,392.90,L7
2003-05-12 21:42:48+00:00,246.34,235.48,222.85,230.44,225.13,252.22,223.28,238.44,241.55,243.58,259.81,268.08,280.70,310.78,329.94,314.09,307.31,294.02,288.89,278.37,291.55,302.80,300.95,301.85,294.85,288.57,287.23,313.91,318.38,326.18,327.11,314.63,304.06,312.37,338.67,367.46,396.51,L7
2003-05-28 21:42:46+00:00,230.11,225.33,213.65,223.70,215.61,249.46,208.07,233.92,245.19,246.24,253.86,252.41,270.15,,318.36,307.87,292.88,289.32,288.33,293.00,291.45,289.99,307.76,296.90,297.03,,,297.58,313.12,314.60,314.78,302.25,302.99,307.79,337.13,361.72,393.45,L7
2003-07-15 21:42:38+00:00,231.14,228.81,224.23,223.28,221.89,257.82,205.99,234.98,250.48,255.45,260.40,,,299.62,315.07,311.97,296.12,288.89,284.98,281.17,284.82,289.09,302.71,,,,,306.46,312.83,308.98,310.27,308.05,305.11,317.14,338.02,365.54,394.48,L7
2003-07-23 21:30:14+00:00,245.63,234.94,228.80,225.71,229.51,257.14,227.12,243.86,260.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-08-16 21:42:28+00:00,240.44,224.71,201.89,215.09,227.13,262.69,225.97,228.95,231.54,246.54,260.39,272.03,,,280.47,279.97,273.03,271.73,263.01,257.89,258.28,266.32,279.71,282.42,274.84,,278.31,275.07,275.16,282.31,293.09,299.89,302.04,313.32,331.42,358.09,384.33,L7
2003-09-25 21:31:42+00:00,,,,,,,233.71,225.66,236.27,244.48,262.37,282.08,298.05,306.89,334.13,310.22,282.30,275.33,276.41,272.23,271.86,279.02,285.03,281.42,274.89,283.28,279.16,294.14,298.12,294.84,295.71,303.73,315.10,320.25,331.71,359.18,388.40,L5
2003-10-19 21:42:20+00:00,264.95,249.64,240.37,236.16,237.09,,,238.47,250.09,259.08,276.47,287.91,298.21,312.35,328.15,317.08,301.32,297.19,,,279.90,280.98,289.98,296.67,302.33,302.34,304.22,313.68,313.91,306.22,306.21,,,327.47,332.10,356.19,387.72,L7
2003-11-04 21:42:27+00:00,262.28,254.89,230.44,228.31,240.29,258.25,238.95,240.46,249.95,266.37,291.26,297.68,308.70,,,319.75,319.86,295.83,291.03,272.87,272.82,279.89,291.43,301.34,305.22,,,304.07,295.91,297.50,306.04,308.88,310.88,320.79,329.83,357.33,389.05,L7
2003-11-20 21:42:43+00:00,257.85,254.75,228.35,226.41,237.40,257.39,240.56,248.17,255.48,270.42,,,298.24,311.65,323.11,313.28,312.80,295.59,289.39,285.28,279.59,278.50,292.63,,,306.86,305.74,301.11,293.28,297.91,299.98,304.46,305.73,314.09,328.10,353.84,387.82,L7
2003-11-28 21:32:34+00:00,264.31,256.71,237.99,242.03,247.64,273.16,259.04,258.60,261.75,258.44,273.40,283.92,289.79,305.69,322.07,330.15,315.76,302.53,297.94,298.02,298.60,291.31,294.26,295.82,301.98,301.89,305.96,326.00,343.21,318.80,318.69,314.25,317.38,329.23,328.88,357.53,381.77,L5
2004-02-24 21:43:09+00:00,,,245.23,241.04,241.70,262.28,244.73,248.91,254.70,262.66,274.41,287.70,302.30,308.48,,,317.90,306.08,296.12,291.93,290.93,294.09,304.79,306.71,307.79,308.31,313.51,,340.03,315.07,308.50,299.67,305.41,318.52,320.69,351.50,379.48,L7
