dates,satname,nzd0083-0000,nzd0083-0001,nzd0083-0002,nzd0083-0003,nzd0083-0004
1999-09-27 22:04:48+00:00,L7,328.46,317.79,334.00,340.29,343.75
1999-11-14 22:04:42+00:00,L7,331.22,312.98,331.67,347.59,352.28
2000-01-01 22:04:37+00:00,L7,328.90,325.99,337.86,345.77,351.29
2000-02-18 22:04:29+00:00,L7,332.61,328.31,335.85,343.21,348.20
2000-07-11 22:03:17+00:00,L7,338.10,326.18,340.52,350.20,343.26
2000-10-15 22:01:56+00:00,L7,319.08,309.43,327.69,326.98,330.00
2001-01-03 22:02:12+00:00,L7,325.71,320.19,340.31,335.94,339.62
2001-03-24 22:01:59+00:00,L7,,,,334.28,335.12
2001-06-12 22:01:24+00:00,L7,318.80,309.20,,,
2001-06-28 22:01:09+00:00,L7,461.44,,410.86,349.76,352.17
2001-08-15 22:00:38+00:00,L7,326.65,321.44,353.18,352.45,343.66
2001-10-02 22:00:04+00:00,L7,,,323.42,322.24,318.59
2001-12-05 22:00:18+00:00,L7,301.67,298.38,316.87,317.56,321.22
2001-12-21 22:00:29+00:00,L7,315.66,303.89,320.14,334.28,334.27
2002-01-06 22:00:31+00:00,L7,335.81,335.42,347.75,348.89,348.60
2002-01-22 22:00:40+00:00,L7,327.44,315.40,343.14,346.20,349.03
2002-03-27 22:00:37+00:00,L7,315.08,302.71,325.22,330.38,341.19
2002-04-28 22:00:38+00:00,L7,329.35,310.99,314.98,317.37,327.98
2002-07-01 22:00:15+00:00,L7,329.66,327.47,343.58,353.97,355.33
2002-07-17 22:00:08+00:00,L7,336.00,330.03,352.61,362.15,357.63
2002-08-02 22:00:01+00:00,L7,328.38,323.97,352.88,351.95,351.15
2002-08-18 21:59:57+00:00,L7,330.50,333.48,357.64,351.86,354.98
2002-12-24 22:00:09+00:00,L7,315.84,310.10,325.89,,
2003-01-25 22:00:18+00:00,L7,332.70,331.31,342.13,346.94,352.82
2003-02-26 22:00:28+00:00,L7,,499.35,501.77,,345.88
2003-07-28 21:48:28+00:00,L5,327.13,317.08,330.82,323.09,330.00
2003-08-05 22:00:11+00:00,L7,329.04,320.71,348.67,347.73,344.43
2003-09-14 21:49:18+00:00,L5,329.33,325.31,333.59,340.64,335.20
2003-11-09 22:00:18+00:00,L7,323.89,315.27,,,347.78
2003-11-25 22:00:29+00:00,L7,308.39,302.74,319.94,322.78,
2003-12-19 21:50:27+00:00,L5,321.80,320.89,339.58,344.39,342.75
2004-04-25 21:51:47+00:00,L5,321.19,317.97,337.59,348.80,349.00
2004-05-03 22:00:59+00:00,L7,334.17,333.28,344.86,,
2004-06-20 22:00:50+00:00,L7,325.67,317.07,,,
2004-07-22 22:00:44+00:00,L7,333.84,332.25,340.72,345.76,350.91
2004-07-30 21:54:28+00:00,L5,339.07,338.00,357.50,361.29,365.43
2004-09-16 21:55:41+00:00,L5,339.73,329.53,335.97,344.49,353.27
2004-10-18 21:56:23+00:00,L5,347.08,337.16,342.39,348.36,353.44
2004-11-11 22:00:45+00:00,L7,,,,,
2004-11-19 21:56:55+00:00,L5,349.83,340.62,353.71,365.06,373.50
2004-12-13 22:01:00+00:00,L7,331.78,327.43,335.01,,
2005-01-14 22:01:13+00:00,L7,320.89,319.47,327.49,343.95,350.54
2005-02-23 21:58:31+00:00,L5,326.78,322.64,338.54,348.01,354.47
2005-03-03 22:01:30+00:00,L7,334.52,329.46,337.22,350.91,356.66
2005-03-11 21:58:44+00:00,L5,325.34,318.98,329.16,336.59,343.73
2005-03-19 22:01:30+00:00,L7,342.10,333.02,342.91,356.99,357.63
2005-03-27 21:58:51+00:00,L5,337.60,334.48,338.40,347.94,353.16
2005-04-12 21:58:55+00:00,L5,324.43,321.00,329.74,339.79,347.33
2005-05-30 21:59:15+00:00,L5,351.75,349.05,356.66,360.29,367.52
2005-07-09 22:01:14+00:00,L7,334.93,326.11,335.76,338.47,351.66
2005-07-17 21:59:35+00:00,L5,340.86,333.84,356.66,356.64,369.09
2005-07-25 22:01:13+00:00,L7,333.31,324.97,334.45,339.35,342.51
2005-08-10 22:01:10+00:00,L7,330.52,325.03,332.54,335.12,347.23
2005-10-13 22:00:54+00:00,L7,326.14,329.08,342.83,,
2005-11-30 22:01:24+00:00,L7,328.89,328.08,338.26,345.29,344.36
2006-01-17 22:01:43+00:00,L7,326.87,324.02,325.08,338.03,341.80
2006-02-18 22:01:53+00:00,L7,311.69,312.22,320.73,324.89,327.36
