dates,satname,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
1999-08-21 21:46:56+00:00,L7,335.56,328.65,327.68,341.21,345.28,349.85,355.41,355.40,358.46,365.49,350.44,339.20,336.20,331.86,331.22,331.24,337.59,346.43,354.83,358.53,352.69,354.79,353.13,347.58,345.79,343.88,342.84,341.50,329.67,319.54,327.27,340.60,343.29,334.37,330.94,348.92,355.77,352.37,364.06,384.45,361.51,347.06,345.21,336.07,339.75,347.88,353.71,358.97,358.89,348.93,339.16,346.06,346.75,355.31
1999-09-06 21:46:59+00:00,L7,345.71,336.87,336.99,351.46,359.02,359.92,372.52,370.02,,,,,,,,,,,,,,,,,,,,340.42,336.09,334.75,346.28,338.95,340.98,343.56,354.03,349.97,347.21,366.98,,,,,,,,355.78,360.57,359.41,,,347.42,352.86,360.49,354.92
1999-09-22 21:47:00+00:00,L7,338.89,331.78,335.74,347.47,351.24,355.38,358.76,363.84,368.79,367.09,354.33,342.16,339.59,334.57,332.11,328.05,332.13,341.88,362.55,370.65,359.38,350.11,347.99,345.40,346.17,349.24,341.60,329.80,332.18,340.76,345.98,347.06,345.41,346.11,347.79,351.81,353.93,360.72,362.42,369.71,363.76,347.79,355.16,353.46,357.55,373.48,362.70,349.96,362.48,360.61,351.00,350.93,352.88,362.91
1999-10-24 21:46:56+00:00,L7,341.20,341.25,345.67,355.96,359.09,370.77,378.58,379.41,377.19,369.40,357.96,359.86,354.14,339.71,329.47,326.58,331.28,343.33,362.64,363.26,356.08,355.36,359.95,360.54,365.56,359.21,363.53,350.28,340.38,348.75,345.73,346.37,346.09,350.67,344.69,350.22,352.70,363.70,367.22,372.16,367.45,353.55,360.55,360.25,380.73,368.26,363.45,358.17,365.28,352.97,343.58,345.47,347.65,354.29
2000-02-13 21:46:48+00:00,L7,317.16,311.50,316.52,328.13,330.40,332.67,340.22,344.36,348.58,355.36,334.58,326.52,307.50,303.99,304.71,306.35,310.83,317.22,324.30,320.10,323.26,320.25,320.90,319.64,323.92,328.77,322.64,306.69,304.54,317.20,312.48,315.18,308.43,307.08,327.48,333.44,334.74,342.86,341.33,349.72,339.74,332.18,324.79,321.62,321.89,311.31,306.28,311.82,323.05,320.96,322.60,321.48,327.59,337.11
2000-05-03 21:46:19+00:00,L7,346.11,320.24,339.73,351.53,351.74,354.65,357.62,362.37,369.56,370.64,355.25,352.21,337.44,331.63,329.55,331.69,341.05,345.68,353.77,351.72,346.72,350.64,350.16,351.19,353.85,343.15,345.19,340.43,336.30,337.58,339.55,333.44,338.96,344.13,345.81,347.60,350.19,346.82,351.42,358.01,351.73,333.81,336.12,333.58,336.38,337.22,336.58,340.39,328.72,340.11,338.23,341.46,349.27,360.20
2000-05-19 21:46:07+00:00,L7,288.00,314.89,335.33,337.96,337.70,347.86,354.47,354.41,355.65,360.94,346.07,336.64,333.67,323.70,325.41,326.81,332.24,339.64,350.79,342.28,342.67,343.60,342.68,342.73,343.67,334.23,334.85,336.21,331.11,337.38,326.32,329.42,336.61,340.50,345.73,347.15,347.80,341.53,343.33,345.05,334.27,327.93,325.26,331.32,333.88,332.97,329.57,329.54,329.77,329.79,330.56,334.52,341.44,349.86
2000-07-06 21:45:39+00:00,L7,311.96,283.54,308.31,319.07,313.46,324.94,320.93,323.19,332.75,336.33,326.59,327.16,321.72,310.92,320.38,315.16,329.71,335.74,345.41,342.78,337.36,337.07,338.56,337.79,341.34,335.65,332.62,330.70,323.80,321.90,324.27,331.46,335.88,340.43,337.82,343.34,342.69,352.51,373.68,429.84,428.40,339.17,325.51,321.33,315.15,322.96,321.44,326.20,330.99,322.41,305.60,325.90,331.66,336.33
2000-08-07 21:45:08+00:00,L7,318.10,297.64,314.25,329.84,326.05,327.19,336.17,338.24,348.41,350.31,339.64,326.28,318.63,320.48,323.49,323.68,333.40,339.39,348.69,348.14,349.04,348.27,346.56,342.96,346.20,342.72,329.22,329.71,316.92,323.19,315.84,327.93,338.29,335.58,329.64,337.64,340.23,351.25,353.83,359.84,352.23,333.79,321.90,317.79,322.64,329.84,334.37,334.74,340.66,339.31,335.45,338.57,339.17,348.93
2001-01-14 21:44:33+00:00,L7,306.83,297.74,302.77,312.93,314.21,315.96,330.27,324.03,331.83,338.08,,,310.46,309.80,309.93,314.71,323.69,316.98,334.96,331.87,328.64,327.35,327.31,325.02,326.78,320.11,316.71,317.09,309.95,319.11,322.31,328.65,326.97,329.90,328.25,332.63,332.60,334.79,337.38,344.27,336.78,329.65,325.86,324.09,324.05,321.68,321.26,323.17,333.60,341.35,326.54,326.17,331.12,344.13
2001-04-04 21:44:06+00:00,L7,327.90,321.74,331.87,341.85,344.10,343.79,347.03,345.03,361.59,373.66,347.29,344.13,339.00,343.19,350.73,341.86,347.14,351.94,353.52,353.22,355.68,352.22,348.61,351.36,350.79,346.24,342.54,343.44,346.23,347.75,338.57,340.58,345.69,348.44,341.65,345.43,355.34,358.64,362.98,368.82,359.88,349.25,347.00,353.15,349.92,347.28,338.92,341.59,347.10,349.62,348.83,352.94,349.69,360.56
2001-04-20 21:44:10+00:00,L7,329.08,328.13,336.69,348.09,344.87,339.74,354.29,358.57,359.95,359.70,350.59,349.86,348.33,343.46,337.73,341.25,344.70,349.88,357.05,356.12,354.13,353.87,353.04,351.56,351.96,344.76,347.42,349.33,348.40,348.52,347.78,347.65,347.58,355.45,349.11,356.67,357.84,357.96,363.28,364.19,353.64,353.05,347.80,355.21,349.28,348.53,351.34,350.55,354.18,351.03,347.68,350.82,361.63,364.99
2001-05-22 21:43:54+00:00,L7,291.13,277.75,321.65,331.20,328.00,330.75,345.86,346.81,342.23,344.69,343.19,349.93,341.44,334.30,330.46,338.70,339.29,346.55,353.22,357.06,355.37,345.83,343.89,344.46,344.76,347.87,344.25,342.83,343.26,338.69,332.10,336.06,353.94,346.19,343.68,351.26,355.08,356.33,357.37,370.32,362.01,348.88,343.70,346.91,343.26,336.48,347.98,351.05,358.74,351.36,348.45,350.85,343.66,357.42
2001-07-25 21:43:18+00:00,L7,295.24,273.64,296.71,312.50,318.37,329.55,331.48,325.56,333.01,336.60,322.90,320.53,312.05,321.09,323.62,324.36,326.81,326.78,338.63,338.52,334.06,332.03,329.08,328.89,334.30,325.43,325.79,322.23,310.03,302.54,321.67,324.73,333.88,329.76,327.25,334.32,335.36,334.37,334.44,329.88,332.89,324.84,321.35,320.02,317.35,319.32,317.93,325.52,335.30,327.57,316.11,327.96,335.74,336.39
2001-08-10 21:43:00+00:00,L7,300.80,284.64,306.72,320.68,331.50,344.96,336.97,339.67,340.65,344.72,335.04,327.95,322.84,324.06,324.66,323.32,323.53,332.55,344.66,348.57,343.11,337.73,336.42,335.11,339.68,335.43,329.41,324.86,313.54,301.97,322.09,322.82,326.78,325.21,326.24,339.15,338.99,335.93,332.46,334.90,334.47,322.03,312.44,314.25,320.87,321.28,319.47,329.69,329.95,324.93,316.07,324.52,328.85,335.78
2001-09-11 21:42:38+00:00,L7,,,,,,,,344.70,347.14,355.78,337.95,335.62,336.87,337.72,332.27,327.16,335.92,351.79,360.30,358.03,351.11,343.49,344.56,342.89,344.94,343.45,340.49,338.95,339.40,323.23,333.56,344.87,345.81,332.31,329.91,333.60,337.63,350.07,350.00,352.18,333.83,326.34,331.51,340.56,340.98,333.80,329.41,328.79,331.64,335.43,329.66,334.29,340.10,348.35
2001-09-27 21:42:29+00:00,L7,331.41,326.64,332.95,345.69,349.33,370.55,382.61,377.29,368.27,371.69,355.49,342.81,350.53,355.59,346.18,351.71,360.38,364.88,372.07,376.47,369.92,362.87,356.91,360.40,361.26,356.31,353.95,361.96,358.26,341.13,349.04,357.95,362.89,349.75,347.52,353.39,358.45,370.01,377.82,367.21,346.92,336.00,350.12,369.60,366.25,344.60,347.01,347.62,353.68,346.91,342.57,350.03,362.73,362.94
2001-10-13 21:42:15+00:00,L7,330.85,319.65,334.92,348.16,346.93,354.99,365.58,371.46,367.87,358.98,350.01,355.02,346.21,348.52,345.23,347.51,353.82,355.33,376.09,370.66,363.90,355.95,361.04,359.53,352.24,353.52,360.08,360.88,334.89,342.05,354.87,352.28,356.80,342.45,345.30,345.73,345.56,369.02,362.19,359.76,350.44,346.86,360.07,372.03,355.96,342.11,350.79,349.44,350.20,350.76,342.52,350.55,356.71,361.32
2001-10-29 21:42:21+00:00,L7,332.23,321.23,328.45,340.38,337.19,347.81,358.79,364.83,357.77,358.04,352.87,346.13,338.18,336.24,335.90,348.04,346.90,357.96,362.76,365.73,352.19,354.14,348.63,346.93,347.01,353.24,355.56,340.64,333.37,342.26,337.78,339.75,343.54,338.34,338.87,334.13,348.59,351.26,350.17,342.49,355.05,358.90,354.03,347.95,348.43,343.04,342.46,348.22,354.28,349.89,337.62,346.51,358.83,354.79
2002-01-17 21:42:52+00:00,L7,323.57,323.36,331.36,338.47,337.17,338.02,344.82,350.73,357.78,362.36,346.05,339.63,337.75,337.23,328.24,329.44,334.38,327.93,337.22,338.19,335.82,334.96,335.88,336.08,328.53,321.06,335.41,342.89,331.52,319.09,331.41,337.18,,,,,,,,,,,,,,,,,,,348.29,336.50,344.32,352.37
