dates,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053,satname
1999-08-21 21:46:56+00:00,332.51,325.02,322.41,335.41,339.48,345.39,350.14,350.57,353.63,360.66,345.17,333.93,331.37,327.03,326.76,326.41,333.45,341.60,350.37,354.07,348.82,350.92,348.99,342.75,341.65,339.05,338.01,336.67,323.87,313.10,321.47,335.77,338.83,329.91,326.80,344.46,350.94,347.10,358.79,378.65,356.24,341.26,339.41,330.27,333.31,342.08,347.91,353.70,353.62,342.49,330.87,340.26,340.95,350.04,L7
1999-09-06 21:46:59+00:00,339.08,329.00,325.54,338.86,346.42,350.23,361.07,359.52,,,,,,,,,,,,,,,,,,,,329.92,323.49,320.75,333.68,328.45,331.29,333.87,345.03,340.28,336.71,355.53,,,,,,,,343.18,347.97,347.96,,,329.42,340.26,347.89,343.47,L7
1999-09-22 21:47:00+00:00,333.42,325.28,326.29,337.07,340.84,347.38,349.31,355.17,360.12,358.42,344.88,332.71,330.92,325.90,324.11,319.38,324.70,333.21,354.55,362.65,352.45,343.18,340.56,336.73,338.74,340.57,332.93,321.13,321.78,329.20,335.58,338.39,337.41,338.11,340.36,343.81,345.26,351.27,352.97,359.31,354.31,337.39,344.76,343.06,345.99,363.08,352.30,340.51,353.03,349.05,336.14,340.53,342.48,353.46,L7
1999-10-24 21:46:56+00:00,336.78,336.00,338.03,347.56,350.69,364.31,370.94,372.41,370.19,362.40,350.32,352.22,347.14,332.71,323.01,319.58,325.28,336.33,356.18,356.80,350.48,349.76,353.95,353.54,359.56,352.21,356.53,343.28,331.98,339.42,337.33,339.37,339.63,344.21,338.69,343.76,345.70,356.06,359.58,363.76,359.81,345.15,352.15,351.85,371.40,359.86,355.05,350.53,357.64,343.64,331.58,337.07,339.25,346.65,L7
2000-02-13 21:46:48+00:00,318.63,313.25,319.07,330.93,333.20,334.82,342.77,346.69,350.91,357.69,337.13,329.07,309.83,306.32,306.86,308.68,312.83,319.55,326.45,322.25,325.13,322.12,322.90,321.97,325.92,331.10,324.97,309.02,307.34,320.31,315.28,317.51,310.58,309.23,329.48,335.59,337.07,345.41,343.88,352.52,342.29,334.98,327.59,324.42,325.00,314.11,309.08,314.37,325.60,324.07,326.60,324.28,330.39,339.66,L7
2000-05-03 21:46:19+00:00,341.58,314.87,331.91,342.93,343.14,348.03,349.80,355.20,362.39,363.47,347.43,344.39,330.27,324.46,322.93,324.52,334.91,338.51,347.15,345.10,340.99,344.91,344.02,344.02,347.71,335.98,338.02,333.26,327.70,328.02,330.95,326.27,332.34,337.51,339.67,340.98,343.02,339.00,343.60,349.41,343.91,325.21,327.52,324.98,326.82,328.62,327.98,332.57,320.90,330.55,325.94,332.86,340.67,352.38,L7
2000-05-19 21:46:07+00:00,289.16,316.26,337.33,340.16,339.90,349.55,356.47,356.24,357.48,362.77,348.07,338.64,335.50,325.53,327.10,328.64,333.81,341.47,352.48,343.97,344.14,345.07,344.25,344.56,345.24,336.06,336.68,338.04,333.31,339.82,328.52,331.25,338.30,342.19,347.30,348.84,349.63,343.53,345.33,347.25,336.27,330.13,327.46,333.52,336.32,335.17,331.77,331.54,331.77,332.23,333.70,336.72,343.64,351.86,L7
2000-07-06 21:45:39+00:00,319.12,292.04,320.67,332.67,327.06,335.40,333.29,334.52,344.08,347.66,338.95,339.52,333.05,322.25,330.84,326.49,339.42,347.07,355.87,353.24,346.43,346.14,348.27,349.12,351.05,346.98,343.95,342.03,337.40,337.01,337.87,342.79,346.34,350.89,347.53,353.80,354.02,364.87,386.04,,,352.77,339.11,334.93,330.26,336.56,335.04,338.56,343.35,337.52,325.03,339.50,345.26,348.69,L7
2000-08-07 21:45:08+00:00,319.15,298.89,316.07,331.84,328.05,328.73,337.99,339.91,350.08,351.98,341.46,328.10,320.30,322.15,325.03,325.35,334.83,341.06,350.23,349.68,350.37,349.60,347.99,344.63,347.63,344.39,330.89,331.38,318.92,325.41,317.84,329.60,339.83,337.12,331.07,339.18,341.90,353.07,355.65,361.84,354.05,335.79,323.90,319.79,324.86,331.84,336.37,336.56,342.48,341.53,338.31,340.57,341.17,350.75,L7
2001-01-14 21:44:33+00:00,315.88,308.49,318.41,330.13,331.41,329.19,345.91,338.36,346.16,352.41,,,324.79,324.13,323.16,329.04,335.98,331.31,348.19,345.10,340.11,338.82,339.60,339.35,339.07,334.44,331.04,331.42,327.15,338.22,339.51,342.98,340.20,343.13,340.54,345.86,346.93,350.43,353.02,361.47,352.42,346.85,343.06,341.29,343.16,338.88,338.46,338.81,349.24,360.46,351.11,343.37,348.32,359.77,L7
