dates,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053,satname
1999-08-21 21:46:56+00:00,332.51,325.02,322.41,335.41,339.48,345.39,350.14,350.57,353.63,360.66,345.17,333.93,331.37,327.03,326.76,326.41,333.45,341.60,350.37,354.07,348.82,350.92,348.99,342.75,341.65,339.05,338.01,336.67,323.87,313.10,321.47,335.77,338.83,329.91,326.80,344.46,350.94,347.10,358.79,378.65,356.24,341.26,339.41,330.27,333.31,342.08,347.91,353.70,353.62,342.49,330.87,340.26,340.95,350.04,L7
1999-09-06 21:46:59+00:00,335.79,327.01,323.98,337.13,342.95,347.81,355.61,355.04,353.63,360.66,345.17,333.93,331.37,327.03,326.76,326.41,333.45,341.60,350.37,354.07,348.82,350.92,348.99,342.75,341.65,339.05,338.01,333.30,323.68,316.93,327.58,332.11,335.06,331.89,335.91,342.37,343.82,351.31,358.79,378.65,356.24,341.26,339.41,330.27,333.31,342.63,347.94,350.83,353.62,342.49,330.14,340.26,344.42,346.75,L7
1999-09-22 21:47:00+00:00,335.00,326.43,324.75,337.11,342.25,347.67,353.51,355.09,356.88,359.54,345.02,333.32,331.14,326.46,325.44,322.89,329.07,337.40,352.46,358.36,350.63,347.05,344.77,339.74,340.19,339.81,335.47,329.24,323.05,321.02,330.24,334.20,335.84,333.96,337.40,342.85,344.30,351.30,355.88,368.98,355.27,339.32,342.09,336.66,339.65,349.45,349.39,347.39,353.32,345.77,332.14,340.35,343.77,348.99,L7
1999-10-24 21:46:56+00:00,335.45,328.82,328.07,339.73,344.36,351.83,357.87,359.42,361.31,360.49,346.79,339.62,336.48,328.55,324.63,321.79,327.81,337.05,353.70,357.84,350.58,347.95,347.83,344.34,346.65,343.94,342.49,332.75,325.28,325.62,332.01,335.50,336.79,336.52,337.72,343.08,344.65,352.49,357.11,367.24,356.79,341.27,345.44,341.73,350.23,352.05,350.81,348.17,354.76,345.06,332.00,339.53,342.64,348.40,L7
2000-02-13 21:46:48+00:00,332.08,325.71,326.27,337.97,342.13,348.43,354.85,356.87,358.71,359.79,344.38,336.98,329.81,322.99,320.19,318.51,324.06,332.67,346.89,348.94,344.22,341.50,341.60,338.75,341.47,340.73,338.11,328.00,321.69,324.56,328.67,331.90,331.55,331.07,336.07,341.58,343.14,351.07,353.81,363.56,353.16,339.69,340.98,337.40,343.93,344.46,342.46,341.41,347.47,339.81,330.92,336.48,340.19,346.66,L7
2000-05-03 21:46:19+00:00,330.11,314.06,325.49,336.93,338.17,341.42,346.28,350.94,356.65,360.58,342.28,336.73,320.05,315.39,314.89,316.60,323.87,329.03,336.80,333.68,333.06,333.51,333.46,333.00,336.81,333.54,331.50,321.14,317.52,324.16,323.12,321.89,321.46,323.37,334.58,338.28,340.04,342.21,343.74,350.97,343.10,330.10,327.55,324.70,325.91,321.37,318.53,323.47,323.25,327.31,326.27,328.57,335.53,346.02,L7
2000-05-19 21:46:07+00:00,316.46,314.79,329.44,338.01,338.75,344.13,349.68,352.71,356.93,361.31,344.21,337.37,325.20,318.77,318.96,320.61,327.18,333.18,342.03,337.11,336.75,337.37,337.06,336.85,339.62,334.38,333.22,326.77,322.78,329.38,324.92,325.01,327.07,329.64,338.82,341.80,343.24,342.65,344.27,349.73,340.82,330.11,327.52,327.64,329.38,325.97,322.94,326.16,326.09,328.95,328.75,331.29,338.23,347.97,L7
2000-07-06 21:45:39+00:00,317.12,309.11,327.25,336.67,335.82,341.95,345.58,348.16,353.72,357.90,342.89,337.90,327.16,319.64,321.93,322.08,330.24,336.65,345.49,341.14,339.17,339.56,339.86,339.92,342.48,337.53,335.90,330.59,326.44,331.29,328.15,329.45,331.89,334.95,341.00,344.80,345.94,348.20,354.71,349.73,340.82,335.77,330.42,329.46,329.60,328.62,325.97,329.26,330.40,331.09,327.82,333.34,339.99,348.15,L7
2000-08-07 21:45:08+00:00,317.53,307.06,325.01,335.71,334.27,339.31,344.06,346.51,352.99,356.71,342.61,335.94,325.79,320.14,322.55,322.74,331.16,337.53,346.44,342.85,341.41,341.57,341.49,340.86,343.51,338.90,334.90,330.75,324.93,330.11,326.09,329.48,333.48,335.39,339.01,343.68,345.13,349.18,354.90,352.75,344.13,335.78,329.12,327.53,328.65,329.26,328.05,330.72,332.82,333.18,329.92,334.79,340.23,348.67,L7
2001-01-14 21:44:33+00:00,317.51,303.69,317.24,330.99,329.73,328.96,341.95,339.13,348.12,352.20,341.46,328.10,322.55,323.14,324.10,327.20,335.40,336.19,349.21,347.39,345.24,344.21,343.80,341.99,343.35,339.41,330.97,331.40,323.03,331.82,328.67,336.29,340.01,340.12,335.81,342.52,344.41,351.75,354.33,361.65,353.24,341.32,333.48,330.54,334.01,335.36,337.41,337.69,345.86,351.00,344.71,341.97,344.75,355.26,L7
