dates,satname,nzd0468-0000,nzd0468-0001,nzd0468-0002,nzd0468-0003,nzd0468-0004,nzd0468-0005,nzd0468-0006,nzd0468-0007,nzd0468-0008,nzd0468-0009,nzd0468-0010,nzd0468-0011,nzd0468-0012,nzd0468-0013,nzd0468-0014,nzd0468-0015,nzd0468-0016,nzd0468-0017,nzd0468-0018,nzd0468-0019,nzd0468-0020,nzd0468-0021,nzd0468-0022,nzd0468-0023,nzd0468-0024,nzd0468-0025,nzd0468-0026,nzd0468-0027,nzd0468-0028,nzd0468-0029,nzd0468-0030,nzd0468-0031,nzd0468-0032,nzd0468-0033,nzd0468-0034,nzd0468-0035,nzd0468-0036,nzd0468-0037,nzd0468-0038,nzd0468-0039,nzd0468-0040,nzd0468-0041,nzd0468-0042,nzd0468-0043,nzd0468-0044,nzd0468-0045,nzd0468-0046,nzd0468-0047,nzd0468-0048,nzd0468-0049,nzd0468-0050,nzd0468-0051,nzd0468-0052,nzd0468-0053,nzd0468-0054,nzd0468-0055,nzd0468-0056,nzd0468-0057,nzd0468-0058,nzd0468-0059,nzd0468-0060,nzd0468-0061,nzd0468-0062,nzd0468-0063,nzd0468-0064,nzd0468-0065,nzd0468-0066,nzd0468-0067,nzd0468-0068,nzd0468-0069,nzd0468-0070,nzd0468-0071,nzd0468-0072,nzd0468-0073,nzd0468-0074,nzd0468-0075,nzd0468-0076,nzd0468-0077,nzd0468-0078,nzd0468-0079,nzd0468-0080,nzd0468-0081,nzd0468-0082,nzd0468-0083,nzd0468-0084,nzd0468-0085,nzd0468-0086,nzd0468-0087,nzd0468-0088,nzd0468-0089,nzd0468-0090,nzd0468-0091,nzd0468-0092,nzd0468-0093,nzd0468-0094,nzd0468-0095,nzd0468-0096,nzd0468-0097,nzd0468-0098,nzd0468-0099,nzd0468-0100,nzd0468-0101,nzd0468-0102,nzd0468-0103,nzd0468-0104,nzd0468-0105,nzd0468-0106,nzd0468-0107,nzd0468-0108,nzd0468-0109,nzd0468-0110,nzd0468-0111,nzd0468-0112,nzd0468-0113,nzd0468-0114,nzd0468-0115,nzd0468-0116,nzd0468-0117,nzd0468-0118,nzd0468-0119,nzd0468-0120,nzd0468-0121,nzd0468-0122,nzd0468-0123,nzd0468-0124,nzd0468-0125,nzd0468-0126,nzd0468-0127,nzd0468-0128,nzd0468-0129,nzd0468-0130,nzd0468-0131,nzd0468-0132
1999-08-26 22:07:08+00:00,L7,320.66,325.84,325.02,333.84,332.40,312.25,314.19,329.46,325.27,329.32,329.34,328.75,329.01,324.70,324.56,331.31,334.97,332.80,331.47,328.72,331.48,334.07,335.20,337.97,332.04,334.11,331.19,337.10,333.91,333.53,336.72,337.88,343.77,337.22,339.63,335.94,337.64,337.65,336.24,329.15,338.86,339.43,336.46,329.73,345.89,336.60,349.51,352.57,344.60,343.45,338.81,342.04,332.41,327.80,326.10,331.46,332.41,329.22,330.49,334.94,335.37,326.05,329.03,331.45,327.50,326.73,327.69,329.06,332.39,339.02,335.29,334.03,332.86,339.32,334.79,333.55,,,,,,,,,,,,,,,,328.49,326.21,326.89,329.08,313.01,315.53,316.99,314.05,314.75,311.23,316.58,313.99,313.49,316.23,318.84,315.85,315.23,313.53,315.34,318.31,324.29,314.24,320.75,310.54,320.39,319.08,321.88,324.09,316.63,318.45,317.27,315.80,309.37,309.31,314.79,312.80,320.59,308.40,310.63,314.69,315.11,321.88
1999-10-13 22:07:12+00:00,L7,327.70,340.42,343.70,340.10,339.32,344.40,343.04,340.95,343.27,343.12,343.96,353.68,343.86,347.77,343.77,344.07,341.56,339.51,337.40,343.80,343.34,352.01,349.78,349.67,350.69,349.21,347.35,343.56,345.60,343.16,348.53,341.92,343.80,349.41,352.86,351.77,349.91,352.05,344.96,346.54,347.43,340.58,341.37,346.10,345.36,345.73,349.88,355.23,358.46,352.19,349.07,343.73,342.69,337.63,341.59,334.82,343.77,339.27,341.52,346.92,344.05,341.21,349.25,345.97,340.60,343.49,339.48,340.86,339.31,338.45,336.22,338.42,336.64,339.17,338.02,340.51,345.23,344.51,340.38,338.86,335.66,336.87,333.22,336.28,329.27,332.72,335.07,335.93,330.89,332.61,333.59,331.94,329.05,330.40,325.55,325.28,327.69,327.81,322.38,323.04,320.87,323.35,320.32,322.73,322.41,325.99,326.83,324.27,322.10,320.87,322.73,325.96,323.25,315.61,321.23,327.26,321.66,327.01,331.42,328.62,326.73,323.47,322.59,325.01,325.27,319.58,319.24,318.36,320.26,316.25,315.40,320.55,324.08
2000-05-08 22:06:20+00:00,L7,335.18,,,,,,,,,,,354.77,359.58,359.82,356.81,351.80,350.18,351.92,352.42,353.96,346.75,356.45,356.44,356.67,354.86,350.74,349.83,347.41,352.02,354.63,348.87,353.76,354.37,357.06,356.97,356.40,352.49,350.50,352.42,354.27,345.65,352.31,350.46,344.30,353.23,360.82,359.75,364.08,366.84,361.62,353.89,353.93,346.27,346.36,339.66,344.46,347.57,347.70,353.57,357.20,358.68,355.77,354.72,350.88,347.93,347.50,346.92,346.98,346.92,350.18,353.04,353.43,349.23,356.30,354.46,354.45,353.66,352.26,353.74,351.17,349.41,346.93,345.93,330.67,343.88,338.77,341.49,343.82,347.29,344.14,343.25,341.88,341.21,334.41,333.84,332.83,332.94,333.95,332.26,323.52,325.61,325.81,325.59,328.81,329.35,329.52,332.78,333.22,324.40,328.29,325.35,329.77,330.82,331.35,328.19,332.53,328.41,332.38,336.26,334.33,335.31,329.16,331.72,329.17,332.80,326.30,326.42,322.51,319.88,334.12,323.21,322.21,334.46
2000-06-25 22:05:55+00:00,L7,332.62,,,,,,,,,,,,352.69,355.89,350.85,348.69,347.92,345.01,347.45,344.71,350.42,355.89,355.90,349.79,355.04,358.76,353.51,363.18,352.95,352.03,354.11,351.27,351.54,351.18,350.88,352.33,356.32,363.55,350.07,354.45,352.59,348.89,350.39,350.46,356.00,357.31,360.70,359.10,361.40,356.51,355.52,352.84,346.08,337.69,344.41,346.84,351.66,347.69,353.42,347.13,352.29,355.60,350.81,344.53,344.16,346.03,343.59,346.15,346.27,346.20,348.91,349.98,352.66,352.20,350.20,349.91,351.75,346.03,350.89,346.90,346.15,341.40,343.69,336.96,341.81,331.89,335.74,336.62,343.36,338.82,336.93,337.65,335.01,333.60,333.44,329.87,328.35,329.46,327.53,322.52,324.30,324.92,322.79,325.14,326.45,327.70,330.23,329.61,324.35,330.85,330.85,332.00,330.85,329.47,332.56,327.69,329.13,327.50,328.80,336.98,327.42,329.47,326.79,327.54,326.91,325.27,324.26,326.96,326.36,323.11,323.77,324.23,330.15
2000-07-11 22:05:41+00:00,L7,313.45,330.08,335.57,331.37,335.69,336.05,333.70,334.40,333.79,331.30,332.85,332.04,337.73,339.15,336.04,331.93,333.90,334.13,330.73,329.02,327.03,333.49,343.56,,,,,,,,,,,,,331.86,347.42,335.51,335.90,329.63,331.10,335.20,328.33,330.66,331.12,335.23,336.30,339.61,338.35,344.51,326.69,332.41,333.07,329.35,325.44,328.79,329.84,335.31,328.67,329.48,331.39,326.12,325.33,329.24,324.83,331.47,336.55,324.38,333.22,325.57,325.84,322.87,320.15,326.21,334.73,326.84,334.81,333.83,334.22,334.38,328.27,328.33,327.53,329.37,324.74,329.35,324.86,326.39,325.29,324.94,322.92,322.17,328.65,322.05,314.24,313.28,321.50,318.09,320.30,313.60,310.03,310.67,316.74,308.58,311.43,314.20,316.51,318.35,322.30,314.98,316.87,319.64,319.16,313.08,318.97,315.89,314.21,320.64,315.09,313.73,319.42,321.27,314.97,312.48,309.02,307.48,313.11,316.89,324.45,313.46,311.79,314.11,316.73
2000-07-27 22:05:24+00:00,L7,334.33,351.18,350.89,347.92,344.50,347.93,343.72,346.07,346.01,350.42,353.05,354.04,353.56,355.15,353.56,350.04,347.82,345.68,343.36,349.07,351.46,355.18,351.77,356.44,356.46,353.87,352.62,353.49,355.18,351.81,351.47,353.22,354.48,351.69,355.16,355.75,351.87,355.31,352.18,349.28,348.82,348.84,346.74,352.26,351.08,360.88,352.50,359.08,358.78,359.01,353.51,348.48,345.25,345.08,343.97,345.60,346.91,347.81,345.68,349.10,343.60,345.97,340.92,342.99,343.94,345.99,343.73,345.99,344.83,347.08,348.72,348.99,350.44,347.01,343.99,351.40,347.26,344.87,344.19,343.90,344.99,343.08,344.37,339.83,342.38,340.61,336.17,341.42,338.24,339.79,339.94,337.46,335.31,333.58,333.93,334.59,333.48,331.78,330.78,331.54,325.82,328.84,322.98,325.03,327.44,329.76,331.46,327.19,327.22,331.74,327.86,331.68,332.05,331.91,334.65,330.47,329.24,328.97,333.91,332.67,327.29,329.92,332.39,329.69,331.81,321.97,327.04,327.11,329.61,320.32,327.01,328.63,332.12
2000-08-12 22:05:17+00:00,L7,332.23,349.06,355.40,356.53,352.00,349.02,344.16,345.13,345.24,352.86,358.21,352.30,353.11,356.65,351.04,349.59,348.55,342.88,347.31,344.11,350.96,351.03,349.73,351.06,354.19,352.39,348.04,347.60,347.36,349.82,348.69,347.81,358.86,352.59,356.21,358.24,355.67,352.65,350.84,354.70,348.04,341.69,347.33,346.07,355.11,354.63,355.08,363.63,362.53,355.02,356.37,351.64,349.06,340.89,338.62,343.76,343.32,344.49,346.46,346.27,352.95,356.62,353.90,348.37,349.94,341.18,342.88,345.41,340.96,347.64,345.82,349.72,350.38,348.30,351.45,350.01,353.86,350.54,349.85,345.87,346.66,343.64,338.83,334.41,336.19,333.67,338.59,330.97,333.67,341.95,343.65,335.89,333.69,331.89,329.56,329.21,330.25,332.18,335.71,323.48,324.20,323.25,326.24,325.75,325.24,328.47,326.20,331.73,327.80,328.26,331.21,331.87,327.24,333.87,323.64,331.06,326.19,328.77,330.26,327.90,328.34,325.94,325.85,326.29,327.66,321.37,323.70,327.59,327.55,322.37,322.13,325.96,331.37
2000-12-18 22:04:37+00:00,L7,318.59,345.22,345.70,340.67,333.27,334.84,328.77,330.35,334.15,337.26,336.82,338.65,338.06,341.16,338.30,337.46,341.31,339.57,333.92,334.79,335.78,339.73,339.53,338.63,339.81,344.35,341.62,342.64,340.99,342.03,342.35,341.89,340.74,343.35,339.59,343.58,338.06,339.03,341.38,341.39,339.90,339.22,338.91,339.51,339.73,343.80,343.40,348.17,349.70,346.27,342.15,340.94,336.58,335.76,332.21,333.67,337.35,339.00,337.33,340.59,338.23,341.73,335.02,334.10,331.52,330.86,329.77,333.05,331.87,334.17,333.44,334.32,337.70,335.97,335.17,338.48,334.38,341.09,334.04,334.16,331.37,333.96,330.96,327.81,325.86,328.45,329.69,330.03,330.75,331.47,330.19,329.58,329.09,325.19,323.18,319.38,319.01,314.97,318.62,317.15,318.30,316.43,317.96,315.33,316.69,315.94,317.04,315.13,319.42,319.58,321.46,322.33,319.36,317.39,318.47,319.41,319.60,320.98,316.00,319.68,318.62,318.98,319.41,319.39,314.53,315.10,316.86,317.80,314.13,313.19,314.35,318.15,316.27
2001-03-08 22:04:32+00:00,L7,319.91,296.50,351.51,342.42,348.43,341.00,339.55,333.70,332.00,336.81,338.08,337.86,343.43,349.79,349.15,347.31,344.81,341.22,334.74,336.64,342.64,342.43,341.56,352.89,345.50,344.04,345.80,339.50,343.07,340.96,344.03,340.81,343.89,342.30,344.24,353.43,353.97,350.14,348.28,344.44,342.17,350.43,362.76,,,,,,,,,,,,,,,,,,,,,335.76,341.43,338.63,336.59,338.94,339.73,341.23,344.23,338.28,340.37,342.32,343.59,341.73,338.38,342.26,342.54,340.35,348.30,338.71,335.81,327.90,326.27,328.08,327.59,330.32,332.16,333.25,332.64,332.05,331.94,331.10,329.93,325.02,327.02,316.13,311.73,314.33,314.32,316.44,317.82,316.40,317.98,319.70,317.95,322.13,323.14,322.51,322.44,324.68,324.99,324.54,319.65,323.54,320.90,324.64,317.86,319.00,321.70,320.38,321.35,317.39,313.75,318.62,320.11,323.98,320.86,316.76,318.65,320.13,319.16
2001-04-09 22:04:17+00:00,L7,374.74,391.62,396.15,396.55,386.33,387.22,387.24,386.42,391.10,385.36,396.48,392.99,394.89,393.06,393.31,389.32,394.12,381.11,397.40,391.84,394.80,394.68,397.39,393.45,396.64,393.18,385.99,386.84,389.23,394.90,399.91,403.59,396.51,394.89,393.72,393.74,391.09,389.31,386.84,385.68,,393.41,393.14,389.32,400.59,398.00,398.09,401.51,401.50,395.93,389.31,386.63,379.87,376.48,371.89,372.68,378.39,,374.79,393.94,397.06,386.26,384.13,384.09,390.41,388.41,,384.87,389.92,389.90,388.68,390.04,390.29,393.66,391.29,385.47,407.97,388.26,370.50,379.85,389.65,,376.60,384.90,384.12,387.60,376.07,384.89,385.44,386.21,372.98,372.09,376.92,381.36,372.69,372.60,370.11,366.43,368.33,372.36,372.40,363.90,382.39,361.94,367.98,376.75,365.77,366.64,364.91,359.15,372.12,368.11,369.47,373.75,376.35,361.11,377.34,362.98,372.24,375.95,369.79,371.87,367.02,371.00,348.60,368.11,357.37,374.72,367.52,,,365.00,370.39
