dates,nzd0468-0000,nzd0468-0001,nzd0468-0002,nzd0468-0003,nzd0468-0004,nzd0468-0005,nzd0468-0006,nzd0468-0007,nzd0468-0008,nzd0468-0009,nzd0468-0010,nzd0468-0011,nzd0468-0012,nzd0468-0013,nzd0468-0014,nzd0468-0015,nzd0468-0016,nzd0468-0017,nzd0468-0018,nzd0468-0019,nzd0468-0020,nzd0468-0021,nzd0468-0022,nzd0468-0023,nzd0468-0024,nzd0468-0025,nzd0468-0026,nzd0468-0027,nzd0468-0028,nzd0468-0029,nzd0468-0030,nzd0468-0031,nzd0468-0032,nzd0468-0033,nzd0468-0034,nzd0468-0035,nzd0468-0036,nzd0468-0037,nzd0468-0038,nzd0468-0039,nzd0468-0040,nzd0468-0041,nzd0468-0042,nzd0468-0043,nzd0468-0044,nzd0468-0045,nzd0468-0046,nzd0468-0047,nzd0468-0048,nzd0468-0049,nzd0468-0050,nzd0468-0051,nzd0468-0052,nzd0468-0053,nzd0468-0054,nzd0468-0055,nzd0468-0056,nzd0468-0057,nzd0468-0058,nzd0468-0059,nzd0468-0060,nzd0468-0061,nzd0468-0062,nzd0468-0063,nzd0468-0064,nzd0468-0065,nzd0468-0066,nzd0468-0067,nzd0468-0068,nzd0468-0069,nzd0468-0070,nzd0468-0071,nzd0468-0072,nzd0468-0073,nzd0468-0074,nzd0468-0075,nzd0468-0076,nzd0468-0077,nzd0468-0078,nzd0468-0079,nzd0468-0080,nzd0468-0081,nzd0468-0082,nzd0468-0083,nzd0468-0084,nzd0468-0085,nzd0468-0086,nzd0468-0087,nzd0468-0088,nzd0468-0089,nzd0468-0090,nzd0468-0091,nzd0468-0092,nzd0468-0093,nzd0468-0094,nzd0468-0095,nzd0468-0096,nzd0468-0097,nzd0468-0098,nzd0468-0099,nzd0468-0100,nzd0468-0101,nzd0468-0102,nzd0468-0103,nzd0468-0104,nzd0468-0105,nzd0468-0106,nzd0468-0107,nzd0468-0108,nzd0468-0109,nzd0468-0110,nzd0468-0111,nzd0468-0112,nzd0468-0113,nzd0468-0114,nzd0468-0115,nzd0468-0116,nzd0468-0117,nzd0468-0118,nzd0468-0119,nzd0468-0120,nzd0468-0121,nzd0468-0122,nzd0468-0123,nzd0468-0124,nzd0468-0125,nzd0468-0126,nzd0468-0127,nzd0468-0128,nzd0468-0129,nzd0468-0130,nzd0468-0131,nzd0468-0132,satname
1999-08-26 22:07:08+00:00,317.11,314.92,316.67,325.49,323.52,303.90,310.01,324.73,321.72,323.86,325.04,324.17,324.71,320.52,319.66,326.73,331.42,329.06,327.29,324.78,326.41,328.61,330.90,334.42,327.31,329.38,327.64,332.80,330.36,327.61,333.08,332.62,339.04,331.54,336.08,332.39,334.09,334.10,331.80,325.60,335.31,334.70,332.62,325.00,340.43,331.87,344.44,347.67,340.86,339.15,335.26,338.49,328.86,324.25,322.55,327.62,326.95,325.58,325.03,330.76,331.63,322.11,325.48,327.90,323.56,323.18,324.14,325.51,327.95,334.44,331.55,330.48,328.92,335.38,330.95,330.00,,,,,,,,,,,,,,,,324.94,322.47,322.83,324.35,309.46,311.59,313.44,309.87,311.11,307.68,313.03,310.44,309.94,312.68,315.29,312.30,310.33,307.61,311.79,314.57,320.74,310.18,316.31,305.81,315.81,315.44,318.33,320.54,312.33,314.81,313.43,311.62,305.63,305.13,310.61,307.90,315.52,303.33,305.73,311.14,311.56,318.33,L7
1999-10-13 22:07:12+00:00,322.00,326.44,329.25,331.86,330.42,323.21,326.06,332.31,332.10,332.88,334.01,338.41,333.80,333.67,331.17,334.88,336.09,333.87,331.88,333.85,334.31,339.69,339.86,341.64,338.47,338.76,337.10,337.69,337.58,334.72,340.39,336.68,340.88,339.84,344.07,341.68,341.60,342.68,337.88,335.67,340.97,337.11,336.56,335.01,342.28,338.26,346.59,350.90,349.24,345.19,341.76,340.71,335.38,330.54,331.67,330.79,334.75,332.01,332.66,338.37,337.42,331.22,336.97,336.53,331.63,332.94,331.41,332.78,333.13,335.93,333.47,334.05,332.34,336.83,334.06,334.86,344.37,343.71,339.58,338.02,334.47,336.07,332.28,335.48,328.27,331.90,334.07,334.86,330.09,331.70,332.70,328.04,325.34,326.16,324.42,316.97,319.19,320.23,315.65,316.67,313.88,317.79,314.98,315.94,317.14,320.24,319.16,316.75,314.19,315.93,318.23,322.95,316.26,315.46,312.99,321.02,318.14,322.27,325.58,319.99,320.36,318.02,316.63,314.90,314.73,314.62,313.02,316.37,311.23,310.44,312.87,315.65,320.80,L7
2000-05-08 22:06:20+00:00,335.83,,,,,,,,,,,355.61,360.37,360.58,357.71,352.64,350.83,352.60,353.18,354.68,347.68,357.45,357.23,357.32,355.73,351.61,350.48,348.20,352.67,355.71,349.54,354.72,355.24,358.10,357.62,357.05,353.14,351.15,353.23,354.92,346.30,353.18,351.16,345.17,354.23,361.69,360.68,364.98,367.52,362.41,354.54,354.58,346.92,347.01,340.31,345.16,348.57,348.37,354.57,357.96,359.36,356.49,355.37,351.53,348.65,348.15,347.57,347.63,347.73,351.02,353.72,354.08,349.95,357.02,355.16,355.10,354.36,352.91,354.39,351.85,350.37,347.58,346.69,331.32,344.69,339.44,342.30,344.69,347.94,344.88,343.97,342.53,341.89,335.15,334.71,333.48,333.66,334.60,333.02,324.19,326.26,326.46,326.24,329.46,330.00,330.17,333.43,334.12,325.48,328.94,326.03,330.42,331.56,332.16,329.06,333.37,329.08,333.03,336.91,335.12,335.98,329.86,332.48,329.85,333.56,327.06,327.32,323.44,320.81,335.02,323.86,322.86,335.11,L7
2000-06-25 22:05:55+00:00,335.75,,,,,,,,,,,355.61,358.38,360.03,356.38,352.63,350.90,350.41,352.11,351.39,351.23,359.01,358.42,355.08,357.42,357.22,353.52,357.54,354.34,356.41,353.39,355.25,355.43,357.08,355.77,356.22,356.25,358.88,353.56,356.21,350.97,353.07,352.43,349.85,357.46,361.53,362.87,364.14,366.06,361.31,356.56,355.24,348.02,343.88,343.88,347.65,352.46,349.60,356.34,354.34,357.43,357.74,354.62,349.55,348.10,348.62,347.11,348.41,348.90,350.58,352.92,353.55,353.00,356.30,354.33,354.03,354.71,351.00,354.16,350.98,350.52,346.01,346.99,335.66,345.15,337.23,340.93,342.69,347.18,343.60,342.14,341.62,340.06,336.12,336.11,333.20,332.70,333.56,332.07,324.92,326.81,327.22,326.04,328.82,329.75,330.46,333.36,333.97,327.46,331.42,330.04,332.74,332.95,332.72,332.85,332.50,330.67,331.79,334.38,337.90,333.26,331.31,331.43,330.30,332.03,327.96,327.89,327.38,325.76,331.17,325.34,325.07,334.15,L7
2000-07-11 22:05:41+00:00,328.83,334.85,339.22,335.02,339.56,339.70,335.52,336.47,335.34,333.68,334.73,344.83,352.12,353.68,350.32,346.40,345.75,345.53,345.59,344.51,343.90,351.30,354.09,355.08,357.42,357.22,353.52,357.54,354.34,356.41,353.39,355.25,355.43,357.08,355.77,348.61,353.83,351.60,348.32,347.87,344.86,347.80,344.95,344.14,349.47,353.46,354.75,356.68,357.37,356.34,347.12,348.14,343.56,339.55,338.25,341.92,345.71,345.36,347.91,346.66,349.29,347.77,345.37,343.30,340.92,343.42,344.10,340.92,344.32,342.91,344.44,343.84,342.62,346.85,348.36,345.48,348.63,345.79,348.03,345.99,343.87,340.64,341.11,334.08,339.00,335.13,336.22,337.95,340.40,337.97,336.31,335.65,336.80,332.02,329.51,327.08,329.54,328.92,328.75,321.68,321.73,322.22,323.46,322.59,324.16,325.56,328.26,329.48,326.60,326.46,326.20,328.89,328.94,326.82,328.91,327.63,325.71,328.59,328.47,330.47,329.18,328.53,326.55,324.90,324.97,321.74,323.68,324.62,326.06,325.98,321.34,321.93,328.86,L7
2000-07-27 22:05:24+00:00,330.71,346.09,347.41,343.82,344.53,346.17,340.79,342.61,341.67,343.59,345.10,348.76,353.09,354.63,351.82,347.95,346.77,346.09,345.62,346.20,346.50,353.04,354.12,356.20,357.99,356.99,353.89,357.00,355.28,355.99,353.43,355.56,356.00,356.35,356.24,350.90,353.84,353.03,349.91,348.72,346.35,348.73,345.94,346.84,350.64,355.98,354.90,357.97,358.25,357.61,349.22,348.73,344.48,341.43,340.18,343.38,346.78,346.49,348.12,347.86,348.40,347.88,344.76,343.72,342.23,344.56,344.51,342.69,345.07,344.60,346.04,345.63,345.13,347.44,347.81,347.46,348.83,346.06,347.57,346.00,344.89,341.75,342.51,336.02,340.47,337.01,336.83,339.48,340.36,339.00,337.77,336.60,336.95,332.98,331.28,329.45,331.08,330.13,329.85,324.65,323.25,324.37,323.84,323.70,325.48,327.11,329.56,329.60,327.59,328.28,327.14,330.09,330.29,328.72,331.01,328.99,327.11,329.19,330.33,331.62,329.22,329.41,328.60,326.63,327.26,322.38,325.21,325.96,327.67,325.25,323.26,324.11,330.18,L7
2000-08-12 22:05:17+00:00,330.74,345.70,349.01,347.00,345.89,346.06,341.39,342.85,342.41,345.99,348.92,349.21,352.76,354.72,351.29,347.93,346.85,345.17,345.64,345.48,347.01,352.22,352.91,354.58,356.59,355.39,352.09,354.24,352.97,353.88,351.90,353.12,356.26,354.87,355.89,352.10,353.93,352.68,349.76,349.65,346.42,346.96,345.93,346.33,351.12,355.35,354.55,358.73,358.82,356.76,350.38,349.04,345.13,341.05,339.60,343.17,345.67,345.81,347.37,347.22,349.02,349.33,346.32,344.38,343.47,343.61,343.91,342.96,343.91,344.86,345.71,346.18,345.88,347.31,348.24,347.70,349.54,346.69,347.76,345.69,344.84,341.86,341.46,335.43,339.27,336.07,336.84,337.42,338.75,339.28,338.65,336.19,336.02,332.46,330.58,329.14,330.61,330.27,330.70,324.14,323.17,323.88,324.05,323.84,325.16,327.11,328.62,329.65,327.18,328.00,327.67,330.17,329.37,329.41,329.18,329.05,326.65,328.83,330.04,330.55,328.77,328.43,327.73,326.28,327.03,321.86,324.54,325.90,327.26,324.31,322.76,324.21,330.15,L7
2000-12-18 22:04:37+00:00,328.17,348.96,350.77,348.00,345.49,345.84,339.53,341.19,341.45,345.50,347.23,346.39,349.37,351.87,348.62,346.03,345.83,343.49,342.82,342.48,345.89,350.03,350.44,351.00,354.08,355.05,350.97,354.18,351.14,352.29,351.23,351.55,354.11,352.94,352.49,350.28,351.80,351.14,348.49,347.82,346.02,345.34,344.43,346.37,349.58,352.95,352.35,356.58,356.18,354.60,348.78,347.19,343.94,339.68,338.86,341.82,344.78,344.84,345.28,344.78,345.72,347.35,343.13,341.78,341.02,341.04,341.23,340.93,341.84,342.62,342.58,343.11,344.41,344.08,345.20,345.26,346.50,345.20,344.57,343.07,342.35,340.01,339.35,335.61,336.61,334.77,335.42,335.66,336.19,337.60,336.87,334.48,334.38,331.47,329.45,327.20,328.66,327.23,328.86,323.64,322.46,322.75,323.27,321.90,323.38,325.14,326.22,327.07,327.43,327.01,327.68,329.43,327.94,327.56,328.23,327.40,325.65,327.30,326.74,328.53,326.20,327.20,326.15,325.11,324.26,320.51,323.66,326.03,327.18,321.15,321.74,324.15,327.26,L7
2001-03-08 22:04:32+00:00,319.23,358.76,348.55,341.49,340.79,337.86,334.13,332.00,333.05,337.00,337.42,338.23,340.72,345.44,343.69,342.36,343.03,340.37,334.30,335.69,339.17,341.04,340.51,345.74,342.62,344.17,343.69,341.04,342.00,341.45,343.17,341.32,342.28,342.78,341.89,348.48,345.99,344.56,344.80,342.89,341.01,344.79,350.81,345.38,346.50,349.67,349.69,354.24,354.33,351.60,346.55,345.34,340.98,340.16,336.61,338.43,344.12,343.51,344.10,345.77,342.86,346.62,339.42,334.90,336.45,334.72,333.15,335.97,335.77,337.67,338.81,336.27,339.01,339.12,339.36,340.08,336.36,341.65,338.26,337.23,339.80,336.31,333.36,327.83,326.03,328.24,328.61,330.14,331.43,332.33,331.39,330.79,330.49,328.12,326.52,322.17,322.99,315.52,315.14,315.72,316.28,316.41,317.87,315.84,317.31,317.79,317.47,318.60,321.24,321.02,321.92,323.48,322.14,320.94,319.03,321.44,320.23,322.78,316.90,319.31,320.13,319.65,320.35,318.37,314.11,316.83,318.45,320.86,317.46,314.94,316.48,319.12,317.69,L7
2001-04-09 22:04:17+00:00,319.23,368.35,348.55,341.49,352.26,337.86,334.13,332.00,333.05,350.83,337.42,354.57,356.98,359.57,358.18,356.10,343.03,352.39,334.30,352.76,339.17,356.64,340.51,360.16,342.62,358.53,356.30,354.51,342.00,356.79,343.17,341.32,358.38,357.78,357.68,362.08,359.54,357.99,356.96,355.67,341.01,359.02,363.32,364.38,346.50,349.67,370.71,374.81,375.57,371.07,365.71,363.76,358.20,356.10,352.02,353.15,357.83,343.51,356.02,345.77,342.86,363.97,359.55,349.82,336.45,334.72,333.15,350.79,351.97,353.17,353.87,336.27,339.01,339.12,355.06,353.73,336.36,355.70,347.53,349.88,354.22,336.31,346.02,345.37,326.03,328.24,342.58,330.14,331.43,332.33,343.61,343.07,344.41,344.17,339.94,337.50,337.05,331.01,331.13,315.72,316.28,330.76,317.87,329.72,332.72,317.79,332.09,332.56,333.32,332.25,337.10,336.87,336.22,336.69,319.03,332.75,320.23,334.70,333.87,336.39,335.17,335.46,334.16,334.35,323.86,316.83,329.38,320.86,332.03,314.94,316.48,332.93,333.77,L7
