dates,nzd0419-0000,nzd0419-0001,nzd0419-0002,nzd0419-0003,nzd0419-0004,nzd0419-0005,nzd0419-0006,nzd0419-0007,nzd0419-0008,nzd0419-0009,nzd0419-0010,nzd0419-0011,nzd0419-0012,nzd0419-0013,nzd0419-0014,nzd0419-0015,nzd0419-0016,nzd0419-0017,nzd0419-0018,nzd0419-0019,nzd0419-0020,nzd0419-0021,nzd0419-0022,nzd0419-0023,nzd0419-0024,nzd0419-0025,nzd0419-0026,nzd0419-0027,nzd0419-0028,nzd0419-0029,nzd0419-0030,nzd0419-0031,nzd0419-0032,nzd0419-0033,nzd0419-0034,nzd0419-0035,nzd0419-0036,nzd0419-0037,nzd0419-0038,nzd0419-0039,nzd0419-0040,nzd0419-0041,nzd0419-0042,satname
1999-11-05 22:12:52+00:00,,340.65,337.50,371.28,387.90,402.27,402.78,373.50,366.81,435.37,365.60,349.15,341.65,434.97,339.56,339.69,335.34,323.01,320.43,322.73,329.79,347.86,351.86,331.19,446.38,439.13,436.49,435.98,434.37,445.80,439.45,427.78,425.63,402.18,359.88,,95.42,134.97,207.15,228.03,277.12,282.65,299.12,L7
1999-11-21 22:12:47+00:00,,360.76,352.56,382.26,415.69,423.17,406.77,391.85,384.35,452.75,372.89,349.45,328.63,446.51,341.48,341.60,334.69,330.72,328.61,330.24,341.82,354.73,365.20,349.91,462.24,455.25,448.79,447.74,440.85,443.72,435.54,428.73,421.59,408.01,386.69,349.03,,,202.67,263.06,283.23,296.44,314.53,L7
1999-12-07 22:12:53+00:00,,357.34,364.33,375.75,419.05,414.06,416.58,389.68,375.38,443.85,366.55,338.20,319.70,441.45,324.93,331.48,338.95,327.72,321.47,323.48,333.70,349.60,357.07,345.67,450.35,451.52,438.92,439.13,437.93,444.03,438.89,432.39,425.78,413.06,403.27,373.35,103.77,115.79,223.47,291.24,311.30,314.13,328.60,L7
2000-04-13 22:12:18+00:00,400.97,375.82,370.38,366.55,396.95,407.36,436.42,425.44,404.18,444.39,378.62,364.70,339.39,447.67,,362.12,354.74,342.95,328.92,325.67,341.38,349.97,361.96,353.93,472.40,462.66,452.43,450.86,434.63,431.35,425.28,419.43,419.10,408.14,403.19,411.98,421.29,415.61,366.60,,273.84,305.85,321.47,L7
2000-05-15 22:12:06+00:00,401.45,,,343.82,,413.96,,427.52,,418.78,,400.40,,,,,,,,,,,,,,,,,437.54,,,,,,,373.78,397.64,,,,,,322.78,L7
2000-05-31 22:11:54+00:00,,355.81,,,,405.98,,,,424.13,,359.24,,411.53,313.94,324.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-03 22:11:07+00:00,,387.40,,,,390.54,,,,450.71,380.73,376.38,373.53,454.06,367.19,367.06,361.75,356.41,345.18,,,,,,458.06,452.13,450.32,449.56,456.53,463.02,460.01,445.92,422.46,,,,,,,,,,,L7
2000-08-19 22:11:01+00:00,,370.20,,,,415.09,,,,434.14,,381.45,388.45,450.77,362.84,356.49,353.96,353.14,,,,,,,450.21,444.07,,,,,,,,,,,,,,,,,,L7
2000-11-07 22:10:17+00:00,369.09,352.83,396.83,401.22,398.00,400.44,379.90,372.87,367.55,428.31,363.46,351.68,350.07,436.36,353.64,345.67,347.44,345.47,338.47,338.39,345.18,348.01,352.18,336.12,433.24,430.84,427.50,434.23,437.08,443.42,446.35,446.47,440.59,442.28,431.70,410.04,402.91,379.73,375.73,361.88,352.70,353.16,370.64,L7
2001-01-10 22:10:27+00:00,397.29,366.66,408.29,408.85,386.59,404.05,377.67,378.82,376.78,433.37,374.89,353.84,343.72,435.06,347.20,342.96,342.64,344.42,338.27,345.10,354.29,352.75,354.57,352.49,439.90,442.88,437.52,436.83,442.27,460.09,456.05,456.68,454.91,456.29,455.07,449.23,442.07,391.07,395.29,390.28,389.41,389.47,389.58,L7
