dates,nzd0419-0000,nzd0419-0001,nzd0419-0002,nzd0419-0003,nzd0419-0004,nzd0419-0005,nzd0419-0006,nzd0419-0007,nzd0419-0008,nzd0419-0009,nzd0419-0010,nzd0419-0011,nzd0419-0012,nzd0419-0013,nzd0419-0014,nzd0419-0015,nzd0419-0016,nzd0419-0017,nzd0419-0018,nzd0419-0019,nzd0419-0020,nzd0419-0021,nzd0419-0022,nzd0419-0023,nzd0419-0024,nzd0419-0025,nzd0419-0026,nzd0419-0027,nzd0419-0028,nzd0419-0029,nzd0419-0030,nzd0419-0031,nzd0419-0032,nzd0419-0033,nzd0419-0034,nzd0419-0035,nzd0419-0036,nzd0419-0037,nzd0419-0038,nzd0419-0039,nzd0419-0040,nzd0419-0041,nzd0419-0042,satname
1999-11-05 22:12:52+00:00,,345.80,332.60,371.28,386.03,393.69,398.76,372.75,364.23,438.81,362.71,349.15,343.53,443.45,339.56,338.26,334.49,323.69,318.80,328.46,329.03,346.02,349.27,322.72,437.01,423.60,424.47,428.71,429.96,445.80,438.13,423.76,412.55,399.89,351.70,,88.40,150.42,198.57,216.01,256.27,271.95,288.42,L7
1999-11-21 22:12:47+00:00,,356.58,339.44,376.77,399.66,402.93,400.19,381.81,372.64,447.98,365.94,349.30,337.28,450.41,340.52,339.01,334.04,327.63,322.65,333.01,334.94,349.19,355.57,330.88,443.62,429.48,428.93,433.57,432.57,444.76,435.99,423.67,408.69,402.49,363.96,332.27,88.40,150.42,195.12,231.83,256.39,277.34,294.62,L7
1999-12-07 22:12:53+00:00,,358.38,346.26,376.43,405.56,404.06,404.45,384.21,372.78,447.64,365.28,345.60,331.99,449.98,335.32,336.07,335.42,327.87,321.77,331.56,334.30,348.78,355.29,333.26,443.05,432.15,428.64,433.24,433.03,444.52,436.56,425.37,410.45,405.32,374.60,346.90,92.92,140.08,201.99,248.02,268.42,286.38,302.73,L7
2000-04-13 22:12:18+00:00,401.92,362.96,352.08,373.96,403.33,404.53,412.28,394.49,380.52,446.96,368.49,350.38,333.92,449.75,335.32,342.52,340.22,331.66,323.49,330.32,336.04,349.00,356.85,338.08,450.00,439.13,434.10,437.34,433.25,441.23,433.69,423.72,412.07,405.93,381.41,346.90,201.99,232.77,242.78,248.02,268.92,290.81,306.97,L7
2000-05-15 22:12:06+00:00,404.63,368.67,358.58,367.10,409.10,407.39,416.78,407.98,385.95,442.84,370.42,363.19,330.71,451.85,333.21,343.94,342.12,334.32,325.05,330.94,338.37,349.99,359.37,343.20,454.33,444.31,437.30,440.22,434.01,439.70,432.21,423.71,411.91,407.94,391.32,351.38,302.66,273.95,257.52,264.02,273.13,297.09,312.80,L7
2000-05-31 22:11:54+00:00,404.63,366.97,364.73,362.04,407.00,403.15,424.36,413.68,388.41,435.66,371.04,365.63,330.55,440.11,319.44,338.20,346.39,335.69,324.33,327.63,337.14,348.81,358.12,345.27,456.38,448.79,439.26,441.11,433.61,437.69,431.38,423.77,415.45,409.38,398.87,360.93,302.66,273.95,290.45,280.39,281.44,304.27,316.80,L7
2000-08-03 22:11:07+00:00,404.63,374.53,369.57,355.19,396.64,400.36,435.76,426.03,403.75,436.14,380.20,375.18,356.11,440.25,340.56,350.75,358.40,349.56,337.35,326.61,341.25,349.67,361.53,352.53,466.96,460.25,453.60,451.55,441.93,447.19,442.89,433.41,423.19,407.76,401.84,360.32,405.27,418.16,365.18,,270.40,304.08,315.73,L7
2000-08-19 22:11:01+00:00,404.63,372.88,369.57,355.19,396.64,404.05,435.76,426.03,403.75,435.44,380.20,376.43,366.61,441.95,347.99,352.34,357.04,350.65,337.35,326.61,341.25,349.67,361.53,352.53,462.74,457.12,453.60,451.55,441.93,447.19,442.89,433.41,423.19,407.76,401.84,360.32,405.27,418.16,365.18,,270.40,304.08,315.73,L7
2000-11-07 22:10:17+00:00,389.30,367.41,394.97,372.52,397.29,402.30,378.38,399.66,366.57,432.37,372.32,373.83,370.31,439.58,349.40,348.15,354.55,351.54,341.95,340.56,344.89,347.31,351.20,332.91,449.02,445.41,439.85,442.46,442.43,453.22,453.29,446.50,432.53,441.41,428.60,382.70,395.33,385.58,372.48,357.33,344.81,349.11,339.17,L7
2001-01-10 22:10:27+00:00,386.77,369.63,399.49,405.04,391.12,401.93,376.27,375.37,370.55,436.87,372.33,365.84,364.07,444.66,357.72,352.94,351.38,349.91,340.25,345.33,349.26,349.23,351.75,339.00,444.69,441.39,435.57,438.47,444.24,455.51,453.82,448.73,436.18,447.85,438.26,421.44,418.09,395.07,380.13,368.55,358.00,364.62,373.41,L7
