dates,sar1304-0000,sar1304-0001,sar1304-0002,sar1304-0003,sar1304-0004,sar1304-0005,sar1304-0006,satname
1984-07-18 09:29:10+00:00,204.19,260.03,261.80,246.20,220.85,202.89,204.16,L5
1984-08-19 09:30:15+00:00,201.43,257.96,254.16,241.93,220.40,202.87,201.38,L5
1984-09-04 09:30:25+00:00,199.97,255.95,245.75,238.64,219.46,198.34,199.67,L5
1984-10-22 09:30:24+00:00,198.76,255.71,245.84,240.69,219.98,201.23,198.52,L5
1984-11-07 09:30:17+00:00,198.37,253.79,248.90,238.99,219.71,201.11,198.16,L5
1984-12-09 09:30:22+00:00,197.11,255.22,250.87,240.75,219.55,199.02,197.03,L5
1985-01-10 09:30:39+00:00,197.11,255.22,243.87,240.75,215.17,192.63,197.03,L5
1985-02-11 09:30:47+00:00,195.49,253.20,239.25,235.73,213.57,190.89,195.41,L5
1985-03-15 09:30:46+00:00,194.31,253.78,240.95,236.38,212.19,188.80,194.12,L5
1985-05-02 09:30:31+00:00,194.29,254.05,241.15,233.58,211.15,185.41,193.95,L5
1985-06-19 09:30:26+00:00,194.68,252.57,230.10,225.62,207.26,181.19,193.98,L5
1985-08-06 09:30:06+00:00,195.12,249.33,234.68,221.95,210.73,187.28,194.42,L5
1985-08-22 09:29:56+00:00,196.51,251.69,238.12,225.57,212.71,189.75,195.72,L5
1985-09-23 09:29:32+00:00,197.53,250.72,237.74,225.14,213.28,192.80,196.97,L5
1985-10-09 09:29:23+00:00,196.50,250.86,241.61,226.98,213.86,194.11,196.01,L5
1985-11-10 09:28:57+00:00,197.38,250.25,238.79,227.40,214.47,196.68,196.83,L5
1986-01-13 09:27:46+00:00,194.58,251.11,247.91,232.26,215.60,194.72,193.99,L5
1986-03-18 09:26:22+00:00,193.47,253.56,252.36,237.05,216.57,196.76,192.76,L5
1986-04-19 09:25:41+00:00,192.50,252.76,250.16,233.54,218.30,194.91,191.67,L5
1986-05-05 09:25:17+00:00,191.97,250.67,249.25,231.88,218.86,193.27,191.28,L5
1986-05-21 09:24:51+00:00,191.71,250.57,248.76,230.54,218.68,189.93,191.24,L5
1986-07-08 09:23:21+00:00,192.64,250.00,244.80,230.18,218.07,189.75,192.09,L5
1986-08-09 09:22:13+00:00,195.88,249.68,239.03,228.81,218.98,194.85,195.46,L5
1986-08-25 09:21:37+00:00,196.52,250.21,239.48,229.30,219.08,195.92,195.97,L5
1986-12-31 09:19:38+00:00,195.47,250.85,239.28,233.70,216.89,195.07,194.56,L5
1987-02-01 09:20:35+00:00,194.86,251.62,240.68,232.26,217.00,197.15,193.98,L5
