,dates,per0148-0000,per0148-0001,per0148-0002,per0148-0003,per0148-0004,per0148-0005,per0148-0006,per0148-0007,per0148-0008,per0148-0009,per0148-0010,per0148-0011,per0148-0012,per0148-0013,per0148-0014,per0148-0015,per0148-0016,per0148-0017,per0148-0018,per0148-0019,per0148-0020,per0148-0021,per0148-0022,per0148-0023,per0148-0024,per0148-0025,per0148-0026,per0148-0027,per0148-0028,per0148-0029,per0148-0030,per0148-0031,per0148-0032,per0148-0033,per0148-0034,per0148-0035,per0148-0036,per0148-0037,per0148-0038,per0148-0039,per0148-0040,per0148-0041,per0148-0042,per0148-0043,per0148-0044,per0148-0045,per0148-0046,per0148-0047,per0148-0048,per0148-0049,per0148-0050,per0148-0051,per0148-0052,per0148-0053,per0148-0054,per0148-0055,per0148-0056,per0148-0057,per0148-0058,per0148-0059,per0148-0060,per0148-0061
0,1984-12-25 14:41:08+00:00,,,,,,,,,,,,,72.07297612274607,,,92.25647955432933,93.9616501614954,,,,,,98.05522738940607,96.77133503679039,97.5952004788115,,,,,,134.99254825509735,,137.312929494233,,,,,144.63956295106055,149.2150411545365,155.11153374268642,158.0822703027374,156.9997772094702,147.09963161484512,165.11641591443413,173.33079255199317,185.16531967632915,,,,,,187.34926861770205,195.55414822596302,,,,,,,,,
1,1986-02-14 14:37:39+00:00,,,,,,,,,,,,,69.64541342892018,,,73.57235063461498,87.3614873763293,,,,,,,,,,,,,,130.78763153823158,,132.55956672706677,,,,,,,,,,,,,,,,,,169.3746568740122,169.72562390933962,170.80377020714127,162.39456954283114,169.33983541738567,,,,,163.25229831618518,,
2,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-04-19 14:36:16+00:00,,,,,,,,,,14.50368873951547,27.91596897707136,27.511720807299348,37.74767226391651,27.455014022557666,25.50179012983793,44.23659638093235,48.87154046077145,57.30057631045406,60.6601955796694,55.64831870512899,60.4212671235693,60.320708746877195,69.79638915481566,79.77163918311581,80.62804348625593,78.0836978335312,86.78356314841051,58.98916243822843,82.72868201319133,100.29780140018197,100.32843317196226,97.54259920976887,100.29427049509786,103.14369290002837,110.14398945582427,97.61905423928657,86.46006128950333,116.46502064590356,122.03199502406717,133.06466506748822,145.68665480861168,147.8048055321513,133.05213163108496,136.48694119609902,156.00939039520745,162.7562334332623,171.4777038854418,171.31510877086404,167.09713819971122,168.5340925591619,166.11693913895064,176.8130295938301,165.90012604100022,172.21140032657468,180.36283024844172,,,175.3316270395551,174.2148069930066,180.98997581168388,172.72939869220306,182.75681425818138
4,1986-05-05 14:35:53+00:00,,,,,,,,,-1.9623548830821576,15.426359547083202,20.890902724713268,31.560687433632555,39.210106437250595,47.057023322964255,47.30879794032826,56.70064639447248,60.28110764054715,68.8489961903956,70.07164158272285,61.27899629050763,74.73114865190621,56.55623657438934,77.1005632855557,76.09864551746186,81.66780289606376,81.73104504695156,83.51400098805799,87.04701509127085,89.08036049270413,104.40442417252505,103.96017085879771,99.97775244707809,101.2647493973501,109.28093828880885,107.96108251221276,120.75281268358756,121.13095506015391,125.26340164631652,129.4854462305182,133.1102849673694,142.9239265294001,142.25374852163523,154.22282295754692,155.44248747470664,161.57090081577851,165.5279437117249,179.23580771926618,168.18823695877174,162.72097150202737,163.01771049145958,171.087116991789,173.46679947655375,174.8669637656842,177.97917183924008,165.20438325052152,165.53643727588647,164.3950310699211,166.05512334322358,176.64151338730338,179.85045469012667,187.21412631125105,190.23063388965667
5,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1986-12-15 14:29:44+00:00,,,,,,,,,,,,,,,,,,,,,95.09684671535798,,91.35997952160484,90.16427930348196,89.34867311470818,112.03724039422836,,117.39452552761395,115.61842868684192,104.71187201022367,,113.4223327639867,,,,,,,,,,,,133.09249521000535,173.26572819530563,183.18776067121684,184.82992377762838,189.82581600214303,181.45241048743299,181.04346065877976,178.60559637635487,179.1177732541606,178.97103975742232,181.77808276889564,175.96804655248783,174.943331183308,182.84014483865926,191.28967841424944,,,,
11,1987-02-08 14:37:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.6345662817703,113.35753577439935,114.38026884513164,114.23305511650663,124.39491133804299,127.22281828528172,131.25759234332372,134.9836438606734,143.49092124434418,146.58505389047747,150.72818837821723,148.2736841896671,157.78729878887293,165.02374583819483,170.5437170589078,179.29699514262612,175.87208961575053,169.131809139156,172.94429875885237,170.8863336337824,169.4842251075764,172.21545768021585,169.47372722744788,176.12426768844193,172.2991763070627,167.68332935920054,171.74432804279533,179.02295027360265,181.77669773658894,187.08484900216553,186.4787809289071
12,1987-03-05 14:32:27+00:00,,,,,,,,,20.532882379182055,35.98131448451765,37.53623742195786,41.82350132922522,53.830190956361214,53.09879033823532,55.215719802677,58.57294329733779,66.62698651351408,69.03139535572484,76.14906491839456,73.49528119978011,75.01179281452029,74.84278747731997,80.99323951391952,88.68154954762451,94.14304401995483,92.29188776806153,93.48678903085923,102.20295112531038,106.72292751714733,119.93088863150315,121.75384684277905,114.32972470189037,116.018079919196,116.1525581985049,126.76537596527376,125.447318103033,129.31070001857003,132.33697105644077,132.29030322783856,134.7029100059741,140.1622658581006,141.6103610401765,150.28925463559315,161.01712937509163,165.82619002196847,170.44892950695822,178.18261900546918,179.05971334343369,175.96057180522482,170.66913653924806,165.11005202113174,168.92544316996813,169.17573305438953,167.929460648305,176.02348912927442,172.8146220244311,169.9392024379942,173.45088936524817,177.65430201812737,181.29107388096168,186.6845779796013,190.56127741450922
13,1987-04-06 14:33:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1987-05-24 14:35:00+00:00,,,,,,,,,-0.8163107915514733,13.515932320955066,18.556332816697626,27.794512257145147,33.512907015149516,41.548320140767714,39.83905381614245,45.88223642274725,44.27408091545493,56.605234922191215,54.16675824361212,55.848505340299724,54.912540091596526,51.14442466733038,62.944632940779975,67.00361226448541,68.98939813167368,62.628549718693634,74.81207623481791,71.7643272850065,78.93972345453237,98.14725103037348,103.62790966974262,97.63002307767007,103.89699618870732,103.2693896295736,102.1562082048921,113.62364885214356,107.88660383696755,115.40080727633342,114.65700087587823,127.33187900373504,132.15316442602526,136.0500255226268,139.85218462484488,151.21036333443408,155.15652099727708,165.3546142638483,176.10936479431115,173.41727172442037,169.0899703333891,169.76781274004713,168.8111313257799,170.00596954373998,177.5025235538168,174.36143258576004,179.5055934406622,170.96922002892518,172.51017294325248,178.7058483400024,185.07765357258893,188.0972291629646,186.51951921192227,188.50851276681965
