dates,satname,nzd0585-0000,nzd0585-0001,nzd0585-0002,nzd0585-0003,nzd0585-0004,nzd0585-0005,nzd0585-0006,nzd0585-0007,nzd0585-0008,nzd0585-0009,nzd0585-0010,nzd0585-0011,nzd0585-0012,nzd0585-0013,nzd0585-0014,nzd0585-0015,nzd0585-0016,nzd0585-0017,nzd0585-0018,nzd0585-0019,nzd0585-0020,nzd0585-0021,nzd0585-0022,nzd0585-0023,nzd0585-0024,nzd0585-0025,nzd0585-0026,nzd0585-0027,nzd0585-0028,nzd0585-0029,nzd0585-0030,nzd0585-0031,nzd0585-0032,nzd0585-0033,nzd0585-0034,nzd0585-0035,nzd0585-0036,nzd0585-0037
1999-11-05 22:13:40+00:00,L7,175.48,189.22,185.90,167.47,154.80,154.84,162.47,179.80,217.66,244.16,291.24,245.12,220.13,208.59,217.73,224.56,206.20,198.30,219.88,192.55,203.00,219.52,208.53,185.75,182.66,203.86,190.90,173.01,171.76,177.57,174.84,175.43,,,,,,
1999-12-07 22:13:41+00:00,L7,184.69,218.76,230.22,204.43,188.79,176.39,174.48,204.45,235.77,273.16,308.00,260.51,250.25,252.30,247.13,252.51,233.33,216.93,234.73,214.70,214.36,241.90,222.70,193.30,190.59,208.99,197.08,187.94,177.31,184.54,172.18,183.06,186.60,205.23,243.42,238.16,221.59,232.62
1999-12-30 22:19:45+00:00,L7,183.64,203.47,216.35,186.34,181.14,171.58,172.63,198.65,224.67,266.25,300.91,262.15,244.31,234.10,236.41,242.39,225.02,205.08,227.56,200.30,208.13,228.87,216.10,193.30,185.76,207.01,195.08,183.95,179.74,179.65,173.70,182.27,181.86,199.26,238.33,231.68,205.54,218.90
2000-01-24 22:13:35+00:00,L7,316.92,484.75,,439.89,213.79,369.94,,,407.77,,629.84,475.46,384.76,,382.00,355.19,333.74,310.32,301.03,289.01,289.50,277.72,261.50,236.67,224.22,242.07,232.89,233.17,225.46,212.83,249.05,,263.46,252.16,265.19,252.78,242.00,239.39
2000-04-13 22:13:06+00:00,L7,174.01,184.11,184.92,163.69,157.75,160.90,181.69,202.52,219.03,241.63,279.32,240.76,220.36,214.56,225.09,227.62,209.10,197.69,221.42,200.02,209.33,230.84,218.52,188.64,184.97,206.28,191.04,171.49,173.63,176.94,166.93,174.87,179.01,198.36,234.74,232.38,209.48,215.57
2000-04-20 22:19:15+00:00,L7,193.19,241.22,434.54,408.05,240.62,246.95,262.53,262.10,257.97,,322.86,306.69,280.95,285.38,295.46,290.43,273.05,247.90,245.94,221.06,226.55,240.51,227.89,202.92,192.04,210.85,201.73,191.36,185.07,192.73,193.04,201.38,199.88,220.16,244.90,236.78,219.90,221.07
2000-04-29 22:13:05+00:00,L7,161.02,195.54,182.05,165.73,168.29,176.94,196.81,214.63,225.52,256.48,287.44,251.54,228.48,226.78,231.48,234.96,214.50,209.80,227.70,200.60,212.55,230.55,224.53,189.89,187.00,208.45,192.43,175.84,179.99,180.37,166.94,176.48,183.56,197.48,243.41,234.24,207.96,214.30
2000-05-22 22:18:57+00:00,L7,221.97,432.34,437.48,179.34,175.88,220.00,206.37,208.75,233.90,256.61,319.26,266.27,255.72,278.24,251.84,289.09,286.75,246.45,254.85,227.07,232.04,245.48,232.24,205.69,197.41,,,187.35,189.91,188.52,193.02,,197.09,225.80,248.35,242.81,,
2000-05-31 22:12:42+00:00,L7,175.00,176.44,168.14,145.09,151.82,158.14,167.83,185.43,216.96,247.09,285.56,249.25,220.29,216.99,226.35,234.91,215.17,206.09,231.69,198.96,218.54,226.24,225.49,190.77,190.28,210.75,193.88,177.68,178.93,183.10,168.67,,190.17,201.48,246.95,238.07,211.52,
2000-06-07 22:18:48+00:00,L7,,,,,,,,,,,,,,,327.93,314.14,294.90,264.20,261.43,236.99,242.73,250.92,,206.03,,226.72,214.18,212.25,202.80,208.70,205.30,,216.04,222.89,251.95,247.45,232.00,235.53
2000-08-19 22:11:49+00:00,L7,463.47,,,,,114.97,,,443.56,,587.79,582.50,,,,,,,,,,,,,,,,224.72,,,,,,,,,,
2000-09-20 22:11:14+00:00,L7,184.93,215.69,208.88,190.75,219.59,212.34,272.33,283.25,293.81,319.95,400.44,308.43,236.09,242.29,254.92,259.05,249.08,226.75,240.07,210.37,214.23,239.36,217.67,190.35,185.24,204.47,197.64,187.73,180.68,184.71,181.41,190.22,190.29,209.32,244.80,237.44,211.50,217.04
2000-09-27 22:17:24+00:00,L7,185.88,203.64,192.18,173.85,199.76,202.96,228.50,237.24,250.16,274.53,334.33,258.51,227.16,223.58,232.91,241.99,227.58,207.62,230.17,199.79,209.65,232.00,215.34,190.45,185.00,207.36,193.57,182.76,176.00,184.33,179.96,180.92,180.43,204.47,241.84,233.39,211.74,217.83
2000-10-06 22:11:11+00:00,L7,168.12,187.55,174.63,168.19,188.35,197.57,204.76,226.56,250.18,267.21,324.85,254.34,227.85,226.91,230.25,236.97,228.87,205.91,227.66,194.36,207.35,231.43,213.53,186.67,178.94,201.34,193.71,182.41,177.00,183.24,176.29,179.68,189.35,221.01,240.84,227.05,207.23,217.91
2000-10-29 22:17:19+00:00,L7,192.57,260.44,272.99,262.91,279.12,265.10,286.17,285.30,285.96,,377.73,304.93,276.14,262.54,267.84,264.27,250.72,230.13,240.72,216.73,215.09,240.72,224.94,201.69,191.52,212.29,202.51,189.02,180.32,188.53,186.76,190.89,188.13,213.17,241.56,235.30,217.78,220.76
2001-02-11 22:11:12+00:00,L7,273.82,478.97,,397.22,,388.93,,,419.15,,587.51,458.39,258.97,281.89,302.43,326.26,325.31,306.61,298.55,281.58,275.03,268.82,248.57,212.03,211.34,225.04,223.37,215.39,207.17,203.03,225.72,240.31,235.62,238.36,248.98,241.20,226.76,230.95
2001-03-22 22:17:09+00:00,L7,182.86,200.35,213.59,199.34,192.51,180.21,181.87,199.18,219.27,253.02,289.10,247.16,225.59,217.68,225.22,238.02,216.33,205.80,224.66,201.69,204.88,227.81,215.38,191.08,183.49,201.04,189.80,175.07,173.00,182.22,171.38,184.38,180.28,206.59,237.22,235.41,205.37,218.80
