dates,nzd0438-0000,nzd0438-0001,nzd0438-0002,nzd0438-0003,nzd0438-0004,nzd0438-0005,nzd0438-0006,nzd0438-0007,nzd0438-0008,nzd0438-0009,nzd0438-0010,nzd0438-0011,nzd0438-0012,nzd0438-0013,nzd0438-0014,nzd0438-0015,nzd0438-0016,nzd0438-0017,nzd0438-0018,nzd0438-0019,nzd0438-0020,nzd0438-0021,nzd0438-0022,nzd0438-0023,nzd0438-0024,nzd0438-0025,nzd0438-0026,nzd0438-0027,nzd0438-0028,nzd0438-0029,nzd0438-0030,nzd0438-0031,nzd0438-0032,nzd0438-0033,nzd0438-0034,nzd0438-0035,nzd0438-0036,nzd0438-0037,nzd0438-0038,nzd0438-0039,nzd0438-0040,nzd0438-0041,nzd0438-0042,nzd0438-0043,nzd0438-0044,nzd0438-0045,nzd0438-0046,nzd0438-0047,nzd0438-0048,nzd0438-0049,nzd0438-0050,nzd0438-0051,nzd0438-0052,nzd0438-0053,nzd0438-0054,nzd0438-0055,nzd0438-0056,nzd0438-0057,nzd0438-0058,nzd0438-0059,nzd0438-0060,nzd0438-0061,nzd0438-0062,nzd0438-0063,nzd0438-0064,nzd0438-0065,nzd0438-0066,nzd0438-0067,nzd0438-0068,nzd0438-0069,nzd0438-0070,nzd0438-0071,nzd0438-0072,nzd0438-0073,nzd0438-0074,nzd0438-0075,nzd0438-0076,nzd0438-0077,nzd0438-0078,nzd0438-0079,nzd0438-0080,nzd0438-0081,nzd0438-0082,nzd0438-0083,nzd0438-0084,nzd0438-0085,nzd0438-0086,nzd0438-0087,nzd0438-0088,nzd0438-0089,nzd0438-0090,nzd0438-0091,nzd0438-0092,nzd0438-0093,nzd0438-0094,nzd0438-0095,nzd0438-0096,nzd0438-0097,nzd0438-0098,nzd0438-0099,nzd0438-0100,nzd0438-0101,nzd0438-0102,nzd0438-0103,nzd0438-0104,nzd0438-0105,nzd0438-0106,nzd0438-0107,nzd0438-0108,nzd0438-0109,nzd0438-0110,nzd0438-0111,nzd0438-0112,nzd0438-0113,nzd0438-0114,nzd0438-0115,nzd0438-0116,nzd0438-0117,nzd0438-0118,nzd0438-0119,nzd0438-0120,nzd0438-0121,nzd0438-0122,nzd0438-0123,nzd0438-0124,nzd0438-0125,nzd0438-0126,nzd0438-0127,nzd0438-0128,nzd0438-0129,nzd0438-0130,nzd0438-0131,nzd0438-0132,nzd0438-0133,nzd0438-0134,nzd0438-0135,nzd0438-0136,satname
1999-08-17 22:12:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.17,338.51,349.62,353.32,342.37,349.98,347.23,353.64,351.23,359.02,358.42,348.93,345.63,339.88,336.18,,L7
1999-10-27 22:19:03+00:00,362.77,357.69,,,355.24,368.67,363.19,357.98,361.73,367.86,384.37,382.11,375.66,372.09,355.86,353.86,364.36,349.44,352.77,355.45,351.11,350.91,351.43,346.68,356.28,351.99,348.38,348.17,350.55,338.92,343.97,347.39,342.35,344.35,342.79,346.41,345.74,348.79,343.13,334.40,330.05,336.86,351.75,368.51,368.82,369.24,361.41,362.27,354.84,348.42,348.69,349.93,355.89,358.09,353.50,351.86,349.70,350.14,352.55,355.81,359.79,369.15,370.13,367.80,371.90,380.32,391.35,382.15,379.36,392.14,410.28,424.95,430.60,430.54,419.61,411.65,409.67,409.83,414.05,407.91,403.28,395.46,399.45,390.82,369.53,359.10,368.69,388.94,416.68,428.18,,,171.02,366.54,362.85,357.36,351.96,345.85,344.06,343.09,355.28,356.05,359.70,373.24,375.34,380.47,380.39,377.77,367.51,370.27,372.63,374.44,368.17,378.11,377.12,381.64,380.01,381.14,369.83,350.25,359.85,363.89,363.63,356.83,359.25,342.92,358.40,358.21,357.31,368.89,369.11,366.40,363.25,354.19,341.82,351.92,359.06,L7
1999-11-05 22:12:52+00:00,333.21,345.76,336.10,338.93,344.80,344.44,354.75,356.22,354.07,364.41,371.14,,353.18,353.24,357.75,352.96,352.97,350.15,343.26,338.18,337.71,338.62,336.62,339.17,340.44,339.97,346.79,349.10,340.55,337.75,337.66,338.10,331.00,333.82,330.59,335.01,333.96,331.14,327.90,330.80,322.99,344.01,350.28,359.28,354.20,357.88,352.27,349.32,349.48,348.69,350.69,350.46,347.03,341.60,344.61,347.16,346.35,349.27,360.02,358.93,361.09,362.31,372.52,366.71,364.29,371.80,372.05,368.84,369.67,385.85,396.78,411.72,419.99,426.17,425.99,412.77,,,405.04,410.86,410.43,394.47,382.85,380.94,363.75,362.68,378.29,386.03,409.65,416.68,,188.30,173.52,,,,312.41,332.59,331.25,335.27,349.20,344.99,349.99,357.70,364.31,374.95,378.90,361.58,355.30,360.85,354.97,361.17,354.74,355.62,374.43,380.51,374.17,372.25,357.45,354.89,356.55,363.68,356.01,346.00,346.71,338.62,345.37,352.58,353.75,350.35,362.92,363.19,343.81,345.15,342.39,352.27,332.52,L7
1999-11-21 22:12:47+00:00,314.17,343.76,334.72,345.86,351.48,357.58,362.61,368.45,372.49,374.80,382.38,372.79,369.59,361.47,358.43,357.46,352.18,353.54,348.07,348.46,353.15,361.69,363.10,368.33,367.90,368.17,357.61,357.09,341.65,338.04,341.19,337.69,335.86,335.19,337.11,341.93,334.81,336.72,341.85,346.12,346.41,357.46,351.52,358.34,356.79,372.07,370.07,365.19,365.04,361.86,361.86,352.66,356.14,350.15,359.48,352.85,353.33,352.91,360.79,360.61,363.13,362.49,368.25,368.50,374.50,382.62,380.41,386.01,397.42,404.72,405.41,417.55,431.44,429.99,424.86,421.57,,,422.06,422.60,426.26,407.54,406.05,402.91,373.73,380.39,391.12,390.49,395.62,395.34,,176.41,176.83,394.16,377.09,354.92,349.33,345.30,347.30,345.36,352.57,353.97,360.92,359.69,369.74,385.85,394.85,381.73,373.58,375.16,366.68,373.80,374.05,368.27,377.44,379.59,378.58,369.54,357.73,355.86,364.18,374.54,366.47,363.92,364.05,353.20,358.44,370.06,364.73,360.68,363.25,361.15,351.00,347.77,347.60,358.60,337.35,L7
1999-11-28 22:18:56+00:00,,352.14,338.09,341.07,348.84,358.37,355.76,359.96,352.89,355.45,377.13,363.54,359.80,352.06,345.79,340.37,333.98,333.90,330.83,331.46,341.75,334.91,348.13,346.66,351.32,343.00,337.40,340.19,334.77,330.90,327.14,327.68,323.21,324.84,324.46,318.03,312.05,315.19,329.08,337.92,336.59,333.03,336.99,340.50,353.23,360.61,353.00,348.52,344.00,347.22,339.50,341.33,342.84,351.18,342.99,343.13,354.35,348.96,352.88,358.20,364.16,371.11,369.18,368.94,366.96,368.87,373.33,387.45,384.66,393.90,391.00,404.86,409.99,413.52,399.86,389.81,377.86,378.98,377.57,378.91,374.29,378.69,381.46,381.00,360.37,356.47,398.25,396.14,378.35,366.68,,,,373.17,358.85,352.31,352.15,335.22,332.62,342.91,337.71,346.11,345.94,358.37,362.59,377.57,369.06,373.85,375.54,366.87,365.53,357.72,367.35,372.76,373.72,376.78,371.21,364.98,348.47,355.04,362.24,360.25,365.08,358.75,340.70,343.98,353.70,352.40,347.37,348.91,350.62,347.57,349.18,344.05,349.73,349.83,366.11,L7
1999-12-07 22:12:53+00:00,311.56,351.59,345.54,337.67,350.46,361.34,367.72,371.91,364.89,366.62,377.51,366.95,362.28,355.67,351.16,352.62,350.51,351.76,347.10,340.96,347.24,348.08,346.39,353.39,351.96,352.06,346.19,343.80,341.12,339.66,343.87,337.80,341.11,335.64,334.87,332.83,330.54,331.66,334.59,344.22,345.14,349.39,346.74,354.90,356.04,358.62,361.65,354.09,354.65,350.17,351.34,348.76,353.02,354.00,354.58,349.16,350.75,349.81,352.85,358.21,364.29,371.21,374.15,375.53,373.71,378.14,382.36,383.67,392.49,398.94,402.77,407.32,412.98,407.74,411.56,405.03,405.06,397.61,401.28,405.18,405.44,402.57,405.71,405.09,375.75,372.13,390.50,390.26,387.73,382.50,,,,402.99,376.34,360.52,360.08,351.12,341.05,335.77,343.05,352.12,358.11,365.44,369.89,377.88,384.41,372.43,362.75,359.26,356.25,364.74,364.63,366.86,377.89,378.96,375.17,363.76,355.98,348.32,358.83,355.38,355.72,342.45,349.06,342.34,338.55,351.99,348.94,351.93,342.76,350.75,341.06,338.36,348.00,360.55,345.66,L7
1999-12-14 22:19:07+00:00,,362.51,362.88,,371.18,381.00,384.43,387.90,375.88,375.84,390.73,378.64,376.41,365.39,362.15,356.25,362.21,355.57,351.30,359.70,359.62,348.99,349.47,354.26,358.09,352.91,350.94,347.26,348.54,347.71,349.23,351.06,340.97,339.74,345.06,334.36,332.11,335.57,344.81,356.85,352.43,352.46,355.40,359.00,363.12,358.41,369.25,370.23,369.52,362.76,365.89,355.99,351.21,355.63,367.21,372.78,374.44,371.42,365.91,370.19,380.87,385.11,380.64,377.06,378.37,375.49,391.30,392.60,400.33,398.52,399.73,406.14,418.28,416.79,403.06,398.32,396.55,398.84,394.06,392.93,390.42,378.01,391.80,395.16,383.84,387.89,406.12,423.42,405.46,383.77,,,,389.19,379.40,364.35,347.67,353.95,349.85,346.93,343.96,350.55,368.00,380.57,385.97,394.07,384.02,381.70,380.21,374.40,376.51,363.35,368.12,377.75,382.84,381.77,377.33,369.52,363.53,377.76,383.80,373.91,363.75,369.16,349.57,345.91,358.81,357.58,357.57,363.00,363.04,356.43,346.54,350.31,359.14,353.94,367.22,L7
2000-04-04 22:18:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.01,357.82,359.75,363.64,360.54,359.11,355.87,358.63,357.46,362.40,363.04,359.32,356.92,362.81,358.99,362.73,363.23,367.08,366.34,367.36,364.74,365.92,374.27,374.94,382.18,384.61,395.60,403.64,406.75,405.57,400.62,,,402.07,410.19,420.25,417.75,433.13,425.10,395.25,387.29,384.48,372.95,,,,393.33,162.62,,,,,345.94,346.49,341.47,349.01,351.83,358.29,362.83,370.42,377.05,383.26,,358.09,363.14,356.39,,361.93,357.27,368.14,369.91,366.79,364.94,355.77,356.98,359.89,357.97,349.90,345.03,354.08,342.11,343.82,346.52,353.04,352.27,347.01,345.29,341.90,340.09,340.94,348.20,328.32,L7
2000-04-13 22:12:18+00:00,315.07,359.47,368.51,370.31,364.85,370.74,375.53,379.46,372.86,369.88,370.92,,370.80,368.77,369.20,369.89,373.16,366.49,369.05,373.28,372.94,359.18,351.25,365.27,371.30,365.86,375.89,370.71,362.06,357.09,347.40,344.06,335.78,336.89,342.88,338.74,339.78,344.31,339.62,345.70,348.45,353.75,356.30,361.54,363.25,362.25,368.86,369.81,370.64,367.81,360.76,355.20,355.51,364.87,376.80,374.35,378.35,373.92,366.15,366.50,365.49,370.37,377.14,381.16,380.12,380.75,372.87,376.02,385.10,381.46,390.80,398.26,403.61,412.31,415.57,400.90,395.55,399.22,410.42,429.69,432.46,426.45,426.52,425.81,408.85,394.79,401.79,361.43,,361.42,386.04,381.20,384.89,412.26,356.11,331.19,338.29,343.14,348.69,,,,,,,,,,,,,,374.95,381.37,387.67,383.12,376.02,371.27,368.18,370.63,372.37,360.03,349.26,347.16,360.80,345.80,355.42,363.09,365.43,362.23,357.17,358.32,355.01,359.06,361.21,356.23,307.93,L7
2000-05-15 22:12:06+00:00,,,,,348.14,354.28,358.92,368.36,368.19,363.74,371.66,,364.29,359.90,359.59,352.78,359.66,358.58,357.64,350.57,348.77,354.43,359.26,343.66,353.14,354.82,355.41,355.50,346.29,348.47,350.27,346.48,343.30,338.96,333.51,333.90,330.98,338.82,342.39,339.99,341.05,350.64,352.98,353.93,349.78,358.31,359.20,359.12,358.70,356.85,360.78,353.93,353.58,355.05,357.49,355.04,354.63,354.23,354.67,354.99,365.02,360.07,367.16,367.80,363.44,361.39,363.27,361.09,358.59,361.90,377.79,380.47,395.49,,,,,,,,,,,,,,,,,,,,,,333.76,331.71,322.20,337.70,344.14,343.20,344.10,,,,,,,,,,,,,,,380.17,378.15,378.95,,,,,,,,,,,,,,,,,,,,L7
