dates,satname,nzd0438-0000,nzd0438-0001,nzd0438-0002,nzd0438-0003,nzd0438-0004,nzd0438-0005,nzd0438-0006,nzd0438-0007,nzd0438-0008,nzd0438-0009,nzd0438-0010,nzd0438-0011,nzd0438-0012,nzd0438-0013,nzd0438-0014,nzd0438-0015,nzd0438-0016,nzd0438-0017,nzd0438-0018,nzd0438-0019,nzd0438-0020,nzd0438-0021,nzd0438-0022,nzd0438-0023,nzd0438-0024,nzd0438-0025,nzd0438-0026,nzd0438-0027,nzd0438-0028,nzd0438-0029,nzd0438-0030,nzd0438-0031,nzd0438-0032,nzd0438-0033,nzd0438-0034,nzd0438-0035,nzd0438-0036,nzd0438-0037,nzd0438-0038,nzd0438-0039,nzd0438-0040,nzd0438-0041,nzd0438-0042,nzd0438-0043,nzd0438-0044,nzd0438-0045,nzd0438-0046,nzd0438-0047,nzd0438-0048,nzd0438-0049,nzd0438-0050,nzd0438-0051,nzd0438-0052,nzd0438-0053,nzd0438-0054,nzd0438-0055,nzd0438-0056,nzd0438-0057,nzd0438-0058,nzd0438-0059,nzd0438-0060,nzd0438-0061,nzd0438-0062,nzd0438-0063,nzd0438-0064,nzd0438-0065,nzd0438-0066,nzd0438-0067,nzd0438-0068,nzd0438-0069,nzd0438-0070,nzd0438-0071,nzd0438-0072,nzd0438-0073,nzd0438-0074,nzd0438-0075,nzd0438-0076,nzd0438-0077,nzd0438-0078,nzd0438-0079,nzd0438-0080,nzd0438-0081,nzd0438-0082,nzd0438-0083,nzd0438-0084,nzd0438-0085,nzd0438-0086,nzd0438-0087,nzd0438-0088,nzd0438-0089,nzd0438-0090,nzd0438-0091,nzd0438-0092,nzd0438-0093,nzd0438-0094,nzd0438-0095,nzd0438-0096,nzd0438-0097,nzd0438-0098,nzd0438-0099,nzd0438-0100,nzd0438-0101,nzd0438-0102,nzd0438-0103,nzd0438-0104,nzd0438-0105,nzd0438-0106,nzd0438-0107,nzd0438-0108,nzd0438-0109,nzd0438-0110,nzd0438-0111,nzd0438-0112,nzd0438-0113,nzd0438-0114,nzd0438-0115,nzd0438-0116,nzd0438-0117,nzd0438-0118,nzd0438-0119,nzd0438-0120,nzd0438-0121,nzd0438-0122,nzd0438-0123,nzd0438-0124,nzd0438-0125,nzd0438-0126,nzd0438-0127,nzd0438-0128,nzd0438-0129,nzd0438-0130,nzd0438-0131,nzd0438-0132,nzd0438-0133,nzd0438-0134,nzd0438-0135,nzd0438-0136
1999-08-17 22:12:50+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.17,350.05,358.44,363.32,349.51,359.98,357.94,361.97,358.05,367.84,369.13,358.30,354.45,347.77,348.68,314.46
1999-10-27 22:19:03+00:00,L7,361.66,356.58,,,354.47,368.00,362.48,357.21,361.06,367.27,383.66,381.44,374.95,371.32,355.03,353.09,363.53,348.53,351.94,354.62,350.28,350.08,350.66,345.85,355.57,351.16,347.55,347.26,349.72,338.15,343.20,346.56,341.44,343.44,341.96,345.50,344.91,348.08,342.42,333.63,329.28,335.86,350.98,367.68,368.11,368.41,360.58,361.50,353.93,347.59,347.86,349.10,355.12,357.32,352.67,351.03,348.87,349.31,351.55,354.90,358.88,368.24,369.13,366.80,370.99,379.41,390.52,381.32,378.45,391.14,409.37,424.04,429.69,429.63,418.61,410.65,408.42,408.72,412.94,406.80,401.85,394.03,397.78,389.15,368.10,357.43,367.26,387.83,415.43,426.75,417.28,347.09,169.91,365.54,361.94,356.80,351.29,345.14,343.50,342.76,354.83,355.63,359.08,372.81,374.89,379.88,379.39,377.24,367.26,369.74,372.21,373.81,367.75,377.86,376.62,381.05,379.39,380.47,369.12,349.62,359.08,362.89,362.86,356.24,358.58,342.44,357.73,357.50,356.75,368.44,368.52,365.69,362.63,353.60,341.29,351.09,358.63
1999-11-05 22:12:52+00:00,L7,311.21,323.76,316.30,322.43,329.57,331.24,340.61,340.99,340.87,352.76,357.00,,339.04,338.01,341.25,337.73,336.47,332.15,326.76,321.68,321.21,322.12,321.39,322.67,326.30,323.47,330.29,331.10,324.05,322.52,322.43,321.60,313.00,315.82,314.09,317.01,317.46,317.00,313.76,315.57,307.76,324.21,335.05,342.78,340.06,341.38,335.77,334.09,331.48,332.19,334.19,333.96,331.80,326.37,328.11,330.66,329.85,332.77,340.22,340.93,343.09,344.31,352.72,346.91,346.29,353.80,355.55,352.34,351.67,366.05,378.78,393.72,401.99,408.17,406.19,392.97,,,383.04,388.86,382.14,366.18,349.85,347.94,335.46,329.68,350.00,364.03,384.90,388.39,347.14,163.55,151.52,,,,299.21,318.45,320.25,328.67,340.20,336.74,337.61,349.09,355.31,363.30,359.10,351.16,350.35,350.43,346.72,348.79,346.49,350.67,364.53,368.86,361.79,359.05,343.31,342.52,341.32,343.88,340.78,334.35,333.51,329.19,332.17,338.44,342.75,341.35,351.27,349.05,331.43,333.50,331.97,335.77,323.91
1999-11-21 22:12:47+00:00,L7,286.17,315.76,309.52,324.86,332.10,340.78,344.61,349.07,355.69,359.98,364.38,355.99,351.59,342.09,337.43,338.08,331.18,330.63,327.07,327.46,332.15,340.69,343.72,347.33,349.90,347.17,336.61,334.18,320.65,318.66,321.81,316.69,312.95,312.28,316.11,319.02,313.81,318.72,323.85,326.74,327.03,332.26,332.14,337.34,338.79,351.07,349.07,345.81,342.13,340.86,340.86,331.66,336.76,330.77,338.48,331.85,332.33,331.91,335.59,337.70,340.22,339.58,343.05,343.30,351.59,359.71,359.41,365.01,374.51,379.52,382.50,394.64,408.53,407.08,399.66,396.37,,,394.06,394.60,390.26,371.54,364.05,360.91,337.73,338.39,355.12,362.49,364.12,359.34,131.70,144.91,148.83,368.96,354.18,340.92,332.53,327.30,333.30,336.96,341.12,343.47,345.17,348.73,358.29,371.03,369.65,368.47,367.28,361.90,356.18,358.05,363.55,361.97,364.84,364.77,362.83,352.74,339.73,340.11,344.80,349.34,347.09,349.10,347.25,341.20,341.64,352.06,350.73,349.23,348.43,343.15,335.25,332.95,334.34,337.60,326.39
1999-11-28 22:18:56+00:00,L7,,372.58,356.49,356.40,362.99,370.64,368.90,374.11,365.16,366.27,390.27,375.81,372.94,366.21,361.12,354.52,349.31,350.63,346.16,346.79,357.08,350.24,362.28,361.99,364.46,358.33,352.73,356.92,350.10,345.05,341.29,343.01,339.94,341.57,339.79,334.76,327.38,328.33,342.22,352.07,350.74,351.43,351.14,355.83,366.37,375.94,368.33,362.67,360.73,362.55,354.83,356.66,356.99,365.33,358.32,358.46,369.68,364.29,371.28,374.93,380.89,387.84,387.58,387.34,383.69,385.60,388.66,402.78,401.39,412.30,407.73,421.59,426.72,430.25,418.26,408.21,400.86,399.42,398.01,399.35,400.58,404.98,412.13,411.67,386.66,387.14,424.54,416.58,401.35,392.97,522.82,515.96,429.64,391.57,375.58,362.53,364.42,348.36,342.84,349.04,346.07,353.78,357.44,366.37,370.95,388.39,387.46,383.53,380.14,376.55,373.20,369.22,375.02,377.36,382.92,387.60,382.71,377.25,361.61,366.54,376.39,378.65,379.23,369.57,352.97,352.74,365.97,365.54,357.59,357.27,361.44,360.71,360.68,354.87,359.41,365.16,374.11
1999-12-07 22:12:53+00:00,L7,292.45,332.48,328.34,323.34,337.23,349.87,355.43,358.68,353.42,356.50,365.22,355.48,349.99,342.44,336.83,339.39,336.18,336.12,332.77,326.63,332.91,333.75,333.16,339.06,339.67,337.73,331.86,328.16,326.79,326.43,330.64,323.47,325.47,320.00,320.54,317.19,316.21,319.37,322.30,330.99,331.91,332.19,333.51,340.57,343.75,344.29,347.32,340.86,339.01,335.84,337.01,334.43,339.79,340.77,340.25,334.83,336.42,335.48,335.65,342.57,348.65,355.57,356.95,358.33,358.07,362.50,368.03,369.34,376.85,381.74,387.13,391.68,397.34,392.10,394.36,387.83,383.56,378.50,382.17,386.07,380.87,378.00,377.04,376.42,351.18,343.46,365.93,371.15,366.23,357.93,328.10,417.14,422.59,385.79,360.70,350.96,348.61,338.83,331.49,330.04,335.23,344.95,347.36,357.96,362.07,367.76,367.21,363.38,358.45,350.21,349.08,353.99,357.46,362.56,369.29,368.84,364.42,352.29,343.69,337.57,345.60,338.18,342.49,332.33,337.59,334.15,327.08,339.70,339.38,344.11,332.64,338.46,330.31,328.24,338.95,346.22,338.18
1999-12-14 22:19:07+00:00,L7,380.78,378.07,376.88,,381.95,390.33,394.43,398.67,385.21,384.08,400.73,387.97,386.41,376.16,373.82,367.02,373.88,368.30,362.97,371.37,371.29,360.66,360.24,365.93,368.09,364.58,362.61,359.99,360.21,358.48,360.00,362.73,353.70,352.47,356.73,347.09,343.78,345.57,354.81,367.62,363.20,366.46,366.17,370.67,373.12,370.08,380.92,381.00,382.25,374.43,377.56,367.66,361.98,366.40,378.88,384.45,386.11,383.09,379.91,382.92,393.60,397.84,394.64,391.06,391.10,388.22,402.97,404.27,413.06,412.52,412.46,418.87,431.01,429.52,417.06,412.32,414.05,414.40,409.62,408.49,410.42,398.01,415.13,418.49,403.84,411.22,426.12,438.98,422.96,403.77,490.08,480.43,430.47,403.19,392.13,372.13,357.00,363.95,357.63,351.60,350.32,356.38,376.75,386.66,392.33,402.31,398.02,389.07,383.71,381.77,382.34,372.10,373.95,381.25,389.84,390.01,386.08,378.85,373.53,386.51,394.57,387.91,374.52,377.40,358.90,352.58,368.14,367.58,365.35,369.36,371.28,366.43,355.29,358.55,366.51,365.61,373.31
2000-04-04 22:18:36+00:00,L7,,,,,,,235.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.18,338.99,342.37,343.09,341.71,340.28,337.04,341.25,340.08,343.57,344.21,340.49,338.09,340.21,338.44,342.18,342.68,344.48,343.74,346.81,344.19,347.09,355.44,354.39,359.58,364.06,375.05,383.09,386.20,382.97,378.02,,,376.96,385.08,387.96,385.46,395.46,387.43,362.96,349.62,352.19,347.84,325.62,,,365.08,137.51,,,,,329.80,333.93,333.94,338.74,342.41,344.16,353.00,360.15,363.76,360.66,,352.44,351.25,346.97,,352.51,351.62,356.84,356.62,352.66,349.87,339.63,342.85,342.51,335.37,332.52,331.74,339.01,331.35,328.75,330.38,340.48,342.00,333.72,329.15,327.78,326.80,329.05,329.37,318.49
2000-04-13 22:12:18+00:00,L7,310.63,355.03,364.51,366.98,361.77,368.07,372.67,376.38,370.19,367.53,368.06,,367.94,365.69,365.87,366.81,369.83,362.85,365.72,369.95,369.61,355.85,348.17,361.94,368.44,362.53,372.56,367.07,358.73,354.01,344.32,340.73,332.14,333.25,339.55,335.10,336.45,341.45,336.76,342.62,345.37,349.75,353.22,358.21,360.39,358.92,365.53,366.73,367.00,364.48,357.43,351.87,352.43,361.79,373.47,371.02,375.02,370.59,362.15,362.86,361.85,366.73,373.14,377.16,376.48,377.11,369.54,372.69,381.46,377.46,387.16,394.62,399.97,408.67,411.57,396.90,390.55,394.78,405.98,425.25,426.75,420.74,419.85,419.14,403.14,388.12,396.08,356.99,339.58,355.71,380.33,376.20,380.45,408.26,352.47,328.97,335.62,340.28,346.47,,,,,,,,,,,,,,373.28,380.37,385.67,380.77,373.52,368.60,365.32,368.13,369.29,356.03,346.18,344.81,358.13,343.90,352.75,360.23,363.21,360.41,354.82,355.46,352.51,356.71,359.10,352.90,306.19
2000-05-15 22:12:06+00:00,L7,,,,,332.45,340.68,344.35,352.67,354.59,351.74,357.09,,349.72,344.21,342.59,337.09,342.66,340.03,340.64,333.57,331.77,337.43,343.57,326.66,338.57,337.82,338.41,336.95,329.29,332.78,334.58,329.48,324.75,320.41,316.51,315.35,313.98,324.25,327.82,324.30,325.36,330.24,337.29,336.93,335.21,341.31,342.20,343.43,340.15,339.85,343.78,336.93,337.89,339.36,340.49,338.04,337.63,337.23,334.27,336.44,346.47,341.52,346.76,347.40,344.89,342.84,346.27,344.09,340.04,341.50,359.24,361.92,376.94,,,,,,,,,,,,,,,,,,,,,,315.21,320.38,308.60,323.13,332.81,336.40,334.83,,,,,,,,,,,,,,,368.17,365.40,365.35,,,,245.77,,,,,,,,,,,,,,,
