dates,satname,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0032,nzd0227-0033,nzd0227-0034,nzd0227-0035,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042
1999-08-21 21:46:33+00:00,L7,382.61,380.81,370.79,375.19,380.13,395.73,389.16,387.36,391.41,394.81,391.63,385.80,377.97,371.70,366.80,368.54,370.25,356.82,351.38,353.33,348.09,350.01,344.74,344.61,355.71,355.83,,,,,,,,,,,,,,346.11,344.54,335.61,333.81
1999-09-22 21:46:36+00:00,L7,408.80,398.12,391.67,396.33,405.91,420.12,413.84,415.12,415.54,412.44,414.15,408.41,399.03,385.82,386.62,393.47,381.18,375.21,368.85,365.84,364.55,362.09,366.03,370.58,373.07,375.02,364.88,348.90,342.49,343.29,351.16,377.80,394.43,390.79,368.28,358.19,349.54,346.14,345.32,359.10,355.31,339.43,339.80
1999-09-29 21:52:52+00:00,L7,402.55,390.88,386.85,383.03,393.07,409.32,408.97,407.27,404.47,400.38,398.77,392.27,377.58,370.23,370.96,372.49,371.62,358.97,356.18,352.01,348.66,347.06,348.76,353.09,357.86,353.28,350.86,332.58,326.61,323.12,339.66,354.08,384.01,374.32,366.99,347.56,338.06,337.99,333.47,340.57,333.15,330.51,327.12
1999-10-08 21:46:42+00:00,L7,391.00,375.57,369.26,375.17,387.16,399.41,395.15,393.85,392.74,396.48,397.18,381.91,369.22,362.61,363.74,369.26,366.77,360.03,357.98,348.52,348.75,346.75,348.48,350.15,356.88,356.84,352.02,331.59,323.92,329.27,345.18,360.86,384.12,377.44,366.86,347.07,341.18,335.36,334.52,345.46,335.80,332.27,331.13
1999-10-15 21:52:49+00:00,L7,407.93,396.15,399.26,383.31,393.35,399.06,403.09,,398.46,398.18,395.21,389.30,,,,,,,,,,,,,,,,,,,338.96,346.37,240.87,364.97,363.31,341.37,328.54,323.20,326.46,337.31,331.12,322.40,316.07
1999-10-24 21:46:32+00:00,L7,408.05,391.83,380.49,384.89,402.16,412.24,409.21,412.41,409.48,408.43,406.82,400.45,389.28,385.12,385.04,388.44,378.80,372.88,367.00,365.72,363.81,364.46,367.64,369.80,370.16,370.97,363.84,351.34,342.67,346.02,360.95,368.84,392.11,388.21,368.62,355.67,347.21,344.00,346.23,359.49,352.80,339.48,341.11
2000-02-04 21:52:37+00:00,L7,401.91,388.85,378.37,380.23,390.28,398.43,400.45,400.28,398.02,397.40,396.56,392.99,374.99,365.77,368.25,370.44,365.09,358.38,354.47,350.29,349.86,349.75,354.17,359.04,359.56,357.60,354.03,336.79,326.38,332.51,354.94,366.92,336.40,358.18,352.89,343.29,340.63,335.76,336.56,346.50,338.60,334.91,336.05
2000-03-16 21:46:15+00:00,L7,408.91,393.72,390.60,391.01,403.50,416.48,412.25,415.98,411.94,408.80,407.66,397.25,387.91,380.64,385.50,385.35,375.50,370.19,366.69,358.52,358.56,359.81,364.78,369.89,368.48,365.62,362.98,354.22,342.74,346.88,358.55,386.31,379.60,363.18,360.89,352.63,346.55,342.47,344.33,359.79,351.09,345.47,349.14
2000-05-03 21:45:55+00:00,L7,408.84,392.38,382.83,385.67,394.17,405.75,405.71,406.43,399.52,397.71,399.04,395.05,382.25,375.07,373.97,377.80,373.20,358.94,360.05,354.71,351.47,353.49,357.25,359.21,364.42,,,,,,,,,,,,,,,,340.00,334.41,333.87
2000-05-26 21:51:48+00:00,L7,417.99,399.01,394.11,396.95,412.21,422.52,415.93,419.09,415.80,412.05,409.46,402.51,393.88,383.81,383.88,387.07,381.81,374.86,365.99,362.93,361.80,360.83,364.92,367.89,367.92,,,,,,,,,,,,,,,,,336.43,335.03
2000-07-06 21:45:15+00:00,L7,396.98,388.16,375.64,385.21,392.12,404.28,404.26,398.07,399.43,398.16,398.07,391.54,376.32,370.30,371.43,373.34,371.86,360.23,353.31,354.42,,560.90,586.70,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:44:45+00:00,L7,411.34,399.84,395.79,389.72,399.74,415.35,414.16,411.22,409.99,408.73,406.48,401.38,390.44,381.53,379.38,385.28,374.86,369.42,365.06,363.01,362.59,361.05,364.77,366.78,370.62,,,,,,,,,,,,,,,,,338.54,337.72
2000-08-14 21:50:56+00:00,L7,409.20,394.95,386.85,389.74,405.13,421.80,418.46,417.89,413.86,410.83,408.46,402.01,388.36,382.65,380.90,380.27,378.61,370.04,363.99,360.99,361.51,360.66,364.08,367.51,369.10,370.78,363.92,347.72,339.41,344.89,357.08,363.42,366.45,385.17,359.75,351.79,347.05,342.58,344.48,358.64,345.12,335.40,333.75
2000-11-02 21:50:13+00:00,L7,371.55,357.03,353.29,356.99,369.17,387.19,391.16,387.71,389.84,390.53,390.90,379.60,373.17,368.61,366.60,363.29,358.70,350.03,343.72,338.46,337.78,343.00,344.17,355.17,355.75,354.04,351.75,330.01,327.19,324.92,341.07,348.53,360.20,378.63,354.02,348.79,344.64,342.07,344.60,355.95,344.23,333.48,334.02
2000-12-20 21:50:16+00:00,L7,376.51,367.02,351.07,359.09,373.52,385.36,388.32,382.10,383.72,390.73,391.24,386.82,372.57,366.49,369.03,373.74,363.18,354.04,346.32,342.07,342.68,340.43,346.51,359.00,357.92,357.82,352.07,337.87,326.94,329.36,335.66,354.53,362.26,360.99,350.52,340.92,336.14,335.98,337.63,353.55,350.51,341.81,345.32
2001-01-05 21:50:16+00:00,L7,384.30,377.92,370.06,375.43,387.51,400.09,400.77,400.89,399.76,403.83,403.67,400.68,386.50,380.17,381.00,382.77,373.21,360.51,354.40,351.63,350.38,352.42,360.20,369.65,373.24,363.04,359.91,339.63,334.60,335.63,345.07,368.96,376.48,370.07,357.01,350.19,345.11,343.99,347.97,360.53,355.39,349.36,352.27
2001-01-14 21:44:09+00:00,L7,380.60,368.23,365.00,366.43,379.25,391.67,391.06,393.73,392.65,392.38,391.51,389.41,375.54,371.09,372.15,369.60,357.50,354.11,344.48,344.90,345.84,347.70,349.79,357.33,355.73,360.60,353.42,339.72,335.78,332.08,344.81,354.20,364.28,367.58,356.67,349.55,343.89,340.69,337.75,345.44,337.31,332.82,336.91
