dates,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0032,nzd0227-0033,nzd0227-0034,nzd0227-0035,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,satname
1999-08-21 21:46:33+00:00,378.44,378.31,367.09,371.19,375.96,390.97,384.40,383.01,387.06,390.05,387.63,382.10,374.52,368.67,363.68,364.19,367.31,353.88,348.05,350.63,345.15,346.31,340.57,339.85,350.95,351.07,,,,,,,,,,,,,,343.17,339.78,329.73,327.56,L7
1999-09-22 21:46:36+00:00,403.80,395.12,387.23,391.53,400.91,414.41,408.13,409.90,410.32,406.73,409.35,403.97,394.89,382.18,382.87,388.25,377.65,371.68,364.85,362.60,361.02,357.65,361.03,364.87,367.36,369.31,359.66,342.90,337.49,338.67,346.72,368.57,382.43,,,346.19,341.54,340.69,340.88,355.57,349.60,332.37,332.30,L7
1999-09-29 21:52:52+00:00,410.30,395.53,393.74,390.47,400.82,418.18,417.83,415.36,412.56,409.24,406.21,399.16,383.99,375.87,376.77,380.58,377.09,364.44,362.38,357.04,354.13,353.95,356.51,361.95,366.72,362.14,358.95,341.88,334.36,330.27,346.55,368.39,402.61,,397.99,366.16,350.46,346.44,340.36,346.04,342.01,341.45,338.75,L7
1999-10-08 21:46:42+00:00,389.08,374.42,367.56,373.33,385.24,397.22,392.96,391.85,390.74,394.29,395.34,380.21,367.63,361.22,362.30,367.26,365.42,358.68,356.45,347.28,347.40,345.05,346.56,347.96,354.69,354.65,350.02,329.29,322.00,327.50,343.48,357.32,379.52,365.94,359.19,342.47,338.11,333.27,332.82,344.11,333.61,329.56,328.25,L7
1999-10-15 21:52:49+00:00,412.10,398.65,402.96,387.31,397.52,403.82,407.85,,402.81,402.94,399.21,393.00,,,,,,,,,,,,,,,,,,,342.66,354.06,,389.97,379.98,351.37,335.21,327.75,330.16,340.25,335.88,328.28,322.32,L7
1999-10-24 21:46:32+00:00,406.80,391.08,379.38,383.69,400.91,410.81,407.78,411.11,408.18,407.00,405.62,399.34,388.25,384.21,384.10,387.14,377.92,372.00,366.00,364.91,362.93,363.35,366.39,368.37,368.73,369.54,362.54,349.84,341.42,344.87,359.84,366.53,389.11,380.71,363.62,352.67,345.21,342.64,345.12,358.61,351.37,337.72,339.24,L7
2000-02-04 21:52:37+00:00,402.24,389.05,378.67,380.55,390.61,398.81,400.83,400.63,398.37,397.78,396.88,393.29,375.27,366.01,368.50,370.79,365.33,358.62,354.74,350.51,350.10,350.05,354.50,359.42,359.94,357.98,354.38,337.19,326.71,332.82,355.24,367.54,337.20,360.18,354.22,344.09,341.16,336.12,336.86,346.74,338.98,335.38,336.55,L7
2000-03-16 21:46:15+00:00,403.24,390.32,385.56,385.57,397.83,410.00,405.77,410.07,406.03,402.32,402.22,392.21,383.22,376.52,381.25,379.44,371.50,366.19,362.16,354.84,354.56,354.77,359.11,363.41,362.00,359.14,357.07,347.42,337.07,341.65,353.51,375.85,366.00,329.18,338.22,339.03,337.48,336.29,339.29,355.79,344.61,337.47,340.64,L7
2000-05-03 21:45:55+00:00,407.26,391.43,381.42,384.15,392.59,403.94,403.90,404.78,397.87,395.90,397.52,393.64,380.94,373.92,372.78,376.15,372.08,357.82,358.78,353.68,350.35,352.08,355.67,357.40,362.61,,,,,,,,,,,,,,,,338.19,332.17,331.50,L7
2000-05-26 21:51:48+00:00,417.16,398.51,393.37,396.15,411.38,421.57,414.98,418.22,414.93,411.10,408.66,401.77,393.19,383.20,383.25,386.20,381.22,374.27,365.32,362.39,361.21,360.09,364.09,366.94,366.97,,,,,,,,,,,,,,,,,335.25,333.78,L7
2000-07-06 21:45:15+00:00,402.31,391.36,380.38,390.33,397.45,410.38,410.36,403.64,405.00,404.26,403.19,396.28,380.73,374.18,375.43,378.91,375.62,363.99,357.58,357.88,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-07 21:44:45+00:00,409.59,398.79,394.23,388.04,397.99,413.35,412.16,409.39,408.16,406.73,404.80,399.82,388.99,380.26,378.07,383.45,373.62,368.18,363.66,361.87,361.35,359.49,363.02,364.78,368.62,,,,,,,,,,,,,,,,,336.07,335.10,L7
