dates,nzd0374-0000,nzd0374-0001,nzd0374-0002,nzd0374-0003,nzd0374-0004,nzd0374-0005,nzd0374-0006,nzd0374-0007,nzd0374-0008,nzd0374-0009,nzd0374-0010,nzd0374-0011,nzd0374-0012,nzd0374-0013,nzd0374-0014,nzd0374-0015,nzd0374-0016,nzd0374-0017,nzd0374-0018,nzd0374-0019,nzd0374-0020,nzd0374-0021,nzd0374-0022,nzd0374-0023,nzd0374-0024,nzd0374-0025,nzd0374-0026,nzd0374-0027,nzd0374-0028,nzd0374-0029,nzd0374-0030,nzd0374-0031,nzd0374-0032,nzd0374-0033,nzd0374-0034,nzd0374-0035,nzd0374-0036,nzd0374-0037,satname
1999-09-04 22:00:09+00:00,349.21,347.18,341.02,321.34,304.78,291.55,303.72,330.70,321.47,312.42,312.22,319.57,319.55,324.02,326.39,336.48,340.39,339.76,338.10,334.76,336.74,336.35,338.02,343.37,358.18,364.33,374.38,376.77,368.39,363.94,363.22,360.53,361.58,354.35,358.82,353.73,358.11,347.51,L7
1999-09-20 22:00:08+00:00,334.88,334.67,328.40,300.62,282.73,272.99,284.57,316.31,310.20,296.28,299.92,299.03,301.28,305.32,304.17,313.03,314.56,317.23,312.15,319.01,318.70,320.51,326.56,327.25,334.88,340.90,352.55,363.97,355.55,339.13,339.94,342.69,340.88,336.67,341.20,337.66,344.41,339.06,L7
1999-12-09 22:00:09+00:00,336.68,343.35,336.77,319.36,300.66,289.14,300.58,327.64,324.78,310.35,307.78,308.62,309.81,313.89,316.11,326.85,321.54,326.83,324.67,322.86,324.02,325.19,328.68,336.52,344.75,352.94,357.16,361.74,350.96,346.56,339.44,332.68,331.34,334.38,331.34,330.74,340.91,334.84,L7
1999-12-25 22:00:04+00:00,337.26,340.43,337.95,320.25,297.40,289.55,301.43,335.06,321.32,305.76,310.62,316.71,312.68,323.88,321.51,329.00,328.14,325.57,322.36,323.97,323.82,324.29,330.72,335.07,341.90,345.65,352.44,356.18,342.42,337.54,340.15,337.32,333.41,330.76,336.30,333.48,347.03,343.42,L7
2000-01-26 22:00:02+00:00,349.70,358.04,356.10,346.02,310.49,292.82,306.32,347.39,329.40,320.64,315.96,326.71,324.05,331.41,332.93,333.12,333.87,332.83,329.86,332.39,332.87,333.78,338.59,339.87,344.32,350.48,352.23,355.18,348.50,347.60,348.56,349.23,342.75,344.50,341.00,342.80,356.81,352.25,L7
2000-02-11 21:59:57+00:00,348.64,355.55,351.06,338.95,317.18,304.60,315.48,343.55,336.63,323.90,331.42,330.87,322.70,333.91,331.20,342.91,343.70,341.47,335.27,333.61,332.88,333.18,340.83,349.04,358.89,362.25,360.04,361.28,354.88,345.02,340.22,337.19,335.32,336.59,340.55,339.03,348.74,346.30,L7
2000-02-27 21:59:52+00:00,350.21,351.90,348.65,330.83,319.99,306.11,320.88,346.70,339.22,322.26,322.71,329.96,329.65,332.07,338.69,339.66,338.93,337.81,333.14,323.86,322.56,324.62,329.76,340.08,346.46,350.22,353.94,358.21,348.44,346.50,341.03,340.23,338.78,332.55,336.45,339.38,347.63,346.72,L7
2000-03-14 21:59:47+00:00,336.22,335.61,335.17,316.95,295.60,289.13,302.19,326.47,320.45,310.78,314.14,323.07,323.33,318.90,318.16,319.41,317.15,317.90,315.41,315.03,320.25,312.61,318.75,323.90,328.19,334.87,337.83,335.90,325.26,319.89,323.92,323.28,317.58,318.81,326.63,327.52,334.01,325.06,L7
2000-03-30 21:59:45+00:00,353.61,353.40,342.50,315.66,306.35,296.86,312.74,336.41,330.48,317.24,321.25,333.16,334.76,332.84,337.61,335.21,338.05,334.16,335.84,335.05,338.13,337.20,335.44,333.43,341.17,353.30,361.16,372.16,368.90,371.09,371.81,364.24,354.76,353.08,350.61,348.54,361.80,356.62,L7
2000-04-15 21:59:31+00:00,350.42,345.84,348.93,319.29,308.43,296.34,312.26,328.04,321.08,322.82,327.78,325.51,325.61,326.53,335.95,335.14,333.20,335.50,331.41,331.05,324.96,329.68,338.89,348.26,353.95,358.54,363.66,365.83,363.04,365.82,358.42,354.06,354.35,350.93,351.23,348.29,339.52,346.00,L7
