dates,nzd0374-0000,nzd0374-0001,nzd0374-0002,nzd0374-0003,nzd0374-0004,nzd0374-0005,nzd0374-0006,nzd0374-0007,nzd0374-0008,nzd0374-0009,nzd0374-0010,nzd0374-0011,nzd0374-0012,nzd0374-0013,nzd0374-0014,nzd0374-0015,nzd0374-0016,nzd0374-0017,nzd0374-0018,nzd0374-0019,nzd0374-0020,nzd0374-0021,nzd0374-0022,nzd0374-0023,nzd0374-0024,nzd0374-0025,nzd0374-0026,nzd0374-0027,nzd0374-0028,nzd0374-0029,nzd0374-0030,nzd0374-0031,nzd0374-0032,nzd0374-0033,nzd0374-0034,nzd0374-0035,nzd0374-0036,nzd0374-0037,satname
1999-09-04 22:00:09+00:00,349.21,344.97,340.67,319.88,305.65,292.54,304.11,330.70,321.47,313.29,312.58,318.99,319.55,322.57,326.10,336.06,339.52,339.51,337.94,335.02,337.47,336.02,337.52,342.81,357.85,363.86,373.37,375.52,367.92,363.07,362.10,359.66,361.46,353.39,357.37,352.49,355.93,345.77,L7
1999-09-20 22:00:08+00:00,342.04,340.11,334.58,310.44,294.07,282.63,294.29,323.50,315.84,304.67,306.20,309.09,310.41,314.13,315.18,324.60,327.15,328.40,325.06,326.98,327.99,328.30,332.11,335.11,346.40,352.44,363.10,369.91,361.80,351.22,351.17,351.29,351.19,345.15,349.48,345.24,350.46,342.64,L7
1999-12-09 22:00:09+00:00,340.26,341.29,335.33,313.48,296.23,284.76,296.37,324.88,318.82,306.53,306.71,308.96,310.21,314.12,315.50,325.37,325.32,327.89,324.94,325.60,326.63,327.28,330.99,335.60,345.87,352.63,361.16,367.24,358.20,349.70,347.31,345.12,344.58,341.60,343.49,340.46,347.37,340.12,L7
1999-12-25 22:00:04+00:00,339.51,339.94,335.80,314.42,296.97,286.46,297.83,327.43,319.44,306.77,307.88,310.60,310.83,315.82,316.86,326.07,325.58,327.18,324.21,325.32,326.30,326.37,330.66,335.19,344.71,350.64,358.47,363.84,354.02,346.22,344.95,342.73,341.72,338.40,340.96,338.08,346.17,340.05,L7
2000-01-26 22:00:02+00:00,341.55,342.00,339.62,319.71,300.29,288.43,299.80,331.42,321.43,310.16,309.75,313.41,313.47,317.92,319.87,327.19,326.62,328.14,325.23,326.91,328.13,327.61,331.89,335.73,344.40,350.28,356.51,361.24,352.59,345.88,344.88,343.42,341.84,338.95,339.95,338.15,346.76,341.26,L7
2000-02-11 21:59:57+00:00,342.73,343.11,341.34,322.16,303.56,291.64,302.61,333.44,323.97,312.90,313.55,316.02,315.01,319.83,321.61,329.59,329.01,330.23,326.82,328.16,329.30,328.37,333.12,337.66,346.64,352.04,356.58,360.59,352.73,345.29,343.52,341.93,340.69,338.06,339.29,337.65,345.96,341.19,L7
2000-02-27 21:59:52+00:00,343.80,343.97,342.32,323.13,306.07,293.88,305.29,335.34,326.15,314.39,314.92,317.91,317.10,321.32,324.00,330.96,330.27,331.26,327.69,327.59,328.47,327.78,332.55,337.90,346.56,351.69,356.02,360.03,352.03,345.31,342.96,341.53,340.40,337.10,338.63,337.68,345.80,341.67,L7
2000-03-14 21:59:47+00:00,341.94,342.46,341.51,322.61,304.70,293.47,305.05,334.73,326.00,314.10,315.17,318.45,317.64,320.69,322.84,328.55,327.01,328.16,324.46,324.76,326.07,324.41,329.83,335.16,342.29,347.52,350.87,354.28,345.90,339.07,337.43,336.27,334.12,332.08,334.13,334.02,342.51,338.58,L7
2000-03-30 21:59:45+00:00,344.62,345.37,343.56,324.91,307.98,296.77,309.03,337.60,328.90,317.00,318.18,323.38,322.43,324.77,327.65,331.76,330.45,330.60,327.87,327.02,328.76,326.83,331.15,336.10,343.23,349.34,352.21,355.58,347.86,343.73,342.10,339.44,336.12,334.53,335.63,335.70,345.22,341.28,L7
2000-04-15 21:59:31+00:00,345.34,346.25,344.36,324.75,307.71,296.36,309.29,336.41,327.92,317.41,319.25,323.86,322.82,325.52,328.79,332.33,331.12,331.31,328.37,327.43,328.02,327.31,332.31,337.83,344.69,350.66,354.01,357.32,349.93,346.81,344.55,341.59,338.44,336.93,338.11,337.73,345.31,342.51,L7
2000-05-01 21:59:30+00:00,347.32,347.66,346.49,325.23,307.58,296.52,309.31,335.45,327.50,316.89,318.81,324.52,323.05,326.54,329.93,333.36,333.06,333.22,329.63,328.39,328.26,327.31,333.09,338.62,346.10,352.77,356.44,359.68,351.98,348.75,346.34,343.31,339.80,339.75,340.11,340.18,346.82,343.72,L7
2000-05-17 21:59:19+00:00,347.32,347.66,346.49,325.23,307.12,295.81,309.43,334.75,326.78,316.64,318.83,324.34,322.65,326.65,330.27,333.17,332.89,333.36,329.70,328.24,327.15,326.95,332.61,338.48,345.93,352.71,356.32,360.02,352.03,348.01,346.30,343.31,340.32,340.12,340.83,340.74,347.11,343.52,L7
2000-06-02 21:59:07+00:00,345.31,346.93,344.84,323.65,305.66,294.43,307.76,331.76,322.06,314.80,316.68,324.34,321.27,324.65,328.72,331.14,332.89,330.56,329.70,328.24,327.15,326.95,330.36,336.92,344.80,351.64,355.67,359.36,353.19,349.12,347.19,343.31,340.32,340.68,341.46,340.88,348.49,343.84,L7
2000-06-18 21:59:03+00:00,345.27,346.32,344.40,322.33,306.17,294.97,308.48,332.17,321.79,315.26,317.57,326.08,322.42,325.71,329.98,331.56,334.14,330.93,330.26,328.84,327.51,327.16,330.52,336.95,344.80,351.50,355.51,359.10,352.43,348.87,347.80,344.63,341.31,341.60,343.04,342.32,349.53,345.27,L7
2000-08-05 21:58:20+00:00,345.72,347.13,343.99,320.64,306.12,295.23,309.07,330.67,320.19,314.17,317.27,325.87,322.90,325.98,330.62,331.61,334.54,330.00,329.68,327.81,326.12,326.03,329.18,337.24,346.24,353.55,357.96,361.94,355.76,351.77,349.71,345.88,344.51,344.17,346.10,345.08,351.31,348.23,L7
2000-09-22 21:57:41+00:00,347.24,349.42,343.50,319.65,302.29,291.06,304.70,326.78,314.06,311.06,314.22,325.19,321.74,326.01,331.48,330.75,336.17,329.01,330.88,329.74,325.93,328.35,329.30,337.48,347.37,356.15,364.01,369.72,362.75,359.68,359.23,364.36,356.92,353.53,353.50,351.89,356.36,353.58,L7
2000-10-08 21:57:36+00:00,345.96,348.18,340.93,316.38,298.96,287.94,301.69,323.67,310.91,307.21,309.34,317.64,314.75,322.03,326.50,327.22,331.46,328.20,329.78,327.71,321.50,322.51,325.73,335.23,346.40,355.24,362.91,368.73,361.05,356.46,354.25,359.48,354.96,351.49,352.30,349.02,353.44,351.13,L7
2000-10-24 21:57:29+00:00,344.13,345.22,336.97,312.67,295.98,284.70,297.90,320.53,308.66,302.38,303.42,311.32,309.60,317.41,322.66,323.73,328.37,324.59,324.69,322.02,316.66,317.60,321.50,330.90,343.92,353.05,361.52,366.96,358.61,353.29,352.07,355.84,353.43,349.55,350.29,346.84,352.16,349.22,L7
2000-11-25 21:57:34+00:00,338.00,340.56,331.11,308.16,292.27,279.90,293.28,316.89,304.16,297.56,296.20,300.73,303.05,310.51,315.74,317.80,320.39,317.83,319.67,315.55,313.27,317.60,318.73,329.14,342.45,350.60,361.17,365.97,357.53,351.84,350.83,349.99,354.00,347.60,348.92,344.52,350.56,347.63,L7
2000-12-11 21:57:36+00:00,340.56,341.10,332.47,309.26,294.07,280.02,293.89,319.56,310.45,298.36,296.87,300.96,302.79,313.33,316.54,319.49,321.70,322.10,319.84,316.43,314.54,318.96,322.21,331.88,344.25,352.30,361.93,367.10,354.59,349.93,349.56,350.39,350.96,346.16,347.41,343.30,347.11,346.89,L7
2001-02-13 21:57:39+00:00,342.35,342.88,334.27,313.16,296.94,283.88,295.12,321.20,314.38,302.02,299.08,302.26,304.02,315.16,316.80,320.70,323.80,323.79,320.38,316.76,316.12,319.89,324.56,333.93,344.07,352.98,361.97,366.10,356.15,351.04,350.32,351.30,348.95,345.24,345.62,340.93,344.94,342.73,L7
2001-05-20 21:57:04+00:00,339.44,343.05,335.68,314.11,302.10,287.62,301.03,326.12,319.84,308.53,304.21,306.56,310.84,320.76,320.75,324.56,327.75,324.93,321.67,319.10,322.25,324.75,331.08,341.76,348.20,356.61,362.36,364.36,355.17,350.06,349.39,347.19,342.83,343.06,346.27,342.35,347.87,345.77,L7
2001-06-05 21:56:52+00:00,341.75,345.50,338.12,318.13,305.64,292.18,304.38,326.81,325.36,308.97,308.88,310.43,315.48,325.93,323.55,327.02,331.82,325.04,319.83,321.12,324.81,325.08,330.47,341.35,347.05,356.63,359.76,362.19,355.39,353.98,351.13,353.94,341.72,343.32,347.94,343.37,349.05,347.22,L7
2001-08-08 21:56:12+00:00,337.52,342.51,336.25,317.16,310.30,301.63,312.33,334.64,335.56,315.45,320.38,319.15,320.12,330.94,333.54,336.44,339.36,334.15,329.70,328.88,329.12,326.97,335.20,348.23,355.06,364.34,369.66,369.86,365.86,356.18,353.26,352.60,345.51,344.69,348.67,344.73,350.33,345.14,L7
2001-08-24 21:56:00+00:00,338.96,341.10,335.57,313.82,301.91,294.37,302.51,328.98,324.63,309.74,309.39,312.94,316.08,323.96,325.05,326.37,326.34,331.75,336.76,337.37,332.44,330.63,336.90,346.87,350.55,354.81,363.21,365.93,365.96,357.19,355.60,355.70,349.01,345.01,347.09,344.67,348.95,343.03,L7
2001-10-11 21:55:21+00:00,339.56,341.30,335.63,312.55,297.81,290.01,296.98,326.61,318.15,305.53,304.32,307.43,310.05,318.08,320.09,323.18,320.36,324.21,328.92,330.64,327.85,327.43,333.72,340.57,348.93,353.55,361.58,366.57,363.68,351.92,351.33,356.40,349.56,346.87,347.58,344.79,348.49,344.15,L7
2001-12-30 21:55:49+00:00,340.01,340.32,337.21,313.52,297.81,287.07,293.45,323.01,315.92,305.02,302.53,306.90,308.19,317.31,319.39,319.82,319.36,321.74,325.14,327.74,324.58,326.88,333.12,340.57,347.54,353.81,360.04,365.55,360.09,351.97,351.34,354.83,350.26,350.03,346.18,344.27,348.84,343.72,L7
2002-03-04 21:56:09+00:00,339.58,338.74,335.71,310.26,292.65,279.78,283.87,314.00,307.26,295.30,297.49,302.82,303.99,310.49,313.05,313.44,313.41,312.32,314.37,317.67,319.00,323.41,326.31,330.08,339.74,348.32,355.53,361.57,352.65,345.86,349.63,356.24,351.15,351.07,346.55,343.68,349.77,348.76,L7
2002-03-20 21:56:00+00:00,342.66,341.02,338.23,312.33,294.58,284.51,288.81,320.62,313.72,300.25,302.06,307.54,309.81,315.29,316.15,316.74,318.64,317.54,319.46,321.75,322.89,326.83,329.56,333.03,341.83,350.22,356.79,361.93,355.67,349.71,353.49,359.17,355.04,351.07,346.55,343.68,349.77,348.76,L7
2002-05-07 21:56:03+00:00,342.90,341.92,337.42,311.19,293.63,283.05,289.71,317.62,312.99,302.12,306.36,312.75,312.98,319.62,320.04,319.96,325.45,322.79,323.79,324.02,323.23,326.82,328.79,333.73,338.96,350.98,356.66,360.83,349.63,347.10,351.54,359.63,350.39,340.52,340.12,335.59,343.11,343.70,L7
2002-06-24 21:55:40+00:00,343.90,342.59,338.08,310.44,294.46,283.05,289.71,318.74,315.27,303.85,308.61,312.75,316.13,323.31,326.33,324.86,325.45,325.84,323.79,324.02,323.23,326.82,329.89,335.58,339.37,349.51,355.85,360.36,347.89,346.06,349.81,359.63,350.39,338.28,337.13,334.25,342.22,341.81,L7
2002-08-27 21:55:12+00:00,342.26,340.82,336.50,310.70,294.01,285.50,294.04,323.80,318.82,307.52,314.18,319.05,321.42,325.45,328.88,329.80,328.68,327.44,322.50,319.86,321.17,322.34,326.88,333.27,336.79,344.95,353.64,356.49,343.98,339.55,344.31,355.25,346.14,333.12,332.87,329.92,337.06,338.84,L7
2002-09-12 21:55:07+00:00,346.09,343.43,340.66,316.03,299.36,294.66,304.29,330.23,324.57,315.09,321.05,327.86,327.02,331.27,335.05,335.69,336.07,332.03,327.81,323.74,324.49,324.11,330.13,337.86,341.15,347.63,354.76,357.42,344.15,338.79,342.36,352.03,344.65,332.36,334.99,331.60,339.20,339.92,L7
2002-10-14 21:54:55+00:00,345.31,344.20,341.38,318.83,299.91,292.86,305.91,329.21,322.56,314.92,322.03,330.80,328.11,332.31,336.13,336.99,338.30,332.92,328.52,323.40,324.37,323.58,328.23,336.08,338.90,344.62,352.90,356.99,340.82,336.81,339.09,346.39,338.16,333.19,334.86,331.95,339.33,339.71,L7
2002-10-30 21:55:01+00:00,345.37,345.30,341.81,321.25,302.06,294.27,307.86,331.01,323.32,315.55,323.20,331.08,329.95,333.17,337.05,337.51,339.89,334.59,330.04,326.58,326.80,324.79,329.62,337.10,340.14,345.64,352.99,357.83,343.43,339.45,340.93,348.20,339.84,334.94,336.05,332.88,339.58,339.35,L7
2003-01-02 21:55:34+00:00,344.23,344.53,342.45,326.47,307.51,299.17,312.18,336.27,328.05,319.78,327.88,334.20,334.38,334.91,336.07,336.84,339.30,334.45,330.55,325.91,325.98,324.61,328.51,335.67,340.99,343.95,350.68,354.76,345.51,339.05,340.02,345.63,339.14,337.34,336.87,335.62,341.64,340.17,L7
2003-01-18 21:55:42+00:00,344.23,344.13,342.51,325.63,307.24,298.96,312.99,335.32,327.60,319.19,326.86,332.87,333.90,335.09,336.27,336.94,338.31,332.70,329.89,325.19,324.17,324.00,328.52,333.50,339.10,341.66,348.00,353.19,344.13,338.22,339.79,344.04,337.86,335.80,335.62,334.09,339.93,339.18,L7
2003-02-19 21:55:54+00:00,344.67,344.09,342.78,327.21,309.00,301.11,314.63,337.69,329.48,321.47,327.68,333.38,334.23,335.95,335.81,336.59,337.50,333.03,329.41,325.32,325.39,324.62,328.35,333.06,338.94,341.62,348.21,352.90,343.62,338.37,339.80,344.20,338.26,335.80,334.95,333.67,340.52,339.41,L7
2003-03-23 21:55:52+00:00,346.75,346.14,343.37,328.75,310.34,299.96,314.70,337.06,328.96,320.32,325.25,331.59,332.65,335.69,333.60,333.82,333.74,331.19,330.04,327.08,327.40,325.68,328.08,331.18,336.91,340.77,347.26,353.58,345.51,342.95,343.97,345.45,339.56,337.07,335.02,334.42,340.87,339.62,L7
2003-04-08 21:55:59+00:00,344.52,344.62,341.79,326.62,308.24,298.33,313.03,336.08,328.61,320.08,324.41,330.15,329.93,332.27,331.24,332.10,331.57,328.37,327.84,324.42,324.61,323.04,326.14,329.38,334.59,338.85,345.95,352.34,344.17,341.28,340.56,343.05,339.02,336.78,336.81,336.16,341.53,339.96,L7
2003-04-24 21:55:58+00:00,343.94,343.44,340.52,325.63,309.09,299.47,313.52,336.19,329.54,321.05,325.04,329.60,329.47,331.84,331.30,331.92,329.62,326.82,326.22,323.05,323.02,321.04,325.53,328.77,334.20,338.51,345.06,350.92,343.52,337.93,336.96,340.27,337.30,335.46,334.94,333.86,340.31,339.37,L7
2003-07-21 21:43:45+00:00,343.76,341.81,340.93,325.20,308.48,299.32,310.53,337.36,323.37,322.55,322.52,328.69,326.56,329.37,325.65,325.94,321.79,320.57,318.51,316.34,318.68,318.13,321.71,326.51,328.12,334.39,342.09,346.55,338.16,334.64,331.52,337.48,335.29,334.12,334.48,332.84,340.87,338.80,L5
2003-07-29 21:55:41+00:00,345.14,342.21,340.54,322.54,306.44,297.97,309.55,333.68,321.68,321.87,323.26,329.57,327.50,329.48,325.65,325.94,315.69,317.71,317.82,319.13,319.35,318.07,319.15,324.25,327.47,334.93,342.56,347.96,338.87,336.00,331.52,337.48,335.12,334.52,333.95,332.26,339.93,336.78,L7
2003-08-06 21:44:03+00:00,345.97,344.02,342.45,322.88,306.58,299.51,309.77,333.74,322.38,320.32,322.34,329.94,327.44,329.55,325.52,325.60,316.37,318.34,319.71,322.64,322.92,320.98,321.26,326.08,329.50,336.51,343.87,348.87,339.48,337.46,333.86,339.72,337.02,335.80,335.21,334.75,342.09,338.22,L5
2003-08-30 21:55:34+00:00,344.50,343.30,341.76,320.02,303.54,295.28,305.03,328.83,318.70,317.36,320.28,328.63,324.00,325.12,321.25,322.16,311.88,314.63,318.52,321.75,322.40,321.13,322.50,326.34,330.48,335.54,342.75,348.40,343.19,341.51,337.95,342.24,339.46,339.62,338.67,338.24,345.69,340.16,L7
2003-10-17 21:55:27+00:00,347.56,345.04,343.93,321.38,304.78,297.43,305.49,329.71,312.17,315.76,321.27,331.11,325.01,327.23,325.01,325.51,313.06,318.32,322.32,327.17,327.25,326.26,326.90,329.72,337.06,337.52,342.25,347.92,349.39,346.31,343.23,347.88,340.64,340.87,338.84,337.79,348.28,340.97,L7
2003-10-26 21:49:26+00:00,346.65,346.19,344.36,321.38,304.78,297.43,305.49,329.71,312.17,315.76,321.27,331.11,325.01,327.23,325.01,325.51,313.06,318.32,322.32,327.17,327.25,326.26,326.90,329.72,337.06,337.52,342.25,347.92,349.39,349.99,348.15,351.94,343.03,343.60,342.36,341.88,351.66,342.21,L7
2003-11-18 21:55:51+00:00,346.55,346.00,343.82,320.66,302.96,295.62,304.07,329.16,314.32,313.36,317.13,323.87,325.01,327.23,325.01,323.81,314.20,317.07,320.98,325.75,326.12,325.32,326.85,330.34,337.80,339.17,344.94,351.56,349.39,349.99,348.15,353.46,344.31,344.66,343.29,342.63,350.59,342.93,L7
2003-12-04 21:55:54+00:00,344.22,345.54,342.51,318.76,301.67,293.46,303.10,327.30,314.32,313.36,317.13,319.36,321.15,324.72,323.18,323.90,316.05,318.82,322.02,325.94,325.52,326.20,326.85,331.24,343.30,339.17,344.94,358.26,353.16,351.47,350.04,352.52,344.91,344.97,344.02,343.54,351.19,343.97,L7
2003-12-12 21:45:46+00:00,345.40,344.71,341.96,318.95,301.44,293.33,303.00,327.82,317.38,312.86,316.36,320.09,321.81,325.02,324.11,325.72,318.96,320.65,323.90,325.72,325.22,325.33,325.96,330.75,342.88,341.58,349.02,360.72,355.57,352.46,352.29,354.24,346.58,346.18,344.08,344.24,351.60,344.74,L5
2003-12-20 21:56:04+00:00,344.64,343.98,341.15,317.94,300.04,291.99,302.42,326.31,317.38,312.86,316.36,317.46,319.46,324.17,323.15,325.51,320.13,321.57,324.50,324.97,324.18,324.25,326.23,332.00,342.88,341.58,349.02,361.12,355.42,352.07,351.35,352.61,345.64,345.33,343.84,343.98,349.85,344.03,L7
2003-12-28 21:45:57+00:00,345.39,343.88,341.93,318.77,300.98,292.42,302.73,327.13,319.65,312.62,315.76,316.71,318.27,322.97,323.47,326.66,321.46,322.25,324.57,325.96,325.59,324.82,325.53,331.78,342.86,343.38,351.36,361.58,355.37,352.37,353.48,353.58,346.13,346.42,345.38,345.68,350.44,344.97,L5
2004-03-09 21:56:27+00:00,345.66,343.60,341.01,318.92,300.51,290.78,302.01,328.99,328.08,314.49,312.02,310.57,314.12,320.91,325.99,329.41,328.30,326.82,328.27,326.25,326.89,326.01,328.03,335.87,350.41,351.33,361.94,370.07,365.15,357.27,358.92,356.35,349.61,349.35,349.82,348.97,351.72,349.37,L7
2004-04-02 21:46:30+00:00,345.70,344.10,342.28,319.19,300.44,290.52,302.48,328.33,326.35,313.57,313.69,311.47,314.16,321.09,326.43,328.15,328.75,327.02,328.00,326.76,326.82,326.55,328.81,335.89,349.84,351.83,361.55,368.02,363.02,355.92,357.28,354.29,348.51,347.91,349.39,348.89,351.75,348.75,L5
2004-04-10 21:56:26+00:00,345.31,343.99,342.22,319.86,301.63,291.40,302.99,330.03,327.61,314.91,314.57,313.31,315.54,321.78,326.51,328.15,328.75,327.02,325.47,326.71,326.81,325.91,328.61,335.98,348.35,352.23,360.54,367.05,361.50,355.11,356.02,354.29,348.51,345.94,347.38,347.21,350.73,348.19,L7
2004-05-04 21:47:27+00:00,344.10,343.56,342.22,318.06,300.85,290.47,304.19,328.91,328.47,314.36,314.51,314.61,316.48,322.65,325.64,327.81,330.81,328.74,326.21,327.36,326.71,327.24,329.54,337.60,348.83,353.55,360.43,367.15,359.80,353.62,355.10,352.18,347.65,346.80,347.53,347.49,349.36,347.52,L5
2004-05-12 21:56:25+00:00,343.86,344.27,344.15,318.06,300.85,289.38,303.98,328.72,326.32,313.48,313.76,314.01,315.69,321.97,325.64,327.81,329.08,325.54,324.88,325.92,324.91,325.38,326.88,335.73,346.33,351.99,358.65,365.33,357.32,352.28,355.10,352.18,345.92,345.24,344.82,344.91,347.98,345.23,L7
2004-06-05 21:48:24+00:00,345.83,344.46,345.94,319.73,301.71,290.23,304.63,330.23,327.11,314.53,314.58,317.08,316.91,322.22,326.45,329.62,331.09,326.94,325.92,326.80,325.83,324.70,326.58,335.09,342.02,352.43,358.28,362.74,355.85,352.46,354.36,352.49,345.05,343.81,344.19,345.36,349.51,346.48,L5
2004-06-21 21:48:52+00:00,345.63,347.15,349.35,321.60,304.17,291.20,305.94,332.34,326.70,315.14,314.77,318.54,317.63,317.99,327.86,329.33,331.41,328.18,323.38,327.13,326.62,326.78,322.15,332.82,342.32,354.82,361.32,362.08,354.03,352.06,353.50,352.34,344.01,342.88,344.51,345.31,350.76,347.12,L5
2004-07-07 21:49:21+00:00,344.57,346.24,347.60,318.31,301.53,290.70,306.18,332.57,322.89,313.40,314.49,319.96,319.11,318.64,328.21,327.69,331.26,328.13,323.01,325.58,324.68,326.24,322.46,333.24,342.25,355.17,361.07,361.06,354.06,351.61,350.61,349.80,343.80,340.48,341.96,343.40,350.31,346.91,L5
2004-07-23 21:49:45+00:00,341.94,345.12,344.71,316.11,300.23,291.04,305.47,332.75,319.77,310.55,313.03,318.96,319.44,320.21,326.94,326.33,327.28,326.23,322.27,324.22,323.95,323.67,321.58,331.18,339.48,353.65,358.90,360.14,353.02,348.50,348.81,348.28,342.73,339.29,340.33,341.37,348.90,346.42,L5
