,dates,per0135-0000,per0135-0001,per0135-0002
0,1986-08-09 14:32:48+00:00,,,
1,1986-08-25 14:32:12+00:00,,,
2,1986-09-10 14:31:38+00:00,,,
3,1986-09-26 14:31:09+00:00,,,
4,1986-10-12 14:30:38+00:00,,,
5,1986-12-15 14:29:44+00:00,140.37033357704934,,
6,1987-02-01 14:31:12+00:00,,,
7,1987-02-08 14:37:40+00:00,160.89840920764226,153.1231752237777,155.75817022393113
8,1987-03-05 14:32:27+00:00,165.39631653351233,159.80798097310338,152.33282652348845
9,1987-03-28 14:39:28+00:00,,,
10,1987-04-06 14:33:36+00:00,,,
11,1988-03-07 14:40:48+00:00,107.44938928061379,136.63487278889482,135.15517045789002
12,1988-03-23 14:40:56+00:00,122.57133961858156,146.86663196481499,135.44163832723143
13,1988-05-10 14:41:17+00:00,,,
14,1988-06-11 14:41:30+00:00,,,
15,1988-06-27 14:41:35+00:00,,,
16,1988-09-15 14:41:41+00:00,,,
17,1988-10-17 14:41:30+00:00,,,
18,1988-11-02 14:41:33+00:00,159.09492186880675,147.15616045313377,116.74012287873657
19,1989-03-01 14:46:53+00:00,117.99033882093136,,
20,1989-03-10 14:40:26+00:00,129.1052065673921,139.55276892344318,133.54892450809828
21,1989-04-27 14:39:44+00:00,,,
22,1989-06-14 14:38:51+00:00,,,
23,1989-07-16 14:38:17+00:00,,,
24,1989-10-04 14:36:35+00:00,,,
25,1990-01-24 14:33:08+00:00,,,
26,1990-02-09 14:32:37+00:00,147.2426479894367,150.45725222499385,138.86437215043776
27,1990-03-13 14:31:33+00:00,,,
28,1990-03-29 14:31:02+00:00,165.46750080897328,151.0661603574078,122.1270729694721
29,1990-04-14 14:31:10+00:00,131.65816198920282,145.10358958180893,123.156009187498
30,1990-04-30 14:31:01+00:00,,,
31,1990-05-16 14:31:13+00:00,,,
32,1990-06-17 14:31:06+00:00,,,
33,1990-07-03 14:31:05+00:00,,,
34,1990-08-20 14:30:53+00:00,,,
35,1990-10-14 14:36:43+00:00,144.38194373835069,131.9092863143893,134.59343981620506
36,1991-01-18 14:37:29+00:00,,,160.32994185963577
37,1991-02-12 14:31:42+00:00,,,
38,1991-02-28 14:31:58+00:00,138.81064141977953,154.07397941131933,124.02140866149664
39,1991-04-17 14:32:53+00:00,,,
40,1991-05-03 14:33:12+00:00,,,
41,1991-05-19 14:33:26+00:00,,,
42,1991-07-06 14:34:09+00:00,,,
43,1991-08-07 14:34:28+00:00,,,
44,1991-08-30 14:40:48+00:00,,,
45,1991-09-08 14:34:47+00:00,,,
46,1991-12-13 14:35:24+00:00,135.5910849839911,140.62898911952658,107.76699761047692
47,1991-12-29 14:35:16+00:00,,,
48,1992-01-14 14:35:12+00:00,134.6851385508947,142.20448843356738,120.78314172252689
49,1992-01-30 14:35:17+00:00,,,
50,1992-02-15 14:35:04+00:00,,,
51,1992-03-02 14:35:06+00:00,137.07806451608468,146.22000871673262,124.00518116115543
52,1992-03-18 14:35:08+00:00,139.75705706513324,148.71000669286633,141.24885065964583
53,1992-05-21 14:34:33+00:00,166.40071468420308,,
54,1992-06-06 14:34:26+00:00,,,174.4360129009137
55,1992-06-22 14:34:13+00:00,,,
56,1992-07-24 14:33:49+00:00,,212.05560382452956,
57,1992-08-09 14:33:37+00:00,187.96803879720431,197.04252704600123,
58,1992-08-25 14:33:20+00:00,,,
59,1992-10-12 14:32:28+00:00,,,
60,1992-10-28 14:32:19+00:00,,,
61,1992-11-13 14:31:59+00:00,220.34869173961357,207.24994974249552,159.81190156388257
62,1992-11-29 14:32:03+00:00,,,
63,1992-12-15 14:32:14+00:00,,,
64,1992-12-31 14:32:23+00:00,,243.18269981095048,
65,1993-01-16 14:32:36+00:00,,,
66,1993-02-01 14:32:47+00:00,,,138.64248266600936
67,1993-02-08 14:39:02+00:00,,,
68,1993-02-17 14:32:54+00:00,,,135.66947014971203
69,1993-03-05 14:33:03+00:00,,,
70,1993-04-22 14:33:20+00:00,,,
71,1993-05-24 14:33:28+00:00,,,
72,1993-06-09 14:33:29+00:00,,,
73,1993-07-11 14:33:21+00:00,,,
74,1993-08-12 14:33:20+00:00,,,
75,1993-08-28 14:33:19+00:00,,,
76,1993-09-20 14:39:26+00:00,,,119.80046721471103
