,dates,per0221-0000,per0221-0001,per0221-0002,per0221-0003,per0221-0004,per0221-0005,per0221-0006,per0221-0007,per0221-0008,per0221-0009,per0221-0010,per0221-0011,per0221-0012,per0221-0013
0,1985-03-26 14:23:59+00:00,140.62446860362508,113.91062011195133,114.43234817192648,,120.5215781531599,,,,174.25320973985166,182.50698815253784,,170.7627232499797,178.75590700390887,187.82133874127294
1,1987-01-11 14:13:12+00:00,140.89227353776383,136.0890207439427,130.17170448976856,139.6580468043363,148.96683199334626,167.2619270223779,175.90895302837149,187.37688193901994,200.66849930492202,214.20781415426927,204.3329404376994,199.02765101312275,203.12124177444238,201.28880118018287
2,1987-02-28 14:14:55+00:00,,146.9850276716843,143.10233881818294,145.86602037571524,159.52390827861817,164.10142054801182,180.11439185403916,188.52217740183087,204.46918601753012,214.513389931164,212.2749646923957,207.93419226105445,211.1076920664341,198.32003200672824
3,1988-03-18 14:23:33+00:00,145.69353236599977,126.49514432378791,129.87607695337815,144.48371182347805,151.96773312469222,159.4211541505374,165.184760510772,171.0438392332789,180.5269859092849,189.60403447680017,180.74122323895838,173.18343896143003,177.86432074308803,184.8981471543249
4,1988-04-19 14:23:44+00:00,157.00763839969065,137.49941399290927,140.28827035568756,148.72357391719203,157.5270182109422,156.5621581738332,161.15875389554353,161.6516284681898,173.59876903310544,183.19009602350246,175.63853842754688,173.28406392649353,176.0858486598993,174.77740982728298
5,1988-05-05 14:23:53+00:00,166.7670604336272,141.6752691233373,138.1477192194749,151.6969731465141,168.20225224094406,171.92303996824242,174.72035992048674,175.42448808688428,190.08189049085,189.065756481126,185.75122287474977,178.8635883436558,190.82293176545687,193.76447997782986
6,1988-05-21 14:24:02+00:00,156.68109740676633,125.9327429406317,107.52681258613741,113.44642245777199,136.75972436384737,146.94977276565905,152.5367794387673,156.2531618921892,165.24658651201582,174.5035079146488,167.34481006743434,163.48401979723923,177.63976371700875,181.62644645888557
7,1988-06-22 14:24:13+00:00,160.01765055543683,146.74640178851587,138.8193631626486,153.73999371267684,165.8119772228583,163.73910175049883,165.10632696373673,169.57593529653232,174.14112681222366,179.82434683506423,177.85001155068352,170.55971286327878,184.46275028885773,188.52570240789692
8,1988-07-24 14:24:19+00:00,159.46500332751373,131.60156295843987,137.69974309638496,143.14063911401718,143.29212294481658,145.06762575253128,145.8344836073502,161.792250805014,165.61244894912934,166.81235981590146,163.59829618399607,171.54626867520346,167.80865904386246,185.08838941774252
9,1988-11-13 14:24:11+00:00,163.94941837683055,140.11612929713263,138.75625773139893,144.74651549479472,155.33721152377026,163.91584943341607,180.5072616279069,187.02380241190667,199.974329661063,206.21131523691466,193.5074086053533,185.79022860809792,195.32007211589217,192.5001258892436
