,dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055
0,1999-12-25 21:58:52+00:00,142.83991596616798,145.38049998813526,142.88111736053253,136.7609230751975,142.3117501098273,141.7704981630403,133.58502499012414,127.2994865170329,125.10481151376963,114.53927425056956,108.1168876310687,100.71623570021067,101.66234794824605,104.0759005631882,112.00948093789289,116.88502273853724,111.38857881006425,107.32427211245191,103.17893665545706,99.58503437376845,100.38686607268012,99.28115706008391,92.31948838927413,76.30614033622017,103.74116389302688,111.62160494177184,122.93916033228746,123.47355679105861,134.20600381942063,145.09984767071353,157.99858090984162,163.8857715129265,166.36259694738015,162.5344322867735,157.5379201711981,153.91142475174513,155.9086138497757,158.14379383503552,157.80039030933494,163.5616664367284,168.27210669597235,162.91803873237086,159.07555850214288,157.7083660575742,154.4881108795072,151.4992999763914,155.27868516718235,143.6679586317008,144.35897731266107,140.52881993406538,151.34314258487655,153.389073994847,150.38280522348015,159.14766210303395,161.85308783075294,168.09820151220487
1,2000-01-10 21:58:52+00:00,147.73000178835906,158.29928566407594,160.73264976738508,160.15057451195096,157.8850036246764,154.99227379479262,148.05701667814697,137.38612177020244,135.81158784916755,133.17272184389608,126.26812332733166,121.98796734725462,118.76597100182761,118.5617358416037,122.5163904927615,125.36080972053777,123.19841775295569,125.77417713817869,113.0283276226991,118.87018210045741,111.10935269628753,114.61834073556348,112.4652633001833,103.30078810376614,116.26673262111711,129.77839537566516,142.9638210407404,139.8093099324516,145.7514623030623,156.49985487760677,160.4744835072832,165.31412993178606,174.54804323250758,174.60490462548935,169.7181909285269,157.1497640839185,147.78756480288592,150.04324237836047,161.0825419849891,177.52803278940928,173.36665991144687,164.05786916774534,152.79254796558664,153.41719346797746,161.65293702141872,163.13733775192676,167.94307003381456,155.21351970857694,158.0219292891729,147.8980084726021,157.22662978771092,157.24005201003544,147.50219962956547,159.96727412988247,172.46145488715624,173.97405843309315
2,2000-03-14 21:58:35+00:00,159.28708500476475,167.40529846574424,165.7899831243097,161.02428287620606,158.07977683314652,155.1144606627121,150.20347379220422,151.15734914785915,153.6281869664398,146.9334603464748,129.81586069822447,117.71547142551856,115.2199360325634,114.894633333195,120.91107732256074,117.04411673770429,131.89319849236244,,,,,,110.7986369523481,84.45729227961485,,118.54011996712154,,94.47202771299999,133.9220706379313,142.08695457072292,156.50585568992733,172.9357419698614,177.18578526159612,,,,,,,,,,,,,,,,,,,,,,207.7776687392868,
3,2000-03-30 21:58:33+00:00,144.82305003964908,151.68605178582558,149.20186265779088,140.92234278995295,139.50936368661576,140.33416215231418,132.52837468889462,134.91410989687145,131.65862460472957,126.20617280857046,112.7134700446398,112.3043092086751,110.38608271945941,114.41148983084732,115.6463491764146,113.12544475670519,117.16339805267864,122.18082591968027,131.16218657444523,132.10936439732356,124.64542219196731,121.5927220859323,108.21376405055891,117.81163861661835,,117.50787851459035,,,,147.90391054247416,145.88706713714618,151.98444876720112,161.8051138229449,162.72478878172254,163.85792301209418,160.76354288221606,162.76765946362792,158.90997611942075,152.44813086207026,153.0566775145841,158.7377344378927,158.09249374999465,154.82717148332586,152.47669022525614,154.3891398913662,151.15576921868515,160.33968896958413,153.5574025100463,156.85385297234345,148.1275089435652,161.23046821074306,158.33419312140657,159.35310290190841,167.10688471115708,179.74435851553113,178.48211671359226
4,2000-05-17 21:58:07+00:00,,,,,133.76103279109722,,,116.81518161804799,116.6912501100953,111.19650701184962,110.25927134098139,101.92260294665452,101.41406801710797,,,92.6977355226625,,,,,,,,,,,,,,,,,154.99356443293283,,,,154.77811879998472,,,,,,,,,,,,,,,,,,,
5,2000-08-05 21:57:08+00:00,,,,135.1205087363117,130.0753858026556,125.49879092331435,117.18411867566883,109.35837747267126,104.77064866144336,94.54611389412035,95.63595832422214,101.35498118738231,102.60491791622475,100.14836164759865,100.72865197907664,93.69981807127343,93.4698490686437,103.73089591174241,111.91272847556482,122.08909057413132,108.06942167510739,94.47323889381155,,117.71558554344386,,,,,,,,,140.02889687226715,,,,145.51123827028275,,,,,,,,,,,,136.87479673277628,,,,,,,
6,2000-11-09 21:56:21+00:00,144.83042655301526,146.15225545413745,146.84627346763963,146.95101473061513,145.99652657397468,149.25401832006227,146.8063474273664,132.22923467487394,129.4640978386102,124.11114559345444,122.49657410510598,110.86966711969802,110.92605967405996,111.89335655455002,130.59879568205412,135.57956695284568,134.14636403965486,122.49448246971915,109.26311873681048,,,98.68429839391227,102.52387348892697,,120.01612939308178,129.64028233349168,150.44988067666935,153.96005840576348,143.05822923636975,139.16430244051392,148.67419650046403,,,,,,,,,,,,,,168.76104386013574,165.99235118725065,157.7726910987826,156.24605746560272,166.07874729703545,157.71651613831355,152.79329292789777,148.19177367611542,138.87434706381364,148.76409807881876,164.15950809727772,164.34286779965223
7,2001-03-17 21:56:16+00:00,,,173.03720244433575,,,156.32473270078742,,,,134.61759597798067,132.7382658206481,,,131.5100351808294,115.41725603821072,113.04821579077215,136.6535450096818,,,153.3215472585772,160.55416329140388,,126.21576687400687,154.3204078701711,,,150.0942978486937,168.53949609303714,178.09257811056622,182.27784853485124,176.69361180065948,170.80956107731984,167.57519570818866,161.67292361288077,161.5596108670372,166.55925729518822,176.19901849692567,176.4587213398702,164.24097609682912,152.64125725058767,165.70667542963196,173.86872149279947,179.09884779515377,177.10416725195563,172.71595175728638,160.672822505621,168.8231310003986,157.27780515593784,157.03997518325218,148.5566234143663,166.42129996262454,163.23557725637852,172.12803104204147,168.60828725930156,171.4428238380617,176.94720740254104
8,2001-06-05 21:55:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2001-08-24 21:54:48+00:00,,,,,,,,,87.61324963590468,,89.73354105398518,85.05578925586187,83.26327535178287,88.41098106556345,,74.76004234095613,,,,,,49.10699377435198,,,,,,,,,,,128.3426553855383,,,,,,,,,,,,,,,,,,,,,,,
