dates,nzd0401-0000,nzd0401-0001,nzd0401-0002,nzd0401-0003,nzd0401-0004,nzd0401-0005,nzd0401-0006,nzd0401-0007,nzd0401-0008,nzd0401-0009,satname
1999-09-04 22:00:33+00:00,317.64,320.11,334.33,334.58,329.59,315.95,327.94,330.34,328.71,338.68,L7
1999-10-22 22:00:28+00:00,321.18,323.63,335.47,330.20,330.55,324.97,326.63,326.98,325.04,330.34,L7
1999-12-25 22:00:28+00:00,318.61,320.27,327.48,326.80,331.40,317.89,319.28,,,,L7
2000-01-26 22:00:26+00:00,326.42,332.20,336.62,335.38,335.14,323.12,324.28,329.60,329.55,334.19,L7
2000-02-11 22:00:21+00:00,324.38,326.37,331.71,336.91,331.03,322.53,324.55,326.20,329.09,330.17,L7
2000-02-27 22:00:16+00:00,318.89,321.89,327.36,329.84,333.70,320.77,322.44,326.78,329.57,332.49,L7
2000-03-30 22:00:09+00:00,321.41,327.68,334.68,329.20,328.77,319.00,327.97,329.60,325.91,336.16,L7
2000-04-15 21:59:55+00:00,310.18,311.67,329.01,326.95,319.35,309.02,323.95,327.93,322.17,331.29,L7
2000-05-01 21:59:54+00:00,316.31,322.13,336.26,329.78,329.61,315.43,326.83,325.01,325.05,329.13,L7
2000-05-17 21:59:43+00:00,,310.53,331.90,328.40,325.74,305.53,318.81,323.19,319.81,319.12,L7
2000-06-18 21:59:27+00:00,,315.00,337.46,334.26,328.41,306.86,331.36,339.31,,327.96,L7
2000-08-05 21:58:44+00:00,324.70,328.62,333.68,337.33,324.49,317.10,335.95,343.03,330.39,332.76,L7
2000-09-06 21:58:22+00:00,318.18,327.16,337.67,335.77,321.94,318.67,331.73,332.94,330.70,337.60,L7
2000-10-08 21:58:00+00:00,326.54,322.87,338.37,333.22,334.44,319.71,330.35,331.60,327.18,333.71,L7
2000-11-25 21:57:58+00:00,315.22,311.98,325.51,321.96,328.85,318.31,316.18,317.62,316.26,325.33,L7
2001-05-20 21:57:28+00:00,315.39,315.50,334.43,327.83,326.71,306.76,320.91,324.20,319.06,324.45,L7
2001-06-05 21:57:16+00:00,,310.32,335.71,328.79,329.18,302.18,319.21,320.42,,325.18,L7
2001-07-07 21:57:00+00:00,,320.88,340.79,334.36,335.37,310.30,332.49,338.90,324.69,329.74,L7
2001-09-25 21:56:04+00:00,324.43,323.26,338.44,332.17,333.37,319.05,320.57,327.53,325.71,332.05,L7
2002-02-16 21:56:30+00:00,312.51,311.21,323.95,317.88,318.86,310.85,318.72,324.85,321.19,330.20,L7
2002-03-20 21:56:24+00:00,321.31,326.83,330.02,320.04,328.51,,332.29,330.53,331.12,322.70,L7
2002-05-07 21:56:27+00:00,312.31,320.43,334.93,332.03,330.47,317.49,333.56,341.30,333.03,332.24,L7
2002-10-14 21:55:19+00:00,328.26,325.03,332.06,334.31,333.39,325.15,331.25,333.03,330.57,334.75,L7
2002-10-30 21:55:25+00:00,331.21,327.86,336.19,333.11,329.12,323.78,333.18,334.47,330.97,337.72,L7
2003-04-08 21:56:23+00:00,317.86,322.09,325.74,325.32,316.75,312.98,321.73,321.52,319.85,322.78,L7
2003-05-10 21:56:22+00:00,318.54,321.28,335.11,330.46,330.90,315.25,329.57,330.24,325.63,332.84,L7
2003-07-21 21:44:09+00:00,313.63,315.20,324.50,325.58,315.71,309.89,321.80,318.99,320.23,328.56,L5
2003-07-29 21:56:05+00:00,308.58,315.62,327.98,324.72,303.13,304.95,322.11,322.15,322.83,326.12,L7
2003-08-30 21:55:58+00:00,314.06,324.86,329.34,328.56,317.16,309.45,327.90,331.61,,,L7
2003-10-17 21:55:51+00:00,325.66,331.52,336.24,338.31,335.83,329.41,336.65,338.60,330.55,335.66,L7
2003-11-18 21:56:15+00:00,318.35,319.25,325.76,319.52,322.11,314.77,319.62,326.80,316.99,329.77,L7
2004-01-21 21:56:38+00:00,313.01,315.46,330.81,324.14,,308.83,315.62,318.05,321.28,328.47,L7
2004-04-02 21:46:54+00:00,303.60,307.19,325.27,327.95,321.61,309.98,315.38,319.69,324.35,324.96,L5
2004-04-10 21:56:50+00:00,318.55,,334.62,338.07,323.82,321.85,334.27,334.69,327.22,337.53,L7
2004-05-04 21:47:51+00:00,307.91,316.57,329.56,327.56,321.62,306.19,316.53,318.97,324.34,324.76,L5
2004-05-20 21:48:20+00:00,304.20,307.71,325.76,326.26,316.60,300.25,308.46,312.92,318.41,319.51,L5
2004-06-05 21:48:48+00:00,306.30,323.14,340.07,334.58,321.11,309.53,323.74,322.17,323.62,330.05,L5
2004-06-21 21:49:16+00:00,316.96,313.68,341.14,336.55,358.77,,,,,,L5
2004-07-07 21:49:44+00:00,310.87,325.35,335.48,334.88,329.03,317.45,322.62,328.67,330.22,336.98,L5
2004-08-08 21:50:26+00:00,313.93,314.56,320.18,321.46,302.19,306.10,316.22,313.42,321.98,333.06,L5
2004-09-25 21:51:43+00:00,315.76,318.27,331.16,325.30,321.35,319.75,322.61,323.85,324.76,324.86,L5
2004-10-19 21:56:19+00:00,322.00,325.21,332.09,327.03,326.56,313.34,322.93,332.71,324.25,327.58,L7
2004-11-20 21:56:37+00:00,322.02,329.11,338.36,335.63,327.00,310.74,322.69,334.45,,,L7
2004-12-06 21:56:47+00:00,315.60,316.70,326.33,330.09,323.22,314.81,320.03,324.26,321.20,331.32,L7
2005-01-15 21:53:45+00:00,342.83,324.34,328.88,330.88,332.52,322.09,325.13,328.02,341.83,345.09,L5
2005-03-04 21:54:27+00:00,319.45,323.54,330.29,328.69,332.44,314.90,316.17,324.92,323.03,328.93,L5
2005-03-12 21:57:20+00:00,314.93,318.83,326.90,329.03,318.85,,,327.87,325.95,332.54,L7
2005-04-05 21:54:42+00:00,315.54,313.85,328.85,323.41,319.70,312.63,321.29,322.79,319.70,319.57,L5
2005-04-13 21:57:12+00:00,311.36,315.91,327.32,327.81,,,324.92,320.16,317.67,324.08,L7
2005-04-21 21:54:46+00:00,309.06,308.93,323.32,325.06,316.47,304.63,321.78,324.90,320.01,329.99,L5
2005-05-31 21:57:11+00:00,,310.37,329.53,330.61,336.39,305.69,326.82,333.26,,331.27,L7
