dates,satname,nzd0269-0000,nzd0269-0001,nzd0269-0002,nzd0269-0003,nzd0269-0004,nzd0269-0005,nzd0269-0006,nzd0269-0007,nzd0269-0008,nzd0269-0009,nzd0269-0010,nzd0269-0011,nzd0269-0012,nzd0269-0013,nzd0269-0014,nzd0269-0015,nzd0269-0016,nzd0269-0017,nzd0269-0018,nzd0269-0019,nzd0269-0020,nzd0269-0021,nzd0269-0022,nzd0269-0023,nzd0269-0024,nzd0269-0025,nzd0269-0026,nzd0269-0027,nzd0269-0028,nzd0269-0029,nzd0269-0030,nzd0269-0031,nzd0269-0032,nzd0269-0033,nzd0269-0034,nzd0269-0035,nzd0269-0036,nzd0269-0037,nzd0269-0038,nzd0269-0039,nzd0269-0040,nzd0269-0041,nzd0269-0042,nzd0269-0043,nzd0269-0044,nzd0269-0045,nzd0269-0046,nzd0269-0047,nzd0269-0048,nzd0269-0049,nzd0269-0050,nzd0269-0051,nzd0269-0052,nzd0269-0053,nzd0269-0054,nzd0269-0055,nzd0269-0056,nzd0269-0057,nzd0269-0058,nzd0269-0059,nzd0269-0060,nzd0269-0061,nzd0269-0062,nzd0269-0063,nzd0269-0064,nzd0269-0065,nzd0269-0066,nzd0269-0067,nzd0269-0068,nzd0269-0069,nzd0269-0070,nzd0269-0071,nzd0269-0072,nzd0269-0073,nzd0269-0074,nzd0269-0075,nzd0269-0076,nzd0269-0077,nzd0269-0078,nzd0269-0079,nzd0269-0080,nzd0269-0081,nzd0269-0082,nzd0269-0083,nzd0269-0084,nzd0269-0085,nzd0269-0086,nzd0269-0087,nzd0269-0088,nzd0269-0089,nzd0269-0090,nzd0269-0091,nzd0269-0092,nzd0269-0093,nzd0269-0094,nzd0269-0095,nzd0269-0096,nzd0269-0097,nzd0269-0098,nzd0269-0099,nzd0269-0100,nzd0269-0101,nzd0269-0102,nzd0269-0103,nzd0269-0104,nzd0269-0105,nzd0269-0106,nzd0269-0107,nzd0269-0108,nzd0269-0109,nzd0269-0110,nzd0269-0111,nzd0269-0112,nzd0269-0113,nzd0269-0114,nzd0269-0115,nzd0269-0116,nzd0269-0117,nzd0269-0118,nzd0269-0119,nzd0269-0120,nzd0269-0121,nzd0269-0122,nzd0269-0123,nzd0269-0124,nzd0269-0125,nzd0269-0126
1999-12-25 21:59:16+00:00,L7,320.55,358.90,371.78,368.75,360.82,349.44,348.90,349.34,349.59,351.30,350.91,345.74,344.74,339.97,339.94,333.36,336.47,332.07,338.86,341.55,339.59,343.37,342.40,346.15,340.34,333.69,316.49,319.18,311.72,308.74,311.45,312.47,311.34,315.10,304.36,298.34,284.46,298.51,306.46,304.66,310.09,317.62,312.04,313.27,314.36,302.36,314.12,320.36,312.12,322.85,323.80,329.46,326.87,326.56,315.49,296.51,72.68,221.66,269.93,293.14,292.12,306.89,318.66,328.10,332.39,332.91,331.83,338.50,330.27,331.42,323.59,324.16,322.65,317.22,313.69,307.85,311.54,315.50,313.04,313.39,308.16,311.27,309.55,314.23,319.36,314.67,310.64,315.49,319.69,323.06,323.74,327.99,332.80,325.68,333.31,323.93,314.43,335.32,342.23,335.56,328.58,323.43,326.58,324.72,322.22,328.90,333.14,349.06,358.30,351.87,348.14,322.12,325.77,331.97,330.51,336.47,340.61,335.42,346.11,336.73,331.68,342.39,341.21,327.12,330.82,327.80,326.61
2000-01-10 21:59:16+00:00,L7,320.54,366.62,377.02,374.28,364.62,361.50,356.30,351.27,357.50,366.62,362.43,364.39,362.58,347.16,342.37,338.25,339.01,337.55,339.93,348.68,355.27,345.19,349.92,352.04,346.65,344.00,338.50,328.33,321.60,317.93,318.54,320.50,316.01,320.39,322.76,324.22,318.79,319.52,322.00,321.79,326.25,333.29,332.88,328.58,328.19,322.31,332.09,339.23,351.08,349.50,344.74,350.32,349.11,337.16,330.58,317.36,75.80,236.85,279.92,294.89,308.00,321.10,326.70,340.40,347.89,346.32,346.65,342.39,342.30,333.59,331.75,330.32,331.08,325.71,324.58,317.09,324.96,329.31,320.12,317.32,311.17,312.54,316.00,320.84,327.02,325.01,324.58,330.34,335.65,348.34,351.18,355.65,360.09,360.08,360.01,362.41,362.07,357.15,354.91,346.72,338.19,339.64,336.36,338.12,335.21,340.03,343.66,356.05,366.21,365.25,362.22,331.60,342.08,340.93,343.97,349.04,352.00,350.42,354.52,348.26,340.25,350.24,354.73,345.24,341.62,342.07,348.28
2000-03-30 21:58:57+00:00,L7,370.18,368.94,369.50,369.86,376.44,371.66,367.09,366.80,364.23,372.13,379.37,378.31,368.05,352.94,355.08,349.51,347.47,348.51,348.14,355.44,359.19,355.95,360.48,362.06,356.32,352.46,351.57,342.76,330.16,322.13,323.97,329.89,327.15,324.30,338.39,338.72,338.54,343.82,336.79,337.49,340.10,334.17,334.10,334.86,339.73,335.65,343.45,356.06,369.00,365.79,362.68,358.78,355.23,345.12,331.40,310.01,,238.54,307.66,344.92,346.28,338.95,347.05,345.45,347.66,340.73,341.97,349.05,350.96,350.23,348.39,344.91,333.48,345.00,347.89,345.61,352.63,349.70,343.49,339.47,331.33,328.32,320.78,328.67,333.31,341.90,338.58,346.27,349.67,355.65,349.53,348.12,349.32,336.74,338.60,331.43,335.36,347.13,354.25,353.07,348.57,347.59,345.39,353.57,357.10,362.74,361.25,360.93,366.08,367.33,359.30,337.63,339.51,336.80,343.95,357.07,362.27,353.56,358.02,349.57,342.15,354.97,352.45,343.21,344.58,336.11,346.57
2000-07-04 21:58:02+00:00,L7,,,,,,354.69,350.84,349.45,359.86,363.58,352.06,334.11,324.19,332.09,254.83,335.37,334.18,336.38,338.62,,,351.08,351.38,352.59,344.64,342.21,331.44,328.45,312.53,297.41,312.10,315.94,322.97,317.91,315.72,305.04,,315.57,304.41,305.81,,,317.88,326.99,237.91,261.68,243.84,275.37,269.46,,,336.55,340.89,331.08,320.21,304.91,221.65,269.99,298.40,317.44,325.65,330.44,339.33,340.78,345.74,332.11,349.07,347.65,345.81,,,,,,,,,,,,,,,314.31,316.82,311.74,321.84,,340.53,333.06,330.46,334.29,337.74,330.21,324.74,327.33,329.36,,,,,,299.52,320.35,321.13,304.90,,,,,,,,,,,,,,83.08,102.91,339.13,335.55,,335.75,331.50,327.36
2000-08-05 21:57:32+00:00,L7,,,,,,,359.99,360.29,360.96,367.71,367.19,351.42,332.40,347.02,344.71,343.78,345.76,352.19,352.47,352.45,348.68,359.64,363.71,363.81,357.61,348.91,334.74,333.10,326.60,310.21,318.21,332.84,324.99,329.52,339.92,322.65,330.85,336.73,335.59,326.83,331.32,321.16,329.21,323.60,336.19,,,,348.03,,,,,,,,,,,,,,,,,,,,,,,348.77,331.85,338.64,329.66,326.89,332.63,337.52,334.02,337.38,340.36,343.55,339.98,336.33,340.11,331.35,337.30,329.78,338.66,353.60,358.01,347.63,354.87,344.43,345.69,347.28,356.16,324.10,344.89,350.19,342.15,329.55,337.92,335.13,331.15,314.58,,354.16,385.57,383.71,369.04,356.56,359.18,350.02,360.96,367.85,368.21,350.02,352.11,345.52,342.40,364.93,358.93,344.29,345.17,337.69,344.85
2000-11-09 21:56:45+00:00,L7,359.36,392.94,398.84,396.76,388.38,364.50,348.38,342.97,338.86,342.71,347.55,351.39,348.70,338.97,335.59,330.34,337.12,328.97,332.20,337.25,337.45,345.29,351.34,351.35,348.43,345.64,339.85,332.80,322.96,320.61,320.76,312.35,313.94,318.49,318.24,331.90,309.83,306.17,304.87,301.14,309.43,318.26,320.25,318.70,316.21,302.10,321.46,318.06,321.01,318.33,321.71,326.14,322.77,324.02,314.43,293.89,,267.31,308.14,323.58,318.20,320.44,326.95,334.53,347.59,347.79,336.33,330.67,329.98,326.45,323.85,331.87,332.66,318.53,306.26,304.32,307.08,313.66,314.53,311.96,308.89,312.28,314.30,318.39,315.39,315.38,319.14,326.17,331.46,338.08,337.64,337.87,336.46,336.52,337.62,329.21,325.50,339.86,348.98,349.67,338.97,334.64,336.27,333.86,331.84,341.70,349.94,356.14,364.98,369.47,355.24,343.32,347.58,345.02,344.53,346.70,347.07,350.26,352.02,347.44,343.76,347.94,354.33,346.31,341.93,343.77,329.99
2000-11-25 21:56:47+00:00,L7,297.55,366.12,374.13,370.27,354.54,336.16,334.57,333.56,326.36,330.45,332.91,328.95,,,,,,,,,,327.85,333.56,338.27,334.97,331.56,314.53,316.76,307.64,301.57,305.41,307.91,298.51,301.10,295.83,294.92,274.67,289.54,292.96,291.57,295.86,300.48,307.12,304.56,304.34,294.17,301.59,304.26,301.64,300.50,301.48,311.80,308.76,304.13,298.18,280.82,,,286.23,304.56,307.33,301.20,305.10,318.25,316.19,318.45,318.33,319.55,318.09,314.89,311.39,319.15,318.58,305.90,298.67,279.08,,,,,,,,,,,,,,318.00,316.96,324.32,321.00,313.01,316.21,310.02,295.60,,329.66,318.40,312.94,306.03,312.94,313.60,315.21,319.35,324.52,340.08,353.17,347.49,334.48,309.75,306.59,313.12,319.46,322.22,337.56,332.74,335.42,331.96,327.33,328.48,334.78,323.76,327.33,313.74,305.98
2001-03-17 21:56:40+00:00,L7,449.94,483.41,486.06,419.83,409.10,404.57,391.25,383.65,380.99,373.79,363.69,361.67,368.65,381.53,392.39,397.00,397.53,373.37,370.21,369.21,376.22,389.55,391.13,392.24,396.15,380.02,378.62,369.90,362.45,364.36,361.24,364.45,362.10,364.00,369.66,361.70,361.52,380.17,366.57,350.86,337.67,341.66,355.10,368.93,381.97,362.99,358.57,363.77,373.61,377.17,377.86,373.95,351.37,373.71,383.75,347.50,272.26,372.53,427.60,345.88,350.34,352.54,361.45,366.97,371.82,363.92,341.38,338.49,342.08,350.65,357.81,370.78,380.77,374.46,355.27,353.61,353.19,347.49,352.01,356.79,342.16,337.38,336.41,358.33,366.10,374.31,359.92,359.28,363.27,367.02,377.60,379.96,372.05,377.88,363.09,368.39,378.26,370.06,364.68,368.90,370.67,353.95,352.98,353.89,351.30,358.83,372.29,392.04,400.38,396.15,,354.35,352.43,345.13,358.96,374.62,370.68,372.78,385.14,370.39,357.94,399.63,371.22,354.67,357.63,350.96,357.69
2001-09-25 21:54:52+00:00,L7,366.28,384.73,408.30,418.38,427.07,435.14,431.89,427.30,426.57,435.05,433.92,409.83,395.84,380.62,386.75,379.04,372.95,370.52,377.68,368.90,376.72,387.12,394.82,395.84,396.39,387.23,382.34,378.38,371.31,363.20,364.84,369.09,365.61,367.72,361.65,362.00,348.49,394.50,378.56,355.44,355.13,350.98,353.17,361.75,363.64,372.84,380.24,379.25,380.28,397.24,393.65,394.37,407.63,409.81,407.15,407.10,396.23,283.35,342.40,382.09,369.14,377.58,379.79,383.22,376.72,371.25,373.72,357.72,371.43,370.99,368.59,371.27,363.92,350.68,350.54,352.04,339.05,349.49,355.07,356.77,360.15,350.44,342.65,343.26,362.02,370.28,367.21,374.01,376.49,372.45,379.77,367.79,368.16,380.93,397.10,394.40,396.81,385.59,375.26,369.98,368.77,370.91,374.28,370.22,361.26,361.82,382.59,400.67,416.09,416.75,,363.42,357.75,360.11,365.95,375.65,382.24,376.57,387.02,373.81,366.49,411.91,,364.54,370.18,367.23,367.64
2002-02-16 21:55:18+00:00,L7,384.25,404.23,400.89,397.33,388.48,391.33,402.93,416.56,406.36,403.93,396.43,388.73,371.41,358.09,357.68,353.90,352.44,349.89,347.14,351.38,364.25,364.94,368.82,371.71,369.33,363.61,356.25,352.31,346.84,338.65,335.21,335.03,332.68,336.48,344.70,360.05,355.24,347.26,340.88,327.18,327.56,331.92,334.46,338.91,343.58,350.62,351.93,351.89,364.37,362.21,358.62,362.13,366.12,353.60,347.64,332.71,,236.51,294.23,313.40,325.28,337.72,356.29,357.16,361.10,364.98,355.06,350.10,343.80,348.86,353.95,357.54,356.78,347.63,328.94,324.59,316.89,325.08,325.69,324.65,328.75,326.08,327.33,330.22,332.17,356.10,362.83,358.86,352.70,355.67,359.54,350.00,361.43,361.74,370.35,368.18,361.76,362.28,360.47,361.58,358.19,356.49,356.12,354.64,343.08,342.42,346.56,360.32,368.70,376.33,361.35,353.29,363.67,349.17,348.66,360.63,360.53,356.15,359.59,356.54,350.56,356.00,360.80,352.79,352.20,342.02,341.48
