dates,nzd0269-0000,nzd0269-0001,nzd0269-0002,nzd0269-0003,nzd0269-0004,nzd0269-0005,nzd0269-0006,nzd0269-0007,nzd0269-0008,nzd0269-0009,nzd0269-0010,nzd0269-0011,nzd0269-0012,nzd0269-0013,nzd0269-0014,nzd0269-0015,nzd0269-0016,nzd0269-0017,nzd0269-0018,nzd0269-0019,nzd0269-0020,nzd0269-0021,nzd0269-0022,nzd0269-0023,nzd0269-0024,nzd0269-0025,nzd0269-0026,nzd0269-0027,nzd0269-0028,nzd0269-0029,nzd0269-0030,nzd0269-0031,nzd0269-0032,nzd0269-0033,nzd0269-0034,nzd0269-0035,nzd0269-0036,nzd0269-0037,nzd0269-0038,nzd0269-0039,nzd0269-0040,nzd0269-0041,nzd0269-0042,nzd0269-0043,nzd0269-0044,nzd0269-0045,nzd0269-0046,nzd0269-0047,nzd0269-0048,nzd0269-0049,nzd0269-0050,nzd0269-0051,nzd0269-0052,nzd0269-0053,nzd0269-0054,nzd0269-0055,nzd0269-0056,nzd0269-0057,nzd0269-0058,nzd0269-0059,nzd0269-0060,nzd0269-0061,nzd0269-0062,nzd0269-0063,nzd0269-0064,nzd0269-0065,nzd0269-0066,nzd0269-0067,nzd0269-0068,nzd0269-0069,nzd0269-0070,nzd0269-0071,nzd0269-0072,nzd0269-0073,nzd0269-0074,nzd0269-0075,nzd0269-0076,nzd0269-0077,nzd0269-0078,nzd0269-0079,nzd0269-0080,nzd0269-0081,nzd0269-0082,nzd0269-0083,nzd0269-0084,nzd0269-0085,nzd0269-0086,nzd0269-0087,nzd0269-0088,nzd0269-0089,nzd0269-0090,nzd0269-0091,nzd0269-0092,nzd0269-0093,nzd0269-0094,nzd0269-0095,nzd0269-0096,nzd0269-0097,nzd0269-0098,nzd0269-0099,nzd0269-0100,nzd0269-0101,nzd0269-0102,nzd0269-0103,nzd0269-0104,nzd0269-0105,nzd0269-0106,nzd0269-0107,nzd0269-0108,nzd0269-0109,nzd0269-0110,nzd0269-0111,nzd0269-0112,nzd0269-0113,nzd0269-0114,nzd0269-0115,nzd0269-0116,nzd0269-0117,nzd0269-0118,nzd0269-0119,nzd0269-0120,nzd0269-0121,nzd0269-0122,nzd0269-0123,nzd0269-0124,nzd0269-0125,nzd0269-0126
1999-12-25 21:59:16+00:00,,157.56384504167767,182.10698717163996,175.90873713988967,169.00498728461193,160.03634003385497,160.82744715621078,159.99583452592336,161.95417562250339,164.10449583696223,164.72255045630405,160.7449564489412,161.25776380165158,153.24642781404674,151.02113883628454,145.31220561288708,148.33864029759536,144.6651181807955,151.1938639255033,154.98006596212997,146.09795216858953,150.8972204413496,151.15982042664575,156.76082873628678,150.22017851199658,141.8090918307915,123.23884230947151,126.4652089520946,122.23961188239636,119.97622786968769,121.34205514818649,118.57556728280795,118.98651979374674,124.84822443263153,119.50638708755838,113.2574412003094,90.94598093777671,106.49853565088368,115.19511037666133,114.68194028227748,119.38997444423288,128.63006792958237,119.81723754179089,122.54086168217364,125.59639615860941,116.21218322798434,122.22887662010082,126.03258994729995,119.57135246043264,131.89382675609275,135.40594550299335,146.31790047154914,139.47691690916884,141.1716765069799,134.00316805209513,,,,74.80779596536964,101.89534862162708,99.5665497019556,115.0130039508418,128.70331811372176,135.30376708279874,141.39429833258683,140.70857721951955,141.7239399119202,146.70415538198677,139.19577788549756,141.3153678759631,129.99051442882785,133.9946820402673,128.96945886388346,126.1488834387046,123.79755559224417,119.403768227172,121.94102387326225,127.06894059413919,121.60385058946574,121.74097375265065,118.90071300523734,120.0946165631071,120.2070400146726,122.40527940533191,128.21682006273107,125.32756142678943,123.30497880794645,126.13148176127412,126.85046286110216,132.06692492171086,135.61355297851782,137.54760825091262,143.60278695546268,137.25612671536913,144.6344474618445,135.3813334809926,130.14101550137948,148.88679981554446,150.19156329557597,142.73907039254675,137.044944234426,134.18020340459236,135.76824938450076,134.41483063203464,132.63377260081597,139.91397159043487,145.93877638431036,158.23804105967852,165.21716501655422,159.2593180254464,158.60152382284656,132.7637048909188,134.39753991724797,141.95238984524883,143.75234871871803,151.20051978870123,153.0908452601236,146.09426642327816,154.85380671601348,144.3750744701221,138.6655489082326,157.28849083028936,150.4846956919804,135.74339115824,140.90541889179357,137.3247220259749,136.28123168310316
2000-01-10 21:59:16+00:00,,163.67086855736733,182.70347488302804,179.1926424434478,169.66577469123536,168.07761723956534,163.26771039857996,157.82789332127547,164.72994524322002,173.9296033967029,170.56976761639382,173.44746693396942,172.3085695230742,155.1082207487226,148.95108680999567,145.55725009146641,146.21064616007098,145.45249507972846,147.4764865191415,157.02824808785175,159.5408224100382,150.28872118237774,158.14057936236435,157.9047205466616,152.5152583190157,149.36879996264312,144.37382964702957,133.29834200459666,128.16004956329868,124.57915725733342,124.92680469509101,124.53808204230496,120.81616761032852,127.11986356960492,131.32005369535835,134.7441184462757,124.08777021894372,125.30503159374345,129.02994054099946,127.802038060437,134.0158296236447,140.016518947609,137.64283753092246,134.3781683833581,135.42164410585403,131.64932151034307,137.60508696939615,143.39464975481627,156.892380146558,155.04203325323746,152.08439503672878,160.23727968356303,156.52238671094614,145.78503007382807,141.64321993350944,,,,80.67881660541272,99.23434919844468,112.81553389471394,125.86634053786238,133.4360170530621,142.2938862141349,153.15613377045676,150.99580717017417,153.35356244515285,147.43284512548993,146.48009618914452,139.7481577255213,138.03820289144406,135.74204000633242,134.55349755050025,130.21502999027234,130.39912378755915,121.30803289787916,130.24113582136016,135.08943062941353,124.74110996367517,120.45097772092579,118.10594504817925,118.206130325721,123.12411693365966,126.83323724779422,132.90078627067717,131.3360913861981,132.36290912094478,137.09694525513453,140.18212720409025,152.60339789954594,158.68998126891532,161.59585966361593,166.16270265731936,166.58836845806556,166.84075570212315,169.49531646481012,171.30994194899,165.34951749813115,158.54291666813972,150.8141517059097,143.18890169037124,146.10043746874175,141.4925528265883,144.3160302806486,142.05131582896783,146.7789111710841,151.0933876598807,161.713826927656,170.45094923670578,169.7022800106192,168.66150766896354,138.75187152914376,147.61198745970262,147.21829961980535,150.54424389926942,158.1260656918067,159.60917146855044,156.4011301484235,160.33292910993373,153.28113746007634,144.5928483174343,159.06621390278067,160.28056237129746,150.43021726900108,147.38374783481962,147.51637926084408,154.25482706519648
2000-03-30 21:58:57+00:00,163.211026528325,169.6889786992253,169.6337059083027,169.96644307162055,176.66113836179628,171.98397955532963,167.42003883109882,168.07850094039708,164.6519291619402,172.55255871687743,179.4769942544449,176.55871545389334,166.8306492037729,153.72313501178348,155.91291986651615,149.6773818406166,147.8875744733714,148.57737733837502,149.23068588363597,155.63031577147376,160.5078476380969,158.19466106342398,162.06977959209337,163.98812676810206,157.64848537894787,154.2206661307788,153.50235957745187,143.70555437117926,131.52073820019916,125.20415727740476,125.25039999214552,131.2553941977011,128.86376860213238,124.74356713021331,138.55523849398338,139.1024412283751,141.32770202727207,145.26496718583553,139.4146293081458,137.03959678604195,139.87105852759336,134.9328763692747,134.5284294776757,136.32302139082535,140.39514014017556,135.97536270980254,144.6203630707672,159.41885988798305,170.22820338389124,166.9365834518935,163.1476962089301,159.3483635112259,160.0077036487194,144.79033696945595,132.70283767116612,104.9987478105866,,,,141.92726251171956,145.67119101038787,139.68509943488118,146.1790416007476,144.76642893822677,145.53880218867704,140.69061830033309,140.48706937508663,149.03001667434606,149.65701174900212,151.7091283756104,149.98100726583155,143.0894446621803,131.84896265176752,141.2020497195602,146.65876080056418,143.88711105804802,149.99178577501866,149.05929082147907,142.22963990985323,138.9753026717578,133.795264445931,130.12245233894788,121.43176480358056,132.00304977936793,134.5438928503666,143.6786858440676,139.39963696679774,147.94297982042522,151.1697503068318,157.01529246651543,151.84701919123475,149.53250685154202,149.61784159782636,138.19043307137906,139.08661097621433,135.55596617895156,136.23956676363758,152.78932457323316,154.72692553864283,154.36950040236624,151.1616842892737,148.24255059957935,146.7610215105493,154.246101516275,158.3326552638937,161.60591617704995,162.32775840818147,161.51138230235026,166.53084014382483,167.86974371877454,159.19596189099641,137.62719289797283,141.54867981124124,138.0048936504783,143.4003811929468,158.77450952176065,162.91912742322762,154.7511940751444,160.8515527417354,151.00890596497152,142.38660238027492,154.4051825464812,154.03828641128985,143.45105412095737,145.24007390179386,137.6320481656885,143.2495120777554
2000-07-04 21:58:02+00:00,,,,,,164.36686292083976,160.95498526956902,158.86288002713326,170.79863532785922,175.09466240100065,,148.0540879805654,,,,,144.78961387091277,147.3834790080699,149.54328032773742,153.5873607566511,152.2333980345382,157.4362923948405,157.07111988325855,161.7611580986092,153.3153096878522,149.7515975510865,137.7150795733252,134.14148334601964,121.87800914800584,107.43283327378165,120.85105064795609,121.2820042336392,129.92088290923954,125.6130455260218,128.648279707478,118.33868548034715,,122.35272960246223,111.67720931048385,113.89341499158304,123.48420302032216,122.50628606793752,124.68534191099998,,,,,,78.64893944367462,,,151.47828581540662,151.77867087486533,144.35605246603603,136.60827848415474,116.41803501760504,,,102.48649767026706,121.81557747130888,131.32597909503286,136.74190477516154,149.8763911436892,144.17262917339684,152.7487134471952,138.7354811000772,156.4322626037166,147.67031906546774,152.99949989777872,145.60605361834894,,,,,,,,,,,,,,121.29226595749358,125.88240104548017,122.33129211783937,,,146.72952055626232,140.66198464837552,140.7462558335147,142.43319923386704,147.1904960757665,140.08356938791295,134.72433090526957,137.77603992696427,142.70389684022481,119.98658291994445,134.70327685260244,137.33832021632347,132.6037791771204,110.838408822761,105.9915426080133,118.53080481222028,105.86602027894413,114.19613327861137,,,,,,,,,,,,,,,,152.02942072667398,145.855089176122,137.5066977324005,142.69023764396604,,135.15241255445656
2000-08-05 21:57:32+00:00,,,,,,,157.82433715249869,155.4321495855121,152.84479763335477,158.33464386041,159.19281059439925,135.96502350857455,125.98859146475462,133.40083382768688,140.4306051277411,135.38640971256964,135.92981509425445,144.63777606303464,149.22078408304424,140.7863983151148,149.65295933320684,154.60785329657043,159.95478641594326,157.54822027091777,151.8342470032648,144.7565103998079,138.64401823994632,137.18353828893177,119.6269800241842,101.5923864592944,112.30306358067583,130.64079360574823,121.35987918956474,124.52494662003323,131.12689133254548,117.2577959708892,144.31333311800273,143.33317676206437,133.3502906689337,126.7672143498989,126.22752742243395,120.08784964082511,130.1019200080254,141.55029503062335,129.40053439250772,,,,,,152.07171092880353,136.64762937458443,,,,,,,,,,,,,,,,,,,,140.83408939430583,123.78650578210528,133.22496840365855,121.64981932682016,118.71340354679468,122.13216205864664,127.56874673773221,128.99060996330317,132.25500437123927,135.06832612217514,137.91268403199967,132.5272463981533,136.2084167261808,140.66690867790294,130.84889878516412,132.68534408609648,127.52157966197888,138.54770250532496,153.5560651391328,152.53362104194855,143.08177450356013,151.0517025867569,140.62839600042415,141.28966412375598,141.1372814424209,146.16793432331124,120.41380053774614,140.08433390069996,147.30854204222842,139.2709196652736,126.48876057803139,,128.40675295995047,131.25774175064635,122.76651144373426,113.23786195234703,138.54143073623663,189.3291468824572,182.2852832830655,170.50473739278218,149.24598770307898,153.27016175897828,147.99217660313548,156.3590049903039,156.56066100968656,157.1575061886066,140.3096790805183,158.6335571984534,142.05540833851478,138.72790961980843,155.33990172220462,154.54510447376714,138.02442967964618,136.2343863670202,132.3425255127952,138.97271024634412
2000-11-09 21:56:45+00:00,,198.44570746731318,211.3517050357277,206.72129236434264,192.150161336639,177.66227213892878,161.5075389346019,155.43101009859933,152.89621242835705,157.93944219537195,163.64109652646425,169.85217231231744,168.83177272182775,154.53337339356125,149.014481066669,144.6796208696352,151.1108642128299,143.0288451273524,146.37432472140432,153.30005156032954,145.26092149231968,153.06854318976696,162.34613231305073,163.68898710465118,160.57238621811044,155.87084826718663,150.37665021336306,141.66753614007052,136.1306983086029,134.78819563016611,134.26529441501606,119.68255492502061,122.86815992182653,130.05277615025216,137.53007408206844,149.2005114777115,120.85417244922228,117.16650242856522,114.31065003322632,111.96449741064797,121.89352089346195,131.4911642918521,130.94247255432478,130.06242491853646,130.37975886431522,132.35989112358698,132.34807230543612,125.04974413180676,132.92263356029292,128.96859126385957,135.77610208290034,145.86309792255798,137.45217116856432,141.40730848764437,135.71933109289648,104.79440318430488,,,114.22898468667387,134.88974448986232,127.90506027760112,131.74170340938122,140.78819581448636,143.0962998616518,156.53149169874675,156.63445805097228,148.02650104465386,139.9063400561821,140.9182159447352,137.9942180658024,134.9188605901737,142.67973287257902,142.00694038990676,125.5338085823611,111.98667130679993,114.80588963912044,120.12448189875815,126.4799913866444,122.86640868684367,123.1239514698353,121.87144664635366,123.40561238238574,127.22680273793566,128.86564085240988,127.36004961191594,127.81086658991656,134.05640228145316,138.87108229948416,139.94895029708897,149.27957211264098,151.77094039149432,149.10086415997878,149.16503419525077,149.76643071715796,149.52173930753995,143.59074896560423,141.9526713614325,155.1591755091842,155.79954241923738,158.10498583358756,150.01016090720668,146.73598154356904,146.3152936114646,145.39075182745617,144.34423836110554,154.90418717914514,164.28011501823897,167.06530959917183,173.07817057909975,178.5696596112673,169.53498279519764,157.48769908270748,158.22866632537597,157.53666217258842,159.65337053568203,165.5054317744876,160.8265123492291,162.60734869069802,162.42178059864474,156.94426814757543,152.60547398145235,165.02443544408595,165.8008775204334,156.67624330618705,153.7054099342045,155.3444941168161,141.18997852316284
2000-11-25 21:56:47+00:00,,,195.50470832249835,187.43109490325864,167.48326064961572,158.19091104461847,157.70183149355194,155.7422307722922,151.70445330267484,157.1468259338905,161.23235297310677,160.14109115309674,,,,,,,,,,144.18015391138383,151.7982205374941,160.06836855645497,155.3468425135117,148.44695998551984,130.6533485582626,131.28853906773674,130.19873996318952,125.10520753766215,125.93852414884992,120.55611038429142,114.30805139717427,122.0749567961926,125.70209326013929,125.04347404394275,85.37253067824263,103.95160946535009,111.04851088425092,109.93641595176132,117.58020996193285,122.19798760692261,123.34500030698037,123.96079658692376,128.00385979094247,124.72181364614644,118.87143610077545,115.47409149719074,117.59833018211799,118.76799073318978,124.46287210689712,145.54248387695367,134.58507410577664,134.34637927046364,135.3910217328922,100.97743983192106,,,,120.77665046734975,123.20110313899023,121.72784341426909,128.43945103016623,134.15378387189787,134.43543676823037,134.54591199448487,139.4378785504634,138.074346575586,135.8408605575004,136.3466925302232,130.86845471824208,138.0147137650748,134.11888420205912,123.45463376025978,116.15803895853809,98.40256286206228,,,,,,,,,,,,,,135.63240418127035,140.0591851761915,143.75139622807365,143.6920753256793,135.5995806785265,139.09804168483083,134.8593616968306,125.49087463793434,138.7184853580416,140.5961952092227,132.96820137526402,129.87012689311285,129.2880126117249,131.24965817018096,134.37217884203972,136.93408909656588,141.7767030558267,148.0040619175206,159.1728890549891,167.14592042276504,162.91084176442055,156.37461613030501,131.45721014644676,123.55805481791076,133.4403156759386,143.58518226303545,152.3596411192938,163.00290857265398,154.20386305704088,153.46041831167148,147.91723549349257,142.3408000486783,159.01413827178214,154.56305171140843,141.7886046335206,146.73607044083113,133.93171017945258,122.16994754363266
2001-03-17 21:56:40+00:00,,,,210.25771098310673,199.92148913974142,196.29223770370396,181.67903084705006,175.75657694787287,171.41998534547113,163.78508267966816,153.65966414094126,150.17197274118263,155.87586833322288,171.13865345465865,183.86373591594133,188.05836518535955,186.75181224189046,163.82319679201842,160.88902859515835,159.03106080075625,171.53690268257023,183.8856234374585,184.9203338098275,184.3078640876544,188.69914758737772,173.8938946989339,172.96668593161468,165.2429781666977,154.56137412544072,156.04349244649495,153.83591062945067,160.22540269065712,156.58465075167936,156.66615813218127,158.4929731436535,150.24535547322557,160.32086142388704,174.7422901275226,160.4237498097371,143.76569427445463,130.0572327348514,134.35964020392115,149.38236167407482,163.98233503367186,179.21073031744598,151.5972418437771,152.79216527271439,159.79634592291947,167.44676104506962,171.20034700248678,169.9035367482727,161.69711033511052,141.81093451836657,162.75921660031293,169.531611640806,137.0927998545002,,,216.50016462676186,136.73732815929338,142.41483633383856,142.85681925049303,151.89403742771768,159.87154284461923,163.71509635174394,155.4473428108683,132.24233116106996,130.28961540846382,132.74219481234263,140.66662291007336,148.9833102684571,162.09176929690855,173.6299255829736,153.52194305495954,144.57113911710871,144.0808858323698,139.51090071561103,137.83721287377656,141.33481633733027,147.29459378163608,134.18599470589294,132.12996487246838,128.43178697749718,153.20458437523425,161.2600116702387,167.18002612597647,150.40145434080478,151.31082816445064,158.33151115628573,160.82013526170238,169.6214675957398,171.49389015924555,164.33399437226532,169.5758559679217,155.04672527051866,159.5787159768277,167.1231146852135,160.04577493171178,160.62303540173622,164.15522798224225,164.6610850410724,146.13289825823074,146.17169072357518,146.252888366302,143.51554441152362,150.20056399452915,163.6715058981248,184.99132256597824,197.35122500641322,190.82645943391316,,146.4557023459395,146.3711326979061,138.00068426104585,150.53566475238858,163.1123715416427,161.49249815196833,165.3177496554097,178.60501013649144,163.58395694759423,153.08342897870662,187.1391482751371,166.26815592727124,147.9328255740886,150.20704450858742,143.8960073747016,150.85451003561064
2001-09-25 21:54:52+00:00,144.0376896947948,172.761370817107,189.83323320504033,203.41602532695853,216.55853144433846,221.93340815301866,215.35483860592987,215.82311913958205,213.79363044203498,218.70563503176186,217.10998023549615,189.58177266313234,177.40102048149154,165.93072632734712,174.78588838456545,163.85734436399187,157.94151426035648,156.59970217745968,166.72258701471083,154.89416921377713,168.20563459761973,177.2510657428223,183.57049137146078,182.05042043430814,185.93425891098283,176.91017755894683,170.8313033996941,169.95852520904404,161.1937222040155,148.69371849459074,153.2737385813857,160.3121542560841,155.83464571555058,155.8870821727751,146.13943176178608,146.50986451327339,139.45430317856713,184.46463450398508,168.86810406337472,144.79704965302116,143.70321819065967,138.86184505783962,143.478554477763,150.3938222088479,149.97023399411415,156.37713744859155,170.4817136336348,173.4740017285235,171.39270078326504,186.90831722004071,181.49882780576894,176.59364347828486,193.78393890988968,193.797384694436,187.00480356576412,191.30502940777842,,60.357313910428836,115.54527422533792,165.9941778504906,154.81915401698424,160.81282640333995,163.14409773613758,166.84522697569045,162.27632785198622,156.7909132176212,159.00727717371598,144.6718885918587,159.50747136652106,158.3328952415867,147.9363687775269,153.1912944604512,148.00890028292034,136.21266589941652,134.89543034485334,135.68579762809642,124.78781220772304,132.08984032610928,139.05980163491043,143.657094186923,145.9379811581865,140.04688794965003,130.35495649987323,133.97975077306302,151.9412456661328,157.97274157059496,153.39778507591737,161.82059390023934,167.63123081864953,160.1143699796229,167.26356789339027,156.38926130022045,155.5195388865084,171.43798473984643,183.3555512175913,180.65199755389116,179.21240594120857,170.74500569217048,168.4296462343584,161.87319231328664,159.2763443067544,159.38220063182172,164.2050700526193,159.77472185196942,149.95802543251145,151.77006610964492,171.72126421144355,189.4934720279771,208.19348059031137,207.6830778235793,,150.36468261803336,147.86333970616207,148.51287781758737,153.88981573750408,161.2980916124431,167.64958924542745,165.22113966851188,175.14621688518017,162.54731442833932,158.3415620540498,196.99460076227734,,154.21267099262957,158.9180516957445,157.28352258856862,155.42569744919933
2002-02-16 21:55:18+00:00,,205.7213053154818,205.11301171488984,201.19367922443158,193.49142893454075,196.03038246415474,208.6735361792481,221.53730920091857,212.31166168747467,209.4247133622641,201.87539506308156,195.2610381240289,177.97710483375977,164.04737511667986,162.7484607396353,159.30849825577525,157.3271103579983,155.28681594171246,152.28731820882516,156.31917357227252,167.87039858554346,168.49988848045305,172.83691069639679,176.97854684563004,173.71449363028208,167.81628389868263,160.02635979312348,155.80696033760577,151.75846378998128,144.11955354394738,139.32564791742456,138.11746164275414,136.34353589873544,141.18153086372791,151.1242061534494,166.1139826430649,158.47094873301717,151.33239510220668,145.14769653279365,132.09262042972128,132.52895110043727,136.71642434607566,138.61583389241517,141.6118385251117,147.75226159842984,156.60372586594943,156.1290981825127,154.97314074866543,168.11963018167697,165.43858444751277,163.60854553131156,168.75129644692186,171.40734577703705,161.40383670860388,155.34798643683754,,,,91.13435589373833,113.73355112015248,127.88970223194903,137.9128162562581,158.8936752981347,160.12904912439706,164.91456155546166,166.76216060806382,159.2664856662366,150.5121830845653,146.28733767533348,153.34470470670897,156.76894294127126,161.17630116269828,159.24851198410656,151.5031428278709,133.83781208341728,128.33273285276724,120.95376468273857,129.97053690336594,127.84511255709405,129.16353020049254,133.61878178643863,130.16889164779093,132.16389313488128,133.46433905558243,136.2100161555133,160.27568269040447,168.06201942245707,163.94509965149194,157.34766792848717,159.92856288720733,164.53433632329276,157.8280597049956,166.43872429628968,166.41365995018285,175.43398638878907,172.6652536173428,168.18200759172913,168.20658028193756,163.68253611721153,164.74831399257764,162.57368499166128,161.17868060893696,160.35905151895875,158.544717842575,148.05712337730108,147.3628728923525,152.10348970123226,163.65303929187786,170.78436339342588,179.69662060084192,165.10131541876308,158.4127117474509,167.8178232756659,153.7321828746,153.75050621806372,167.0140024664712,166.03157129854853,161.22041321547815,163.33095797260236,160.13838305053557,154.12389754745996,162.1084164614339,164.74350251665743,157.06678764249477,156.99630396191634,146.69780566499304,145.95563762011267
