dates,nzd0269-0000,nzd0269-0001,nzd0269-0002,nzd0269-0003,nzd0269-0004,nzd0269-0005,nzd0269-0006,nzd0269-0007,nzd0269-0008,nzd0269-0009,nzd0269-0010,nzd0269-0011,nzd0269-0012,nzd0269-0013,nzd0269-0014,nzd0269-0015,nzd0269-0016,nzd0269-0017,nzd0269-0018,nzd0269-0019,nzd0269-0020,nzd0269-0021,nzd0269-0022,nzd0269-0023,nzd0269-0024,nzd0269-0025,nzd0269-0026,nzd0269-0027,nzd0269-0028,nzd0269-0029,nzd0269-0030,nzd0269-0031,nzd0269-0032,nzd0269-0033,nzd0269-0034,nzd0269-0035,nzd0269-0036,nzd0269-0037,nzd0269-0038,nzd0269-0039,nzd0269-0040,nzd0269-0041,nzd0269-0042,nzd0269-0043,nzd0269-0044,nzd0269-0045,nzd0269-0046,nzd0269-0047,nzd0269-0048,nzd0269-0049,nzd0269-0050,nzd0269-0051,nzd0269-0052,nzd0269-0053,nzd0269-0054,nzd0269-0055,nzd0269-0056,nzd0269-0057,nzd0269-0058,nzd0269-0059,nzd0269-0060,nzd0269-0061,nzd0269-0062,nzd0269-0063,nzd0269-0064,nzd0269-0065,nzd0269-0066,nzd0269-0067,nzd0269-0068,nzd0269-0069,nzd0269-0070,nzd0269-0071,nzd0269-0072,nzd0269-0073,nzd0269-0074,nzd0269-0075,nzd0269-0076,nzd0269-0077,nzd0269-0078,nzd0269-0079,nzd0269-0080,nzd0269-0081,nzd0269-0082,nzd0269-0083,nzd0269-0084,nzd0269-0085,nzd0269-0086,nzd0269-0087,nzd0269-0088,nzd0269-0089,nzd0269-0090,nzd0269-0091,nzd0269-0092,nzd0269-0093,nzd0269-0094,nzd0269-0095,nzd0269-0096,nzd0269-0097,nzd0269-0098,nzd0269-0099,nzd0269-0100,nzd0269-0101,nzd0269-0102,nzd0269-0103,nzd0269-0104,nzd0269-0105,nzd0269-0106,nzd0269-0107,nzd0269-0108,nzd0269-0109,nzd0269-0110,nzd0269-0111,nzd0269-0112,nzd0269-0113,nzd0269-0114,nzd0269-0115,nzd0269-0116,nzd0269-0117,nzd0269-0118,nzd0269-0119,nzd0269-0120,nzd0269-0121,nzd0269-0122,nzd0269-0123,nzd0269-0124,nzd0269-0125,nzd0269-0126,satname
1999-12-25 21:59:16+00:00,333.28,365.57,378.14,378.75,369.06,361.11,360.57,360.11,359.59,365.30,368.41,359.74,360.30,355.53,355.50,345.03,347.24,346.07,348.19,353.22,351.26,349.46,351.73,356.92,352.01,346.42,328.16,329.95,322.49,320.41,320.20,323.24,321.34,326.77,319.92,313.90,301.96,312.51,317.23,314.66,320.86,327.62,324.77,320.64,329.92,316.36,334.12,333.09,327.68,338.41,337.80,345.02,340.87,339.29,332.99,312.07,119.35,256.66,289.93,299.81,304.85,320.89,334.22,339.77,341.72,346.91,338.50,352.50,344.27,344.15,339.15,336.89,336.65,334.72,331.19,323.41,325.54,329.50,325.77,323.39,322.16,324.00,320.32,325.90,332.09,326.34,328.14,326.26,330.46,333.06,333.07,335.77,340.58,335.01,342.64,333.93,,343.56,348.90,346.33,339.35,335.10,335.91,332.96,329.59,337.14,343.91,358.39,369.97,365.87,360.87,330.87,334.52,340.21,336.87,345.80,351.38,341.25,357.78,347.50,340.43,357.95,351.98,335.36,338.19,332.99,338.28,L7
2000-01-10 21:59:16+00:00,330.45,367.95,379.36,379.30,369.13,364.56,361.69,358.69,361.33,369.86,370.30,365.97,365.77,355.68,353.27,344.89,346.12,345.71,346.66,354.20,356.51,349.02,353.43,357.48,352.58,348.75,336.58,332.14,325.05,322.42,321.81,324.87,321.46,326.83,325.68,323.39,315.25,319.91,322.62,321.01,326.56,333.24,332.37,326.66,333.39,323.24,338.68,339.70,343.72,348.29,345.17,352.00,348.89,341.77,336.66,319.05,110.57,256.50,290.50,299.21,309.97,324.89,334.80,343.33,347.40,350.51,344.43,351.35,347.19,342.41,339.78,337.15,337.76,335.09,332.76,324.59,329.15,333.31,326.49,323.14,320.57,321.81,321.16,326.62,333.10,328.92,331.24,331.30,336.05,343.49,344.73,347.88,352.50,350.14,353.92,350.96,369.16,352.65,353.76,349.52,341.77,340.62,338.74,337.83,334.45,340.88,346.79,359.82,371.34,369.46,365.09,333.68,340.74,342.87,342.19,350.02,354.69,347.46,359.40,350.88,342.77,358.43,356.36,342.60,341.96,338.98,346.53,L7
2000-03-30 21:58:57+00:00,330.45,367.96,375.77,375.68,371.18,366.37,362.93,360.88,361.82,369.95,372.49,369.41,365.79,354.03,353.13,345.87,346.06,345.98,346.71,354.06,356.85,351.04,355.33,358.49,353.27,349.38,341.02,335.17,326.24,321.77,322.11,326.03,322.88,325.43,329.17,327.76,322.18,327.22,326.83,326.03,330.56,333.07,332.34,329.05,334.76,326.71,339.31,344.55,351.40,353.38,350.34,353.52,350.34,342.28,334.07,315.30,110.57,248.85,295.26,314.13,321.47,328.91,338.14,343.48,347.05,346.59,343.29,349.91,347.78,344.41,341.91,339.13,335.67,337.56,336.97,330.85,336.31,338.10,331.55,328.11,323.49,323.38,320.52,326.75,332.56,332.69,332.85,335.78,340.08,347.06,345.88,347.59,351.07,345.23,348.37,343.97,351.35,350.42,353.61,350.19,343.52,342.39,340.51,342.69,341.65,347.77,351.09,359.75,369.03,368.08,362.55,334.58,339.91,340.45,342.48,351.93,356.70,349.22,358.38,349.93,342.15,356.54,354.54,342.41,342.48,337.77,345.99,L7
2000-07-04 21:58:02+00:00,327.63,369.16,374.58,374.14,372.24,367.73,363.19,360.56,364.91,373.58,372.29,365.07,358.42,350.88,351.95,346.15,344.94,346.95,346.32,354.48,359.64,353.41,358.02,360.28,354.31,351.80,345.61,337.90,326.15,317.60,322.04,326.83,326.42,325.98,332.44,329.48,332.29,332.44,325.78,326.08,335.41,335.80,333.86,333.37,337.18,331.88,341.91,350.28,363.26,360.87,356.61,355.37,354.54,343.36,335.06,317.58,101.80,244.95,304.09,322.00,332.22,336.30,344.51,347.32,351.19,345.85,348.82,352.50,352.49,344.55,343.30,340.25,335.18,338.98,339.86,334.57,341.70,342.40,334.44,330.46,324.15,323.06,320.62,326.38,331.29,331.33,336.00,340.53,346.67,350.06,347.81,349.43,352.46,346.43,345.21,344.77,347.84,353.85,355.96,352.12,345.61,346.03,331.18,340.95,341.04,353.09,354.68,360.43,368.56,369.19,363.40,336.43,342.61,340.57,345.28,354.99,359.37,353.20,358.69,351.14,343.01,354.93,352.29,345.93,343.88,338.83,345.85,L7
2000-08-05 21:57:32+00:00,,367.99,368.59,368.43,375.26,367.59,358.03,357.67,360.59,366.27,364.29,353.08,339.84,342.31,340.34,341.61,341.29,344.16,345.39,346.77,346.76,354.89,357.50,358.31,351.58,346.46,337.97,333.59,321.92,308.64,317.14,325.04,323.94,322.63,329.64,320.43,323.95,330.51,324.42,322.28,329.10,321.52,325.67,327.68,328.40,333.65,340.59,354.24,348.96,363.57,360.68,353.55,353.36,342.91,332.43,313.35,,233.54,310.60,333.71,340.78,340.00,349.08,347.53,350.24,341.72,348.05,353.65,353.69,348.41,346.17,339.02,324.06,331.07,328.02,326.69,334.03,335.01,330.94,332.28,327.25,328.12,323.76,325.16,328.68,327.05,330.66,331.41,341.77,346.34,344.98,342.50,346.46,336.11,335.32,334.25,338.90,330.56,345.48,345.01,338.75,331.40,326.59,335.45,335.65,361.56,359.71,351.81,368.65,366.92,356.35,341.72,343.97,338.35,348.55,356.73,358.62,348.21,347.89,340.93,336.90,351.31,347.80,338.69,341.03,334.53,338.31,L7
2000-11-09 21:56:45+00:00,,400.46,406.02,408.05,397.67,371.43,356.74,354.29,356.37,362.40,361.10,350.04,339.99,344.25,340.49,340.16,342.40,343.58,344.03,345.10,343.31,353.92,358.41,359.30,353.89,349.58,339.01,334.83,324.08,313.08,319.77,323.76,323.78,325.64,329.52,324.75,320.72,323.89,318.34,314.40,320.61,319.93,326.44,325.41,326.53,317.90,344.03,332.42,334.86,335.89,337.51,347.12,346.03,340.45,335.07,315.18,,,323.55,327.27,334.83,339.64,348.92,349.49,356.13,354.15,349.46,353.36,352.10,340.81,341.41,340.59,332.55,328.96,318.34,315.94,320.15,325.89,324.54,324.88,324.93,328.19,327.37,326.68,328.10,323.16,331.59,328.20,340.27,344.72,344.97,342.38,345.47,339.99,338.95,337.75,341.00,332.15,347.07,350.16,340.79,332.35,327.50,332.37,330.36,350.99,362.09,355.35,375.52,376.89,362.41,350.12,353.56,347.69,352.88,357.48,357.87,350.26,352.31,346.71,343.26,355.56,352.99,345.48,343.27,339.28,337.73,L7
2000-11-25 21:56:47+00:00,323.73,390.14,396.62,399.44,384.58,367.67,357.19,354.64,354.01,361.61,363.05,351.97,339.99,344.25,340.49,340.16,342.40,343.58,344.03,345.10,343.31,350.53,357.00,359.58,355.16,351.62,338.89,335.85,325.51,316.20,320.68,325.33,322.60,325.50,329.09,325.30,317.37,322.50,317.53,313.84,319.74,320.30,328.16,323.99,329.80,320.44,343.38,331.43,334.45,334.19,333.89,346.02,343.21,337.07,334.77,314.39,,,324.83,324.27,334.39,336.43,344.98,347.08,349.22,351.85,343.65,351.69,350.36,340.94,342.40,342.17,337.50,333.27,323.78,314.32,320.15,325.89,324.54,324.88,324.93,328.19,327.37,326.68,328.10,323.16,331.59,328.20,340.27,343.19,342.77,341.86,343.35,338.04,338.06,335.96,336.20,332.15,345.84,346.96,338.89,331.57,328.66,331.91,330.36,343.64,354.38,356.66,376.07,376.69,361.83,342.67,343.91,341.82,346.10,352.12,358.48,348.42,354.68,349.18,343.95,356.79,353.97,343.88,343.07,335.57,335.80,L7
2001-03-17 21:56:40+00:00,323.73,390.14,396.62,403.43,390.44,377.52,367.18,361.80,356.55,359.92,361.72,358.27,360.90,362.48,366.21,365.34,368.86,353.17,352.53,354.90,358.50,358.98,365.96,369.03,368.96,362.34,353.45,348.23,339.42,337.96,335.97,336.64,332.66,336.98,340.06,341.66,329.01,336.23,329.87,322.33,322.73,327.94,337.43,336.49,346.32,330.69,342.82,338.63,344.24,344.15,344.62,349.45,338.57,343.89,345.79,319.55,,,329.04,329.88,335.23,335.66,343.32,349.03,352.49,354.32,337.22,340.50,340.98,340.60,343.17,350.54,354.94,346.63,333.73,324.49,332.13,332.57,335.08,335.81,327.52,326.64,326.89,340.03,342.56,346.51,342.03,344.26,348.90,348.84,351.35,353.46,349.24,349.76,346.26,343.68,343.06,356.13,352.98,354.06,349.27,340.65,341.35,340.21,338.54,346.39,357.32,370.04,381.96,381.97,365.13,342.64,342.37,340.85,345.95,355.13,360.18,356.48,366.64,358.34,349.84,370.83,361.85,348.01,348.05,340.21,340.33,L7
2001-09-25 21:54:52+00:00,353.37,377.97,401.85,408.24,418.72,423.31,420.06,,,420.85,416.17,395.63,380.06,364.84,370.97,367.21,362.03,356.32,368.21,357.07,364.89,380.95,385.35,384.92,384.56,374.32,370.51,367.46,360.39,351.37,355.96,358.17,355.47,355.89,345.87,346.22,330.74,380.30,367.64,345.30,344.21,340.84,340.26,354.28,347.86,358.64,359.95,366.34,364.50,381.46,379.45,378.59,393.43,396.90,389.40,,,247.85,322.11,375.33,356.23,363.38,364.01,371.39,367.25,357.05,366.96,343.52,357.23,358.08,352.81,358.36,349.72,332.93,332.79,336.26,324.85,335.29,342.16,346.63,345.95,337.53,331.73,331.43,349.11,358.45,349.46,363.09,365.57,362.31,370.30,359.90,360.27,371.46,387.63,384.26,383.90,377.24,368.50,359.06,357.85,359.08,364.81,361.87,353.79,353.47,371.67,391.20,404.26,402.55,,354.55,348.88,351.76,359.50,366.18,371.32,370.65,375.19,362.89,357.62,396.13,,356.19,362.71,361.97,355.81,L7
2002-02-16 21:55:18+00:00,371.09,392.29,402.50,404.57,405.07,409.40,413.58,,409.93,414.89,409.43,394.68,378.51,364.25,367.11,362.64,359.16,355.61,359.34,356.31,366.65,374.03,378.75,380.24,379.03,371.24,365.47,361.81,355.54,347.10,347.14,348.52,345.86,348.27,348.06,355.92,346.12,366.28,356.19,338.02,337.81,338.16,339.63,347.91,348.50,357.13,359.51,361.39,367.22,374.62,371.53,373.14,382.27,377.52,371.64,338.27,,248.43,311.74,345.55,343.03,353.05,362.93,366.36,365.84,363.51,362.20,349.31,353.01,355.75,356.16,360.23,355.75,343.40,333.99,333.20,323.37,332.69,336.20,337.43,339.85,334.08,331.46,332.91,342.92,359.36,359.27,362.90,361.06,360.77,366.59,356.34,362.24,368.26,380.65,378.00,375.11,371.23,365.68,362.25,359.95,359.87,362.13,359.73,349.75,349.42,361.04,377.42,388.56,391.94,365.90,355.49,357.84,351.94,355.22,365.07,367.85,364.44,369.48,361.64,355.65,378.85,364.65,355.96,358.77,352.92,350.73,L7
