,dates,nzd0189-0000,nzd0189-0001,nzd0189-0002,nzd0189-0003,nzd0189-0004,nzd0189-0005,nzd0189-0006,nzd0189-0007,nzd0189-0008,nzd0189-0009,nzd0189-0010,nzd0189-0011,nzd0189-0012,nzd0189-0013,nzd0189-0014,nzd0189-0015,nzd0189-0016,nzd0189-0017,nzd0189-0018,nzd0189-0019,nzd0189-0020,nzd0189-0021,nzd0189-0022,nzd0189-0023,nzd0189-0024,nzd0189-0025,nzd0189-0026,nzd0189-0027,nzd0189-0028,nzd0189-0029,nzd0189-0030,nzd0189-0031
0,1999-08-19 21:58:52+00:00,,,,,,,,,,,125.18582854362222,,,,,,,,,157.08013482338342,154.35736561330688,,144.85159699337626,145.72231468731408,147.51400976398344,,145.50223006063507,148.0077190508825,144.84320734789034,136.7687244378382,134.23724620928286,124.58103803722871
1,1999-09-13 21:52:41+00:00,123.52552143380044,121.02538224639369,,142.4253754663323,,,,,,,148.0514089729994,146.26358305832156,142.78084831903945,146.41390631242916,144.86354318366674,150.47671297559384,148.79039118570495,,,,159.10295434121463,158.85081227421728,155.05621662002005,147.88954786488276,156.0053527989006,162.31496005035115,159.56682061790934,161.63282324210462,159.1461966941627,147.30188099908577,146.42434743533772,145.54875329555546
2,1999-09-29 21:52:52+00:00,146.00487266980116,156.2748301810505,166.60489034550477,185.08957316980812,204.51997545092257,211.45971365966773,204.5162964150872,212.80169151935485,212.21226885395728,204.52127828338845,,175.75189944599862,168.57595631452932,175.3307516245951,175.47559583541602,186.61654055403466,191.7312631351038,201.10053737420392,202.62860363290113,206.5103482324978,207.40410895382544,,193.94881415570958,184.77450389227297,193.47619257904395,195.53130844921535,192.38077013483334,191.9554280348073,195.43702951152517,187.81883724312956,187.9943045804771,187.95667040867653
3,1999-10-15 21:52:49+00:00,134.60237981627517,140.17467702032658,143.0147633311874,153.96988024088293,177.73739929158288,180.60354234740475,,173.28406201928658,173.73766324750474,176.38657743459868,168.69697044114494,154.2338658737356,153.89310178402079,157.9144070570805,159.96339973634034,165.37823266160214,169.98292775344103,176.5666701799196,170.03989369633362,172.71411417779652,186.70981225209536,181.38855611852145,175.70512706264188,188.17959215256974,176.11461431786316,186.93039760802677,185.74771310654418,179.49964643969398,180.26003698281488,173.688837483698,173.16398092254042,181.62914602439713
4,1999-10-22 21:58:52+00:00,,,,149.70114730698208,179.72781734538134,181.91395584903805,178.8044739107725,167.55979916826087,171.4705620889669,170.59187391337923,174.35032939536924,,146.613581961225,150.5057739951368,169.50907219027312,180.29325970973377,188.8417646604808,186.87244296341234,177.97735484215235,174.71510714819587,186.87132463113844,186.63466991090573,185.43173516327928,190.9094242245767,190.4020258250965,198.50430754938085,200.76113105548944,175.68116840426302,176.79667982592844,173.5404978119458,181.83722358324064,
5,1999-11-16 21:52:44+00:00,162.05830175305516,174.11818448906638,160.66480227418245,161.593860401519,169.184791563253,180.41290302598534,180.6366758814201,171.13810658026958,171.8072151348452,177.83847420103606,180.95673716459788,175.50370088121227,160.52761037316188,158.6421026200347,164.6264378637072,170.10442501925579,174.3485556547351,174.9399304198704,181.1686746259786,181.61311666270694,178.928274604748,179.63676699707673,190.551550411118,,182.13224984253165,191.07274722512187,194.51783936747677,186.74270370217542,180.34359024929583,180.3250314450049,182.84493700057834,179.79760780557527
6,1999-12-02 21:52:40+00:00,148.36904049989298,171.28826253127656,164.8523672161674,156.54889928249648,169.19234531986018,180.02432531357246,184.44246944996843,177.72073220970577,176.7207496666134,176.37604644838365,182.4889123014459,171.37330093441795,173.70528208280237,168.991238736628,173.08963326373546,183.062328152471,194.6286958063122,196.2080319346906,195.3871284781818,,196.3312166083463,181.13935111980652,198.05354201190207,208.5831372963265,185.15097581433307,196.45284103454014,216.62189570360766,206.319590073334,203.76713266643878,202.26309220061464,,
7,1999-12-09 21:58:57+00:00,153.57740712428824,174.7131215473898,,158.81030153133963,171.68256163967638,181.7119828515887,186.8200492579982,185.23933455228945,183.23938389449165,179.14138266724203,,178.56090963203235,174.84042673622875,180.54378754009863,179.22223077338194,182.4555872266231,183.27673729534465,185.06469670479157,179.44592046732328,182.59716116374514,182.04681966437337,179.13042260607187,187.6256509670154,194.9205675432115,184.41773283479242,188.69105213079288,,188.38135953385208,,,180.5810203277995,181.5610652725182
8,1999-12-25 21:58:52+00:00,132.5113814602036,,,145.61772368078553,158.38793793778598,166.77600121352893,165.36952890258996,171.0730869289161,165.4106073781095,155.3509038841213,,155.22460555932287,151.7879547406015,152.44131103555387,148.88429726571877,155.3240903469181,155.4688210931604,159.39188532451865,162.95091284600213,164.25870885361482,,166.4815488791411,169.5272418107504,167.85450253435752,168.59115464562353,171.43497244572535,,175.3327363313087,,,159.79773828691944,161.41776388708126
9,2000-01-19 21:52:37+00:00,173.09544283573993,172.89630690475596,164.37939739864999,157.17533721814436,168.3845841677288,174.06136380267088,175.68630900679767,,159.09148860168523,162.54467055790215,170.2408967499456,174.81328252668294,,154.51049846177986,145.55298969686666,153.43506519779422,174.5282450011114,177.38392749425086,179.19234303581067,181.78879760076896,179.79491845813982,181.2197943343532,184.60869022144917,189.01525549739242,189.43248060589391,195.6788440401468,199.8573376650843,202.409092381177,195.49952601822716,230.21392656049915,,
