dates,sar1363-0000,sar1363-0001,sar1363-0002,sar1363-0003,sar1363-0004,sar1363-0005,sar1363-0006,satname
1984-04-13 09:27:31+00:00,189.80,208.25,203.21,185.42,193.90,192.37,195.82,L5
1984-07-18 09:29:10+00:00,191.91,208.44,206.04,189.04,194.11,203.41,196.52,L5
1984-08-19 09:30:15+00:00,191.86,209.64,205.83,188.73,193.47,207.35,197.60,L5
1984-09-20 09:30:28+00:00,187.57,202.88,201.21,189.43,188.75,202.58,188.41,L5
1984-10-22 09:30:24+00:00,186.86,201.67,201.56,190.06,188.78,206.89,189.08,L5
1984-11-07 09:30:17+00:00,187.42,201.57,202.49,190.39,190.07,203.90,190.24,L5
1984-12-09 09:30:22+00:00,185.14,198.81,201.18,188.14,190.17,204.13,191.91,L5
1985-03-31 09:30:43+00:00,184.90,198.88,202.03,184.61,193.09,205.30,197.75,L5
1985-05-02 09:30:31+00:00,183.58,198.43,200.00,181.94,191.32,200.37,196.55,L5
1985-06-03 09:30:28+00:00,184.59,200.65,200.33,181.38,192.24,207.02,196.78,L5
1985-06-19 09:30:26+00:00,186.82,203.19,200.34,181.94,191.71,203.16,193.70,L5
1985-07-05 09:30:21+00:00,187.55,204.56,201.26,183.56,193.52,206.51,194.09,L5
1985-08-06 09:30:06+00:00,185.44,201.45,199.05,180.97,190.86,205.16,192.97,L5
1985-08-22 09:29:56+00:00,186.75,201.87,199.31,181.64,191.13,206.60,193.22,L5
1985-09-23 09:29:32+00:00,187.21,202.65,199.74,182.37,191.29,207.67,194.97,L5
1985-10-09 09:29:23+00:00,186.81,202.86,199.38,182.88,191.38,204.84,194.69,L5
1985-11-10 09:28:57+00:00,187.22,202.80,200.32,184.23,192.34,205.06,194.91,L5
1986-01-13 09:27:46+00:00,185.09,199.97,200.00,184.18,190.70,201.97,194.99,L5
1986-03-18 09:26:22+00:00,184.49,203.31,202.43,188.07,194.06,202.55,198.38,L5
1986-05-05 09:25:17+00:00,183.86,200.77,203.94,189.38,195.23,205.42,196.23,L5
1986-05-21 09:24:51+00:00,185.42,201.80,204.08,189.84,195.93,211.07,196.54,L5
1986-07-08 09:23:21+00:00,186.62,202.51,203.88,189.93,197.45,210.05,196.73,L5
1986-08-09 09:22:13+00:00,188.69,204.22,203.67,189.62,197.62,208.78,197.60,L5
1986-08-25 09:21:37+00:00,189.22,204.59,203.09,189.74,197.09,209.85,197.48,L5
1986-09-10 09:21:03+00:00,189.12,203.53,202.81,188.83,196.44,208.65,196.81,L5
1986-12-31 09:19:38+00:00,187.03,199.91,201.67,186.77,195.52,203.05,194.44,L5
1987-02-01 09:20:35+00:00,184.27,195.93,199.95,184.65,193.37,197.62,193.11,L5
1987-04-06 09:23:00+00:00,182.52,194.72,201.54,185.22,195.59,198.77,196.44,L5
1987-06-25 09:25:08+00:00,184.86,198.80,202.25,186.26,195.82,203.18,199.15,L5
1987-07-27 09:25:49+00:00,190.88,203.68,204.69,189.02,197.81,203.88,200.68,L5
1987-08-28 09:26:45+00:00,193.75,207.17,206.09,190.07,197.77,207.18,201.93,L5
1987-09-13 09:27:09+00:00,193.29,206.87,205.87,189.57,197.06,208.94,202.00,L5
1987-10-31 09:28:04+00:00,191.90,205.40,205.14,187.93,195.58,203.73,200.05,L5
1987-11-16 09:28:26+00:00,190.73,203.63,204.41,187.44,195.24,203.56,199.25,L5
1987-12-02 09:28:42+00:00,188.99,201.92,203.54,186.62,193.88,203.25,198.18,L5
1988-01-19 09:29:29+00:00,183.45,196.16,200.01,183.08,191.02,198.97,191.16,L5
1988-02-20 09:30:02+00:00,179.66,193.76,197.63,181.58,189.10,195.54,190.08,L5
1988-04-24 09:30:31+00:00,175.17,192.23,195.50,181.09,188.79,195.91,190.38,L5
1988-05-26 09:30:48+00:00,173.28,193.19,194.01,180.79,188.70,200.31,191.29,L5
1988-06-11 09:30:53+00:00,171.90,192.74,192.08,180.57,189.21,200.05,191.17,L5
1988-06-27 09:30:59+00:00,175.94,195.49,194.12,182.10,190.03,199.47,192.67,L5
1988-07-13 09:31:03+00:00,178.08,196.82,194.63,181.65,190.39,198.21,193.17,L5
1988-07-29 09:31:06+00:00,182.78,200.54,197.07,184.71,192.70,199.17,199.25,L5
1988-11-18 09:30:56+00:00,185.35,201.71,197.66,183.34,192.40,195.77,197.37,L5
1989-01-05 09:30:40+00:00,181.85,197.60,198.26,181.12,191.66,190.55,194.48,L5
1989-03-26 09:29:17+00:00,180.53,200.08,203.54,183.63,192.67,199.19,198.25,L5
1989-06-14 09:28:10+00:00,185.93,204.96,208.21,189.34,196.50,210.64,200.09,L5
1989-06-30 09:28:02+00:00,184.82,203.41,203.72,185.62,193.62,205.16,198.49,L5
1989-07-16 09:27:43+00:00,188.90,208.22,202.86,186.26,193.66,202.52,197.86,L5
1989-08-01 09:27:23+00:00,188.52,205.95,201.24,186.30,192.98,202.00,196.26,L5
1989-09-18 09:26:08+00:00,190.63,207.44,203.62,189.49,195.51,203.52,198.42,L5
1989-10-04 09:26:00+00:00,188.84,204.48,200.37,187.81,193.43,196.16,193.23,L5
1989-10-20 09:25:15+00:00,190.23,204.08,200.51,187.21,193.43,195.57,193.51,L5
1989-12-23 09:23:34+00:00,187.26,200.84,198.91,185.58,192.35,195.19,193.20,L5
1990-02-09 09:22:02+00:00,185.83,198.91,200.49,187.03,192.28,192.65,191.09,L5
1990-02-25 09:21:33+00:00,185.66,199.08,200.86,187.01,192.40,193.75,191.43,L5
1990-03-29 09:20:28+00:00,177.79,195.49,199.88,184.01,190.14,194.36,189.52,L5
1990-04-14 09:20:34+00:00,173.45,197.42,205.25,182.83,190.23,198.27,191.54,L5
1990-06-01 09:20:32+00:00,172.30,198.15,205.25,184.23,190.30,202.68,193.61,L5
1990-08-04 09:20:20+00:00,174.92,199.79,206.69,184.87,190.35,199.68,193.87,L5
