dates,sar2409-0000,sar2409-0001,satname
1999-08-05 09:52:52+00:00,252.94,264.83,L7
1999-08-12 09:58:37+00:00,250.02,251.77,L7
1999-08-21 09:52:49+00:00,250.92,255.4,L7
1999-08-28 09:58:41+00:00,254.11,264.83,L7
1999-09-13 09:58:35+00:00,253.09,261.7,L7
1999-09-22 09:52:53+00:00,253.87,264.83,L7
1999-09-29 09:58:45+00:00,256.38,264.83,L7
1999-10-31 09:58:37+00:00,247.66,252.1,L7
1999-11-09 09:52:52+00:00,253.44,263.36,L7
1999-11-16 09:58:37+00:00,249.99,264.82,L7
1999-11-25 09:52:19+00:00,251.49,257.19,L7
1999-12-11 09:52:29+00:00,242.85,,L7
1999-12-18 09:58:40+00:00,249.48,260.83,L7
2000-01-03 09:58:33+00:00,249.97,250.98,L7
2000-01-12 09:52:23+00:00,250.0,258.4,L7
2000-02-04 09:58:30+00:00,255.41,254.49,L7
2000-02-13 09:52:41+00:00,250.84,259.81,L7
2000-03-07 09:58:18+00:00,251.34,263.01,L7
2000-03-16 09:52:31+00:00,253.85,264.85,L7
2000-03-23 09:58:20+00:00,252.01,258.76,L7
2000-04-08 09:58:08+00:00,245.15,251.02,L7
2000-04-24 09:58:03+00:00,250.01,251.66,L7
2000-05-03 09:52:12+00:00,253.91,261.84,L7
2000-05-19 09:52:01+00:00,249.48,254.87,L7
2000-06-04 09:51:49+00:00,251.73,257.01,L7
2000-06-20 09:51:46+00:00,250.88,254.41,L7
2000-06-27 09:57:25+00:00,248.09,253.72,L7
2000-07-06 09:51:08+00:00,250.69,254.96,L7
2000-07-13 09:57:13+00:00,244.74,250.04,L7
2000-07-22 09:51:16+00:00,255.0,264.82,L7
2000-08-07 09:50:38+00:00,253.93,264.83,L7
2000-08-14 09:56:49+00:00,252.03,257.82,L7
2000-08-30 09:56:38+00:00,251.17,254.18,L7
2000-09-08 09:50:17+00:00,252.78,257.46,L7
2000-09-15 09:56:19+00:00,252.54,257.29,L7
2000-09-24 09:50:24+00:00,250.82,253.19,L7
2000-10-26 09:49:51+00:00,245.99,250.53,L7
2000-11-02 09:56:06+00:00,253.12,251.23,L7
2000-11-27 09:49:55+00:00,250.43,252.32,L7
2000-12-13 09:49:57+00:00,242.21,249.78,L7
2000-12-20 09:56:09+00:00,236.82,248.77,L7
2000-12-28 09:45:26+00:00,,244.72,L5
2001-01-21 09:56:15+00:00,253.42,264.82,L7
2001-02-06 09:56:08+00:00,251.57,264.82,L7
2001-03-03 09:49:53+00:00,250.53,256.27,L7
2001-03-10 09:56:04+00:00,249.12,,L7
2001-03-19 09:50:10+00:00,253.56,258.97,L7
2001-04-04 09:50:00+00:00,251.72,261.14,L7
2001-04-11 09:55:50+00:00,245.81,251.22,L7
2001-05-13 09:55:39+00:00,248.38,252.0,L7
2001-05-29 09:55:31+00:00,250.02,252.96,L7
2001-06-07 09:49:12+00:00,250.86,255.98,L7
2001-06-23 09:48:58+00:00,246.04,253.66,L7
2001-06-30 09:55:05+00:00,249.71,253.64,L7
2001-07-09 09:49:19+00:00,251.96,258.2,L7
2001-07-25 09:49:12+00:00,253.97,258.37,L7
2001-08-01 09:54:52+00:00,252.21,254.75,L7
2001-08-10 09:48:30+00:00,251.65,264.83,L7
2001-08-26 09:48:43+00:00,254.25,260.58,L7
2001-09-11 09:48:07+00:00,251.59,257.17,L7
2001-09-18 09:54:11+00:00,253.91,259.21,L7
2001-10-04 09:53:59+00:00,251.06,255.83,L7
2001-10-13 09:48:08+00:00,252.82,264.82,L7
2001-11-14 09:48:26+00:00,,238.93,L7
2001-12-07 09:54:17+00:00,251.64,262.38,L7
2001-12-23 09:54:25+00:00,237.72,251.06,L7
2002-01-08 09:54:28+00:00,237.2,245.39,L7
2002-01-17 09:48:21+00:00,250.0,237.16,L7
2002-02-02 09:48:23+00:00,,260.13,L7
2002-02-09 09:54:38+00:00,239.91,253.21,L7
2002-03-06 09:48:28+00:00,253.72,259.53,L7
2002-03-13 09:54:38+00:00,250.02,252.94,L7
2002-04-23 09:48:18+00:00,252.8,264.83,L7
2002-04-30 09:54:34+00:00,250.74,255.22,L7
2002-05-09 09:48:46+00:00,250.74,264.83,L7
2002-05-16 09:54:27+00:00,251.23,258.09,L7
2002-05-25 09:48:37+00:00,252.67,257.81,L7
2002-06-01 09:54:21+00:00,250.94,256.89,L7
2002-06-17 09:54:14+00:00,245.66,251.64,L7
2002-06-26 09:48:22+00:00,256.28,262.49,L7
2002-07-03 09:54:10+00:00,249.08,253.18,L7
2002-07-12 09:47:56+00:00,253.35,260.99,L7
2002-07-19 09:54:03+00:00,250.35,252.34,L7
2002-07-28 09:48:12+00:00,252.91,264.83,L7
2002-08-04 09:53:55+00:00,253.74,255.32,L7
2002-08-13 09:47:44+00:00,250.47,261.2,L7
2002-08-20 09:53:52+00:00,251.99,262.39,L7
2002-08-29 09:47:32+00:00,253.83,257.97,L7
2002-09-05 09:53:43+00:00,,258.78,L7
2002-09-21 09:53:30+00:00,249.99,252.71,L7
2002-09-30 09:47:41+00:00,253.66,260.82,L7
2002-10-07 09:53:26+00:00,,264.82,L7
2002-10-16 09:47:17+00:00,253.7,264.82,L7
2002-12-19 09:48:14+00:00,249.37,260.52,L7
2002-12-26 09:54:05+00:00,245.29,247.3,L7
2003-01-20 09:48:02+00:00,,234.8,L7
2003-01-27 09:54:14+00:00,251.28,257.48,L7
2003-03-16 09:54:27+00:00,253.38,264.85,L7
2003-03-25 09:48:35+00:00,253.78,264.82,L7
2003-04-01 09:54:27+00:00,251.75,264.84,L7
2003-04-26 09:48:18+00:00,251.95,264.82,L7
2003-05-28 09:48:39+00:00,250.83,256.51,L7
2003-11-04 09:47:57+00:00,250.06,250.14,L7
2003-12-13 09:54:30+00:00,250.02,257.27,L7
2003-12-22 09:48:48+00:00,235.86,,L7
2004-01-30 09:54:48+00:00,251.86,257.29,L7
2004-02-08 09:48:40+00:00,250.42,253.93,L7
2004-05-14 09:49:08+00:00,252.74,257.79,L7
2004-06-06 09:54:50+00:00,250.03,252.97,L7
2004-06-15 09:48:34+00:00,252.35,264.83,L7
2004-08-25 09:54:30+00:00,250.05,254.85,L7
2004-10-05 09:48:06+00:00,252.13,259.77,L7
2004-11-22 09:48:58+00:00,249.99,262.36,L7
2005-03-14 09:49:39+00:00,254.22,260.19,L7
2005-04-06 09:55:22+00:00,253.29,264.83,L7
2005-05-01 09:49:32+00:00,255.94,264.31,L7
2005-06-02 09:49:30+00:00,251.7,254.05,L7
2005-10-24 09:48:48+00:00,258.73,273.43,L7
2005-10-31 09:55:04+00:00,250.01,,L7
2005-11-09 09:49:23+00:00,251.84,264.85,L7
2005-12-18 09:55:21+00:00,254.84,264.72,L7
2006-01-12 09:49:48+00:00,251.62,264.78,L7
2006-07-14 09:55:32+00:00,253.74,261.95,L7
2006-07-30 09:55:25+00:00,253.56,252.27,L7
2006-08-15 09:55:24+00:00,245.46,251.35,L7
2006-10-11 09:48:58+00:00,254.64,264.83,L7
2006-10-27 09:49:38+00:00,254.87,264.81,L7
2006-11-03 09:55:31+00:00,253.19,264.82,L7
2006-11-19 09:55:43+00:00,250.6,256.35,L7
2007-01-06 09:55:57+00:00,244.66,249.85,L7
