dates,satname,sar2409-0000,sar2409-0001
1984-05-06 09:33:03+00:00,L5,,
1984-08-03 09:29:20+00:00,L5,,
1984-08-19 09:29:27+00:00,L5,,
1984-09-04 09:29:37+00:00,L5,,
1984-09-11 09:35:50+00:00,L5,,
1984-10-13 09:35:49+00:00,L5,,
1985-01-17 09:36:05+00:00,L5,,
1985-02-02 09:36:09+00:00,L5,,
1985-04-23 09:35:59+00:00,L5,,
1985-06-10 09:35:50+00:00,L5,,
1985-06-26 09:35:47+00:00,L5,,
1985-07-12 09:35:41+00:00,L5,,
1985-08-13 09:35:25+00:00,L5,,
1985-11-10 09:28:33+00:00,L5,,
1985-11-26 09:28:17+00:00,L5,,
1985-12-03 09:33:55+00:00,L5,,
1986-01-04 09:33:20+00:00,L5,,
1986-02-21 09:32:17+00:00,L5,,
1986-03-25 09:31:37+00:00,L5,,
1986-05-12 09:30:29+00:00,L5,,
1986-05-28 09:30:02+00:00,L5,,
1986-06-22 09:23:04+00:00,L5,,
1986-07-08 09:22:57+00:00,L5,,
1986-07-31 09:27:55+00:00,L5,,
1986-08-16 09:27:20+00:00,L5,,
1986-09-17 09:26:13+00:00,L5,,
1987-01-07 09:25:13+00:00,L5,,
1987-01-16 09:19:18+00:00,L5,,
1987-04-29 09:29:06+00:00,L5,,
1987-06-16 09:30:19+00:00,L5,,
1987-07-02 09:30:39+00:00,L5,,
1987-07-18 09:30:57+00:00,L5,,
1987-08-03 09:31:25+00:00,L5,,
1987-08-19 09:31:54+00:00,L5,,
1987-09-04 09:32:19+00:00,L5,,
1987-09-20 09:32:42+00:00,L5,,
1987-10-31 09:27:16+00:00,L5,,
1988-01-10 09:34:42+00:00,L5,,
1988-01-19 09:28:41+00:00,L5,,
1988-02-11 09:35:17+00:00,L5,,
1988-03-14 09:35:39+00:00,L5,,
1988-04-15 09:35:50+00:00,L5,,
1988-04-24 09:30:07+00:00,L5,,
1988-05-01 09:35:57+00:00,L5,,
1988-06-02 09:36:14+00:00,L5,,
1988-06-18 09:36:19+00:00,L5,,
1988-07-04 09:36:24+00:00,L5,,
1988-07-20 09:36:27+00:00,L5,,
1988-08-05 09:36:28+00:00,L5,,
1988-08-21 09:36:29+00:00,L5,,
1988-10-08 09:36:21+00:00,L5,,
1988-12-11 09:36:09+00:00,L5,,
1989-01-05 09:30:16+00:00,L5,,
1989-01-12 09:35:56+00:00,L5,,
1989-02-13 09:35:45+00:00,L5,,
1989-04-02 09:34:48+00:00,L5,,
1989-05-20 09:34:09+00:00,L5,,
1989-05-29 09:28:17+00:00,L5,,
1989-06-14 09:27:46+00:00,L5,,
1989-06-21 09:33:31+00:00,L5,,
1989-07-16 09:27:19+00:00,L5,,
1989-07-23 09:32:57+00:00,L5,,
1989-08-01 09:26:59+00:00,L5,,
1989-08-24 09:32:15+00:00,L5,,
1989-09-25 09:31:28+00:00,L5,,
1989-10-11 09:31:06+00:00,L5,,
1989-10-27 09:30:27+00:00,L5,,
1989-11-12 09:30:07+00:00,L5,,
1989-12-14 09:29:14+00:00,L5,,
1990-01-31 09:27:43+00:00,L5,,
1990-02-16 09:27:12+00:00,L5,,
1990-03-04 09:26:38+00:00,L5,,
1990-05-07 09:25:55+00:00,L5,,
1990-06-24 09:25:54+00:00,L5,,
1990-07-10 09:25:52+00:00,L5,,
1990-07-26 09:25:48+00:00,L5,,
1990-08-04 09:19:56+00:00,L5,,
1990-08-11 09:25:43+00:00,L5,,
1990-09-12 09:25:35+00:00,L5,,
1990-09-28 09:25:26+00:00,L5,,
1990-10-07 09:19:07+00:00,L5,,
1990-10-14 09:25:20+00:00,L5,,
1990-10-30 09:25:11+00:00,L5,,
1990-11-15 09:25:13+00:00,L5,,
1991-01-02 09:25:37+00:00,L5,,
1991-02-12 09:20:19+00:00,L5,,
1991-04-17 09:21:32+00:00,L5,,
1991-05-26 09:28:22+00:00,L5,,
1991-06-27 09:28:49+00:00,L5,,
1991-07-13 09:28:57+00:00,L5,,
1991-07-29 09:29:13+00:00,L5,,
1991-08-14 09:29:15+00:00,L5,,
1991-09-15 09:29:38+00:00,L5,,
1991-11-02 09:29:52+00:00,L5,,
1991-11-27 09:23:53+00:00,L5,,
1991-12-04 09:30:12+00:00,L5,,
1992-01-05 09:29:59+00:00,L5,,132.57
1992-02-06 09:29:56+00:00,L5,,
1992-02-15 09:24:02+00:00,L5,,
1992-04-10 09:29:42+00:00,L5,,
1992-04-26 09:29:34+00:00,L5,,
1992-05-12 09:29:27+00:00,L5,,
1992-05-28 09:29:18+00:00,L5,,
1992-06-13 09:29:08+00:00,L5,,
1992-06-29 09:28:56+00:00,L5,,
1992-07-15 09:28:44+00:00,L5,,
1992-07-31 09:28:32+00:00,L5,,
1992-08-16 09:28:17+00:00,L5,,
1992-09-01 09:28:02+00:00,L5,,
1992-10-12 09:21:04+00:00,L5,,
1992-11-04 09:26:58+00:00,L5,,
1992-12-06 09:26:58+00:00,L5,,
1993-01-07 09:27:16+00:00,L5,,
1993-02-08 09:27:38+00:00,L5,,
1993-03-12 09:27:54+00:00,L5,,
1993-04-13 09:28:04+00:00,L5,,
1993-05-15 09:28:13+00:00,L5,,
1993-05-31 09:28:16+00:00,L5,,
1993-06-16 09:28:14+00:00,L5,,
1993-07-18 09:28:08+00:00,L5,,
1993-08-03 09:28:08+00:00,L5,,
1993-08-19 09:28:08+00:00,L5,,
1993-10-06 09:27:59+00:00,L5,,
1993-11-07 09:27:46+00:00,L5,,
1993-12-02 09:21:27+00:00,L5,,
1994-01-26 09:26:59+00:00,L5,,
1994-02-27 09:26:35+00:00,L5,,
1994-03-15 09:26:21+00:00,L5,,
1994-03-31 09:26:06+00:00,L5,,
1994-05-02 09:25:29+00:00,L5,,
1994-07-05 09:24:11+00:00,L5,,
1994-07-21 09:23:43+00:00,L5,,
1994-08-22 09:22:53+00:00,L5,,
1994-09-07 09:22:29+00:00,L5,,
1994-11-03 09:14:33+00:00,L5,247.75,242.31
1994-12-12 09:19:28+00:00,L5,,
1995-01-29 09:17:46+00:00,L5,,
1995-04-19 09:14:30+00:00,L5,,
1995-05-05 09:13:47+00:00,L5,,
1995-05-21 09:13:04+00:00,L5,,
1995-06-06 09:12:19+00:00,L5,,
1995-06-22 09:11:37+00:00,L5,,
1995-07-08 09:10:53+00:00,L5,,
1995-07-17 09:04:40+00:00,L5,,
1995-07-24 09:10:09+00:00,L5,,
1995-08-09 09:09:25+00:00,L5,,
1995-09-10 09:07:55+00:00,L5,,
1996-02-17 09:11:19+00:00,L5,,
1996-04-05 09:14:27+00:00,L5,,
1996-05-23 09:17:17+00:00,L5,,
1996-06-08 09:18:10+00:00,L5,,
1996-07-10 09:19:52+00:00,L5,,
1996-08-27 09:22:24+00:00,L5,,
1996-09-12 09:23:18+00:00,L5,,
1996-09-28 09:24:09+00:00,L5,,
1996-10-30 09:25:47+00:00,L5,,
1996-11-15 09:26:32+00:00,L5,,
1996-12-26 09:22:18+00:00,L5,,
1997-02-03 09:30:16+00:00,L5,,
1997-03-23 09:32:13+00:00,L5,,
1997-04-24 09:33:22+00:00,L5,,
1997-05-10 09:33:55+00:00,L5,,
1997-06-20 09:29:33+00:00,L5,,
1997-07-13 09:36:09+00:00,L5,,
1997-07-29 09:36:41+00:00,L5,,
1997-08-14 09:37:12+00:00,L5,,
1997-09-15 09:38:08+00:00,L5,,
1997-09-24 09:32:37+00:00,L5,,
1997-11-02 09:39:28+00:00,L5,,
1997-11-18 09:39:50+00:00,L5,,
1998-02-06 09:41:42+00:00,L5,,
1998-03-10 09:42:15+00:00,L5,,
1998-03-26 09:42:29+00:00,L5,,
1998-05-13 09:43:08+00:00,L5,,
1998-06-14 09:43:37+00:00,L5,,
1998-06-23 09:37:54+00:00,L5,,
1998-06-30 09:43:48+00:00,L5,,
1998-07-16 09:44:00+00:00,L5,,
1998-07-25 09:38:16+00:00,L5,,
1998-08-17 09:44:12+00:00,L5,,
1998-09-02 09:44:24+00:00,L5,,
1998-09-18 09:44:32+00:00,L5,,
1998-10-20 09:44:34+00:00,L5,,
1998-11-05 09:44:39+00:00,L5,,
1998-11-14 09:38:58+00:00,L5,,
1998-12-23 09:44:47+00:00,L5,,
1999-01-17 09:38:31+00:00,L5,,
1999-01-24 09:44:47+00:00,L5,,
1999-03-13 09:44:46+00:00,L5,,
1999-03-29 09:44:28+00:00,L5,,
1999-04-14 09:44:27+00:00,L5,,
1999-04-30 09:44:26+00:00,L5,,
1999-06-01 09:43:50+00:00,L5,,
1999-06-17 09:43:41+00:00,L5,,
1999-07-03 09:43:32+00:00,L5,,
1999-07-19 09:43:28+00:00,L5,,
1999-08-05 09:52:52+00:00,L7,252.94,264.83
1999-08-12 09:58:37+00:00,L7,250.02,251.77
1999-08-20 09:43:15+00:00,L5,,
1999-08-21 09:52:49+00:00,L7,250.92,255.40
1999-08-28 09:58:41+00:00,L7,254.11,264.83
1999-09-05 09:42:46+00:00,L5,,
1999-09-13 09:58:35+00:00,L7,253.09,261.70
1999-09-22 09:52:53+00:00,L7,253.87,264.83
1999-09-29 09:58:45+00:00,L7,256.38,264.83
1999-10-07 09:42:21+00:00,L5,,
1999-10-31 09:58:37+00:00,L7,247.66,252.10
1999-11-09 09:52:52+00:00,L7,253.44,263.36
1999-11-16 09:58:37+00:00,L7,249.99,264.82
1999-11-25 09:52:19+00:00,L7,251.49,257.19
1999-12-11 09:52:29+00:00,L7,242.85,
1999-12-18 09:58:40+00:00,L7,249.48,260.83
2000-01-03 09:58:33+00:00,L7,249.97,250.98
2000-01-11 09:40:43+00:00,L5,,
2000-01-12 09:52:23+00:00,L7,250.00,258.40
2000-01-27 09:40:13+00:00,L5,,
2000-02-04 09:58:30+00:00,L7,255.41,254.49
2000-02-13 09:52:41+00:00,L7,250.84,259.81
2000-03-07 09:58:18+00:00,L7,251.34,263.01
2000-03-15 09:39:29+00:00,L5,,
2000-03-16 09:52:31+00:00,L7,253.85,264.85
2000-03-23 09:58:20+00:00,L7,252.01,258.76
2000-04-08 09:58:08+00:00,L7,245.15,251.02
2000-04-24 09:58:03+00:00,L7,250.01,251.66
2000-05-03 09:52:12+00:00,L7,253.91,261.84
2000-05-19 09:52:01+00:00,L7,249.48,254.87
2000-06-03 09:41:49+00:00,L5,,
2000-06-04 09:51:49+00:00,L7,251.73,257.01
2000-06-19 09:42:11+00:00,L5,,
2000-06-20 09:51:46+00:00,L7,250.88,254.41
2000-06-27 09:57:25+00:00,L7,248.09,253.72
2000-07-05 09:42:32+00:00,L5,,
2000-07-06 09:51:08+00:00,L7,250.69,254.96
2000-07-13 09:57:13+00:00,L7,244.74,250.04
2000-07-22 09:51:16+00:00,L7,255.00,264.82
2000-08-06 09:43:05+00:00,L5,,
2000-08-07 09:50:38+00:00,L7,253.93,264.83
2000-08-14 09:56:49+00:00,L7,252.03,257.82
2000-08-15 09:37:11+00:00,L5,,
2000-08-22 09:43:28+00:00,L5,,
2000-08-30 09:56:38+00:00,L7,251.17,254.18
2000-09-08 09:50:17+00:00,L7,252.78,257.46
2000-09-15 09:56:19+00:00,L7,252.54,257.29
2000-09-23 09:44:02+00:00,L5,,
2000-09-24 09:50:24+00:00,L7,250.82,253.19
2000-10-26 09:49:51+00:00,L7,245.99,250.53
2000-11-02 09:56:06+00:00,L7,253.12,251.23
2000-11-27 09:49:55+00:00,L7,250.43,252.32
2000-12-13 09:49:57+00:00,L7,242.21,249.78
2000-12-20 09:56:09+00:00,L7,236.82,248.77
2000-12-28 09:45:26+00:00,L5,,244.72
2000-12-29 09:49:59+00:00,L7,,
