dates,sar2409-0000,sar2409-0001,satname
1994-11-03 09:14:33+00:00,247.75,242.31,L5
1999-08-05 09:52:52+00:00,252.94,264.83,L7
1999-08-12 09:58:37+00:00,251.48,258.30,L7
1999-08-21 09:52:49+00:00,251.29,257.33,L7
1999-08-28 09:58:41+00:00,252.00,259.21,L7
1999-09-13 09:58:35+00:00,252.22,259.71,L7
1999-09-22 09:52:53+00:00,252.49,260.56,L7
1999-09-29 09:58:45+00:00,253.05,261.17,L7
1999-10-31 09:58:37+00:00,252.37,260.04,L7
1999-11-09 09:52:52+00:00,252.49,260.41,L7
1999-11-16 09:58:37+00:00,252.24,260.85,L7
1999-11-25 09:52:19+00:00,252.17,260.51,L7
1999-12-11 09:52:29+00:00,251.40,260.51,L7
1999-12-18 09:58:40+00:00,251.25,260.54,L7
2000-01-03 09:58:33+00:00,251.16,259.81,L7
2000-01-12 09:52:23+00:00,251.08,259.70,L7
2000-02-04 09:58:30+00:00,251.25,258.97,L7
2000-02-13 09:52:41+00:00,251.30,259.54,L7
2000-03-07 09:58:18+00:00,251.13,259.72,L7
2000-03-16 09:52:31+00:00,251.18,259.96,L7
2000-03-23 09:58:20+00:00,251.05,259.49,L7
2000-04-08 09:58:08+00:00,250.25,258.43,L7
2000-04-24 09:58:03+00:00,250.23,257.95,L7
2000-05-03 09:52:12+00:00,250.65,258.64,L7
2000-05-19 09:52:01+00:00,250.41,257.52,L7
2000-06-04 09:51:49+00:00,250.43,257.50,L7
2000-06-20 09:51:46+00:00,251.12,257.01,L7
2000-06-27 09:57:25+00:00,250.90,256.77,L7
2000-07-06 09:51:08+00:00,250.96,257.06,L7
2000-07-13 09:57:13+00:00,250.58,256.46,L7
2000-07-22 09:51:16+00:00,250.88,257.02,L7
2000-08-07 09:50:38+00:00,250.78,257.71,L7
2000-08-14 09:56:49+00:00,250.86,257.57,L7
2000-08-30 09:56:38+00:00,250.88,257.36,L7
2000-09-08 09:50:17+00:00,250.97,257.02,L7
2000-09-15 09:56:19+00:00,250.88,256.54,L7
2000-09-24 09:50:24+00:00,250.81,256.19,L7
2000-10-26 09:49:51+00:00,250.92,256.46,L7
2000-11-02 09:56:06+00:00,250.87,255.76,L7
2000-11-27 09:49:55+00:00,250.93,255.59,L7
2000-12-13 09:49:57+00:00,250.29,255.11,L7
