dates,nzd0326-0000,nzd0326-0001,nzd0326-0002,nzd0326-0003,nzd0326-0004,nzd0326-0005,nzd0326-0006,nzd0326-0007,nzd0326-0008,nzd0326-0009,nzd0326-0010,nzd0326-0011,nzd0326-0012,satname
1999-08-21 21:47:44+00:00,459.13,322.23,310.02,315.31,317.73,321.64,330.81,346.24,346.40,341.90,339.04,332.92,334.65,L7
1999-09-22 21:47:48+00:00,470.81,319.82,309.19,314.53,310.65,324.30,334.34,346.12,346.63,343.10,344.49,336.97,342.45,L7
1999-09-29 21:53:40+00:00,470.81,317.92,305.67,312.54,311.37,322.84,333.98,342.93,342.33,340.72,342.02,335.66,342.85,L7
1999-10-24 21:47:44+00:00,477.03,314.99,303.94,311.38,311.37,323.08,333.83,342.07,341.68,339.37,342.28,334.83,342.33,L7
1999-11-25 21:47:14+00:00,477.03,310.77,302.67,311.43,311.90,323.34,332.04,338.89,340.44,339.37,342.28,334.83,342.33,L7
2000-01-19 21:53:25+00:00,472.23,308.78,302.12,308.71,311.47,322.95,331.83,337.24,338.65,338.04,340.82,333.78,342.76,L7
2000-04-17 21:46:44+00:00,473.65,301.46,301.06,306.78,314.24,323.11,330.71,334.30,336.13,335.95,343.54,336.12,346.01,L7
2000-05-03 21:47:07+00:00,457.83,301.34,302.05,308.36,315.43,322.57,331.34,334.81,336.84,335.90,342.05,336.37,345.62,L7
2000-05-19 21:46:55+00:00,457.83,301.76,301.45,311.61,318.99,324.11,332.01,335.15,338.43,338.00,343.13,335.58,343.76,L7
2000-05-26 21:52:36+00:00,457.83,304.29,302.42,315.53,323.83,327.81,334.81,338.44,341.17,341.17,344.62,336.56,343.76,L7
2000-06-20 21:46:16+00:00,457.83,297.12,302.42,308.60,321.34,326.80,333.58,338.55,340.97,341.38,344.03,335.76,343.85,L7
2000-07-06 21:46:03+00:00,457.83,297.13,302.42,307.34,318.94,325.41,333.03,338.45,340.96,341.21,344.73,337.53,345.61,L7
2000-07-13 21:52:07+00:00,457.83,296.63,302.42,307.45,317.70,323.98,332.94,338.83,340.07,339.90,344.65,338.77,345.61,L7
2000-07-29 21:51:50+00:00,,295.27,300.28,308.59,316.92,323.33,332.66,338.68,341.04,341.29,346.00,341.06,346.14,L7
2000-08-07 21:45:32+00:00,,296.88,299.41,309.02,317.11,324.01,332.87,338.43,340.25,341.25,346.14,341.00,345.49,L7
2000-08-14 21:51:44+00:00,,297.72,299.17,309.08,315.65,323.30,332.44,337.86,339.30,340.14,344.78,339.54,343.66,L7
2000-10-01 21:51:05+00:00,,299.85,301.39,310.07,316.33,323.76,333.08,337.71,338.93,340.74,345.20,340.22,344.65,L7
2000-10-17 21:50:49+00:00,,299.20,299.57,309.72,314.93,323.42,332.94,336.48,336.87,340.14,344.13,338.82,342.55,L7
2000-11-11 21:45:12+00:00,481.95,299.43,299.51,309.73,314.23,323.93,333.55,336.80,336.39,340.44,344.87,339.37,343.75,L7
2000-12-04 21:50:58+00:00,481.95,298.19,300.64,307.46,312.25,323.26,334.16,337.20,334.71,338.42,344.18,339.50,343.79,L7
2001-01-05 21:51:04+00:00,493.64,304.58,302.14,314.52,316.01,325.54,336.76,337.21,333.99,338.93,344.81,339.74,342.37,L7
2001-02-06 21:51:02+00:00,493.64,307.99,305.44,316.80,318.71,328.86,338.83,337.81,332.84,338.48,342.82,336.89,342.50,L7
2001-04-04 21:44:30+00:00,493.64,305.40,304.43,316.37,319.62,329.89,339.81,339.49,333.50,337.69,342.98,336.20,342.25,L7
2001-04-27 21:50:43+00:00,493.64,308.48,304.91,318.85,323.41,331.84,340.80,341.77,336.55,336.86,342.08,336.78,344.58,L7
2001-05-13 21:50:33+00:00,505.33,307.74,304.63,320.42,327.39,331.84,339.79,341.17,336.31,336.25,340.69,336.44,342.41,L7
2001-05-22 21:44:42+00:00,505.33,304.37,299.29,316.71,326.27,330.87,339.18,340.31,336.19,336.58,340.20,335.45,342.41,L7
2001-06-14 21:50:14+00:00,521.59,304.37,298.01,318.98,323.81,329.25,338.27,340.85,335.43,336.43,339.36,335.43,341.22,L7
2001-09-11 21:43:02+00:00,537.85,308.57,296.67,319.14,323.90,328.83,337.76,340.53,337.87,337.98,342.47,339.57,342.69,L7
2001-09-18 21:49:05+00:00,518.37,311.27,299.05,318.23,322.79,328.21,336.86,338.55,336.90,338.47,343.62,341.14,343.31,L7
2002-01-17 21:43:16+00:00,498.88,327.21,313.99,321.99,323.49,327.47,335.05,331.26,337.67,348.82,353.42,352.06,350.69,L7
2002-02-18 21:43:18+00:00,498.88,327.74,313.51,320.31,319.86,323.22,331.91,331.26,337.67,348.82,353.42,352.06,350.69,L7
2002-02-25 21:49:35+00:00,466.70,323.38,309.86,315.46,316.00,319.08,328.63,329.28,336.28,343.71,350.44,347.88,348.43,L7
2002-03-06 21:43:47+00:00,466.39,322.64,308.62,314.09,315.11,318.43,327.07,329.88,335.84,341.29,348.15,345.12,347.70,L7
2002-03-22 21:43:16+00:00,465.01,320.29,305.88,311.73,312.04,314.31,324.76,333.77,336.50,338.99,344.68,338.86,345.31,L7
2002-04-07 21:43:17+00:00,422.87,316.91,302.81,309.39,311.31,314.23,324.16,331.43,333.85,336.23,342.54,335.91,343.47,L7
2002-06-10 21:43:00+00:00,422.87,316.91,302.81,304.74,310.19,314.56,322.29,326.01,329.81,332.29,338.75,332.53,343.47,L7
2002-07-19 21:48:57+00:00,422.87,309.84,295.81,300.61,307.67,313.87,321.44,322.27,326.99,328.57,336.16,331.19,342.77,L7
2002-08-20 21:48:46+00:00,399.59,306.02,292.60,296.94,306.19,313.60,320.83,320.93,327.10,329.15,336.27,330.57,340.91,L7
2002-09-14 21:42:19+00:00,360.09,303.78,290.19,296.65,306.56,314.67,321.43,318.23,324.81,327.10,333.35,327.59,337.39,L7
2002-09-30 21:42:11+00:00,324.41,302.77,290.44,297.83,307.75,314.49,319.67,316.40,323.07,324.38,331.92,325.56,335.73,L7
2002-10-16 21:42:36+00:00,329.96,304.07,292.54,299.62,309.26,314.98,320.77,317.23,324.14,324.81,331.86,326.50,335.66,L7
2002-10-23 21:48:27+00:00,329.96,306.74,294.79,302.00,311.53,317.18,322.67,319.91,325.80,325.71,332.61,327.23,336.72,L7
2002-12-10 21:48:53+00:00,329.96,308.92,296.62,308.48,314.55,318.32,324.70,322.86,326.29,326.98,333.59,328.60,337.61,L7
2003-01-20 21:42:57+00:00,335.03,313.67,300.57,310.36,316.79,319.26,325.44,325.72,329.62,329.22,335.66,329.71,337.65,L7
2003-01-27 21:49:09+00:00,335.03,313.35,300.93,311.38,318.64,320.52,325.40,326.13,330.02,329.91,336.62,330.17,337.40,L7
2003-02-05 21:43:05+00:00,335.03,313.35,302.17,313.79,320.61,322.04,326.29,327.19,330.46,331.02,337.55,331.07,338.16,L7
2003-03-16 21:49:22+00:00,354.78,315.06,305.31,319.00,324.36,324.12,327.96,329.96,331.26,333.75,340.42,335.75,341.57,L7
2003-03-25 21:43:05+00:00,354.78,314.98,305.40,319.30,323.75,323.34,328.55,331.19,332.32,335.18,342.38,338.52,343.37,L7
2003-05-03 21:49:25+00:00,374.23,317.44,307.62,321.78,325.39,323.87,329.74,332.22,332.07,337.61,344.54,340.72,344.82,L7
2003-05-12 21:43:12+00:00,374.23,313.84,305.16,319.59,324.02,322.44,328.40,331.33,332.10,336.59,343.89,338.65,343.49,L7
2003-05-19 21:49:19+00:00,374.23,313.91,304.83,319.85,323.83,321.92,328.27,330.67,331.29,335.77,342.39,337.48,343.81,L7
2003-07-23 21:31:26+00:00,393.17,311.97,300.41,320.41,323.91,321.83,328.53,332.57,334.51,337.59,344.16,338.06,343.73,L5
2003-07-30 21:37:21+00:00,393.17,309.08,298.37,319.64,322.28,320.34,328.14,332.41,335.31,338.61,343.99,338.55,344.45,L5
2003-08-15 21:37:36+00:00,393.17,309.00,296.49,317.44,319.29,317.97,326.52,331.65,335.37,339.00,343.63,339.47,344.60,L5
2003-08-16 21:42:52+00:00,393.17,309.00,296.49,317.44,319.29,317.97,326.52,330.83,335.19,338.56,342.56,338.27,344.24,L7
2003-10-02 21:38:22+00:00,358.55,307.89,294.01,315.06,317.88,317.82,325.50,330.06,335.32,337.55,340.09,334.23,341.91,L5
2003-10-18 21:38:36+00:00,358.55,308.95,294.96,314.54,317.01,317.80,326.54,330.70,336.00,339.32,341.91,336.47,342.82,L5
2003-10-26 21:49:02+00:00,338.85,308.04,294.10,312.82,314.52,317.80,326.54,330.70,336.00,338.76,341.31,336.58,342.06,L7
2003-11-04 21:42:51+00:00,338.85,305.34,291.58,311.77,312.84,316.86,325.09,329.48,336.86,340.01,342.57,338.67,342.99,L7
