,dates,usa_HI_0023-0000,usa_HI_0023-0001,usa_HI_0023-0002,usa_HI_0023-0003,usa_HI_0023-0004,usa_HI_0023-0005,usa_HI_0023-0006,usa_HI_0023-0007,usa_HI_0023-0008,usa_HI_0023-0009,usa_HI_0023-0010,usa_HI_0023-0011,usa_HI_0023-0012,usa_HI_0023-0013,usa_HI_0023-0014,usa_HI_0023-0015,usa_HI_0023-0016,usa_HI_0023-0017,usa_HI_0023-0018,usa_HI_0023-0019,usa_HI_0023-0020
0,1991-10-09 20:18:07+00:00,230.30985447619315,,,215.14066208264026,241.0444783572939,222.82102486244978,207.50582741524923,205.7493558814085,213.29341695969566,219.91532483463615,235.0678551061007,,,,233.58465370562718,215.87895351361647,188.80188939649616,210.32645365210945,185.3915024793516,196.73851955214687,207.45677193471911
1,1991-12-12 20:18:31+00:00,,,,,206.05966144617128,203.04303541673363,189.97626632981195,195.4250226437517,201.85244403699747,194.5062506967796,198.31287053837121,,,,224.6042471215075,235.38902641986925,214.37171560917048,226.1655733775313,189.2710420351214,174.48462418968882,186.03261477982505
2,1999-07-03 20:46:48+00:00,225.06962759375912,200.6170590075657,189.99836806024626,221.19007430039895,238.0189245762975,209.04617808061053,183.79420725878802,195.18438314186665,222.36524311598785,221.70608965365736,224.40909486615138,234.9594988522657,263.317288231875,270.18920773487207,246.10153548178832,227.6278368310913,207.31698575694324,218.08878397127557,210.4501126708673,227.73981041507548,234.00551953525152
3,1999-08-20 20:46:55+00:00,249.737735790128,214.38445713644467,201.16463626194422,233.94012059159454,248.96659099287157,224.43073181068777,206.45280074741905,220.9170487361566,246.31632685997639,254.21836077557148,256.1260666225251,262.10189183328146,275.22184619220684,275.92538788316097,252.37729383479353,219.89683968780918,200.87902017026175,215.72402171611986,203.86805311480896,228.0934470713692,259.22059670454104
4,1999-09-05 20:46:59+00:00,251.0390978887618,219.32299495493615,205.9416605965158,226.80430831407543,241.19042183441692,222.64125058246012,209.50345418803587,220.62471348846887,243.85291440575796,252.27203089693805,258.6094929489294,251.2356594611734,271.71981107233285,269.3878628837796,248.28802614368567,209.24784532554816,189.77019747223872,211.4767087889884,200.21680238125856,220.81948018240286,257.74739863592674
5,1999-09-21 20:46:59+00:00,224.32822141948623,221.25451109725103,212.29392839609622,222.8613082734034,232.62502490975774,226.02898464608856,202.05613384673183,206.38565378092588,215.582318342478,230.25557154425798,246.53732391630766,245.6958004477685,251.22717451120167,256.2812124431237,260.1158371519123,206.71150144803167,191.71352124266963,204.382110812568,193.96902351386348,206.75256684668253,244.2706763710576
6,1999-11-08 20:46:58+00:00,218.77009157377867,206.27911229688866,202.06857155062184,207.36607604240416,223.79497015339174,198.85718378549552,183.15230652235132,186.10902707171405,203.35548828339657,215.72957730184717,226.02373881133198,230.16245129474143,244.78436659391508,247.01237476386626,225.4754730236664,203.23939346906556,176.93328555531642,200.36229200595787,187.26599206051173,204.569685442041,228.99242897915977
7,1999-11-24 20:46:49+00:00,217.07967831748994,211.80646516284153,209.1875755140713,215.68639382347064,228.46154709197552,214.05437494215855,196.3772599303423,,,,,,232.54936412155004,246.685418286814,237.96259893047528,206.6504888866046,183.7557199590079,194.91036735198324,177.73087932486922,187.4522708942049,206.07384172572864
8,1999-12-17 20:53:11+00:00,,,,,,,,210.76777386109296,213.5529627643898,207.22997573864166,214.0271906236601,210.80011893585043,206.47304832689667,213.07227258480938,241.59534510765766,257.3599773692621,211.02070397822106,205.54044821859821,186.20411099733926,192.12469476069032,206.16876073627273
9,2000-02-12 20:46:47+00:00,,155.37651993568315,159.04971714458495,178.73343115189908,187.98522824007782,192.8060832500371,184.82668386565913,191.45292969214407,201.65902191434236,195.04595780947898,208.08499528902618,195.9517850128209,188.72240635059552,192.63899352723587,221.15708506438648,226.47233333212066,210.86425788841055,223.09444615155354,221.78045203520477,200.453573515829,204.01101487040108
10,2000-03-06 20:52:49+00:00,,,,206.69656458754295,203.0157710044703,200.1493046088393,197.26110640867438,206.51005317406313,209.81063450238568,201.97772663799546,216.55181461735017,204.8958937836078,209.75813915951449,201.2511728992668,,,,264.0514883437929,245.63799358501367,219.67349126430307,208.7364029876629
11,2000-04-07 20:52:39+00:00,206.36878959585363,190.12648945077555,180.79472887309691,204.78357125573405,210.22154370152185,194.82164178553697,184.151144396522,193.17432338598775,206.90916782675487,202.85930785172016,203.92580757337385,199.99630189066667,212.87766543897462,213.1755707652795,214.71580941296415,230.76338914293288,224.79339314350798,238.90260527057535,228.1814153396304,221.64891706281884,212.61680404252962
