dates,nzd0548-0000,nzd0548-0001,nzd0548-0002,nzd0548-0003,nzd0548-0004,nzd0548-0005,nzd0548-0006,nzd0548-0007,nzd0548-0008,satname
1999-07-16 22:13:35+00:00,,287.95,305.50,301.21,288.12,286.83,286.66,,294.78,L7
1999-08-08 22:19:52+00:00,319.38,313.90,333.50,324.00,324.11,316.57,313.17,280.04,312.53,L7
1999-08-24 22:19:53+00:00,300.77,299.43,316.72,314.78,308.62,290.36,,,,L7
1999-10-04 22:13:49+00:00,307.36,299.24,320.72,309.44,309.72,290.82,283.62,281.37,292.30,L7
1999-10-27 22:19:51+00:00,317.92,302.45,325.48,313.80,310.38,307.50,303.76,300.32,305.17,L7
1999-11-05 22:13:40+00:00,326.63,325.35,340.60,330.32,327.35,321.54,316.16,318.50,316.48,L7
1999-12-07 22:13:41+00:00,318.06,312.20,326.38,311.89,311.02,306.94,302.47,305.58,304.39,L7
2000-01-15 22:19:46+00:00,311.92,305.83,322.25,313.80,317.55,309.33,309.16,310.42,306.93,L7
2000-04-20 22:19:15+00:00,329.98,321.45,336.84,324.56,321.81,317.61,313.98,315.97,309.86,L7
2000-05-31 22:12:42+00:00,312.46,298.74,313.18,301.27,298.85,,276.15,,294.13,L7
2000-06-07 22:18:48+00:00,319.74,311.27,324.68,307.77,,,281.72,,296.40,L7
2000-09-04 22:11:34+00:00,320.52,308.86,330.73,317.34,320.19,313.22,309.40,317.67,307.65,L7
2000-09-20 22:11:14+00:00,314.04,305.54,323.43,315.13,313.74,305.21,297.18,300.57,299.58,L7
2000-09-27 22:17:24+00:00,311.84,308.07,328.95,320.34,317.18,311.56,309.38,307.39,305.98,L7
2001-02-11 22:11:12+00:00,323.69,310.62,332.85,325.18,319.64,310.81,305.93,309.94,312.61,L7
2001-02-27 22:11:06+00:00,331.88,319.75,340.82,332.35,324.78,319.78,320.40,315.33,327.23,L7
2001-03-22 22:17:09+00:00,328.96,326.85,342.70,332.68,324.71,314.22,304.21,310.56,305.71,L7
2001-04-16 22:10:54+00:00,319.15,310.39,331.18,320.97,322.69,305.84,295.62,293.95,301.52,L7
