dates,nzd0548-0000,nzd0548-0001,nzd0548-0002,nzd0548-0003,nzd0548-0004,nzd0548-0005,nzd0548-0006,nzd0548-0007,nzd0548-0008,satname
1999-07-16 22:13:35+00:00,,287.95,305.50,301.21,288.12,286.83,286.66,,294.78,L7
1999-08-08 22:19:52+00:00,319.38,300.92,319.50,312.61,306.12,301.70,299.92,280.04,303.65,L7
1999-08-24 22:19:53+00:00,310.07,300.43,318.57,313.33,306.95,297.92,299.92,280.04,303.65,L7
1999-10-04 22:13:49+00:00,309.17,300.13,319.11,312.36,307.64,296.14,294.48,280.71,299.87,L7
1999-10-27 22:19:51+00:00,311.36,300.59,320.38,312.65,308.19,298.42,296.80,287.24,301.19,L7
1999-11-05 22:13:40+00:00,314.41,304.72,323.75,315.59,311.38,302.27,300.67,295.06,304.25,L7
1999-12-07 22:13:41+00:00,315.02,305.79,324.13,315.06,311.33,302.94,300.97,297.16,304.28,L7
2000-01-15 22:19:46+00:00,314.58,308.34,326.52,316.86,315.54,306.15,304.72,299.37,306.30,L7
2000-04-20 22:19:15+00:00,320.90,313.46,330.31,318.87,317.62,312.58,309.11,310.16,308.57,L7
2000-05-31 22:12:42+00:00,318.11,309.56,324.66,312.88,312.31,311.29,300.44,310.66,303.83,L7
2000-06-07 22:18:48+00:00,318.52,309.32,324.24,311.85,312.74,313.47,295.25,313.20,301.83,L7
2000-09-04 22:11:34+00:00,320.67,310.08,326.36,312.74,313.62,315.42,295.31,316.82,302.01,L7
2000-09-20 22:11:14+00:00,319.35,309.17,325.77,313.21,313.65,312.01,295.69,311.40,301.52,L7
2000-09-27 22:17:24+00:00,318.10,308.99,326.30,314.40,314.35,311.90,297.97,310.40,302.27,L7
2001-02-11 22:11:12+00:00,317.52,308.27,328.99,319.50,317.69,310.20,305.47,308.89,306.46,L7
2001-02-27 22:11:06+00:00,320.39,310.57,331.36,322.07,319.11,312.12,308.46,310.18,310.61,L7
2001-03-22 22:17:09+00:00,324.09,316.32,336.33,327.64,321.58,314.09,309.98,310.81,312.88,L7
2001-04-16 22:10:54+00:00,325.92,316.90,336.89,327.80,322.95,312.66,306.54,307.44,311.77,L7
2001-05-02 22:10:51+00:00,324.31,314.73,335.67,326.25,322.90,310.03,303.98,302.11,311.75,L7
2001-05-25 22:16:47+00:00,319.45,313.26,333.19,324.42,320.56,309.60,302.85,301.28,310.18,L7
2001-07-05 22:10:09+00:00,320.56,313.01,332.25,324.42,320.56,309.60,296.39,301.28,305.86,L7
2001-11-26 22:09:21+00:00,329.27,319.21,333.51,332.38,334.18,326.28,287.59,323.46,301.19,L7
2001-12-19 22:15:37+00:00,324.41,316.45,332.51,325.47,327.50,321.76,298.56,321.83,309.19,L7
2002-02-14 22:09:41+00:00,323.00,315.55,333.11,323.04,324.22,320.43,318.66,319.58,322.28,L7
2002-05-21 22:09:29+00:00,321.63,309.74,329.77,320.73,319.51,309.28,308.40,308.13,315.22,L7
2002-07-31 22:15:11+00:00,316.65,302.84,325.66,316.73,313.67,299.97,294.55,286.58,305.39,L7
2002-08-25 22:08:48+00:00,315.04,296.81,319.58,312.77,308.27,286.42,282.85,267.72,295.85,L7
2002-09-17 22:14:43+00:00,313.84,298.46,319.75,312.41,309.34,291.85,290.39,276.57,296.72,L7
2002-10-03 22:14:41+00:00,316.71,302.14,322.67,316.38,314.61,298.51,297.82,286.34,300.46,L7
2002-10-28 22:08:34+00:00,315.28,301.87,322.06,314.45,312.96,298.41,296.30,287.67,299.81,L7
2003-01-07 22:15:16+00:00,315.25,305.14,324.47,316.19,315.85,305.80,303.86,294.75,303.89,L7
2003-02-24 22:15:37+00:00,317.28,309.36,327.99,318.47,319.85,312.07,304.91,309.93,306.98,L7
2003-03-21 22:09:27+00:00,319.04,311.04,330.46,320.86,320.77,314.23,307.34,311.93,310.80,L7
2003-04-13 22:15:43+00:00,318.06,310.85,330.38,319.83,318.85,312.80,305.82,309.14,310.66,L7
