dates,nzd0173-0000,nzd0173-0001,nzd0173-0002,nzd0173-0003,nzd0173-0004,nzd0173-0005,nzd0173-0006,nzd0173-0007,nzd0173-0008,nzd0173-0009,nzd0173-0010,nzd0173-0011,nzd0173-0012,nzd0173-0013,nzd0173-0014,nzd0173-0015,nzd0173-0016,nzd0173-0017,nzd0173-0018,nzd0173-0019,nzd0173-0020,nzd0173-0021,nzd0173-0022,satname
1999-07-18 21:58:25+00:00,367.40,370.06,374.50,360.41,358.28,360.47,365.33,368.16,368.79,364.73,370.42,363.17,368.62,371.02,366.86,368.43,368.13,368.72,370.55,373.19,369.17,364.78,370.85,L7
1999-09-20 21:58:56+00:00,364.32,361.32,359.67,356.48,354.74,352.14,356.60,360.26,365.69,355.65,358.07,364.52,368.19,370.81,366.30,370.04,367.14,370.45,376.84,373.79,367.03,382.15,364.39,L7
1999-11-07 21:58:56+00:00,367.64,365.80,368.30,359.27,358.78,355.81,362.55,370.01,367.51,361.07,367.28,374.72,372.22,373.19,370.28,371.32,375.32,367.32,368.52,367.94,368.82,366.35,365.59,L7
2000-03-30 21:58:09+00:00,377.19,371.44,371.54,368.80,364.68,371.34,372.21,378.91,376.69,372.46,372.36,378.91,384.11,386.29,378.74,381.47,379.72,384.17,382.99,386.05,384.56,377.27,377.85,L7
2000-05-17 21:57:43+00:00,377.50,366.72,373.45,375.70,374.60,368.74,376.68,377.01,373.50,358.91,365.73,365.86,375.21,,,389.37,387.70,,,412.53,416.73,391.40,393.18,L7
2000-07-20 21:56:59+00:00,365.26,366.59,378.89,362.94,359.91,361.01,363.23,373.97,364.77,366.21,367.33,365.59,373.53,374.17,380.92,381.11,377.40,376.71,376.09,379.38,373.56,366.30,377.13,L7
2000-08-05 21:56:44+00:00,382.62,380.69,381.31,367.23,370.79,367.78,366.24,379.11,374.08,369.84,374.80,379.94,377.27,384.41,385.59,384.15,382.59,376.94,378.88,382.55,385.45,372.24,378.60,L7
2000-08-21 21:56:38+00:00,370.50,374.70,382.69,369.79,373.95,367.76,373.49,382.61,380.82,372.32,377.06,382.42,378.30,386.48,384.11,379.01,381.21,376.11,375.77,378.05,383.77,371.63,374.66,L7
2000-09-22 21:56:29+00:00,,,,,,,,,,,,,378.07,368.38,372.68,374.41,356.15,355.33,353.04,,,,,L7
2000-11-25 21:56:23+00:00,382.53,372.08,376.16,367.92,369.60,371.15,375.73,378.08,378.78,376.35,374.87,380.89,385.20,380.61,381.38,372.65,,,,,,,,L7
2001-03-01 21:56:21+00:00,390.31,378.84,377.30,383.08,383.99,384.52,389.85,397.15,387.28,383.87,386.18,389.56,401.49,394.84,398.08,397.33,398.08,401.24,396.24,397.13,391.60,393.78,402.16,L7
2001-03-17 21:55:52+00:00,389.17,381.39,384.24,381.26,377.79,386.84,387.27,394.72,389.04,383.67,388.88,384.24,393.70,396.01,396.27,391.47,388.16,390.88,392.44,395.08,394.21,399.80,399.72,L7
2001-05-20 21:55:29+00:00,387.08,388.37,385.41,388.12,388.50,389.88,393.67,384.00,,,359.66,359.52,378.63,383.13,377.17,388.47,394.76,395.81,391.13,389.55,395.39,398.32,398.31,L7
2001-06-21 21:55:05+00:00,382.33,377.03,377.50,366.81,373.77,369.66,376.22,378.97,378.01,376.68,378.34,382.11,392.85,381.83,382.77,386.07,386.85,387.05,377.06,384.31,382.56,384.03,378.82,L7
2001-08-08 21:54:37+00:00,369.71,367.28,378.11,364.47,360.43,368.99,367.41,378.32,370.89,368.77,374.02,367.45,376.69,382.24,383.42,376.80,377.76,376.24,382.46,381.92,383.01,378.45,385.44,L7
2001-09-09 21:54:12+00:00,377.59,376.35,378.72,367.73,378.17,372.93,385.01,385.58,383.07,380.35,377.73,386.44,379.81,389.34,389.00,390.74,390.19,378.03,383.97,383.67,386.11,383.90,395.01,L7
2001-09-25 21:54:04+00:00,385.86,389.66,386.75,382.48,380.68,384.28,387.30,389.52,390.62,383.14,384.18,388.69,395.34,396.03,397.00,396.95,392.49,393.11,392.17,394.09,394.56,400.94,406.81,L7
2001-10-11 21:53:46+00:00,396.31,392.54,389.74,386.15,387.59,387.95,395.36,393.21,395.98,386.64,385.41,395.01,401.15,400.63,396.99,397.47,396.44,403.20,396.71,396.74,399.18,400.62,405.38,L7
2001-12-30 21:54:13+00:00,371.44,373.27,377.95,364.33,363.04,370.53,372.48,378.98,379.28,367.61,375.29,370.53,379.18,384.78,388.22,389.99,383.12,375.51,381.26,381.66,382.63,365.90,374.44,L7
2002-02-16 21:54:54+00:00,376.16,371.66,382.14,371.59,366.07,378.57,373.90,388.27,381.09,373.19,383.34,384.83,398.42,398.92,397.66,398.79,400.19,402.51,390.98,391.76,397.61,397.81,392.67,L7
2002-03-20 21:54:48+00:00,382.17,375.90,372.88,380.29,377.78,376.29,386.95,387.67,386.99,382.86,387.23,391.83,400.19,392.88,390.57,392.77,395.17,394.85,384.07,386.25,393.71,388.06,395.10,L7
2002-05-23 21:54:42+00:00,,,,400.37,398.79,391.04,392.20,388.62,367.40,357.76,364.96,371.80,390.29,387.63,373.48,378.03,374.40,385.72,390.89,387.59,382.37,387.44,390.57,L7
2002-06-24 21:54:28+00:00,386.63,379.59,380.12,380.40,376.06,375.24,381.26,384.54,379.16,374.23,378.77,382.04,389.45,384.22,385.80,386.99,388.35,384.83,383.98,387.31,385.48,384.58,389.36,L7
