dates,satname,nzd0495-0000,nzd0495-0001,nzd0495-0002,nzd0495-0003,nzd0495-0004,nzd0495-0005,nzd0495-0006,nzd0495-0007,nzd0495-0008,nzd0495-0009,nzd0495-0010,nzd0495-0011,nzd0495-0012,nzd0495-0013,nzd0495-0014,nzd0495-0015,nzd0495-0016,nzd0495-0017,nzd0495-0018,nzd0495-0019,nzd0495-0020,nzd0495-0021,nzd0495-0022,nzd0495-0023,nzd0495-0024,nzd0495-0025,nzd0495-0026,nzd0495-0027,nzd0495-0028,nzd0495-0029,nzd0495-0030,nzd0495-0031,nzd0495-0032,nzd0495-0033,nzd0495-0034,nzd0495-0035,nzd0495-0036,nzd0495-0037,nzd0495-0038,nzd0495-0039,nzd0495-0040,nzd0495-0041,nzd0495-0042,nzd0495-0043,nzd0495-0044,nzd0495-0045,nzd0495-0046,nzd0495-0047,nzd0495-0048,nzd0495-0049,nzd0495-0050,nzd0495-0051,nzd0495-0052,nzd0495-0053,nzd0495-0054,nzd0495-0055,nzd0495-0056,nzd0495-0057,nzd0495-0058,nzd0495-0059,nzd0495-0060,nzd0495-0061
1999-08-26 22:07:32+00:00,L7,419.13,390.38,385.71,380.24,371.09,369.29,371.14,376.62,380.09,391.93,384.35,378.25,380.83,388.73,388.31,376.73,373.24,366.54,367.13,368.45,369.64,370.55,372.71,371.01,366.30,367.24,366.12,366.20,365.26,367.21,358.97,360.74,356.68,356.15,358.05,357.23,361.25,357.91,360.12,353.01,353.60,349.88,350.29,353.55,356.61,364.05,363.23,365.28,366.26,360.07,365.53,360.76,357.71,352.50,356.81,357.08,358.91,353.45,360.23,367.59,378.23,403.60
1999-11-05 22:13:40+00:00,L7,395.13,364.89,369.57,371.56,359.25,360.70,356.28,353.50,360.06,366.95,362.53,360.44,359.54,363.35,370.81,365.94,363.41,356.94,353.00,354.24,357.08,361.58,363.24,362.46,355.16,345.10,352.77,353.35,348.63,354.64,354.81,349.43,344.64,349.15,350.68,343.96,338.50,344.00,339.83,348.14,342.38,350.05,350.24,348.69,354.44,357.98,354.35,356.04,349.72,348.48,347.18,346.07,344.10,346.77,344.54,,,,,,,
1999-12-07 22:13:41+00:00,L7,403.00,374.03,370.83,371.44,370.80,368.46,364.95,364.21,372.51,382.54,375.51,376.34,378.80,377.60,380.72,374.60,365.32,361.60,361.41,359.52,361.72,366.90,368.75,363.50,359.75,354.62,353.41,356.64,363.57,364.84,359.05,363.97,356.77,365.51,366.94,360.39,356.68,354.13,354.96,354.88,357.50,360.72,364.54,359.72,366.88,368.44,363.37,367.32,360.14,359.77,364.38,358.00,357.97,359.40,359.47,360.56,360.10,356.78,359.81,362.98,375.57,373.32
1999-12-16 22:07:33+00:00,L7,379.06,342.41,342.44,343.27,333.76,335.61,336.53,330.21,338.52,347.43,345.06,344.35,342.89,343.70,346.79,343.17,341.33,334.37,333.82,336.75,338.03,343.58,345.34,342.37,333.39,327.99,328.58,334.07,334.94,335.44,335.47,334.11,333.81,330.09,330.68,326.97,325.53,321.42,322.98,321.68,323.27,329.95,327.14,333.86,332.89,337.31,342.09,340.53,335.29,331.32,334.20,332.93,335.42,331.56,331.39,331.47,330.45,330.14,329.31,335.74,340.16,350.51
2000-02-18 22:07:16+00:00,L7,393.30,368.12,367.01,368.06,361.45,354.12,358.27,352.84,351.80,368.21,365.17,365.91,364.34,366.66,370.93,368.93,359.14,361.39,359.79,358.76,358.62,361.09,365.27,364.18,363.78,359.27,364.79,361.97,364.16,370.43,360.13,357.67,355.86,360.86,362.82,359.61,353.75,353.87,352.81,349.82,347.38,354.97,364.71,367.26,370.19,371.34,377.67,372.86,373.80,365.45,366.24,356.92,351.60,350.34,348.35,351.79,356.06,352.31,356.62,356.58,360.05,370.32
2000-02-25 22:13:25+00:00,L7,379.15,321.05,329.94,327.59,331.13,328.07,326.73,313.16,329.68,336.40,334.01,333.58,336.85,337.98,343.68,337.11,327.40,333.05,331.02,331.15,331.35,328.88,338.74,340.30,333.77,330.23,330.55,329.12,330.47,336.76,331.61,329.06,326.74,326.38,333.03,322.75,328.11,322.77,323.58,320.32,328.61,325.78,329.34,336.15,335.29,339.94,341.79,345.32,335.45,333.58,333.91,334.89,331.10,335.77,331.31,335.67,336.98,336.63,339.05,337.13,339.15,344.09
2000-05-08 22:06:44+00:00,L7,395.57,354.21,362.61,363.00,345.55,345.38,347.12,355.69,353.48,365.71,355.40,358.67,362.40,362.21,372.67,365.22,363.12,359.34,363.33,366.74,366.12,369.09,367.74,364.97,364.37,361.12,363.96,363.91,360.26,364.37,359.49,355.03,350.72,346.65,351.48,357.53,361.00,357.55,359.14,359.08,366.14,360.86,366.39,361.44,362.14,367.96,369.78,372.53,366.34,364.56,369.71,370.69,369.54,369.41,367.43,367.62,365.92,362.51,363.30,362.76,364.94,367.34
2000-05-31 22:12:42+00:00,L7,395.54,356.92,366.29,364.81,364.50,355.22,356.36,353.01,358.33,371.01,360.09,353.39,355.60,359.63,367.87,369.28,367.80,362.75,361.89,365.47,363.65,362.35,365.21,361.39,363.28,360.25,357.22,357.43,355.63,359.94,355.98,354.63,348.64,348.14,352.32,360.00,359.91,348.93,347.80,348.68,350.48,354.26,350.15,353.62,354.48,360.02,360.64,355.23,356.28,355.19,347.15,349.03,347.17,344.94,343.74,341.16,347.18,345.95,346.85,345.65,353.67,361.82
2000-06-25 22:06:19+00:00,L7,410.88,339.38,347.00,343.96,340.21,327.11,328.79,316.91,332.00,352.10,335.36,333.48,350.88,355.77,364.30,362.15,359.99,354.70,358.06,357.64,355.66,358.89,361.86,355.51,355.56,353.98,355.70,359.37,358.54,362.10,354.43,354.91,347.55,344.99,345.89,349.57,354.07,356.19,350.95,355.90,351.84,351.61,356.99,351.54,359.05,362.41,370.98,373.79,365.78,364.17,368.72,364.18,353.37,353.85,353.32,355.34,359.90,353.58,360.82,364.46,370.98,375.69
2000-08-03 22:11:55+00:00,L7,397.05,360.00,366.14,360.56,343.52,353.16,353.37,357.20,359.33,363.41,359.16,363.87,364.67,368.28,373.05,367.97,361.07,358.17,358.50,359.78,364.36,363.20,363.95,361.41,356.35,354.38,357.65,352.53,359.42,359.45,354.01,348.57,344.74,351.16,352.40,353.55,352.55,355.81,351.92,356.61,353.56,351.73,362.52,359.86,363.56,365.48,375.44,380.12,374.42,363.78,366.78,362.45,358.50,356.51,353.39,361.96,362.76,354.70,357.33,365.56,366.95,379.20
