dates,nzd0495-0000,nzd0495-0001,nzd0495-0002,nzd0495-0003,nzd0495-0004,nzd0495-0005,nzd0495-0006,nzd0495-0007,nzd0495-0008,nzd0495-0009,nzd0495-0010,nzd0495-0011,nzd0495-0012,nzd0495-0013,nzd0495-0014,nzd0495-0015,nzd0495-0016,nzd0495-0017,nzd0495-0018,nzd0495-0019,nzd0495-0020,nzd0495-0021,nzd0495-0022,nzd0495-0023,nzd0495-0024,nzd0495-0025,nzd0495-0026,nzd0495-0027,nzd0495-0028,nzd0495-0029,nzd0495-0030,nzd0495-0031,nzd0495-0032,nzd0495-0033,nzd0495-0034,nzd0495-0035,nzd0495-0036,nzd0495-0037,nzd0495-0038,nzd0495-0039,nzd0495-0040,nzd0495-0041,nzd0495-0042,nzd0495-0043,nzd0495-0044,nzd0495-0045,nzd0495-0046,nzd0495-0047,nzd0495-0048,nzd0495-0049,nzd0495-0050,nzd0495-0051,nzd0495-0052,nzd0495-0053,nzd0495-0054,nzd0495-0055,nzd0495-0056,nzd0495-0057,nzd0495-0058,nzd0495-0059,nzd0495-0060,nzd0495-0061,satname
1999-08-26 22:07:32+00:00,415.73,381.31,379.80,374.80,367.20,363.85,359.81,359.62,367.73,380.60,373.89,368.54,372.33,379.02,377.85,369.93,365.24,357.47,360.33,359.95,361.14,362.05,362.25,361.94,356.59,359.24,358.12,355.74,352.90,356.75,350.47,353.18,346.97,341.04,344.45,343.63,349.92,348.84,350.41,341.68,343.89,338.55,336.69,341.19,345.28,355.55,353.52,355.57,354.93,348.74,351.93,348.40,346.38,347.97,349.65,350.90,353.24,349.67,356.83,361.11,371.07,391.24,L7
1999-11-05 22:13:40+00:00,404.93,371.76,373.81,372.38,362.65,361.48,356.38,354.06,362.08,372.11,366.67,363.06,364.69,369.75,372.79,366.94,363.15,355.87,355.66,355.85,357.86,360.56,361.21,360.87,354.44,351.00,354.27,353.00,348.94,354.15,351.39,350.19,344.38,342.88,345.56,341.79,342.55,345.08,343.69,343.25,341.70,342.63,341.47,343.12,348.19,355.51,352.50,354.38,350.66,346.94,347.56,345.41,343.57,346.71,346.04,350.90,353.24,349.67,356.83,361.11,371.07,391.24,L7
1999-12-07 22:13:41+00:00,403.22,369.68,370.96,370.36,364.15,362.10,355.68,352.11,361.67,372.03,366.33,364.44,366.72,369.32,372.15,367.36,361.36,354.94,355.45,354.40,356.48,360.01,360.44,358.90,353.17,349.69,351.47,350.93,349.94,354.43,351.28,352.42,345.46,345.68,348.42,343.73,343.70,345.26,344.40,343.57,343.92,345.11,344.89,344.77,350.87,357.16,353.08,355.64,350.26,347.66,348.90,345.73,344.82,349.51,348.27,352.82,354.00,351.45,356.72,359.00,369.95,376.46,L7
1999-12-16 22:07:33+00:00,398.06,365.19,365.36,364.99,357.55,356.88,353.81,351.01,359.07,368.80,363.71,361.92,362.95,365.42,368.50,363.06,358.42,352.13,351.79,352.18,354.06,358.09,359.36,357.10,350.72,346.33,347.81,349.41,349.37,352.38,349.51,349.78,345.05,345.67,347.49,343.04,342.07,341.63,341.55,341.01,341.26,344.24,343.95,345.23,349.29,354.38,352.83,354.37,349.44,346.50,348.72,345.71,345.38,346.19,345.89,347.82,348.10,345.64,348.75,353.47,362.48,372.05,L7
2000-02-18 22:07:16+00:00,396.34,363.75,364.36,364.39,357.46,355.11,352.17,347.58,354.85,366.15,361.66,360.54,361.33,363.49,366.65,362.71,356.77,351.95,351.87,351.59,353.07,356.79,358.20,356.49,351.16,347.13,349.42,349.58,349.57,353.65,349.74,349.67,345.04,345.33,347.51,343.31,341.88,342.05,341.63,340.24,340.31,343.85,345.06,346.87,350.94,355.87,355.63,355.89,351.78,347.75,349.19,345.19,344.09,346.01,344.78,347.09,348.50,346.25,349.77,352.44,359.87,368.17,L7
2000-02-25 22:13:25+00:00,389.42,352.74,355.07,355.57,350.70,348.58,346.85,340.23,348.66,358.61,354.89,354.67,355.21,356.40,361.02,356.93,350.12,348.11,346.79,346.81,348.09,351.13,354.70,353.20,347.71,342.24,344.82,345.46,346.50,350.85,346.94,345.72,342.11,344.13,346.79,340.70,338.81,337.88,337.37,337.27,338.37,342.59,345.15,347.28,350.24,353.73,354.40,354.96,349.18,346.02,347.14,343.91,342.34,344.09,341.94,344.17,345.25,343.53,345.81,347.37,352.92,358.15,L7
2000-05-08 22:06:44+00:00,389.79,351.35,354.17,354.30,348.28,345.96,345.95,342.07,348.36,359.29,354.32,355.11,356.48,356.97,362.25,357.35,350.72,349.34,349.41,350.01,350.59,353.33,356.46,354.45,350.35,346.11,347.72,348.43,349.84,353.66,348.58,347.46,344.12,344.88,348.07,344.53,344.25,341.34,342.04,340.39,343.92,345.69,349.50,350.85,352.71,356.42,358.28,359.05,353.44,350.17,352.77,349.85,348.36,348.99,347.11,349.00,349.52,347.42,349.39,350.60,355.49,360.28,L7
2000-05-31 22:12:42+00:00,390.49,351.61,355.75,355.65,350.69,347.10,346.85,342.64,349.11,360.41,354.51,354.11,355.71,356.70,362.42,358.84,352.98,350.91,350.99,351.96,352.14,354.21,357.15,354.94,351.79,347.88,348.71,349.16,349.90,353.94,349.19,348.10,344.16,344.31,347.78,346.11,346.02,341.94,342.28,340.94,344.30,346.28,348.61,350.40,352.17,356.40,357.96,357.70,353.08,350.17,350.83,348.80,347.33,347.98,346.02,347.24,348.71,346.89,348.71,349.30,354.66,359.63,L7
2000-06-25 22:06:19+00:00,394.89,347.94,354.57,353.48,348.57,341.98,343.45,338.32,345.06,358.68,350.01,349.00,354.01,356.45,363.89,360.54,355.49,354.25,354.82,355.95,355.08,356.06,359.76,357.27,356.15,352.97,354.44,354.36,353.81,358.72,352.33,350.26,345.90,345.40,349.11,349.89,351.37,347.86,346.85,346.76,348.89,349.49,353.52,354.00,356.23,360.33,364.17,363.94,359.53,356.59,357.15,355.14,350.55,350.86,348.83,350.32,353.21,350.20,353.33,353.31,357.76,363.85,L7
2000-08-03 22:11:55+00:00,394.95,349.15,355.98,354.18,347.38,343.36,344.11,339.97,346.35,358.47,350.61,350.62,355.04,357.56,364.49,361.18,355.71,354.10,354.83,355.84,355.88,356.50,359.54,357.16,355.33,352.50,354.27,353.13,353.65,357.92,351.86,349.31,344.85,345.03,348.46,349.30,350.56,348.39,346.84,347.40,348.81,348.87,353.82,353.89,356.45,360.44,365.19,365.78,361.01,356.79,357.55,355.27,350.88,351.40,348.96,351.71,354.30,350.61,353.69,354.78,358.66,365.32,L7
