dates,nzd0495-0000,nzd0495-0001,nzd0495-0002,nzd0495-0003,nzd0495-0004,nzd0495-0005,nzd0495-0006,nzd0495-0007,nzd0495-0008,nzd0495-0009,nzd0495-0010,nzd0495-0011,nzd0495-0012,nzd0495-0013,nzd0495-0014,nzd0495-0015,nzd0495-0016,nzd0495-0017,nzd0495-0018,nzd0495-0019,nzd0495-0020,nzd0495-0021,nzd0495-0022,nzd0495-0023,nzd0495-0024,nzd0495-0025,nzd0495-0026,nzd0495-0027,nzd0495-0028,nzd0495-0029,nzd0495-0030,nzd0495-0031,nzd0495-0032,nzd0495-0033,nzd0495-0034,nzd0495-0035,nzd0495-0036,nzd0495-0037,nzd0495-0038,nzd0495-0039,nzd0495-0040,nzd0495-0041,nzd0495-0042,nzd0495-0043,nzd0495-0044,nzd0495-0045,nzd0495-0046,nzd0495-0047,nzd0495-0048,nzd0495-0049,nzd0495-0050,nzd0495-0051,nzd0495-0052,nzd0495-0053,nzd0495-0054,nzd0495-0055,nzd0495-0056,nzd0495-0057,nzd0495-0058,nzd0495-0059,nzd0495-0060,nzd0495-0061,satname
1999-08-26 22:07:32+00:00,415.73,381.31,380.04,375.01,367.31,363.85,359.81,359.62,367.73,380.60,373.89,368.54,372.33,379.02,377.85,369.93,365.24,357.47,360.33,359.95,361.14,362.05,362.25,361.94,356.59,359.24,358.12,355.74,352.90,356.75,350.47,353.18,346.97,341.04,344.45,343.63,349.92,348.84,350.41,341.68,343.14,338.55,336.69,341.19,345.28,355.55,353.52,355.57,354.93,348.74,351.93,348.40,346.38,347.81,349.65,350.90,353.24,349.56,356.83,361.11,371.07,391.24,L7
1999-11-05 22:13:40+00:00,394.13,362.22,367.90,370.02,358.14,359.10,352.95,348.50,356.42,363.62,359.45,357.58,357.04,360.49,367.73,363.94,361.06,354.27,351.00,351.74,354.58,359.08,360.16,359.79,352.30,342.75,350.42,350.27,344.99,351.56,352.31,347.21,341.78,344.71,346.68,339.96,335.17,341.33,336.97,344.81,339.30,346.72,346.24,345.05,351.11,355.48,351.49,353.18,346.39,345.15,343.18,342.43,340.77,345.39,342.43,,,,,,,,L7
1999-12-07 22:13:41+00:00,399.80,365.50,365.50,366.52,367.24,363.34,354.28,348.21,360.87,371.87,365.66,367.20,370.80,368.46,370.87,368.20,357.79,353.07,355.01,351.52,353.72,358.90,358.90,354.97,350.61,347.09,345.88,346.79,351.93,354.99,351.05,356.86,347.63,351.29,354.14,347.59,346.01,345.60,345.82,344.21,347.65,350.05,351.74,348.08,356.21,360.44,354.23,358.18,349.47,349.10,351.58,346.36,347.30,354.99,352.73,354.74,354.77,353.12,356.61,356.88,368.83,361.68,L7
1999-12-16 22:07:33+00:00,382.56,351.74,348.27,348.65,337.65,341.21,348.20,347.71,351.25,359.10,355.83,354.35,351.64,353.70,357.56,350.17,349.57,343.70,340.82,345.50,346.78,352.33,356.11,351.70,343.39,336.23,336.82,344.84,347.67,346.21,344.22,341.89,343.81,345.65,344.68,340.97,337.20,330.75,332.98,333.35,334.04,341.62,341.14,346.59,344.56,346.06,352.09,350.53,346.96,342.99,348.20,345.66,347.09,336.39,338.76,337.83,336.28,334.14,332.81,342.41,347.53,363.24,L7
2000-02-18 22:07:16+00:00,389.50,357.99,360.68,362.21,357.23,348.04,345.60,333.84,337.98,355.54,353.48,355.05,354.84,355.80,359.24,361.33,350.20,351.26,352.19,349.26,349.12,351.59,353.58,354.05,352.92,350.33,355.85,350.28,350.34,358.74,350.63,349.23,345.00,343.97,347.62,344.41,341.08,343.74,341.95,337.15,335.69,342.30,349.51,353.44,357.52,361.84,366.81,362.00,361.13,352.78,351.04,343.10,338.93,345.10,340.35,344.88,349.73,347.97,352.82,349.34,352.05,356.50,L7
2000-02-25 22:13:25+00:00,381.10,326.25,333.19,330.59,333.30,331.19,333.23,322.91,336.77,342.90,340.01,339.15,341.73,343.55,349.68,341.01,331.99,338.25,334.92,336.02,336.23,333.75,344.74,345.50,339.34,334.82,335.14,335.12,337.56,342.76,336.49,333.39,332.31,335.05,340.83,330.55,334.61,327.97,329.15,326.82,334.61,332.28,337.14,343.24,341.79,344.81,347.36,350.89,341.95,340.08,341.71,341.98,337.60,338.46,335.42,339.22,340.23,338.86,341.00,340.84,343.26,351.18,L7
2000-05-08 22:06:44+00:00,395.97,355.28,363.28,363.62,345.99,346.02,348.45,357.69,354.93,367.04,356.63,359.81,363.40,363.35,373.90,366.02,364.06,360.41,364.13,367.74,367.12,370.09,368.97,366.04,365.51,362.06,364.90,365.14,361.71,365.60,360.49,355.92,351.86,348.43,353.08,359.13,362.33,358.62,360.28,360.41,367.37,362.19,367.99,362.89,363.47,368.96,370.92,373.67,367.67,365.89,371.31,372.14,370.87,369.96,368.27,368.35,366.59,362.97,363.70,363.52,365.78,368.79,L7
2000-05-31 22:12:42+00:00,394.04,352.92,363.79,362.50,362.83,352.82,351.36,345.51,352.88,366.01,355.47,349.10,351.85,355.34,363.25,366.28,364.27,358.75,358.89,361.72,359.90,358.60,360.59,357.39,358.99,356.72,353.69,352.81,350.18,355.32,352.23,351.30,344.35,341.47,346.32,354.00,354.91,344.93,343.51,343.68,345.86,349.26,344.15,348.17,349.48,356.27,356.35,350.94,351.28,350.19,341.15,343.58,342.17,342.87,340.58,338.43,344.68,344.24,345.35,342.79,350.51,356.37,L7
2000-06-25 22:06:19+00:00,413.83,347.25,351.92,348.50,343.49,331.83,338.62,331.66,342.73,361.93,344.44,341.91,358.25,364.20,373.38,368.05,366.93,362.57,363.96,365.01,363.04,366.26,370.94,363.38,363.99,360.92,362.64,368.45,369.27,371.18,361.81,361.47,355.98,358.10,357.69,361.37,363.90,364.06,359.38,365.73,360.92,361.44,368.79,362.27,368.88,369.79,379.41,382.22,375.61,374.00,380.52,374.91,363.20,357.92,359.53,360.70,364.82,356.95,363.77,370.08,377.19,386.42,L7
2000-08-03 22:11:55+00:00,395.25,355.20,363.14,357.79,341.52,350.28,347.37,348.20,352.78,357.41,353.62,358.73,360.17,363.14,367.51,364.37,356.83,353.37,354.90,355.28,359.86,358.70,358.41,356.61,351.21,350.14,353.41,346.99,352.87,353.91,349.51,344.57,339.60,343.16,345.20,346.35,346.55,351.01,346.78,350.61,348.02,345.73,355.32,353.31,357.56,360.98,370.30,374.98,368.42,357.78,359.58,355.90,352.50,354.03,349.60,358.69,359.76,352.64,355.53,362.13,363.16,372.65,L7
