dates,nzd0460-0000,nzd0460-0001,nzd0460-0002,nzd0460-0003,nzd0460-0004,nzd0460-0005,nzd0460-0006,nzd0460-0007,nzd0460-0008,nzd0460-0009,nzd0460-0010,nzd0460-0011,nzd0460-0012,nzd0460-0013,nzd0460-0014,nzd0460-0015,nzd0460-0016,nzd0460-0017,nzd0460-0018,nzd0460-0019,nzd0460-0020,nzd0460-0021,nzd0460-0022,nzd0460-0023,nzd0460-0024,nzd0460-0025,nzd0460-0026,nzd0460-0027,nzd0460-0028,nzd0460-0029,nzd0460-0030,nzd0460-0031,nzd0460-0032,nzd0460-0033,nzd0460-0034,nzd0460-0035,nzd0460-0036,nzd0460-0037,nzd0460-0038,nzd0460-0039,nzd0460-0040,nzd0460-0041,nzd0460-0042,nzd0460-0043,nzd0460-0044,nzd0460-0045,nzd0460-0046,nzd0460-0047,nzd0460-0048,nzd0460-0049,nzd0460-0050,nzd0460-0051,nzd0460-0052,nzd0460-0053,nzd0460-0054,nzd0460-0055,nzd0460-0056,nzd0460-0057,nzd0460-0058,nzd0460-0059,nzd0460-0060,nzd0460-0061,nzd0460-0062,nzd0460-0063,nzd0460-0064,nzd0460-0065,nzd0460-0066,nzd0460-0067,nzd0460-0068,nzd0460-0069,nzd0460-0070,nzd0460-0071,nzd0460-0072,nzd0460-0073,nzd0460-0074,nzd0460-0075,nzd0460-0076,nzd0460-0077,nzd0460-0078,nzd0460-0079,nzd0460-0080,nzd0460-0081,nzd0460-0082,nzd0460-0083,nzd0460-0084,nzd0460-0085,satname
1999-09-25 22:19:33+00:00,392.48,382.99,371.26,370.88,361.95,357.45,361.70,360.58,366.81,377.87,376.04,380.03,381.42,386.57,375.79,367.33,362.63,355.17,347.81,346.90,337.86,329.91,326.87,324.02,324.74,327.51,324.45,328.11,336.29,342.78,356.17,357.89,351.57,359.18,368.95,368.73,370.58,373.95,388.20,388.98,398.20,405.89,420.02,427.09,420.24,410.30,405.32,399.93,380.17,382.23,367.18,373.03,372.54,367.47,360.61,353.75,333.75,332.73,333.35,339.98,325.62,315.86,313.38,304.23,293.89,285.18,302.18,300.80,298.06,306.52,293.73,292.10,306.03,306.56,303.81,304.90,313.08,317.95,317.61,313.47,312.09,308.45,306.07,,,,L7
1999-11-12 22:19:27+00:00,395.11,381.73,373.35,368.76,361.41,355.79,365.15,365.95,368.36,376.00,376.02,375.98,383.71,387.98,374.45,367.72,358.39,351.80,341.00,336.20,329.53,326.21,324.20,321.63,321.51,323.80,325.94,331.29,337.37,344.04,352.62,352.96,351.74,356.33,360.47,365.31,370.24,372.21,381.94,385.78,397.44,408.41,418.28,426.35,416.72,408.91,400.45,394.10,379.88,378.98,371.52,368.07,366.60,366.04,358.81,349.61,337.70,331.82,330.11,329.78,319.48,314.50,311.04,303.94,296.92,292.65,299.90,296.62,300.85,304.69,297.83,298.69,306.87,304.41,298.61,307.20,317.38,319.77,311.94,309.75,309.12,310.69,320.59,364.60,383.37,382.10,L7
1999-11-19 22:25:35+00:00,394.71,382.72,370.18,363.82,355.11,354.46,363.19,365.86,366.63,369.95,370.75,373.76,382.89,388.62,374.14,367.16,356.49,351.33,339.78,334.84,328.54,325.67,321.91,321.10,319.97,322.24,325.91,330.64,337.72,341.59,348.81,351.71,348.71,352.75,357.85,365.59,368.06,369.95,376.82,386.46,398.08,405.82,413.60,422.00,413.83,402.99,395.99,388.20,375.35,374.49,369.95,370.10,366.03,364.80,357.28,348.58,338.59,331.78,328.16,326.05,318.92,313.86,309.84,302.57,298.09,291.69,296.24,294.66,295.64,297.76,293.01,294.86,303.70,300.73,299.14,306.58,315.18,314.95,308.88,306.37,310.24,309.64,322.94,365.02,381.79,382.10,L7
1999-11-28 22:19:20+00:00,394.71,382.72,370.18,363.82,355.11,354.46,363.19,365.86,366.63,369.95,370.75,373.76,382.89,388.62,374.14,367.16,356.49,351.33,339.78,334.84,328.54,325.67,321.91,321.10,319.97,322.24,325.91,330.64,337.72,341.59,348.81,351.71,348.71,354.37,360.15,364.94,368.37,373.81,382.62,391.08,400.78,407.50,414.85,421.91,413.40,404.38,395.11,388.69,379.65,375.66,374.88,370.83,366.94,365.68,357.06,347.06,340.72,334.53,329.06,325.42,320.18,316.04,312.50,306.46,302.10,296.86,297.22,293.70,295.04,298.34,294.55,296.87,305.18,305.34,303.84,309.37,315.38,314.41,311.00,309.91,313.97,315.26,328.12,371.01,390.98,392.30,L7
1999-12-05 22:25:37+00:00,391.49,381.54,371.27,365.50,356.10,355.26,361.32,364.08,365.76,367.93,369.21,373.19,381.45,387.80,373.87,365.23,354.12,347.87,337.93,333.16,327.74,325.26,322.27,320.63,318.60,322.35,324.13,327.60,333.96,339.56,346.50,349.72,349.21,353.02,358.01,362.51,367.05,372.79,383.81,391.32,400.36,408.07,415.20,421.44,412.67,403.27,395.77,389.79,379.81,374.99,372.93,372.14,367.26,364.83,355.81,344.83,339.22,335.03,328.39,325.52,320.56,315.15,311.34,304.85,299.86,294.25,296.69,293.51,293.22,296.81,293.20,296.39,304.16,305.86,304.47,308.53,313.10,311.90,308.69,309.10,314.11,316.95,329.33,371.14,389.44,392.30,L7
2000-01-31 22:19:21+00:00,392.15,382.11,371.71,366.29,358.06,357.76,362.31,364.29,366.38,368.67,370.20,374.80,382.66,388.78,374.77,365.92,355.13,348.36,339.21,333.83,328.10,325.67,322.81,320.67,319.08,322.03,324.52,328.10,334.03,339.26,346.13,348.77,349.19,353.75,358.43,362.63,367.16,373.63,383.92,391.42,399.63,407.77,414.94,421.16,412.17,402.61,395.57,389.80,380.15,375.36,373.78,373.75,368.13,364.25,354.07,343.15,340.40,336.34,328.58,325.12,319.36,313.28,309.87,303.71,299.52,294.49,296.31,294.23,294.25,297.08,293.12,295.65,302.65,305.12,305.11,307.63,310.05,312.08,312.20,314.18,320.35,323.28,333.74,366.24,377.11,365.30,L7
2000-02-16 22:19:16+00:00,393.99,383.13,372.89,369.36,360.39,360.93,362.86,365.38,366.86,369.79,371.45,375.92,384.64,390.22,376.27,367.25,357.30,349.70,341.59,336.26,329.92,327.91,325.13,322.69,321.10,324.08,326.86,328.10,334.03,339.26,346.13,348.77,349.19,353.75,358.43,362.63,367.16,373.63,383.92,391.42,399.63,407.77,414.94,421.16,412.17,402.61,395.57,389.80,380.15,375.36,373.78,373.75,368.13,364.25,354.07,343.15,340.77,336.76,329.83,325.59,319.65,312.97,309.49,303.90,299.54,295.76,297.41,295.55,294.92,298.69,294.37,296.80,303.06,305.69,307.01,308.23,309.58,312.13,314.65,317.09,323.11,326.55,335.63,362.45,367.43,352.58,L7
2000-04-20 22:18:51+00:00,394.87,383.89,374.80,370.18,361.32,362.72,363.61,365.98,366.94,368.27,370.56,375.63,384.89,390.47,377.31,367.56,355.18,347.34,339.49,333.29,328.12,327.14,324.31,322.36,321.50,323.44,327.47,329.45,333.17,337.86,343.11,347.56,349.11,352.36,355.82,360.79,365.54,373.68,381.34,390.44,398.90,406.38,411.31,417.14,410.01,400.85,393.73,387.89,379.10,371.45,372.43,372.06,367.48,364.56,352.32,341.22,340.34,335.49,327.71,321.53,317.50,312.81,308.51,302.65,298.76,297.25,297.38,295.39,295.12,297.88,294.84,297.83,302.10,303.62,307.01,309.69,309.70,311.02,314.92,318.47,324.46,326.95,336.23,354.86,358.61,346.25,L7
2000-05-22 22:18:33+00:00,394.39,385.78,377.02,372.59,363.69,365.14,362.78,358.56,367.01,369.40,371.79,378.13,386.15,390.62,378.89,367.33,354.82,346.57,340.67,334.56,329.73,326.65,323.67,322.75,322.16,324.58,325.10,324.94,327.91,336.32,342.37,346.44,347.80,351.01,355.70,358.25,363.06,374.41,382.55,389.94,398.32,403.88,411.47,416.11,407.84,399.66,393.10,387.85,379.26,370.25,372.74,370.33,366.41,361.31,348.83,337.75,338.37,333.72,326.49,320.94,316.19,311.99,308.07,303.73,297.38,295.31,297.90,296.81,295.11,297.63,296.35,298.47,301.92,305.94,311.09,310.60,307.08,310.05,319.08,324.73,330.52,333.63,338.17,350.79,349.34,337.29,L7
2000-06-07 22:18:24+00:00,398.57,392.91,379.08,374.16,366.80,368.69,367.62,361.78,369.92,372.37,377.17,383.90,390.20,393.52,382.37,371.22,359.37,351.50,344.25,338.08,332.94,329.62,324.98,324.42,325.22,328.10,329.67,333.75,336.47,340.91,349.32,348.55,350.38,355.82,358.88,362.89,364.55,375.94,382.05,388.50,398.67,404.25,410.76,418.59,409.86,400.42,394.95,385.90,378.61,369.01,373.23,365.78,364.61,360.38,349.13,342.42,339.26,333.23,325.85,318.30,314.09,312.05,308.97,303.49,298.31,300.46,301.56,299.56,299.06,301.50,302.03,302.75,302.06,304.04,310.25,312.38,310.83,314.39,323.19,332.41,337.58,337.45,337.69,333.15,317.51,315.55,L7
2000-11-14 22:16:54+00:00,398.94,400.19,383.70,373.83,363.26,363.14,368.71,357.55,371.35,372.26,379.53,385.33,388.19,391.57,380.98,370.32,357.31,349.66,339.17,333.40,330.20,325.56,320.04,321.46,322.51,329.46,326.50,333.14,336.86,342.42,352.24,348.64,349.77,356.09,360.04,366.06,366.85,377.27,384.49,388.05,396.79,404.89,414.09,421.55,408.64,397.25,391.82,382.44,376.74,371.21,375.44,363.41,361.11,356.80,345.33,340.52,334.98,329.01,321.69,315.01,312.94,313.08,309.23,306.36,307.13,307.99,306.67,300.44,302.61,301.12,308.84,309.85,308.38,312.31,310.38,316.91,322.25,317.88,318.50,332.44,,,,,,,L7
2000-12-07 22:23:04+00:00,403.26,396.64,392.15,382.99,369.56,361.34,363.26,365.81,370.46,371.23,370.15,373.32,378.74,384.63,374.71,362.95,349.91,337.19,331.44,326.33,322.95,318.70,316.40,315.35,314.14,321.15,322.98,322.50,323.68,332.58,342.61,350.42,348.97,353.19,357.56,365.44,370.43,376.34,379.97,386.05,384.98,395.96,406.37,411.63,406.42,395.89,388.47,388.95,374.93,372.86,367.48,373.00,364.00,362.61,346.63,334.28,330.86,326.15,326.22,323.03,312.54,302.88,305.12,303.22,310.20,312.44,308.85,302.10,304.62,303.36,303.50,305.23,311.25,314.73,314.45,310.73,316.36,319.52,321.24,329.32,341.74,346.51,343.80,342.11,348.09,356.16,L7
2000-12-16 22:16:59+00:00,409.00,399.35,393.47,385.06,372.82,365.32,364.35,366.01,375.51,376.63,375.53,375.50,384.47,389.20,378.46,367.35,353.99,340.33,336.56,331.45,327.22,323.76,320.35,321.68,319.85,325.25,328.31,327.07,329.20,336.65,346.05,354.55,352.06,356.63,362.04,368.64,373.91,381.57,384.84,391.27,391.26,397.74,408.24,413.65,408.69,401.50,391.36,390.31,382.89,378.49,375.76,371.98,364.68,365.80,352.71,340.66,336.17,331.04,329.59,325.46,315.47,308.64,312.43,310.44,315.19,317.92,310.84,305.30,308.94,306.85,309.32,313.74,316.04,318.77,319.47,316.76,323.69,328.47,331.33,335.37,348.25,353.08,349.87,346.41,350.40,359.43,L7
2001-01-01 22:16:57+00:00,408.64,399.20,391.09,382.80,372.40,364.94,364.36,366.10,375.32,374.69,375.52,377.99,386.93,391.57,380.27,367.47,355.45,343.33,339.08,334.56,329.65,326.22,321.98,322.21,320.42,324.80,327.01,328.10,332.93,340.07,349.43,351.25,350.51,355.47,364.91,370.04,374.10,381.44,386.82,390.46,394.65,402.11,412.58,417.51,408.56,401.01,392.33,389.69,386.30,380.20,377.14,371.73,363.77,365.82,355.04,342.85,338.90,335.82,329.69,323.88,316.46,310.51,314.61,311.67,316.52,318.92,311.61,304.74,307.53,307.69,313.41,316.96,316.48,315.98,318.78,319.54,330.63,334.71,337.46,339.02,348.17,346.65,348.34,352.15,370.36,381.93,L7
