dates,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033,satname
2000-08-03 22:11:55+00:00,311.73,320.63,318.43,319.28,318.60,314.38,315.27,313.56,325.56,327.45,328.51,325.98,331.38,335.59,342.44,348.31,351.74,359.48,359.82,354.85,353.72,352.54,354.39,353.68,360.44,362.49,365.37,368.47,369.94,362.89,355.13,356.19,344.28,358.07,L7
2000-09-20 22:11:14+00:00,330.40,329.94,328.05,325.23,324.03,327.20,323.29,321.56,319.93,317.51,324.52,326.24,329.27,337.23,344.40,343.70,347.98,355.87,362.50,356.52,353.09,356.40,357.49,354.69,356.74,360.42,363.60,365.89,364.84,360.97,355.32,351.81,338.94,,L7
2001-01-26 22:11:18+00:00,316.71,314.95,317.74,318.69,318.58,314.28,316.08,320.18,320.83,324.15,325.84,334.41,339.82,340.70,345.20,,,,,,,,,,,,,,,,,,,,L7
2001-02-20 22:05:00+00:00,320.90,319.82,321.77,323.27,323.26,321.23,320.20,318.47,319.65,325.15,325.01,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-15 22:11:03+00:00,336.29,336.97,333.28,332.20,332.65,329.49,325.94,327.78,331.51,330.99,337.95,344.41,347.97,353.50,360.85,360.75,364.97,373.48,371.85,365.07,354.90,367.11,366.24,,,,,,,382.86,,,,,L7
2001-04-09 22:04:41+00:00,316.42,318.21,318.34,317.91,318.61,317.33,318.50,317.43,320.87,322.26,325.43,330.18,335.52,339.94,349.51,357.58,353.81,364.78,356.51,354.60,353.99,346.46,345.32,346.62,354.26,359.30,356.32,352.77,347.71,353.54,347.42,345.41,339.74,362.97,L7
2001-04-16 22:10:54+00:00,332.04,331.45,329.85,332.27,327.28,327.00,325.30,326.46,330.02,327.69,332.20,335.32,339.40,348.22,353.63,361.01,363.18,365.80,366.61,357.45,353.86,356.72,353.84,357.34,356.93,362.70,365.88,361.96,364.00,365.43,360.52,360.57,355.02,358.52,L7
2001-06-03 22:10:28+00:00,,355.20,350.92,346.91,351.92,347.20,342.44,350.46,365.57,354.84,355.70,356.86,359.28,358.50,365.63,374.32,371.72,374.62,371.58,368.25,360.83,360.55,360.96,357.95,361.63,365.92,366.93,368.06,366.53,368.19,360.41,360.61,359.65,366.03,L7
2001-06-28 22:03:56+00:00,347.46,349.41,346.53,346.43,343.56,344.67,341.84,340.77,347.19,345.76,350.00,353.73,361.06,363.44,365.61,369.40,372.84,375.51,379.84,375.29,369.41,373.37,369.84,369.86,373.21,377.18,383.14,377.42,379.08,375.98,371.39,376.18,370.83,368.14,L7
2001-07-05 22:10:09+00:00,360.03,355.25,366.53,355.09,357.55,351.93,355.35,357.93,360.02,366.76,366.11,362.46,369.45,377.76,385.68,393.75,380.81,397.13,397.75,391.12,387.51,378.47,381.75,377.81,384.33,387.45,387.01,383.35,379.59,384.89,384.49,377.81,372.84,387.76,L7
2001-07-14 22:03:57+00:00,,346.22,342.14,,,,336.34,333.98,335.41,,,340.92,351.74,356.68,357.91,,,370.18,375.30,366.48,363.81,364.46,362.68,366.06,364.40,367.34,372.54,369.59,372.42,369.76,371.52,365.95,362.55,369.51,L7
2001-08-15 22:03:26+00:00,324.93,330.08,329.93,329.77,329.77,327.58,321.64,322.23,322.98,321.18,326.92,328.99,330.42,337.79,344.33,343.03,340.86,347.30,352.14,346.25,335.38,339.41,340.51,341.19,348.47,352.30,360.41,356.21,349.65,345.50,328.16,326.67,318.26,346.95,L7
2001-11-19 22:03:08+00:00,334.15,331.85,329.77,329.04,325.84,323.81,323.72,328.96,327.54,328.82,332.06,335.19,340.00,342.48,347.09,352.92,354.29,359.36,358.57,351.12,344.05,344.36,341.08,345.45,349.23,350.47,356.12,350.22,350.08,350.20,340.57,335.95,326.95,341.52,L7
2001-11-26 22:09:21+00:00,321.16,317.56,322.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-12-12 22:09:26+00:00,316.19,316.57,318.06,317.99,316.72,310.46,313.16,316.82,318.69,317.61,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-12-28 22:09:25+00:00,307.42,309.07,309.89,302.07,304.35,303.23,305.35,306.61,311.81,312.79,313.63,317.25,324.14,326.41,332.75,339.06,336.79,341.69,331.45,337.71,331.14,330.17,327.14,328.78,,,,,,,,,,,L7
2002-01-29 22:09:33+00:00,323.57,322.48,327.91,317.15,323.48,325.20,331.80,322.38,327.68,326.72,332.54,324.16,331.17,350.59,362.97,356.59,329.10,348.05,338.60,339.57,343.44,336.84,335.54,330.87,332.99,338.72,345.63,347.43,341.65,337.51,315.58,333.22,323.23,354.08,L7
2002-02-23 22:03:31+00:00,331.86,328.78,326.67,329.10,322.36,321.36,321.48,316.71,321.45,322.65,322.41,327.94,326.79,329.11,340.59,340.70,343.00,348.34,348.05,338.15,336.81,337.65,335.24,337.77,336.58,344.94,351.49,349.19,348.13,339.60,337.08,328.43,321.45,,L7
2002-03-11 22:03:31+00:00,335.13,327.85,331.03,334.74,333.16,331.84,334.71,328.37,329.34,340.00,336.17,343.75,340.21,346.57,352.47,359.24,350.01,359.30,355.76,347.70,352.01,343.20,346.83,349.45,349.59,359.62,359.15,353.26,348.70,349.28,346.51,343.77,327.91,333.56,L7
2002-04-12 22:03:25+00:00,351.02,353.67,355.32,350.28,348.10,346.90,349.45,348.09,347.79,352.71,351.87,355.22,360.34,361.22,365.42,369.93,371.61,374.55,366.38,363.19,362.60,356.63,354.20,355.18,359.07,363.36,359.86,357.56,353.40,354.78,348.89,344.04,344.69,361.93,L7
2002-04-19 22:09:33+00:00,345.60,346.70,340.97,341.22,337.71,337.20,336.94,340.26,339.90,339.52,344.59,346.03,347.65,348.43,355.43,364.50,367.13,367.74,360.77,352.75,350.92,352.46,349.87,354.41,352.39,357.41,358.22,354.58,369.09,363.23,349.46,341.28,338.28,348.38,L7
2002-05-05 22:09:37+00:00,336.10,343.18,339.49,,,,329.93,330.55,333.34,337.88,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-05-14 22:03:19+00:00,329.82,332.85,332.88,329.28,330.85,326.46,327.97,328.53,330.70,330.22,332.61,335.73,340.25,341.39,344.07,360.45,347.82,356.21,352.71,351.16,351.05,348.75,346.38,343.85,349.10,352.13,356.70,349.37,348.45,351.33,343.55,344.67,351.62,367.09,L7
2002-05-30 22:03:13+00:00,347.65,344.46,340.92,341.47,341.58,340.92,338.50,338.47,346.97,346.12,345.59,348.65,349.35,350.93,354.43,361.88,356.66,367.34,365.57,363.19,366.06,359.49,,,,,,,,356.96,,,,,L7
2002-06-15 22:03:07+00:00,344.62,345.60,345.20,346.22,342.31,344.10,342.46,342.71,341.37,344.23,345.38,353.11,349.91,354.03,358.39,360.27,360.58,369.10,368.30,364.81,359.21,359.25,358.16,355.62,360.37,364.02,363.11,366.55,359.43,366.52,355.55,352.49,347.33,366.13,L7
2002-06-22 22:09:15+00:00,,,,,,,,,,,,324.93,326.72,332.11,338.90,343.68,333.07,345.09,347.94,344.23,339.04,333.55,336.45,332.98,332.34,333.23,330.33,325.33,318.97,319.19,,301.65,306.36,334.92,L7
2002-08-18 22:02:45+00:00,324.61,333.09,330.36,331.10,327.27,327.74,323.07,320.51,325.35,324.40,330.43,334.00,341.37,344.83,347.33,348.09,349.53,356.26,356.35,347.66,344.25,344.91,342.80,343.30,347.47,354.60,355.69,352.06,355.14,347.93,339.71,334.22,333.39,347.92,L7
2002-09-10 22:08:43+00:00,317.60,316.97,318.79,318.09,318.67,320.45,315.68,314.51,315.13,320.59,322.23,323.71,329.33,334.26,337.63,344.10,341.33,347.69,346.53,343.05,338.90,333.90,334.96,335.87,339.07,343.40,349.76,344.41,342.20,340.28,329.95,333.54,331.57,336.46,L7
2003-02-01 22:09:21+00:00,327.60,328.67,330.96,328.75,328.08,333.54,330.20,325.96,332.24,330.39,337.37,336.50,341.98,344.68,355.87,364.20,359.59,365.39,359.56,357.98,355.51,353.06,351.62,357.90,363.19,365.67,360.69,361.45,360.09,364.59,366.79,358.99,355.98,,L7
2003-08-04 21:57:34+00:00,,,,,,,,,,,,,,,,,,,,,,,353.05,,,,,,,,,,,,L5
2003-08-05 22:02:59+00:00,325.10,331.32,332.18,,,,,316.14,318.15,291.84,331.83,339.16,,,351.64,353.61,,,,,,352.15,354.81,,,,,,,,,,,,L7
2003-08-13 21:51:32+00:00,337.36,325.71,324.49,323.78,332.33,324.48,330.75,323.68,327.72,329.79,327.41,331.65,334.15,332.45,346.15,352.70,348.74,362.24,357.24,355.44,359.23,346.79,346.82,350.21,357.73,362.18,361.70,360.34,371.33,379.08,368.45,363.78,363.49,377.83,L5
2003-08-29 21:51:49+00:00,,,341.39,313.24,305.58,302.53,307.35,306.71,318.20,324.95,330.84,329.14,341.56,344.82,349.35,350.62,354.69,363.28,359.11,358.86,347.61,338.64,344.30,344.60,354.46,354.55,359.54,355.14,355.74,359.52,360.53,348.17,346.36,372.80,L5
2003-10-07 21:58:35+00:00,328.92,325.14,327.23,330.16,330.60,328.13,332.17,332.58,330.55,333.75,340.03,341.88,344.93,349.24,353.72,358.38,359.95,363.05,363.18,357.91,353.79,351.93,353.79,355.07,359.00,359.42,368.52,369.44,,,,,,,L5
2003-11-17 21:52:57+00:00,339.19,339.54,353.68,354.01,349.86,347.36,350.23,348.94,348.54,350.06,353.12,350.07,349.12,355.95,357.64,363.16,368.45,363.55,369.12,362.93,355.31,363.30,370.78,374.37,381.94,379.36,384.46,381.56,383.04,381.15,377.64,375.60,374.59,363.84,L5
2003-12-11 22:03:21+00:00,330.83,325.89,327.30,328.16,327.71,328.24,,,,339.10,336.81,338.51,345.97,349.54,358.38,364.31,365.19,370.09,369.05,366.05,360.77,353.67,354.05,355.84,357.94,363.92,363.65,362.90,363.26,,,,,,L7
2004-02-29 22:03:45+00:00,327.19,324.14,321.80,319.92,322.21,321.95,320.19,320.95,320.87,327.88,329.72,333.29,339.05,343.70,348.51,,,,,359.69,348.18,350.10,351.47,348.98,354.86,359.04,360.85,361.65,358.20,361.68,363.83,357.54,355.28,357.55,L7
2004-03-23 22:10:04+00:00,,,,,,,,,,323.46,323.16,330.57,335.00,339.19,,,,,,,,,,,,,,,,,,,,,L7
2004-04-01 22:03:52+00:00,327.67,323.85,321.69,322.59,321.64,318.20,320.58,,,,330.26,332.93,337.83,339.04,348.44,353.88,353.71,357.73,356.86,351.16,347.40,346.07,344.43,347.09,349.89,355.75,360.54,357.72,359.10,358.07,,,,,L7
2004-04-08 22:10:00+00:00,,,334.15,334.74,335.28,331.49,334.97,338.41,339.71,343.25,348.37,356.84,,,,,,,,,,,371.03,369.91,376.17,383.07,382.78,382.52,382.45,384.31,381.98,381.27,380.25,389.95,L7
2004-04-24 22:09:55+00:00,345.32,341.11,340.70,,,,,,,,,355.69,357.25,358.88,367.86,375.71,369.42,377.34,372.07,370.52,365.61,360.71,364.34,363.38,,,,,,,,,,,L7
2004-04-25 21:54:35+00:00,,,,,,,,,,,,,,,,,,,333.80,340.95,368.44,,,,,,,,,,,,,,L5
2004-05-03 22:03:47+00:00,328.68,325.79,326.94,327.90,328.05,325.11,324.98,323.30,328.73,330.91,332.10,,,,,366.95,361.78,370.58,364.30,358.77,355.75,350.58,349.42,354.17,360.53,366.31,368.37,365.62,364.62,366.44,363.02,360.85,360.07,370.73,L7
2004-05-18 22:01:26+00:00,349.24,348.68,338.88,336.75,335.61,329.35,326.49,328.17,333.91,336.56,341.12,347.63,354.28,358.95,365.29,376.84,373.89,379.97,371.34,368.81,369.55,364.33,,,,,,,,,,,,,L5
2004-05-26 22:09:57+00:00,,,,,,,,335.83,336.02,337.49,339.79,342.75,349.19,352.29,357.73,362.30,361.75,367.41,,,,,,,,,,,,,378.95,373.01,373.47,378.93,L7
2004-06-11 22:09:50+00:00,,363.18,353.25,349.37,349.85,345.03,347.72,347.91,347.33,346.65,349.05,,,,,,,,,,383.50,385.75,373.47,374.46,374.49,377.80,385.58,383.16,387.43,385.24,385.08,385.13,383.99,382.18,L7
2004-06-12 21:55:59+00:00,356.53,361.01,353.31,347.17,348.59,354.69,353.35,352.78,354.73,355.25,350.91,354.35,361.16,370.66,377.18,387.16,379.97,382.98,381.89,374.58,374.69,379.50,374.31,375.53,373.94,378.46,386.65,387.48,389.58,390.61,388.41,393.44,388.53,389.23,L5
2004-06-27 22:09:48+00:00,336.89,344.02,,,,,,,,,,341.83,348.09,355.93,356.95,358.63,363.78,367.60,370.34,359.95,356.85,,,,,,,,,,,,,,L7
2004-07-06 22:03:36+00:00,,304.59,,,,,272.10,303.88,311.42,317.67,323.45,329.02,336.56,341.39,350.51,,,,382.09,370.20,360.82,361.39,361.36,361.39,367.30,372.07,373.63,374.02,372.85,376.90,374.05,370.88,371.03,381.44,L7
2004-07-14 21:56:54+00:00,,309.95,312.37,302.12,307.04,304.87,299.48,308.99,308.11,309.69,318.33,325.04,330.48,335.94,342.71,339.73,346.87,358.28,348.36,,,,,,,365.02,369.51,367.88,362.77,353.21,360.74,373.47,376.15,365.19,L5
2004-07-29 22:09:38+00:00,336.80,336.73,335.43,332.00,330.00,332.86,333.13,331.65,333.18,333.55,,,,,,,,,,374.71,367.13,367.30,374.03,,,,,,,,,,,,L7
2004-08-15 21:57:37+00:00,,,,,,,,,,,333.77,,,,,,,365.58,362.54,365.25,363.78,354.56,356.85,360.52,,,,,,,,,,358.48,L5
2004-09-08 22:03:17+00:00,339.09,340.04,335.70,335.27,333.24,333.22,328.50,330.30,333.33,333.12,337.35,340.95,,,,351.67,356.73,366.05,367.71,363.29,355.48,355.26,357.71,355.65,359.52,365.97,370.34,368.41,373.63,370.21,362.64,364.65,357.01,354.63,L7
2004-09-24 22:03:12+00:00,342.24,341.93,338.71,337.73,336.07,,,,333.04,338.21,338.00,344.34,349.36,349.88,356.77,355.12,357.64,366.18,370.83,366.17,358.74,361.38,358.89,359.83,364.94,366.84,372.97,371.27,,,,,,,L7
2004-10-09 22:05:10+00:00,,,,,,,310.30,311.26,313.20,313.71,321.00,324.21,328.22,338.64,338.44,343.32,344.33,347.13,355.43,343.80,342.75,344.56,333.08,339.45,341.79,338.14,348.20,342.32,348.71,357.37,,,,,L5
2004-10-10 22:03:07+00:00,335.31,331.96,332.05,330.88,330.87,326.28,328.06,328.21,,,,343.41,345.28,348.66,354.16,359.14,361.00,366.19,366.50,362.92,359.72,358.65,354.10,359.91,360.76,364.77,369.81,363.86,369.19,368.82,370.82,367.22,,,L7
2004-10-18 21:59:11+00:00,340.78,338.97,336.56,335.21,330.84,332.14,332.09,331.90,331.79,333.22,335.63,341.99,356.07,359.75,362.65,364.85,366.64,373.09,371.66,367.47,363.74,363.10,361.59,362.53,369.25,368.12,374.31,372.46,374.60,375.57,372.20,370.04,365.74,369.68,L5
2004-12-29 22:03:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.46,365.12,360.36,370.52,L7
2005-01-13 22:06:52+00:00,351.31,332.85,332.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.19,366.45,366.21,378.71,L5
2005-01-14 22:04:00+00:00,336.47,334.29,332.93,331.13,328.66,326.37,327.66,328.60,329.71,331.66,331.63,334.52,342.94,347.54,349.52,,,,371.65,360.72,358.57,354.88,357.89,358.95,361.98,367.98,367.86,368.95,370.79,368.01,345.52,364.38,361.90,366.66,L7
2005-02-14 22:07:21+00:00,341.38,338.13,331.28,326.22,325.54,332.09,326.14,318.52,324.51,324.69,329.24,344.19,344.66,353.15,358.74,358.60,355.73,362.24,368.85,362.11,359.42,359.63,356.62,361.14,358.88,370.12,373.37,370.34,372.64,365.87,366.43,366.74,369.80,367.50,L5
2005-03-03 22:04:17+00:00,336.77,338.54,334.64,335.57,334.94,333.39,327.97,326.29,330.89,331.96,,,,,352.45,356.85,358.86,362.29,370.67,363.56,357.83,363.12,360.61,360.67,367.40,372.59,378.61,375.37,377.33,378.04,373.13,373.22,374.68,371.67,L7
2005-04-04 22:04:14+00:00,331.60,333.23,332.04,330.32,328.26,328.05,328.10,330.39,331.15,332.65,334.96,338.35,343.49,351.44,,,,,367.65,364.06,361.16,361.47,362.62,362.11,365.11,373.61,376.94,379.22,376.94,373.40,368.25,366.59,366.26,368.60,L7
2005-04-20 22:04:08+00:00,,321.61,,,,329.94,329.41,328.20,331.69,333.10,335.24,340.39,344.20,349.97,357.10,364.59,366.46,373.18,370.74,365.61,360.81,358.45,360.22,,,,,,376.33,375.43,372.52,368.37,369.29,365.68,L7
2005-04-27 22:10:21+00:00,329.99,331.45,333.68,332.82,,,,,,,,,,348.56,357.95,368.03,367.40,371.90,370.15,366.63,361.16,357.59,360.87,357.47,365.27,370.21,,,,,,,,,L7
2005-05-05 22:08:01+00:00,334.99,337.95,339.75,337.77,336.13,328.13,332.47,329.55,331.67,333.84,339.83,344.39,351.31,356.89,366.55,370.17,369.78,375.01,373.56,369.32,364.97,365.88,364.38,368.90,370.21,374.96,379.85,378.93,374.74,382.65,370.54,371.13,366.76,367.10,L5
2005-05-14 22:01:54+00:00,331.23,336.70,332.40,328.54,323.60,323.80,323.12,324.23,328.78,326.07,327.34,334.99,339.92,343.96,349.59,349.78,355.93,358.24,366.20,360.86,356.13,352.30,352.86,349.65,359.14,363.33,366.42,368.18,366.19,362.67,362.26,370.53,362.19,357.40,L5
2005-05-29 22:10:21+00:00,338.53,343.00,341.62,343.85,338.68,335.24,334.27,331.01,,,,,,,,,377.11,371.49,375.50,370.56,366.32,364.77,364.38,370.85,371.92,376.93,384.20,382.34,381.58,380.21,364.94,,,,L7
2005-06-07 22:04:06+00:00,,,,,342.09,338.83,334.79,337.23,339.05,344.20,368.10,,,389.59,392.81,397.90,387.70,402.76,392.40,393.40,393.02,385.16,,,,,396.40,391.78,393.99,391.75,384.70,388.54,384.63,393.29,L7
2005-06-22 22:08:22+00:00,334.20,327.07,335.74,335.52,326.97,328.10,328.26,331.30,330.29,332.81,332.38,333.55,339.15,352.03,365.99,368.72,366.86,380.46,377.28,374.92,369.33,357.11,356.90,362.99,366.42,371.20,378.01,381.92,372.65,367.92,364.25,359.63,369.13,384.61,L5
2005-06-23 22:04:01+00:00,336.47,339.19,341.86,334.70,337.02,341.75,344.91,344.20,345.80,350.26,349.69,347.62,357.19,360.39,,,,383.67,384.53,377.51,379.47,372.04,372.86,373.32,374.21,379.13,387.86,385.24,387.18,386.34,377.83,364.82,374.35,386.00,L7
2005-06-30 22:10:11+00:00,,,,,,,,,,,,347.55,,,,,,,,,,,360.18,,,,,,,,,,,,L7
2005-07-09 22:04:02+00:00,336.92,338.73,341.11,340.08,339.48,339.30,338.03,334.20,338.56,340.59,,,,363.16,367.94,377.87,380.54,386.12,383.64,383.77,373.72,372.15,372.08,376.15,378.11,387.13,390.19,389.68,385.56,386.75,376.79,374.41,373.65,378.34,L7
2005-07-16 22:10:12+00:00,345.61,,,,,,,,,,347.64,355.72,356.54,364.85,371.25,373.11,371.86,377.81,381.65,371.56,366.00,,,,,,,,,,,,,,L7
