dates,nzd0065-0000,nzd0065-0001,nzd0065-0002,nzd0065-0003,nzd0065-0004,nzd0065-0005,nzd0065-0006,nzd0065-0007,nzd0065-0008,nzd0065-0009,nzd0065-0010,nzd0065-0011,nzd0065-0012,nzd0065-0013,nzd0065-0014,nzd0065-0015,nzd0065-0016,nzd0065-0017,nzd0065-0018,nzd0065-0019,nzd0065-0020,nzd0065-0021,nzd0065-0022,nzd0065-0023,nzd0065-0024,nzd0065-0025,nzd0065-0026,satname
1999-10-04 22:10:38+00:00,379.29,375.90,376.57,378.48,369.62,365.93,369.02,372.52,362.73,349.05,353.28,359.07,355.61,348.87,357.44,351.67,363.12,,351.88,345.65,342.58,321.11,345.63,360.89,348.67,323.95,342.82,L7
2000-04-29 22:09:53+00:00,400.59,405.02,405.80,399.55,399.20,391.08,371.35,379.69,343.52,351.44,355.95,347.40,350.22,351.37,349.39,354.60,,334.77,353.28,350.59,353.38,332.18,355.49,357.11,354.37,342.47,375.65,L7
2000-08-03 22:08:44+00:00,427.15,402.30,390.90,383.55,378.73,370.94,375.20,371.71,362.26,364.06,362.21,362.82,365.52,366.95,360.84,367.05,,362.12,373.88,358.66,355.31,344.78,350.61,367.53,349.57,341.05,316.46,L7
2000-08-19 22:08:38+00:00,393.28,381.15,369.47,352.54,359.12,356.00,353.50,349.65,346.28,340.51,342.79,348.42,351.05,353.77,357.51,357.28,347.38,336.62,345.43,346.56,343.07,336.91,342.53,364.95,346.70,350.02,333.06,L7
2000-11-07 22:07:53+00:00,,394.90,378.77,381.73,379.02,382.13,381.33,375.15,355.75,329.02,348.36,349.34,345.18,345.56,340.89,350.69,340.91,335.37,338.87,335.51,336.85,340.98,352.21,360.91,340.77,344.10,346.34,L7
2001-02-11 22:08:01+00:00,425.25,406.59,398.93,394.55,391.06,385.69,378.43,381.84,385.73,382.93,376.44,370.85,363.34,367.73,368.07,371.19,359.03,358.46,353.25,358.28,358.10,355.62,356.59,370.67,353.08,,350.77,L7
2001-05-18 22:07:26+00:00,407.58,409.97,400.00,387.31,378.29,374.60,375.72,374.17,373.84,361.86,366.72,370.67,375.79,370.70,366.68,355.30,,352.43,375.29,378.66,389.97,381.77,356.86,357.77,357.23,364.43,363.07,L7
2001-06-03 22:07:16+00:00,396.30,371.95,373.72,369.29,366.09,353.47,349.22,348.67,341.07,341.17,347.16,352.19,345.58,,,337.73,,,,,,,,,,,,L7
2001-09-07 22:06:11+00:00,404.18,383.65,383.77,374.41,371.10,362.07,355.51,348.04,343.97,336.52,340.63,347.13,342.82,345.93,343.43,342.55,344.59,330.86,339.19,344.21,342.54,336.09,334.51,348.54,336.28,331.99,,L7
2001-12-12 22:06:14+00:00,392.40,378.50,379.88,369.02,369.79,353.65,348.52,352.86,341.21,334.36,324.22,340.35,341.90,345.20,347.46,343.69,340.84,339.97,333.38,333.65,334.86,339.16,346.96,349.12,339.87,332.02,,L7
2002-03-18 22:06:22+00:00,,395.38,389.46,376.22,380.45,374.58,372.22,368.34,354.66,357.62,368.71,363.24,359.54,363.28,351.79,343.56,354.23,344.50,357.10,356.90,359.39,353.36,357.09,365.50,350.03,,346.48,L7
2002-05-21 22:06:17+00:00,378.71,381.40,385.50,388.54,377.52,366.30,357.70,356.46,348.01,319.20,340.79,355.14,355.19,353.70,356.96,357.38,,,,,332.03,325.51,338.76,334.66,329.04,326.91,333.19,L7
2002-10-28 22:05:22+00:00,387.77,373.37,367.60,367.51,365.14,365.28,358.72,351.87,347.05,343.35,343.12,340.69,329.23,315.64,311.06,341.37,314.28,314.43,324.98,338.81,344.20,,,,,,,L7
2002-11-13 22:05:30+00:00,394.63,375.78,370.37,367.02,367.92,367.28,360.89,351.11,337.04,331.86,345.03,341.52,322.48,314.79,305.50,305.80,322.72,321.39,331.67,337.78,338.82,332.20,338.10,340.00,330.60,,295.05,L7
