dates,sar1370-0000,sar1370-0001,sar1370-0002,sar1370-0003,sar1370-0004,satname
1984-04-13 09:27:31+00:00,226.06,214.58,232.22,213.46,205.46,L5
1984-07-18 09:29:10+00:00,227.49,218.51,234.00,213.76,207.90,L5
1984-08-19 09:30:15+00:00,227.88,219.36,233.71,214.23,207.81,L5
1984-10-22 09:30:24+00:00,227.00,218.60,234.37,214.58,208.90,L5
1984-11-07 09:30:17+00:00,226.72,216.77,232.39,215.15,209.24,L5
1984-12-09 09:30:22+00:00,226.09,216.99,233.27,215.09,208.21,L5
1985-03-31 09:30:43+00:00,224.66,214.94,232.62,213.41,206.77,L5
1985-05-02 09:30:31+00:00,225.84,213.77,230.74,212.53,206.59,L5
1985-06-03 09:30:28+00:00,226.41,216.08,231.14,209.96,206.44,L5
1985-06-19 09:30:26+00:00,225.44,214.74,228.38,209.17,206.61,L5
1985-07-05 09:30:21+00:00,226.17,216.20,229.63,210.70,208.51,L5
1985-08-06 09:30:06+00:00,226.17,215.59,227.80,209.78,208.02,L5
1985-08-22 09:29:56+00:00,226.67,217.15,228.24,210.17,208.37,L5
1985-09-23 09:29:32+00:00,227.34,217.24,228.28,210.57,208.78,L5
1985-10-09 09:29:23+00:00,227.97,217.05,228.58,210.95,209.49,L5
1985-10-25 09:29:11+00:00,227.08,216.85,229.51,211.28,208.81,L5
1985-11-10 09:28:57+00:00,226.75,218.18,230.25,211.87,209.13,L5
1986-01-13 09:27:46+00:00,224.83,216.95,230.76,211.58,208.22,L5
1986-03-18 09:26:22+00:00,224.02,214.42,230.27,213.42,209.39,L5
1986-05-05 09:25:17+00:00,222.33,212.56,225.30,215.55,212.09,L5
1986-05-21 09:24:51+00:00,223.61,213.84,225.06,214.94,213.94,L5
1986-07-08 09:23:21+00:00,224.67,216.93,227.00,214.11,213.66,L5
1986-08-09 09:22:13+00:00,229.38,219.78,226.99,213.62,214.50,L5
1986-08-25 09:21:37+00:00,229.46,220.06,227.42,213.46,213.16,L5
1986-09-10 09:21:03+00:00,228.70,219.47,227.54,213.17,212.01,L5
1986-12-31 09:19:38+00:00,226.28,221.29,230.75,212.02,207.92,L5
1987-02-01 09:20:35+00:00,223.80,218.49,229.00,212.74,206.88,L5
1987-04-06 09:23:00+00:00,220.63,219.66,229.22,216.59,209.09,L5
1987-06-25 09:25:08+00:00,224.99,219.88,230.38,216.06,211.66,L5
1987-07-27 09:25:49+00:00,227.73,220.47,232.19,215.87,213.59,L5
1987-08-28 09:26:45+00:00,229.74,218.81,231.69,215.22,214.36,L5
1987-09-13 09:27:09+00:00,229.70,217.83,231.07,214.96,213.75,L5
1987-10-31 09:28:04+00:00,228.30,215.17,231.14,217.22,212.78,L5
1987-11-16 09:28:26+00:00,227.65,215.36,230.45,217.93,212.41,L5
1987-12-02 09:28:42+00:00,227.23,215.58,231.21,216.45,210.78,L5
1988-01-19 09:29:29+00:00,224.16,214.06,225.93,216.78,209.34,L5
1988-02-20 09:30:02+00:00,222.32,213.44,221.58,214.83,208.22,L5
1988-04-24 09:30:31+00:00,221.99,213.76,220.51,216.34,208.37,L5
1988-05-26 09:30:48+00:00,224.79,213.86,217.80,211.78,209.14,L5
1988-06-11 09:30:53+00:00,224.60,212.03,213.28,212.23,211.10,L5
1988-06-27 09:30:59+00:00,225.62,213.75,217.32,212.11,211.34,L5
1988-07-13 09:31:03+00:00,226.57,215.71,220.06,211.08,211.46,L5
1988-07-29 09:31:06+00:00,227.55,215.76,223.00,211.24,210.15,L5
