,dates,per0016-0000,per0016-0001,per0016-0002,per0016-0003,per0016-0004,per0016-0005,per0016-0006,per0016-0007,per0016-0008,per0016-0009,per0016-0010,per0016-0011,per0016-0012,per0016-0013,per0016-0014,per0016-0015,per0016-0016,per0016-0017,per0016-0018
0,1985-09-03 15:03:06+00:00,240.6939154083512,232.83280299524728,228.42815306912325,215.86101588366353,233.53785144110682,239.93483367266296,222.41629597657004,223.0905817998203,239.01918487701963,227.57563429629855,228.3080321933877,231.50229536590624,232.65734017634443,226.84518223627748,210.7893514699353,215.9635616319876,207.69971001218798,202.6182269699313,202.4000136413121
1,1985-10-05 15:02:44+00:00,240.62334250548165,241.07205505324254,234.09195726374764,223.60442735096342,238.66537357411434,240.8246405608962,230.10518779574656,227.8728934916384,244.99814358022277,236.62929484201626,230.75908771753276,238.57399432241377,229.27793605318783,224.42050800936366,210.92211247393536,215.23165708071204,206.03107667368258,202.6589461273654,204.36099056902586
2,1985-12-08 15:01:45+00:00,227.12798074700612,238.97166566104542,218.57715475376557,206.16313751992925,211.99863982598214,201.42798909207818,204.89635482364815,217.12657057835332,233.28820813443892,223.4578548715631,222.46399330666236,229.48333003918742,226.10396224232397,216.0121261895344,206.96628887315396,202.956106230844,188.46566043703262,185.96579963931535,185.39851437390666
3,1986-03-14 14:59:46+00:00,217.66987451107275,219.3572649402455,206.44564408775054,206.04052725603222,201.79170396334627,189.01029335812999,194.1305588863665,203.54761254424577,234.49932334359852,235.38915312357688,238.66906498857952,255.78579706302193,245.86625843090812,238.3940330126357,240.03606569513232,237.26821512918613,219.61295964041997,213.37405995900528,205.24169243388366
4,1986-05-17 14:58:17+00:00,227.26367738542268,226.30766897912747,213.38188829015763,216.29302884533521,216.35083309284,198.56449320227586,196.3739986138354,209.8477947838227,240.8469533789835,238.00023275451161,231.52115873449117,243.75089958954786,241.02450845095987,239.42610790783556,238.66668928959805,235.3291406815136,220.29987094867766,214.2172760042849,214.21752978062898
5,1986-07-04 14:56:48+00:00,221.12702576969292,219.9006834430386,217.6219271651107,215.09897367556624,222.1922308947787,208.51433752053057,205.95612974406708,214.53216735561412,234.2967471973541,236.1304472692045,233.17421894057313,244.38538143898836,237.30036403808367,233.14671312661804,239.24692285310448,239.06770105959944,225.38486493365863,216.80456092218992,217.15502734173515
6,1986-07-20 14:56:15+00:00,226.39745828757262,227.2079315014471,221.24108902976118,216.91356685349484,223.68798062179388,214.28300691545397,209.50673887580098,214.92638906560293,234.9956800473132,231.36366252257935,235.81592413214582,246.20496176553493,242.98324034877592,238.44424391748817,234.3440201446036,239.09451128716225,229.57802723869128,220.48643996981554,219.30015571369984
7,1986-08-05 14:55:41+00:00,231.19706051419283,232.13267341668526,220.7786634108188,218.6481091538775,221.4856811844749,216.88356910957296,214.14734173623515,219.29214309274704,239.1953438743498,232.7546859000013,234.75362230145348,245.76961800263717,242.18512369177586,234.13452490656823,229.44808694142947,232.87604748740029,224.0126557403441,212.83285067602282,217.70120080163474
8,1986-09-06 14:54:29+00:00,233.62992836437968,232.54808631405584,226.9067607129322,216.69379228171522,222.91785911172963,217.97535495875363,208.88465986813765,215.94636846494728,237.5709732252471,229.23709330284478,229.93899065971755,239.7602047431796,234.7881129345044,224.33829020214165,220.87235538068543,223.57278330460412,210.09585220254448,205.24148164192462,204.90284155945795
9,1986-10-08 14:53:29+00:00,226.98799550463093,223.75314924802916,217.5472489606458,210.51650265459494,222.7915825058644,216.40782535013096,212.89041290809067,218.1819211636165,236.3060395575467,221.63573344178178,220.22916596194656,227.797766787822,221.23646114889888,220.349494563062,214.9502213990138,219.68325202136648,207.0335120270974,199.66283535385853,203.13710013566953
