dates,satname,sar2191-0000,sar2191-0001,sar2191-0002
1984-06-07 09:34:18+00:00,L5,218.94,226.62,226.82
1984-06-14 09:40:36+00:00,L5,207.32,226.38,222.91
1984-06-30 09:40:25+00:00,L5,207.36,203.55,214.30
1984-07-16 09:40:39+00:00,L5,,,
1984-08-01 09:41:13+00:00,L5,139.04,,9.85
1984-10-13 09:36:13+00:00,L5,210.97,209.97,218.99
1984-10-29 09:36:08+00:00,L5,214.58,227.86,222.00
1984-12-07 09:41:55+00:00,L5,219.61,279.44,231.31
1985-04-30 09:42:06+00:00,L5,200.08,307.42,200.36
1985-05-25 09:36:15+00:00,L5,206.42,193.25,211.17
1985-07-03 09:42:19+00:00,L5,,,
1985-07-28 09:35:58+00:00,L5,,,
1985-08-13 09:35:48+00:00,L5,211.41,238.62,225.72
1985-08-20 09:41:55+00:00,L5,191.05,206.13,222.99
1985-08-29 09:35:38+00:00,L5,,,
1985-09-05 09:41:19+00:00,L5,225.20,206.34,208.71
1985-09-14 09:35:25+00:00,L5,214.15,209.70,220.42
1985-09-21 09:41:31+00:00,L5,226.38,236.97,226.96
1985-10-23 09:41:10+00:00,L5,227.62,222.14,221.02
1986-01-20 09:33:24+00:00,L5,226.87,309.37,218.47
1986-03-16 09:37:58+00:00,L5,232.06,245.89,232.52
1986-03-25 09:32:01+00:00,L5,,,
1986-05-03 09:37:18+00:00,L5,204.92,210.64,225.52
1986-05-12 09:30:53+00:00,L5,232.47,245.54,232.84
1986-07-15 09:28:53+00:00,L5,223.70,205.65,212.95
1986-07-22 09:34:49+00:00,L5,207.26,208.45,218.44
1986-07-31 09:28:19+00:00,L5,235.94,301.30,222.62
1986-08-23 09:33:39+00:00,L5,209.07,201.10,222.88
1986-09-24 09:32:35+00:00,L5,222.29,218.51,224.65
1986-10-26 09:31:31+00:00,L5,,,
1987-01-23 09:26:04+00:00,L5,207.78,244.21,224.34
1987-04-20 09:35:01+00:00,L5,222.32,250.79,230.18
1987-05-15 09:29:57+00:00,L5,210.18,201.26,207.57
1987-05-22 09:35:55+00:00,L5,,,
1987-06-07 09:36:18+00:00,L5,216.66,237.12,230.87
1987-06-23 09:37:03+00:00,L5,204.07,205.18,209.31
1987-07-18 09:31:20+00:00,L5,252.42,291.50,231.09
1987-08-03 09:31:49+00:00,L5,217.52,217.42,219.96
1987-08-10 09:38:13+00:00,L5,191.85,203.22,223.16
1987-08-19 09:32:18+00:00,L5,225.03,217.41,221.67
1987-08-26 09:38:40+00:00,L5,218.75,200.64,217.16
1987-09-04 09:32:43+00:00,L5,219.18,239.46,218.55
1987-09-11 09:38:40+00:00,L5,225.09,231.99,231.86
1987-09-20 09:33:05+00:00,L5,221.01,235.08,228.91
1987-10-06 09:33:26+00:00,L5,,,
1987-11-07 09:34:02+00:00,L5,219.04,224.70,226.33
1988-01-01 09:41:07+00:00,L5,211.21,222.36,214.25
1988-02-11 09:35:41+00:00,L5,204.88,205.14,213.10
1988-03-14 09:36:03+00:00,L5,205.19,214.03,218.57
1988-04-15 09:36:14+00:00,L5,202.95,301.86,225.00
1988-04-22 09:42:04+00:00,L5,233.04,247.73,215.97
1988-05-01 09:36:21+00:00,L5,222.24,234.26,222.09
1988-06-02 09:36:38+00:00,L5,,,
1988-06-09 09:42:27+00:00,L5,191.55,210.79,216.51
1988-06-18 09:36:43+00:00,L5,223.38,224.73,227.85
1988-07-04 09:36:48+00:00,L5,217.27,206.53,219.40
1988-07-11 09:43:00+00:00,L5,191.40,209.74,225.26
1988-07-20 09:36:51+00:00,L5,,,
1988-07-27 09:42:39+00:00,L5,211.77,209.53,212.46
1988-08-12 09:43:01+00:00,L5,191.54,206.46,219.35
1988-08-21 09:36:53+00:00,L5,216.26,192.27,206.66
1988-08-28 09:42:43+00:00,L5,225.50,239.58,227.42
1988-09-06 09:36:55+00:00,L5,204.30,226.08,225.14
1988-09-22 09:36:50+00:00,L5,252.33,303.48,226.94
1988-09-29 09:42:55+00:00,L5,,209.74,232.56
