dates,satname,nzd0333-0000,nzd0333-0001,nzd0333-0002,nzd0333-0003,nzd0333-0004,nzd0333-0005,nzd0333-0006,nzd0333-0007,nzd0333-0008,nzd0333-0009,nzd0333-0010,nzd0333-0011,nzd0333-0012,nzd0333-0013,nzd0333-0014,nzd0333-0015,nzd0333-0016,nzd0333-0017,nzd0333-0018,nzd0333-0019,nzd0333-0020,nzd0333-0021,nzd0333-0022,nzd0333-0023,nzd0333-0024,nzd0333-0025,nzd0333-0026,nzd0333-0027
1999-08-17 22:12:02+00:00,L7,343.97,,,,354.48,366.09,359.54,367.61,373.12,369.22,371.21,360.27,351.40,356.81,364.53,373.00,379.18,389.01,375.39,360.72,368.56,382.00,373.59,366.79,369.59,372.34,,
1999-08-26 22:05:56+00:00,L7,340.58,331.42,,199.42,334.61,340.60,337.76,322.10,326.27,336.49,336.09,342.66,337.85,338.28,351.57,354.58,356.52,365.08,357.82,351.95,356.35,353.43,340.31,344.81,346.61,348.56,339.54,343.64
1999-10-13 22:06:00+00:00,L7,,322.06,331.47,333.80,325.40,289.98,305.45,322.09,332.90,319.04,332.16,286.69,,296.34,346.64,314.97,,,261.38,258.48,,,160.93,181.94,187.85,252.06,,
1999-11-21 22:12:00+00:00,L7,345.30,341.57,328.81,332.81,330.75,329.02,336.19,331.85,330.29,346.45,337.82,341.39,347.29,342.99,341.42,350.34,356.36,358.01,355.88,356.78,356.66,360.04,359.62,362.52,363.20,356.87,356.31,357.28
2000-03-21 22:06:01+00:00,L7,303.73,299.82,,,323.70,320.22,315.15,314.45,326.42,324.92,321.26,333.06,339.70,336.30,333.67,348.71,344.04,347.07,342.67,350.15,348.20,337.40,341.03,337.29,339.76,349.18,,341.18
2000-04-13 22:11:30+00:00,L7,344.39,321.43,,,361.91,345.90,339.18,340.22,338.44,339.38,334.09,338.96,345.18,356.42,362.40,347.14,347.44,351.38,361.74,357.63,374.50,379.21,367.67,346.97,347.97,367.07,,
2000-05-24 22:05:22+00:00,L7,,,,359.69,364.13,369.95,372.63,380.94,387.50,393.76,391.53,386.82,389.86,397.97,374.67,385.61,389.81,391.04,398.95,394.85,397.08,400.42,386.38,394.34,389.19,376.48,386.50,386.89
2000-06-25 22:05:07+00:00,L7,,,,,358.81,360.60,366.87,366.72,348.77,,362.07,375.30,363.66,,371.47,383.34,383.09,389.51,396.15,391.57,396.72,399.77,396.44,384.90,391.51,392.58,392.65,390.05
2000-07-11 22:04:29+00:00,L7,,,,,,349.20,351.49,357.46,352.43,133.98,338.96,367.75,361.45,,361.20,369.92,373.04,381.93,374.31,372.66,378.92,374.00,379.89,375.81,375.42,373.51,364.09,359.75
2000-07-27 22:04:36+00:00,L7,609.13,609.97,378.40,448.43,482.01,515.95,538.90,559.52,594.35,624.41,,,,,,,,,,,,638.53,309.62,,,,,
