dates,satname,nzd0351-0000,nzd0351-0001,nzd0351-0002,nzd0351-0003,nzd0351-0004,nzd0351-0005,nzd0351-0006,nzd0351-0007,nzd0351-0008,nzd0351-0009,nzd0351-0010,nzd0351-0011,nzd0351-0012,nzd0351-0013,nzd0351-0014,nzd0351-0015,nzd0351-0016,nzd0351-0017,nzd0351-0018,nzd0351-0019,nzd0351-0020,nzd0351-0021,nzd0351-0022,nzd0351-0023,nzd0351-0024,nzd0351-0025,nzd0351-0026,nzd0351-0027,nzd0351-0028,nzd0351-0029,nzd0351-0030,nzd0351-0031,nzd0351-0032,nzd0351-0033,nzd0351-0034,nzd0351-0035,nzd0351-0036,nzd0351-0037,nzd0351-0038,nzd0351-0039,nzd0351-0040,nzd0351-0041,nzd0351-0042,nzd0351-0043,nzd0351-0044,nzd0351-0045,nzd0351-0046,nzd0351-0047,nzd0351-0048,nzd0351-0049,nzd0351-0050,nzd0351-0051,nzd0351-0052,nzd0351-0053,nzd0351-0054,nzd0351-0055,nzd0351-0056,nzd0351-0057,nzd0351-0058,nzd0351-0059,nzd0351-0060,nzd0351-0061,nzd0351-0062,nzd0351-0063,nzd0351-0064,nzd0351-0065,nzd0351-0066,nzd0351-0067,nzd0351-0068,nzd0351-0069,nzd0351-0070,nzd0351-0071,nzd0351-0072,nzd0351-0073,nzd0351-0074,nzd0351-0075,nzd0351-0076,nzd0351-0077,nzd0351-0078,nzd0351-0079,nzd0351-0080,nzd0351-0081,nzd0351-0082,nzd0351-0083,nzd0351-0084,nzd0351-0085,nzd0351-0086,nzd0351-0087,nzd0351-0088,nzd0351-0089,nzd0351-0090,nzd0351-0091,nzd0351-0092,nzd0351-0093,nzd0351-0094,nzd0351-0095,nzd0351-0096,nzd0351-0097,nzd0351-0098,nzd0351-0099,nzd0351-0100,nzd0351-0101,nzd0351-0102,nzd0351-0103,nzd0351-0104,nzd0351-0105,nzd0351-0106,nzd0351-0107,nzd0351-0108,nzd0351-0109,nzd0351-0110,nzd0351-0111,nzd0351-0112,nzd0351-0113,nzd0351-0114,nzd0351-0115,nzd0351-0116,nzd0351-0117,nzd0351-0118,nzd0351-0119,nzd0351-0120,nzd0351-0121,nzd0351-0122,nzd0351-0123,nzd0351-0124,nzd0351-0125,nzd0351-0126,nzd0351-0127,nzd0351-0128,nzd0351-0129,nzd0351-0130,nzd0351-0131,nzd0351-0132,nzd0351-0133,nzd0351-0134,nzd0351-0135,nzd0351-0136,nzd0351-0137,nzd0351-0138,nzd0351-0139,nzd0351-0140,nzd0351-0141,nzd0351-0142,nzd0351-0143,nzd0351-0144,nzd0351-0145,nzd0351-0146,nzd0351-0147,nzd0351-0148,nzd0351-0149,nzd0351-0150,nzd0351-0151,nzd0351-0152,nzd0351-0153,nzd0351-0154,nzd0351-0155,nzd0351-0156,nzd0351-0157,nzd0351-0158,nzd0351-0159,nzd0351-0160,nzd0351-0161,nzd0351-0162,nzd0351-0163,nzd0351-0164,nzd0351-0165,nzd0351-0166,nzd0351-0167,nzd0351-0168,nzd0351-0169,nzd0351-0170,nzd0351-0171,nzd0351-0172
1999-08-17 22:12:26+00:00,L7,447.95,,360.00,346.02,345.81,348.29,337.93,334.12,349.81,383.97,364.87,356.89,359.23,362.41,369.37,379.25,391.16,381.32,374.88,373.30,372.13,371.65,370.15,369.60,367.42,369.37,373.56,370.03,365.71,369.27,366.64,365.15,380.97,377.10,376.94,371.62,377.88,378.47,384.58,381.64,378.11,376.43,375.26,368.91,369.12,376.23,368.26,371.65,370.66,371.20,364.57,365.65,368.69,367.15,370.70,362.25,362.24,360.86,355.85,361.34,355.25,363.55,364.30,362.55,358.02,351.41,351.90,348.43,352.57,352.16,351.10,354.47,352.50,349.78,344.26,342.42,337.28,335.49,332.55,329.80,332.14,330.48,333.54,337.67,337.78,341.40,341.84,339.13,339.70,334.92,324.67,325.57,319.77,321.25,324.10,329.88,331.19,338.78,338.15,334.96,337.70,330.73,335.02,332.12,338.52,339.65,339.86,346.57,343.92,348.88,346.85,351.38,353.49,349.70,352.06,349.29,344.25,344.20,342.86,347.60,346.37,342.84,344.16,347.16,348.14,349.32,354.25,351.64,347.74,342.17,337.14,335.10,334.57,332.83,332.19,339.85,341.07,336.55,336.05,334.28,331.73,336.26,340.51,335.38,340.72,343.72,353.04,347.09,342.03,340.75,338.72,329.08,326.76,324.99,320.03,319.69,316.17,314.82,314.84,311.74,307.70,306.65,303.71,297.56,291.14,276.28,275.00,293.69,309.32,317.39,339.26,353.80,363.91
1999-08-26 22:06:20+00:00,L7,,340.06,,,,303.88,298.40,293.16,301.87,310.04,317.61,323.05,322.74,325.72,331.39,340.97,348.55,347.57,344.09,334.47,327.48,328.60,326.49,325.04,322.45,323.23,328.88,323.68,321.36,322.04,329.03,329.25,327.97,334.90,335.42,335.22,335.49,339.59,339.13,343.79,338.79,340.47,337.90,335.62,328.23,323.17,324.76,326.18,325.37,324.63,318.39,321.23,322.20,328.92,328.66,331.64,329.82,325.66,320.28,316.86,320.09,321.26,318.98,316.14,315.53,310.96,311.34,310.29,308.64,303.61,305.02,302.29,306.15,302.23,304.21,299.79,297.83,291.71,295.22,289.99,290.11,284.86,288.25,286.98,291.92,294.98,293.93,294.80,290.40,289.08,289.01,288.59,286.63,290.43,285.87,288.09,289.37,293.43,292.37,293.66,289.31,292.79,288.04,290.99,294.42,295.59,301.16,304.13,301.04,302.88,305.31,308.08,308.10,306.61,304.44,302.83,302.98,302.35,304.09,308.31,305.91,301.59,298.68,294.33,293.75,294.44,299.43,294.49,294.57,289.29,295.57,297.17,291.16,289.60,293.44,286.88,288.67,288.81,284.37,288.93,291.01,288.85,286.89,288.66,288.27,292.13,295.34,298.86,298.60,293.35,291.92,289.75,278.92,278.29,274.42,272.06,270.50,269.95,267.19,267.43,263.54,264.76,256.88,249.53,251.06,246.02,244.17,256.76,273.71,288.17,301.63,317.35,329.15
1999-09-18 22:12:27+00:00,L7,,406.55,369.56,345.35,354.11,355.52,356.33,350.86,351.39,358.11,378.84,373.49,372.67,376.21,374.48,391.60,389.61,403.66,397.79,380.81,378.51,378.53,396.00,379.15,374.95,375.33,379.92,390.06,394.52,380.69,382.04,380.75,382.97,394.15,393.17,388.18,388.08,389.90,390.69,389.32,389.55,389.05,391.22,382.92,379.39,377.42,375.06,378.95,374.89,378.79,374.56,377.01,377.78,373.71,374.14,375.39,372.68,376.18,375.07,370.57,374.40,372.35,373.99,382.82,376.99,368.55,368.95,361.93,356.25,358.48,355.48,356.02,353.16,356.05,356.37,357.11,353.86,351.99,350.01,348.84,342.99,343.36,342.96,345.52,347.65,349.00,350.68,348.65,345.86,338.89,338.30,339.32,340.04,337.09,339.46,341.55,343.92,347.82,345.70,347.21,350.48,350.04,346.38,348.03,346.78,350.33,353.44,356.86,362.62,368.07,368.16,368.87,366.62,367.53,363.32,360.15,361.19,357.74,356.58,357.87,362.47,358.15,353.65,352.68,351.12,354.89,352.33,355.03,355.93,358.98,353.68,352.75,346.43,345.81,346.96,346.99,350.77,349.58,349.45,351.62,350.84,347.29,344.77,340.79,343.38,347.61,351.99,353.00,359.01,355.27,358.72,353.73,348.28,338.19,327.27,327.08,330.24,328.26,325.72,325.37,326.32,326.07,320.18,313.61,307.02,295.32,296.94,310.72,322.04,345.20,358.02,368.13,377.72
1999-10-13 22:06:24+00:00,L7,415.76,388.63,363.84,341.42,334.87,332.24,338.02,337.45,340.84,345.55,348.71,354.11,358.87,362.73,366.75,367.47,373.94,369.58,364.21,363.08,357.07,354.52,356.75,355.44,355.87,355.98,357.36,351.90,347.77,353.03,359.37,360.66,357.41,360.05,360.18,364.46,366.85,368.04,368.58,365.08,360.41,359.39,353.54,356.89,356.02,355.56,351.96,350.97,352.86,347.54,344.13,345.65,345.47,346.87,348.00,347.03,345.25,342.92,343.89,346.40,348.01,350.86,352.04,349.47,344.28,340.58,342.68,337.54,329.42,326.76,324.69,321.25,317.98,321.26,327.39,328.84,329.88,330.05,326.99,324.61,322.04,317.01,314.14,314.22,317.85,312.53,312.56,320.45,317.25,316.97,317.46,316.52,316.15,314.65,315.61,312.85,313.67,311.68,313.73,319.16,326.43,323.89,327.47,328.80,328.86,325.39,326.66,325.35,323.52,328.29,329.49,333.50,338.93,340.28,340.63,335.28,334.23,329.54,329.78,326.32,321.85,322.46,321.07,325.63,316.19,318.79,325.20,327.82,328.87,331.51,334.57,331.51,325.95,317.00,316.97,317.15,321.46,318.81,315.29,322.00,320.45,321.46,320.03,316.70,316.41,316.20,313.45,314.43,316.11,314.56,317.13,316.22,316.98,314.37,310.58,305.07,297.65,296.80,297.60,294.69,294.85,296.36,287.35,286.80,284.52,279.04,276.08,292.64,302.99,315.13,329.88,341.47,323.02
1999-11-21 22:12:24+00:00,L7,,343.90,329.56,312.05,300.12,297.59,291.93,294.24,308.31,320.81,321.41,317.29,322.17,324.06,329.04,335.69,341.60,337.21,334.37,333.01,329.60,327.71,325.14,321.63,322.02,317.21,323.98,321.96,324.21,318.80,325.82,326.41,329.15,328.44,330.38,333.73,337.50,338.75,339.34,337.23,331.49,330.24,330.21,329.68,330.01,328.36,329.26,325.57,326.96,325.58,318.41,322.01,319.99,321.49,313.14,317.31,318.68,323.97,323.14,323.49,324.39,328.91,321.49,323.09,314.67,315.91,299.25,303.30,298.78,299.61,301.57,303.46,304.17,301.70,302.33,297.16,292.40,293.65,290.72,289.89,288.27,289.62,291.57,290.26,288.47,289.51,288.52,291.79,289.80,291.16,288.22,288.87,287.11,291.49,286.74,291.32,290.65,293.15,290.07,291.37,289.80,291.15,290.21,291.21,295.44,295.59,295.66,294.07,299.52,303.56,305.39,307.71,309.29,311.28,312.22,306.31,301.54,298.86,298.24,301.99,298.37,298.83,295.51,294.15,295.85,294.08,298.83,300.38,299.25,296.16,296.00,293.43,289.31,287.66,289.87,287.93,288.31,287.25,288.64,289.64,291.84,292.55,289.93,287.95,286.17,288.68,284.13,291.09,296.68,297.81,296.36,294.37,290.19,284.63,280.68,273.60,272.62,268.47,268.37,261.34,262.14,264.21,263.80,256.67,254.23,249.33,249.31,,269.23,283.68,296.53,314.11,322.48
2000-01-17 22:06:11+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.56,368.17,371.84,376.78,381.37,371.55,385.53,398.05,388.25,376.29,376.39,375.50,369.04,366.12,362.24,353.15,352.65,358.23,364.47,367.83,364.92,358.85,357.33,357.23,363.19,362.35,353.10,347.21,343.98,351.73,360.95,360.31,364.79,355.85,350.90,349.67,346.30,352.95,357.55,349.93,349.57,341.58,333.09,331.10,326.76,328.72,329.19,335.49,332.99,333.46,330.02,322.71,323.77,324.08,326.05,328.22,331.89,323.96,324.28,322.93,325.33,324.02,319.66,317.50,317.01,315.88,329.05,327.77,325.50,325.59,329.27,331.77,330.52,333.80,330.56,325.97,327.65,339.62,345.09,344.03,343.52,340.57,342.69,340.04,343.81,342.73,,,,,,,,,,,,,,,,,,,,,,,324.11,320.18,323.10,332.11,332.51,327.94,324.17,322.17,324.83,330.77,328.30,330.47,328.81,329.60,325.54,322.62,313.87,310.63,306.07,309.06,304.36,301.28,301.83,300.28,298.96,297.76,288.63,282.58,277.97,273.94,285.67,306.48,315.41,336.01,352.25,360.95
2000-02-18 22:06:05+00:00,L7,,346.89,326.21,314.94,303.44,299.06,294.16,302.62,307.61,317.27,321.44,325.55,325.26,329.80,335.08,341.30,342.13,339.12,338.86,337.62,335.43,338.25,334.90,327.13,325.54,329.21,328.21,328.21,327.74,325.06,329.28,327.19,331.46,332.36,336.53,335.28,343.70,347.65,351.04,347.84,342.06,338.69,331.37,330.93,327.58,323.31,328.01,323.65,332.61,333.85,336.86,331.19,330.36,329.06,325.72,323.94,319.05,319.24,318.95,328.30,327.52,332.91,324.24,321.83,318.40,318.02,316.59,315.67,312.40,310.16,308.54,307.40,303.35,301.10,302.48,303.02,301.46,301.40,302.28,298.60,295.84,288.02,290.88,291.27,292.94,296.55,296.04,298.95,300.39,298.39,296.55,296.68,293.27,284.93,288.34,290.27,291.69,294.00,296.57,296.34,303.36,302.01,304.94,303.13,301.64,299.41,299.82,301.48,299.96,302.42,301.39,303.23,304.40,310.48,316.20,315.26,313.47,310.08,305.08,307.38,305.48,305.58,302.05,302.30,301.92,302.46,302.58,298.76,298.99,295.92,298.11,295.07,295.82,293.06,294.81,292.64,294.96,295.87,293.40,294.65,299.86,300.32,297.80,298.53,295.27,294.85,295.89,294.43,293.09,292.67,293.98,290.72,294.99,288.38,283.98,279.92,277.97,276.56,270.92,270.79,265.92,265.80,258.40,255.45,251.11,247.68,244.83,,272.69,286.83,302.66,320.91,329.39
2000-02-25 22:12:13+00:00,L7,472.78,451.07,433.54,415.54,391.95,399.02,405.31,408.58,,,,374.95,423.05,410.90,402.32,404.31,409.89,397.22,399.58,420.16,427.39,425.29,,405.74,,431.80,409.90,419.43,439.03,432.50,435.50,405.72,403.46,391.37,397.79,394.25,394.87,411.42,434.84,462.04,449.17,392.23,386.62,,,,,,,,,,,,,,,384.41,376.87,385.49,396.92,399.95,391.97,385.89,382.02,372.73,378.11,374.25,374.34,367.06,376.35,381.95,378.85,369.57,355.30,358.09,359.69,359.06,364.57,369.50,366.56,370.86,367.69,368.65,363.12,348.57,,,,,,,,,,,,,,,368.12,362.28,362.89,362.75,367.13,365.14,370.75,374.10,369.46,375.25,369.91,367.50,366.92,369.95,366.06,368.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-12 22:12:09+00:00,L7,462.61,441.65,424.50,410.73,386.41,382.81,,380.76,348.72,349.94,365.53,371.16,379.91,389.39,389.47,396.77,403.67,392.08,383.56,391.52,412.26,408.19,395.43,396.30,386.75,398.29,399.96,414.08,424.50,424.28,417.83,405.94,400.37,387.73,391.98,392.61,393.46,404.46,406.14,397.74,396.60,390.35,388.86,390.69,379.06,380.24,371.02,374.15,380.62,382.76,386.79,380.45,380.49,379.59,377.71,378.83,370.85,366.69,372.78,371.86,373.30,379.81,381.23,388.32,386.58,373.32,371.52,370.84,372.56,366.82,367.99,356.93,360.31,355.74,347.80,348.30,349.31,357.20,357.40,355.11,360.54,363.81,363.76,359.52,358.06,351.72,336.19,344.95,351.24,345.47,348.26,348.89,351.58,347.66,352.56,342.42,341.63,339.71,345.43,351.50,352.96,357.14,370.32,357.30,364.25,369.62,360.31,372.16,364.26,358.15,357.16,350.87,353.75,365.32,362.70,366.12,355.93,359.26,358.56,378.17,379.20,382.10,381.73,372.87,367.28,369.24,370.21,360.53,357.25,360.06,356.38,352.81,349.20,359.91,360.41,371.04,371.40,373.07,376.13,374.39,383.07,390.35,395.38,389.68,390.77,401.67,391.63,371.17,354.99,359.35,376.48,373.21,354.50,347.85,350.02,355.99,357.88,345.35,340.91,326.36,336.87,336.69,319.60,328.55,323.46,306.32,319.08,328.19,337.91,358.15,390.40,402.99,407.12
2000-03-21 22:06:01+00:00,L7,367.98,354.40,342.27,329.86,322.95,311.50,314.19,315.72,317.75,318.87,317.78,326.38,328.46,337.93,339.81,346.75,348.61,349.79,342.90,342.60,341.38,338.29,337.38,336.63,330.65,331.10,330.02,328.36,323.45,332.14,333.78,337.69,334.83,335.58,337.34,340.31,338.31,345.17,345.90,347.66,340.67,341.83,338.81,334.58,330.07,329.70,329.71,332.14,330.67,329.48,332.42,332.61,332.55,328.72,328.62,326.44,329.79,325.78,331.29,328.49,330.93,332.07,329.22,328.21,326.83,323.85,315.73,313.82,314.87,310.40,307.95,306.91,305.48,303.01,304.10,300.94,302.78,300.40,296.80,296.59,298.24,294.63,297.33,297.63,297.35,297.17,298.06,295.26,291.44,288.98,289.58,288.51,287.77,283.05,281.60,278.07,282.48,294.22,289.92,297.03,299.49,297.53,295.19,295.15,303.55,299.87,301.04,304.28,304.45,307.13,309.71,311.43,311.68,312.31,312.53,304.62,307.72,298.36,302.44,307.00,309.28,310.63,311.32,308.90,306.62,301.58,301.14,296.52,290.31,287.46,289.95,290.92,292.77,289.95,298.93,303.37,301.21,302.22,304.12,305.91,303.07,301.10,299.65,301.29,298.31,298.16,296.69,299.94,301.19,303.56,298.51,293.83,289.07,284.07,282.99,282.55,276.84,272.40,266.69,266.58,270.74,267.07,261.34,256.20,255.83,258.40,252.89,262.51,273.25,292.78,301.58,310.00,330.40
