dates,satname,sar2140-0000,sar2140-0001,sar2140-0002,sar2140-0003,sar2140-0004,sar2140-0005,sar2140-0006
1984-04-13 09:27:07+00:00,L5,255.01,253.56,158.91,184.50,202.73,244.55,255.13
1984-05-06 09:33:27+00:00,L5,248.65,247.78,159.93,179.44,200.68,240.73,250.26
1984-07-18 09:28:46+00:00,L5,249.98,250.07,167.27,192.65,205.69,242.55,250.69
1984-08-03 09:29:20+00:00,L5,251.63,247.10,171.94,185.61,205.79,241.93,251.73
1984-08-19 09:29:51+00:00,L5,245.52,240.08,167.43,188.01,200.64,238.11,245.98
1984-08-26 09:35:45+00:00,L5,,,,,245.39,227.09,
1984-09-11 09:36:14+00:00,L5,245.85,242.69,169.07,188.79,195.55,239.78,247.61
1984-09-20 09:30:04+00:00,L5,253.22,246.64,170.24,187.09,204.85,239.96,254.79
1984-10-22 09:30:00+00:00,L5,254.99,255.63,169.01,184.61,202.53,243.21,255.11
1984-11-07 09:29:53+00:00,L5,247.77,259.64,169.24,182.83,202.03,244.86,247.86
1984-12-09 09:29:58+00:00,L5,251.10,259.45,166.22,183.31,205.95,246.12,251.20
1985-02-02 09:36:32+00:00,L5,249.10,240.79,163.46,186.22,201.05,245.79,249.19
1985-02-11 09:30:23+00:00,L5,250.65,254.63,161.04,184.93,202.85,243.99,250.75
1985-05-02 09:30:07+00:00,L5,248.08,248.65,167.09,183.20,202.17,239.02,248.80
1985-05-18 09:30:04+00:00,L5,242.60,225.68,162.38,179.63,202.01,239.13,245.00
1985-05-25 09:35:51+00:00,L5,236.42,223.82,163.28,185.87,199.78,227.35,236.44
1985-06-03 09:30:04+00:00,L5,242.98,238.37,161.34,183.08,199.85,235.58,244.10
1985-06-10 09:35:50+00:00,L5,233.78,225.21,163.77,178.85,193.60,229.09,234.86
1985-06-26 09:35:47+00:00,L5,234.64,219.08,157.13,172.91,193.09,227.17,234.96
1985-07-05 09:29:57+00:00,L5,252.18,232.60,128.80,148.67,209.49,285.31,261.78
1985-07-12 09:35:41+00:00,L5,245.18,225.88,162.38,176.89,192.95,231.42,246.09
1985-07-28 09:35:58+00:00,L5,290.99,284.27,268.52,313.83,297.21,370.09,291.30
1985-08-13 09:35:25+00:00,L5,242.33,233.94,158.54,177.63,194.34,237.16,242.44
1985-08-22 09:29:32+00:00,L5,254.39,260.85,169.40,182.26,203.79,244.55,254.51
1985-08-29 09:35:38+00:00,L5,377.03,309.09,213.61,372.84,228.41,354.26,241.43
1985-09-14 09:35:25+00:00,L5,242.64,236.37,168.54,187.13,205.71,239.34,243.83
1985-10-09 09:28:59+00:00,L5,251.58,253.65,166.84,184.43,206.75,247.06,252.90
1985-11-10 09:28:33+00:00,L5,250.18,245.03,169.75,197.33,203.08,239.20,251.36
1985-12-03 09:34:19+00:00,L5,244.26,242.25,171.10,185.02,205.35,243.97,244.33
1986-01-04 09:33:20+00:00,L5,245.55,250.27,165.60,185.82,203.93,241.26,245.72
1986-01-13 09:27:22+00:00,L5,251.77,261.94,169.40,191.22,191.73,237.18,250.14
1986-03-25 09:32:01+00:00,L5,243.36,223.43,155.58,177.77,190.01,225.28,237.38
1986-05-12 09:30:53+00:00,L5,244.88,244.50,167.35,185.21,201.94,245.09,246.14
1986-07-08 09:22:57+00:00,L5,247.57,259.63,164.65,187.56,202.76,242.19,248.24
1986-07-15 09:28:53+00:00,L5,251.03,231.93,153.49,181.48,200.73,240.00,251.13
1986-07-24 09:22:23+00:00,L5,239.85,236.25,158.89,181.71,199.63,233.78,239.93
1986-07-31 09:28:19+00:00,L5,244.13,234.95,159.73,177.38,193.57,234.53,245.01
1986-08-16 09:27:20+00:00,L5,248.14,240.80,165.34,186.60,206.90,246.66,250.42
1986-09-17 09:26:37+00:00,L5,246.73,240.02,164.93,181.79,197.65,238.12,246.80
1986-10-12 09:19:38+00:00,L5,257.70,254.73,167.13,184.21,202.96,242.27,257.84
1986-12-31 09:19:14+00:00,L5,245.25,249.97,161.91,184.22,193.25,229.55,242.42
1987-01-16 09:19:41+00:00,L5,247.86,248.82,165.31,183.03,196.23,236.60,247.94
1987-02-08 09:26:31+00:00,L5,242.27,242.90,160.06,163.43,193.11,252.91,242.16
1987-03-21 09:22:02+00:00,L5,254.40,246.97,170.70,193.01,202.63,242.54,255.75
1987-04-06 09:22:36+00:00,L5,253.48,257.87,164.42,184.97,209.50,250.97,255.44
1987-04-29 09:29:30+00:00,L5,256.80,261.95,167.58,183.77,205.62,251.30,256.93
1987-05-08 09:23:35+00:00,L5,255.71,251.92,164.15,183.88,203.80,249.19,255.83
1987-06-09 09:24:23+00:00,L5,249.10,244.34,157.91,183.16,195.29,237.57,249.19
1987-06-25 09:24:44+00:00,L5,245.93,245.76,169.09,183.95,199.94,237.70,246.00
1987-07-02 09:30:39+00:00,L5,235.62,222.05,158.75,177.46,191.58,230.12,236.15
1987-07-11 09:25:03+00:00,L5,246.54,252.55,169.32,187.67,201.13,240.71,248.47
1987-07-18 09:31:20+00:00,L5,236.77,221.61,167.40,182.77,192.58,225.28,236.17
1987-07-27 09:25:25+00:00,L5,248.91,238.15,164.14,188.32,204.27,241.33,249.50
1987-08-03 09:31:25+00:00,L5,239.61,234.63,158.78,182.80,201.39,241.21,241.41
1987-08-12 09:25:55+00:00,L5,242.80,243.07,164.45,182.91,199.38,238.89,243.44
1987-08-19 09:31:54+00:00,L5,242.44,236.22,164.04,183.70,200.68,239.28,244.08
1987-08-28 09:26:22+00:00,L5,245.18,238.79,166.07,182.10,199.93,235.67,245.93
1987-09-13 09:26:45+00:00,L5,253.49,241.65,166.24,189.02,201.12,241.80,253.60
1987-09-20 09:33:05+00:00,L5,249.33,240.63,168.61,181.33,202.80,240.42,249.42
1987-10-31 09:27:40+00:00,L5,247.46,238.99,166.90,196.23,211.54,247.37,246.80
1987-11-07 09:33:38+00:00,L5,244.30,241.94,165.07,184.03,207.68,243.07,245.68
