,dates,per0090-0000,per0090-0001,per0090-0002,per0090-0003,per0090-0004,per0090-0005,per0090-0006,per0090-0007,per0090-0008,per0090-0009
0,1984-05-06 14:44:03+00:00,,,,,,,,,,
1,1984-08-26 14:46:45+00:00,,,,,,,,,,
2,1984-12-16 14:46:50+00:00,213.75144303723528,208.20555873933387,206.37162434291378,209.21849237426218,211.62537076493763,214.46819461288038,219.02602519912207,207.01498932857297,193.95296008029408,177.7619407068106
3,1985-01-24 14:53:17+00:00,232.68916395306337,227.98344963326468,221.90339115857682,219.82807437132354,218.93119910343992,223.57725413831454,229.4719247925945,213.6876710893225,204.09540071985623,181.5542251207527
4,1986-04-10 14:42:16+00:00,232.0583170760902,229.88938247280802,227.57709564945523,218.89780864581297,220.45881585609845,221.45849845388705,227.10302179268257,215.84920455716724,203.68642985050423,189.47703345191502
5,1986-04-26 14:41:53+00:00,212.27015263079522,214.01400502617096,210.70604343438086,207.65813691331263,208.82992787714034,207.418364008509,,,,
6,1986-05-03 14:47:53+00:00,,,,,,,,,,
7,1986-05-12 14:41:28+00:00,,,,,,,,,,
8,1986-09-01 14:37:43+00:00,,,,,,,,,,
9,1986-09-08 14:43:39+00:00,198.63078910148198,199.15843285100752,202.6550670432552,197.68297930349624,195.1263567685521,195.29470442682594,197.77919725156391,180.77187004100088,166.7363365823773,151.14605187546059
10,1986-10-03 14:36:42+00:00,212.98067682387756,214.9171622853849,217.4418939574278,219.72748813717598,221.45248647103602,222.90753771518587,215.65726277479473,203.01656483723485,190.48220195969395,178.01430574398842
11,1986-12-06 14:35:14+00:00,224.24162800248064,222.40689784199515,223.21241913127218,219.9120530778311,220.2344790353742,220.06612670791412,219.45262445156928,210.8254560665759,202.80695112381105,189.73369140058273
12,1987-01-07 14:36:13+00:00,,,,,,,,,,
13,1987-03-28 14:39:04+00:00,,,,,,,,,,
14,1987-04-04 14:45:29+00:00,209.4881471537235,203.20588597355555,205.1793328516548,204.3211238603903,205.66255350133295,211.24817278104655,210.60760797347922,203.53602471229726,202.80043182031238,179.02731070137773
15,1987-04-13 14:39:36+00:00,212.85763055920782,212.6019009879667,205.1356730227859,202.70219893999592,204.64467031688082,223.92540157798788,227.92105301092008,213.72865124601998,206.86338341456056,187.10503300767994
16,1987-04-29 14:40:06+00:00,234.16790052634275,231.18842021661766,,,,,,,,
17,1987-05-15 14:40:33+00:00,,,,,,,,,,
18,1987-05-31 14:40:57+00:00,,,,,,,,,,
19,1987-06-16 14:41:19+00:00,,,,,,,,,,
20,1987-08-03 14:42:25+00:00,207.16447813316427,200.83530576344458,193.8159384758292,191.45446277807832,190.8538311664458,193.69206124229447,194.22920338443257,188.42527706277954,179.3081786595593,160.02980650252647
21,1987-08-19 14:42:53+00:00,,,,,,,,,,
22,1987-09-11 14:49:40+00:00,200.17620034469678,201.49461534307784,197.40521335498087,197.04811832343108,196.5855187266903,198.2944808758278,196.68592633073752,189.6134378618878,180.02804028252444,163.51885448823592
23,1987-09-20 14:43:42+00:00,224.38067919746015,223.98459256853045,221.4981591752961,220.761450436173,219.2571310636313,224.46948601629873,222.59563733054222,215.39905987074377,204.91759885053932,184.2277030064878
24,1987-09-27 14:50:02+00:00,217.53709690056405,211.20874481565744,,,,208.66162576313383,199.81899247802124,199.66883310917785,184.6060876377711,169.32634753132976
25,1987-10-06 14:44:02+00:00,222.458206795431,220.34094207838302,214.94673942098575,211.6720331159737,213.59905090738386,214.15910746401454,212.2109469165986,199.39697246072438,184.86596374584317,174.10206871950362
26,1987-10-13 14:50:20+00:00,220.44248895668602,213.45767580443305,212.88031910218984,215.34917829242858,212.5454004967887,218.27261943002054,216.14356270462991,198.06644106024032,193.1851668336546,
27,1987-11-23 14:44:57+00:00,215.9244658247984,210.35256509229708,205.45888199479816,212.1720290880183,208.21441988751536,215.4432504936516,212.15213366285207,204.67829233874085,186.61646599751003,164.92882335189393
28,1987-12-09 14:45:10+00:00,,,,,,,,,,
