dates,nzd0566-0000,nzd0566-0001,nzd0566-0002,nzd0566-0003,nzd0566-0004,nzd0566-0005,nzd0566-0006,nzd0566-0007,nzd0566-0008,nzd0566-0009,nzd0566-0010,nzd0566-0011,satname
1999-07-25 22:06:15+00:00,222.56,223.73,218.20,220.71,219.40,225.34,221.01,219.10,217.46,219.44,223.65,231.97,L7
1999-08-26 22:06:20+00:00,221.79,216.34,215.41,212.95,219.12,216.98,219.57,212.67,211.85,211.38,215.23,219.69,L7
1999-09-20 22:00:08+00:00,217.82,223.59,213.56,221.13,212.08,212.97,209.23,207.62,207.16,209.85,212.00,220.46,L7
1999-09-27 22:06:00+00:00,223.56,219.91,216.50,216.74,221.74,220.38,219.73,217.19,214.99,218.14,219.54,224.99,L7
1999-10-22 22:00:04+00:00,204.41,202.21,200.21,194.99,203.68,200.34,206.92,203.02,199.85,195.99,203.01,207.53,L7
1999-11-14 22:05:54+00:00,212.22,211.59,206.49,207.57,209.92,215.48,208.60,209.00,206.94,208.64,216.96,216.15,L7
1999-11-30 22:06:11+00:00,217.68,214.45,203.67,206.72,206.62,213.74,209.47,206.39,206.78,207.93,214.68,218.57,L7
1999-12-25 22:00:04+00:00,221.29,214.18,212.36,207.75,218.18,217.58,211.42,212.59,212.52,215.83,216.36,217.58,L7
2000-01-10 22:00:04+00:00,220.94,215.46,213.17,211.20,217.36,220.76,214.20,215.83,209.95,214.61,212.73,223.61,L7
2000-01-17 22:05:47+00:00,210.75,209.10,209.20,208.81,207.37,214.88,208.38,207.93,206.97,209.67,210.24,214.65,L7
2000-01-26 22:00:02+00:00,222.70,221.48,216.84,216.59,215.33,219.32,215.09,211.22,207.99,208.25,216.78,222.19,L7
2000-02-27 21:59:52+00:00,228.00,221.13,222.25,219.54,226.45,230.74,229.18,224.37,222.38,223.77,221.89,229.96,L7
2000-03-21 22:05:37+00:00,227.16,219.94,219.31,216.20,223.65,219.76,220.00,213.79,214.23,212.04,217.09,220.81,L7
2000-03-30 21:59:45+00:00,216.36,214.76,211.00,213.49,216.33,219.74,218.76,216.31,216.12,214.18,218.12,221.69,L7
2000-04-15 21:59:31+00:00,222.76,222.72,216.03,213.20,217.92,224.49,217.65,217.84,210.77,216.14,216.05,218.67,L7
2000-05-01 21:59:30+00:00,222.37,218.08,215.23,214.13,219.14,220.64,217.58,219.61,212.57,218.24,218.59,220.82,L7
2000-05-17 21:59:19+00:00,226.28,223.31,220.04,217.65,219.78,221.60,221.50,215.09,214.53,217.77,217.66,222.02,L7
2000-05-24 22:04:58+00:00,237.50,233.15,232.39,231.47,234.87,240.09,233.98,241.64,235.13,236.60,237.68,241.46,L7
2000-06-18 21:59:03+00:00,231.16,232.74,224.80,229.44,227.42,229.69,226.84,224.49,221.08,,,,L7
2000-07-11 22:04:53+00:00,,,,,,,,214.30,220.39,215.80,221.45,226.98,L7
2000-08-05 21:58:20+00:00,229.08,223.83,223.63,218.04,223.44,223.70,222.97,216.26,221.79,226.85,223.25,233.18,L7
2000-08-12 22:04:29+00:00,220.63,218.98,215.18,220.41,220.86,224.50,216.69,220.59,214.20,220.05,218.42,222.68,L7
2000-10-15 22:03:32+00:00,204.85,206.77,191.15,196.37,195.79,198.78,200.52,197.13,193.30,195.26,206.94,201.66,L7
2000-10-24 21:57:29+00:00,218.65,209.86,208.20,209.72,213.27,216.79,214.72,210.22,210.04,213.81,210.02,216.39,L7
2000-10-31 22:03:46+00:00,216.46,210.38,209.02,205.83,211.87,210.41,210.34,206.92,203.66,208.72,208.30,214.52,L7
2000-11-09 21:57:33+00:00,218.06,212.54,210.15,211.67,216.52,214.65,214.98,210.11,209.92,212.81,213.00,218.50,L7
2000-11-16 22:03:44+00:00,209.90,207.50,204.47,208.19,209.17,212.14,208.49,209.27,,,,,L7
2000-11-25 21:57:34+00:00,213.73,211.12,205.41,207.30,213.78,212.67,214.36,209.81,212.67,205.99,213.32,211.82,L7
2001-01-03 22:03:24+00:00,223.19,213.66,212.44,209.72,206.29,212.71,212.78,209.94,211.42,212.22,216.01,224.84,L7
2001-01-12 21:57:42+00:00,218.60,211.32,211.49,211.49,217.50,218.22,214.96,215.85,212.75,217.28,221.10,221.17,L7
2001-01-19 22:03:55+00:00,218.79,209.06,206.33,205.72,208.18,214.57,210.64,210.48,208.45,211.82,215.55,218.69,L7
2001-02-04 22:03:50+00:00,209.88,205.54,203.36,206.04,207.82,210.09,207.70,204.50,203.53,210.06,210.40,212.03,L7
2001-02-13 21:57:39+00:00,223.43,216.98,215.37,216.16,217.05,218.47,214.99,212.42,212.68,214.59,219.40,222.95,L7
2001-02-20 22:03:48+00:00,219.72,220.38,212.76,214.92,217.16,218.14,215.55,217.81,212.33,217.06,215.16,219.75,L7
2001-03-08 22:03:20+00:00,221.17,217.36,215.44,210.96,216.61,218.09,219.23,213.50,211.62,212.46,215.73,215.70,L7
2001-04-02 21:57:18+00:00,213.73,210.83,211.49,208.08,213.52,217.49,220.00,215.06,213.47,217.60,215.31,223.55,L7
2001-04-09 22:03:30+00:00,190.25,193.37,187.57,196.37,201.86,204.93,200.97,199.71,194.47,194.22,201.20,199.56,L7
2001-05-20 21:57:04+00:00,221.70,213.92,214.04,208.72,218.06,217.87,217.87,214.36,209.53,212.82,212.38,217.70,L7
2001-05-27 22:03:12+00:00,221.75,223.13,216.73,220.43,225.57,228.96,226.76,221.52,221.84,,,,L7
2001-06-05 21:56:52+00:00,235.34,237.22,230.07,234.40,234.29,239.61,231.15,231.78,229.36,228.61,231.73,226.90,L7
