,dates,usa_HI_0014-0000,usa_HI_0014-0001,usa_HI_0014-0002,usa_HI_0014-0003,usa_HI_0014-0004,usa_HI_0014-0005,usa_HI_0014-0006,usa_HI_0014-0007,usa_HI_0014-0008,usa_HI_0014-0009,usa_HI_0014-0010,usa_HI_0014-0011,usa_HI_0014-0012,usa_HI_0014-0013,usa_HI_0014-0014,usa_HI_0014-0015,usa_HI_0014-0016,usa_HI_0014-0017,usa_HI_0014-0018,usa_HI_0014-0019,usa_HI_0014-0020,usa_HI_0014-0021,usa_HI_0014-0022,usa_HI_0014-0023,usa_HI_0014-0024,usa_HI_0014-0025,usa_HI_0014-0026,usa_HI_0014-0027,usa_HI_0014-0028,usa_HI_0014-0029,usa_HI_0014-0030,usa_HI_0014-0031,usa_HI_0014-0032,usa_HI_0014-0033,usa_HI_0014-0034,usa_HI_0014-0035,usa_HI_0014-0036,usa_HI_0014-0037,usa_HI_0014-0038,usa_HI_0014-0039,usa_HI_0014-0040
0,1990-09-20 20:13:50+00:00,,,,,,,,151.92154836394502,164.19736495079175,162.5795961631036,180.11631784484004,161.6338072201221,151.87001007794302,160.58509677335365,163.86289762401623,166.54357510216158,164.64009895574753,161.13097226782367,170.65043735874826,170.68560192695008,161.65810568216068,174.89640806033123,174.84569499464152,171.21448576273474,171.4235258224192,163.42416654359675,171.00196920128116,156.99689994369447,168.9760481035256,166.67610660262605,167.13311018505584,173.77846959466976,176.4101963853428,180.2302706439258,176.56597588639983,201.11355485648124,,,202.5408427007432,197.93424909886255,181.83260280087586
1,1991-11-10 20:18:16+00:00,216.3154168809545,154.44065706336505,157.2936004238826,159.24380910724884,,,,,,,,,,,,,159.0920212691273,162.1362166426012,167.1647962755337,169.41580628876812,164.6029013162425,167.8869953734809,180.11064266430975,166.72576439237713,168.27169065107955,160.406986664788,,,,163.40575655926813,163.58859821664754,159.66146622261823,166.76764063760388,167.86251325522304,171.47021722812644,192.5251355432393,202.73915645354703,192.53047653669324,196.72730398760007,197.71148379318137,187.4228969342521
2,1999-07-03 20:46:48+00:00,,,,,,,,,,,,166.75121242110637,177.3760667095596,,,,,,,,,178.37227955160142,175.86531903804627,177.0717245445242,182.56856203513112,185.23312609503444,187.93863495325323,178.46313079629527,188.35432147909066,190.36930659496244,183.15581638761313,198.33445821960777,197.40046334556945,202.51789515581163,208.90336608680866,223.83460174466722,223.13412914567863,207.17696639367364,213.73074809059284,217.70904897051355,208.2280836585707
3,1999-09-05 20:46:59+00:00,,,,,,,,,169.7785135343924,163.55341067642064,163.8860493869763,,,,,,,,,,,,168.11799492035112,167.6183050876677,171.77862874755277,176.07904079372855,183.71624219172205,,,,,,,,,,,,,,
4,1999-11-24 20:46:49+00:00,221.01516052560353,177.2528645955717,175.62449689165769,172.5418055336245,157.5863053916468,158.1055156838849,159.72288745529787,161.22093092686367,168.8750656733656,178.59223629138705,172.64839344796528,174.00377072370742,171.86999102172427,170.10068617916187,164.48377702127357,167.4404856360004,167.39051376848403,165.2641076016298,178.44902468650986,186.0848591341197,178.80717028466046,175.42065498830576,173.40320554204644,172.44481332214536,178.97797395478818,181.02375149979792,181.1930311711505,167.41341516717043,179.00488284556283,176.80350827485026,180.79958723332712,178.7048276346137,179.02688469196937,,,,,,,,
5,2000-02-12 20:46:47+00:00,224.39648267769607,176.41599243538224,177.3270214111175,180.01614727212677,160.7752207601531,162.0536725271121,166.26304176913115,170.16876795677535,178.0941763457641,185.29513784057508,183.94554163994434,182.4716553708418,184.27890173571112,181.59949483782253,177.80896665729844,174.49643645828257,176.19412714713854,172.22702175747338,185.04280903078657,190.06308140423502,186.69330372221754,179.8812036571506,181.6058747562316,183.08956434750078,188.862225515352,191.39093273416083,188.2867935032337,178.2225368958186,183.64451448016916,182.673459131475,180.8501532065656,174.09938245250066,193.01357727526212,195.1876535657416,201.02992827560354,225.30269670636335,226.97732493224987,213.28178192825166,222.94865395491271,227.11258523656187,222.47858518158418
6,2000-02-28 20:46:42+00:00,220.84589358958965,175.4342829322681,171.01461960147287,173.99391524094386,163.53831397317367,157.93036243605647,163.7797881301303,165.95713341607714,175.0384896180875,,,,,,,,,,,,,169.94592639963258,170.77524902998402,173.67719833587483,182.60313665197336,178.94013201658112,193.9395084981428,174.11982040257465,180.9420234627725,173.56659108794682,174.48832107709146,,,,,,,,,,
7,2000-03-15 20:46:37+00:00,194.50397358967427,174.1406830583221,175.19163031660926,175.1133501384732,163.19533826796902,160.01908406142303,167.4005617965526,,,,,,,,,,,,,193.21689168921884,182.50840252325347,177.32700474857702,174.82062594407108,178.44952574290755,187.46060627045023,184.61388754952955,190.48012994608013,172.79060884688192,185.1209831956698,175.58224219251485,175.99602653113672,,,,,,,,,,
8,2000-06-03 20:45:56+00:00,221.21101078257914,176.415623310937,179.44672431515139,181.03175863485635,177.35576404511744,170.080726681159,172.51841202156027,175.90252617490046,182.94431164095008,183.61687293977565,180.3362134384967,181.92554998155254,176.72183945240414,179.7348737990696,175.50548720333697,175.3386440724124,173.07012098622636,173.65004918706578,186.48117103635218,188.7254138113554,184.62331286535974,178.85873592990328,177.611809338572,180.88822537316045,190.26383841957517,186.88694399429323,188.58518148732438,178.9602158983556,192.8175233852761,190.65659539135106,199.10012410132822,187.0417608603571,204.7277571768774,,,,,,,,
9,2000-06-19 20:45:53+00:00,221.30113648298,175.37330358084898,176.96072869883153,177.35666143365614,172.13780364626786,163.85444165310258,168.12083254860863,170.8211157425148,178.70882813474552,179.30599110497212,177.38829340745735,176.722769502352,173.30306430200858,172.5746232568236,168.35450907005915,173.08785861911304,171.20097190045038,169.76195402287317,183.0120047183591,187.61584238872626,179.1939706406427,175.85473366509507,173.93230819558414,176.46938032020088,,,,,,,,184.40022035136494,,,,,,,,,
