,dates,usa_CA_0010-0000,usa_CA_0010-0001,usa_CA_0010-0002,usa_CA_0010-0003,usa_CA_0010-0004,usa_CA_0010-0005,usa_CA_0010-0006,usa_CA_0010-0007,usa_CA_0010-0008,usa_CA_0010-0009,usa_CA_0010-0010,usa_CA_0010-0011,usa_CA_0010-0012,usa_CA_0010-0013,usa_CA_0010-0014,usa_CA_0010-0015,usa_CA_0010-0016,usa_CA_0010-0017,usa_CA_0010-0018,usa_CA_0010-0019,usa_CA_0010-0020,usa_CA_0010-0021,usa_CA_0010-0022,usa_CA_0010-0023,usa_CA_0010-0024,usa_CA_0010-0025,usa_CA_0010-0026,usa_CA_0010-0027,usa_CA_0010-0028,usa_CA_0010-0029,usa_CA_0010-0030,usa_CA_0010-0031,usa_CA_0010-0032,usa_CA_0010-0033,usa_CA_0010-0034,usa_CA_0010-0035,usa_CA_0010-0036,usa_CA_0010-0037,usa_CA_0010-0038,usa_CA_0010-0039,usa_CA_0010-0040,usa_CA_0010-0041,usa_CA_0010-0042,usa_CA_0010-0043,usa_CA_0010-0044,usa_CA_0010-0045,usa_CA_0010-0046
0,1984-03-23 17:50:13+00:00,,199.49808061652632,220.58731380624755,205.11823498288874,191.98756215213848,192.332699068579,190.31410013599202,192.52294969327227,168.6507207532701,142.55094862993755,153.84647024289237,172.4035733976391,194.84556440605655,187.14375869240135,191.93005071207472,198.67140549068208,188.4665658219326,189.97574387955882,196.5465232486305,199.13255307862386,203.39794598947307,196.99563940904588,196.4325432746901,185.5843621392376,180.2168176387236,194.91814387131222,191.80366487505512,192.82809861209643,205.78726830513645,195.71223837769102,187.62357552456928,189.69471386095026,199.77334452827313,205.01029814287804,196.19430843949962,203.54675724018904,208.07285175325768,208.43932562923737,201.49622043469927,216.92011692344994,224.00417172029273,216.9454765627105,218.20906197287786,214.20761641805095,198.9580805833844,196.31446633242965,197.94486524477952
1,1984-05-06 17:49:52+00:00,,174.40391087756512,186.6416272344763,172.8254281793232,166.72887814707192,181.17058404708447,190.83393211000697,192.2891089484309,159.55449091110953,164.11784599748063,170.60710530320233,177.29688146633845,186.36073315352192,170.42384051127584,171.89460487878043,181.21342662783428,179.20079592103656,182.90609274422835,181.97318281838125,182.37692031974296,174.31439663222721,169.18322989205808,173.9533456261442,174.65080370741094,187.21424064736192,194.72743418755584,195.78647024001089,190.42533641129953,190.87682805505565,189.0819081737164,178.7962779454615,179.34321882978202,177.89694938887322,175.9071854948245,180.76947888541764,186.09679102008147,187.38095916411945,185.03894049284693,176.7257710228949,208.4152344435547,213.8243602943163,198.98004924677474,199.55433087216198,197.35456642143032,190.04939193482736,189.91640925394574,201.16184626349735
2,1984-08-26 17:52:34+00:00,153.9948548978201,160.56194320820615,152.91788506063205,159.6099621405894,169.953609569183,183.51438056822164,190.15838276780744,204.39142277682382,197.70591860635534,187.52386431356632,176.8004816981334,173.65401726250343,185.69963714876224,195.60899048487897,183.47887549975655,199.00843488772523,198.23210168469137,188.01096332426397,177.3071818256865,182.31771742284778,178.24837338177517,176.13150213695127,188.77736728559532,189.07786239829989,191.38707126530073,190.51009703703824,190.72720922039392,183.68297543299758,,,,,,,,,,,,,,,,,,,179.6561068211466
3,1984-12-16 17:52:39+00:00,150.57373300792008,,,124.82606639003407,,,,186.37542104904406,,,153.10426428179002,168.08801760731527,183.70791000094528,177.636141485489,172.68105972617317,170.30927785734377,166.5615114381903,176.80702111015594,179.9893852517694,176.42801764452363,171.62837568838415,174.6148108454036,174.10650591571502,170.89568120680713,175.66346017325898,,178.5956325121742,,178.07836230536702,177.70724056912346,176.62973499037895,172.8255930671074,174.85958304501133,171.79796768095608,176.79131534020087,180.31496980677608,175.01463265744417,177.38908591934148,163.88092358554627,199.56205965359467,189.11031202179996,186.83862028981585,188.8730201653138,192.07356809944451,185.5691306905707,182.51784824920202,183.32999360703877
4,1985-04-23 17:52:47+00:00,,176.5271323599697,164.38103112067768,165.19737894591918,169.17486260466808,183.6178461702123,192.13864837064278,198.14467885433038,190.76626118183643,181.10766671355225,183.4920734088891,185.292715111453,191.58252612804125,189.09680090685902,191.52438193991372,195.22456540493135,193.21103497060744,191.03214156758116,187.73813059281753,189.88503833921374,195.75016275223828,194.14474031782092,187.98998868719409,192.78014502738782,190.25797056599907,187.60312610448364,188.40160445691723,183.70247181606499,183.7225433916005,186.98124861281738,183.32688613206847,179.12533109365532,180.5319095739371,184.64789329577096,183.15399748229555,186.97228546505266,184.80238719462224,183.19462765521075,177.03312823124352,206.71174032363103,204.77451056669307,197.5151502013011,203.99295483847587,198.3868409505908,195.72659388511332,191.92825099144682,189.13126650077572
5,1985-07-28 17:52:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,194.37106735092775,188.72348313775905,185.65225959550713,200.46370695032167,192.23084318971667,,,,,,,,,198.5029489952337,199.96002667426347,,,,,,,,,
6,1985-08-13 17:52:13+00:00,,179.00140049880642,176.3293516304362,190.8424446308225,195.27307702067867,211.8051432020819,227.68274325695137,230.177429072259,224.0139912668323,199.61026131586152,194.07280317975432,200.49305385914485,202.92371120537956,212.87897732238866,216.56262926384352,216.15694782832617,217.35650731279952,209.34477197166862,208.86922885444397,205.5960142609826,203.39602853573342,205.63790278399094,206.76267480014917,201.56339624964937,202.53136305639316,207.98575735270242,204.16800107057438,203.4046242948913,201.90316434478285,199.92525617938867,198.40908268890897,202.73301227110994,201.27933575371299,199.6500038383078,201.42881171134746,207.27843884046138,208.5011874986896,208.7192666185179,200.77391180835014,208.84779585506917,212.2188037037205,214.5650676095188,218.68278306224587,207.61164811895648,204.15621020169178,205.6223215552161,210.94820035128933
7,1985-09-14 17:51:50+00:00,158.971024403034,162.50223542432445,155.6541780117733,192.1982269715927,195.09262628517126,205.27465152333224,221.45491826691895,224.08311849966722,207.02852821148102,196.41797462152994,180.83855636712389,187.62680404201802,197.21818592697724,201.58049600280813,208.59448670004548,211.55706864755294,211.12552260842682,208.88006854804135,204.22405142106382,200.13052037557628,203.80955453519366,201.3504188898279,195.71915246298883,194.75121871409104,196.0218136312398,196.64304652412258,195.2612735547899,197.1867383438406,195.58177590289307,196.5667746564273,191.67399389810248,190.89026992592858,187.7392529815229,188.09169435465304,192.44349607822838,193.06396477859525,200.98442421585716,199.9367484129532,194.84291958793526,207.77923635831084,210.41874921874552,203.50167085100986,208.30461109289243,203.6278984884198,203.80402354130322,200.07727694433436,208.98262665139296
8,1985-11-01 17:51:17+00:00,143.0578290766258,123.50296113952389,144.94844259037154,150.55072455386,164.6643856611943,192.08366294067986,206.83931198220188,212.35778932679702,193.366578540999,182.01739329742023,169.86755137612354,172.5058365007198,185.44047033240938,195.22351397880774,197.823127600646,203.580137083008,201.43128802595214,200.07722352065193,194.23619400814434,192.68731528570808,192.72245130403508,195.2494463480112,191.54735634872472,192.03480513772305,185.9873163181471,193.6386294809761,189.38027390356083,186.95731438953274,185.83744725299175,182.1302976554638,179.1135792221268,186.2822073021442,184.42741495735322,185.2296305545191,187.88261145015989,187.7151961034498,190.06669653945653,188.4203679822983,179.07551891088838,197.08957999310059,184.62931992556915,188.88606475434725,194.3854128893478,188.4170658281338,186.3152553599964,191.3512229328195,192.91820947035146
9,1986-02-05 17:49:27+00:00,158.95714149940696,109.78591448151928,131.33463539341724,157.2770693550596,,,,139.08357256804737,109.47167336586014,118.4452987558613,,157.9791235371919,163.41549436902142,123.42849786828789,151.98645392678887,,,,,,,,166.6840454411102,162.8811247164238,,,,158.31620246709969,163.45491022769312,161.20656211655736,159.68436633755238,152.03385651065616,162.97278685459398,160.12494544366626,167.41049810799672,176.45290861399917,174.7050839628346,171.04060164098024,162.8091768223919,204.64686384060738,197.39443181440885,192.70712460245284,196.7353908113033,194.50903402947915,184.43081605918073,182.6279953344858,180.4096640055411
