,dates,nzd0252-0000,nzd0252-0001,nzd0252-0002,nzd0252-0003,nzd0252-0004,nzd0252-0005,nzd0252-0006,nzd0252-0007,nzd0252-0008,nzd0252-0009,nzd0252-0010,nzd0252-0011,nzd0252-0012,nzd0252-0013,nzd0252-0014,nzd0252-0015,nzd0252-0016,nzd0252-0017,nzd0252-0018,nzd0252-0019,nzd0252-0020,nzd0252-0021,nzd0252-0022,nzd0252-0023,nzd0252-0024,nzd0252-0025,nzd0252-0026,nzd0252-0027,nzd0252-0028,nzd0252-0029,nzd0252-0030,nzd0252-0031,nzd0252-0032
0,1999-12-25 21:59:16+00:00,160.89614446698536,165.28507471784894,176.1428612225932,,,164.17673480828833,163.74737900763844,154.4828579503658,,,148.7272860312596,147.66988870682178,146.9002432157852,,158.55781539140668,,132.10836791801108,138.80071912207615,137.14395616493704,135.6625458770921,,,138.42214012808705,151.96190410758075,160.69180457240904,170.6928129270122,173.35205851084714,,,169.94409934740068,174.54872171988237,176.92012792980768,177.32735318909874
1,2000-01-10 21:59:16+00:00,174.15059083257663,177.8072051270077,197.08566173806756,,,184.23152330292265,168.93233401816997,163.2957717079511,,,160.13383233454545,161.1756292513769,,,174.06645095182003,,160.15656771886893,154.48514295583217,160.32540398928845,162.65854214556327,,,166.7659386530347,176.98483968282162,186.5837157685292,178.14239064346836,190.4483217345877,201.0009389578424,,187.8059622796478,187.08486761151028,188.81201333150307,189.17300379327867
2,2000-03-14 21:58:59+00:00,176.32440634898498,176.48568801927948,192.97865003878113,,,,,172.99501936347667,,,170.96855135728336,,,,,173.23359099159944,174.3140150077742,,155.03035682267767,,,191.45976879382152,,,,194.4970261490878,,208.99963787499465,,196.22029386546942,211.25725280989937,213.64898415307633,
3,2000-03-30 21:58:57+00:00,170.0995084624625,169.53873965880678,174.60119443947139,,197.91474516700464,174.44053255350875,165.7058329943795,151.8526310102609,163.70772674616322,161.21551861529076,149.3306472404725,140.15800578924342,160.4364838261404,,169.9768323363447,164.6343000105625,,141.79617794540323,147.4921812069227,165.41829715987743,166.34318700502664,168.2964401497402,,,,199.09427903096648,183.95195983991667,,,165.25375684345534,187.49039541800371,193.18357875791125,197.5928876622204
4,2000-04-15 21:58:43+00:00,155.3956750422585,156.33938612811144,165.97682156710775,,,167.99949739273464,190.03364609826795,162.85754830504408,,152.24413744950598,140.78754113765729,,150.67264701140624,,170.20506785166117,159.33885820206598,,,186.05947586684425,212.301941229574,184.8988163913889,203.96158554261072,188.79745886856088,218.67073104579873,,211.36950995604383,189.3607572146723,,,163.90481726055148,191.10519836140972,184.85207851850913,
5,2000-07-04 21:58:02+00:00,152.13633045363662,,,126.56121425796664,,,,,,,,,138.39638157465575,77.597364034891,,,,,,,,,,,,156.1197116908093,,,,,,,
6,2000-08-05 21:57:32+00:00,147.5673516769987,127.70342726095171,,105.76382879099124,208.31193386554787,,115.92422357954293,,156.5964099631295,,,,124.57475506181027,73.19399683026762,,,,,,,,,139.8882910759237,159.6263351662653,164.90083260588483,144.5825057095935,146.69550791868446,,-63.475723211120496,,,,
7,2000-09-22 21:56:53+00:00,157.34242622665755,152.04132665210145,159.6151428451272,,,167.3274884527465,139.6192463581314,142.460638432883,153.8793232284757,149.99441602352343,129.69419945783872,,,85.71092507860132,121.83012933340083,101.566189805819,142.81764489284987,,151.1289100565912,,,,,,,170.42859565648502,188.82713828182318,164.02496941431838,-37.20780417529217,,175.13168558498452,186.19170832520905,165.2901111115263
8,2000-11-09 21:56:45+00:00,175.43361727767262,172.1592013181026,201.4948566355171,,,182.24183556454435,180.161032084252,173.918806641268,,170.9780835391745,155.80423439698774,147.1596482449053,151.8963242687343,,158.86690003347127,,130.53423112944006,145.78927313739973,159.0293464021344,,,,154.04700712218957,166.82981125721744,173.39327919727293,173.34147243776857,187.16116047437498,,,160.2012791984568,181.6302663979904,188.7730435697185,195.23409422649118
9,2001-03-17 21:56:40+00:00,173.18404505107893,174.27877163755534,185.9256456173038,,225.58787069197987,200.2895105671612,186.81083160180822,163.5796077347479,,178.42115916357477,157.96267096811926,156.1663568624536,,,186.6865303344296,178.107031109167,,,,185.57456057790245,163.0585463724893,185.17686951155534,202.18490908689785,213.48638046191837,,224.18635976935866,207.43742101767512,205.86953521331822,202.89646039897906,,,,223.38526245632707
10,2001-07-07 21:55:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2001-09-09 21:55:00+00:00,167.8700278184723,171.16754301702366,184.6615737638923,,245.99918720687097,219.6876624448103,196.7842033920622,178.90365749874675,195.5835398670314,182.36395962269225,162.47059636257362,158.25229508013018,,,185.7247771540882,148.0230316797897,147.40287002714922,,162.6008870385911,,145.99984650496117,193.68684528256537,221.56374468435476,231.33648304224116,,223.50976836255722,,218.13755540384506,203.67800015741932,,,175.13466151936584,188.62835350129725
12,2001-10-11 21:54:33+00:00,173.50208059326636,170.4653499045986,200.08271403842954,,242.80077811061463,204.06586085922885,187.10392393669775,170.8065775567284,,178.41502099883863,161.50084006623752,144.49372846265436,168.28098004430737,,180.4904396051789,146.22585873756697,,158.81431830504,,192.31336509902573,165.91639902049522,176.58543039630004,187.73566276535746,202.8897381718674,,,216.0576369699812,214.54810765331416,186.63875145975942,,,189.7302745510781,184.8919628345289
13,2002-02-16 21:55:18+00:00,179.3600169792182,180.93876458360072,195.35552221060047,,,190.50040457842704,,163.9075982488463,194.02937066730402,179.01177723786458,149.24846052475206,152.65548359446765,,,173.9012987636864,171.46799127875468,,,196.73967318232715,182.51647392942414,176.05110122568132,177.77583350397498,185.68387955949723,206.7366384950374,,198.30283586797387,203.7338762972967,,186.50478560444526,180.20774555484178,194.52739846271348,195.0537576663788,207.62197661890875
