,dates,nzd0204-0000,nzd0204-0001,nzd0204-0002,nzd0204-0003,nzd0204-0004,nzd0204-0005,nzd0204-0006,nzd0204-0007,nzd0204-0008,nzd0204-0009,nzd0204-0010,nzd0204-0011,nzd0204-0012,nzd0204-0013,nzd0204-0014,nzd0204-0015,nzd0204-0016,nzd0204-0017,nzd0204-0018,nzd0204-0019,nzd0204-0020,nzd0204-0021,nzd0204-0022,nzd0204-0023,nzd0204-0024,nzd0204-0025,nzd0204-0026,nzd0204-0027,nzd0204-0028,nzd0204-0029,nzd0204-0030,nzd0204-0031,nzd0204-0032,nzd0204-0033,nzd0204-0034,nzd0204-0035,nzd0204-0036,nzd0204-0037,nzd0204-0038,nzd0204-0039,nzd0204-0040,nzd0204-0041,nzd0204-0042,nzd0204-0043,nzd0204-0044,nzd0204-0045,nzd0204-0046,nzd0204-0047,nzd0204-0048,nzd0204-0049,nzd0204-0050,nzd0204-0051,nzd0204-0052,nzd0204-0053,nzd0204-0054,nzd0204-0055,nzd0204-0056,nzd0204-0057,nzd0204-0058,nzd0204-0059,nzd0204-0060,nzd0204-0061,nzd0204-0062,nzd0204-0063,nzd0204-0064,nzd0204-0065,nzd0204-0066,nzd0204-0067,nzd0204-0068,nzd0204-0069,nzd0204-0070,nzd0204-0071,nzd0204-0072,nzd0204-0073,nzd0204-0074,nzd0204-0075,nzd0204-0076,nzd0204-0077,nzd0204-0078,nzd0204-0079,nzd0204-0080,nzd0204-0081,nzd0204-0082,nzd0204-0083,nzd0204-0084,nzd0204-0085,nzd0204-0086,nzd0204-0087,nzd0204-0088,nzd0204-0089,nzd0204-0090,nzd0204-0091,nzd0204-0092,nzd0204-0093,nzd0204-0094,nzd0204-0095,nzd0204-0096,nzd0204-0097,nzd0204-0098,nzd0204-0099,nzd0204-0100,nzd0204-0101,nzd0204-0102,nzd0204-0103,nzd0204-0104,nzd0204-0105,nzd0204-0106,nzd0204-0107,nzd0204-0108,nzd0204-0109,nzd0204-0110,nzd0204-0111
0,1999-09-13 21:52:41+00:00,113.97660551807607,99.15279517466129,94.82565015877869,99.90402053414448,89.33171524655914,110.65059858031479,110.47754602243035,111.65661137022587,116.16651825883558,114.25429547765283,111.99063888338397,111.69852809710704,111.60745589575212,,,,,,,,,,,,,,,,,,,,143.568954226489,142.0936048847541,139.2770997553239,135.77176199888117,118.0019448266033,89.85342087726269,128.16579231630269,136.4530610546776,151.479903240382,,,,,,,127.41008853963285,127.74613658217322,130.0421576984284,128.5499671312469,126.21319441775881,128.41439473391662,126.67748852934568,123.23698507627111,118.81941748136164,117.87661526198045,,,,110.31449047728555,110.96709512325256,112.79996534987464,114.75731300554608,117.32022292320885,120.0184833066092,120.5267735635933,121.04672763329759,122.27014987858479,121.9052618107819,116.51031301936078,114.7129033028394,113.40896538853507,110.96534419131667,108.80102000160532,111.26817564453427,111.71403915837473,111.53049050115045,112.6138507745962,115.18780237100204,114.12579878731584,114.32019132320977,109.67412194402517,108.65824718924613,118.99017406086962,127.48755500847699,128.04535477746975,129.78647186308,132.08052995160773,132.00085754467827,130.55216163897333,,130.69570956103647,130.33038477907385,135.5215562784473,136.55107671872145,146.16098979929018,149.1062341446967,147.5490642755169,150.41713662715608,153.2893690766503,155.37973438370332,164.49642864500868,163.42079434315133,173.5482045707611,177.75650815752925,170.5615674679771,160.3918384199636,152.53500816516453,147.00496818604682,145.49491046499253,141.39711601592498
1,1999-09-29 21:52:52+00:00,143.93915931614504,122.55741690634407,115.58412421198979,123.96144107702104,112.06893326700089,129.7351527243747,130.93956010360685,129.97824208969402,144.26398237579903,142.07246346561607,136.77412665890458,136.14238703059684,137.81179846741546,135.9964455272504,137.29016845886778,142.69104637458292,150.6187163550567,157.97071112151465,155.82270079991727,157.8029766822183,155.63988849574008,150.91383960784157,153.67098387543717,156.74549455271185,152.96316826624926,153.70537930262248,134.08258646966144,144.83527282168677,156.83355422654245,164.68374119195403,167.86037229624952,170.36184461096474,167.88778112095514,164.98863187673044,162.57958943266652,153.2765688051929,147.76431372636068,128.740384889461,148.74198759596973,170.02571764376077,171.19485767755123,195.336542039871,196.60739440769635,190.85533507789518,186.04714736763253,180.10791649090837,172.6304373107525,165.069778165921,157.31420284721392,155.7068934319709,152.98478497156788,151.6130837791833,150.1961220602791,148.66221900447368,149.61526480498242,143.90113279178763,145.6734313034168,162.50723650053044,161.8019977712255,153.42160289953281,152.688663779522,136.47494891171118,131.79833761798878,134.46370782162387,136.35518004303458,140.97249651945987,147.3164554033997,144.698038622713,144.15092273875797,143.44844619315273,139.22088517760614,132.70154727689234,133.47546220212712,131.65607244859058,132.26846827095267,134.25620419268415,137.89607408182883,145.98429021697018,139.38047431443746,139.30437091267243,139.14698041380632,137.93581513072,131.4779996338201,136.05612515123227,142.80952521857378,147.5713759901739,153.34372572342926,154.7500486104026,163.57835804777372,165.68613472174744,172.68766484515416,173.83098002922702,170.70317304968458,163.3445034592388,163.04785085008896,168.01177060584553,170.33812647195,180.01269625882247,176.19515248852957,178.86621600397663,182.9429594253866,185.38124541991027,184.72734076934444,188.77102352429898,191.80523787476875,194.65126062385195,186.85117715699943,186.4431725620191,175.59833689487974,171.73493702481105,170.49959350321768,175.53583276771082
2,1999-10-15 21:52:49+00:00,135.8226879850376,115.15489005977594,108.59712855657564,112.98860341471276,109.82591722250218,115.01809299309824,116.89725351366864,118.97311609188012,126.24643685442659,125.92219031313032,126.41389367830232,120.45474929790451,121.89750801001487,124.37590887262584,148.86490997289823,132.15459041311055,136.28660327654538,141.87737243550274,142.69742664085888,139.37223185610864,144.53057043653462,146.86990665924478,138.04460247929407,140.09822351134451,135.52295684864603,138.70339263852503,126.24592897915612,140.95839589129366,146.52013124966922,153.05194978151488,156.2758275504855,157.16143425063552,156.0058143558442,154.0471748797261,148.56823052509228,144.41846301727188,139.58359453911018,131.3323537670233,141.6398401709646,153.90833477824873,164.4173627108944,165.50487553616975,167.8416656579471,161.8061916682191,157.30898475243322,160.55801005569776,151.78739927882933,154.38347356612954,150.2407686194488,147.52321562649175,143.76500164888293,141.54278630202066,140.65033171135676,139.91564069943644,140.03610071880047,133.9290099559261,130.03362535972755,129.3201117409636,130.96820140185986,127.03632126882748,130.70340098507347,129.63276076766448,126.98554887654709,125.72565464590573,123.53920995529312,121.78671318997137,129.0480206000794,136.78488952597004,128.64050136266988,125.74612827368959,125.1270643495106,124.2227294821149,119.6206473067987,119.13999127599129,117.2890831448224,118.09114476392102,125.25536376464368,125.76892407078205,129.25743131177583,126.80863131644166,125.41492337696883,131.68265955123712,126.66480134239058,127.19601513019916,131.79572837670094,129.99049007086725,140.2052879856865,138.06742673507335,138.95072244276,142.6700943482602,140.7733815288112,141.91028470867607,148.6840789521864,146.39535524976404,155.318000112827,155.33614945898452,161.76244929895785,166.6507062254423,169.74214611601045,171.82302050821093,177.4569443023231,174.17954725370478,172.23766077084852,176.6948460732255,185.19900500270003,185.40826489978755,172.957079089778,164.48117730024043,158.9747562855339,165.00650872490476,163.36471007741804,153.04223931338174
3,1999-10-22 21:58:52+00:00,133.61389565583914,118.90947948297459,111.36689450442593,117.18904534126254,111.12944247092926,111.32507936415341,114.33493455659132,106.79745291589364,123.33206864725297,125.79565797562525,122.74260022876452,117.8762067106406,119.09331074107902,117.6766535475432,121.35723634748207,123.37258415028505,130.8332079119495,134.92582386481368,136.83246028670644,136.69629377610417,137.95106088545694,134.67421611392908,138.91224541763407,138.38737839110934,140.88027317980027,144.2411740093315,129.99614741821273,145.92893319243896,146.48888271002875,148.40160818794013,155.88464904002217,155.86939753045075,157.626009459488,154.16792743263662,153.47431931938056,152.3339703402597,148.4804812381129,134.23250602880327,146.36044501770326,160.0944275518556,166.35920669589302,167.80604639572465,165.25994184617323,166.38897769268712,160.35700828149768,153.7915978041031,153.61641000375056,151.77091165246068,154.02992547495737,155.28137632712412,153.32335016581712,150.18590373707957,146.06004450563515,144.02190210846268,146.6357619953349,142.90470634982861,138.37378122490517,138.06782848558896,136.59533457077634,133.2732966736067,133.13283856995375,133.00208109007883,127.58657210237719,118.05005035599599,122.40837293868596,121.77208767754952,121.50876498705584,132.41198936292722,132.67225799887376,125.87047852764165,125.28544645317187,129.6142542191716,123.55183447418865,117.9553547728731,127.02773009630404,114.18979611199671,125.7895622935715,128.04172120695856,138.6184829311814,135.71170176186678,125.07275377811911,137.48455384840864,130.83901896176545,129.23783540946016,133.55793892471664,131.68665097504729,141.72513956699225,140.763003999723,139.88400136914933,141.11482340347993,139.063397187939,144.4640784430514,147.07027524122816,152.53429350317853,155.53863251415325,158.84242303339275,168.4255490309974,169.34555298532896,178.00142853301148,175.99371713041432,181.0933819242319,176.9122132925373,176.7814489186479,183.11905937133287,184.945940652671,197.00688464967,180.78232563552544,169.4209821797109,168.40572160639374,171.82912998463453,164.18280407326571,160.07922759392275
4,2000-01-10 21:58:52+00:00,125.98208161159758,110.6773340249248,103.5735013543865,106.62007270163444,102.22347360379237,101.14217501101574,103.49409190718735,108.162724914685,113.40218730067424,110.32179386190438,107.12442713962494,107.15413886178858,108.0652208548489,110.23723961182334,115.26183025772572,116.29924378675948,123.85764110854107,128.33634998941196,132.19489520803435,128.41422487641347,132.36558743837685,130.581886305998,,,,,,,,,,,141.72391784014337,142.99650587939044,138.36420171644838,133.21342075052746,128.773817242403,119.40577716349237,130.9831396237234,138.56736510836168,145.95126123799704,145.001596757043,145.50357911302834,145.153462394031,137.94874802640828,134.89400061180459,130.23484442067792,130.30720852314937,131.64298986224756,133.33059619209013,134.99186041603295,138.62495962266925,139.02542113075427,139.06527174507107,132.4835243220018,130.24307516229433,126.18883838359527,123.5942817491788,124.74094077888952,122.37733137372459,118.30914453324914,118.06418153579767,118.65586419066209,119.7877769668646,120.56980647003557,123.35996253299321,124.55901233673444,118.70199202520877,119.49161667692356,119.13080111126938,117.88972364043615,113.43764591124395,111.85767641592226,110.47788876458355,110.13935481136062,115.51245919605994,116.12598827533135,118.7572649196337,123.66284991907919,124.93108876918348,124.47295156380947,122.04207994306208,113.30898952031662,115.36587373485007,126.27503121013459,130.32016921200443,132.57310179058106,128.34005662165592,130.32338168544777,138.06621418835795,133.53550542540077,129.33104813513833,132.2792674480427,131.00317771928573,135.67832087185184,139.51275873801393,144.36473343797437,150.82255636345536,154.14694976828991,165.9025695814546,169.14221879058493,179.07523826855268,181.3628372345084,193.14600816135408,206.5712221021181,202.49232548785974,186.55916168474278,175.1662727566681,161.5650219187136,157.7535410090012,163.7932653354567,162.40930786587106
5,2000-02-04 21:52:37+00:00,132.44744875341794,125.95686982720423,117.20539633185196,123.31986728575028,118.09316212935138,112.52801605726101,118.2205255123909,116.89265454843733,119.63322590546653,122.19338738456253,117.82020420216898,119.43383682790103,120.84020927809058,123.53927651014628,128.2205673401167,129.06627601392094,135.31747719663247,140.49615680710997,141.8815553432852,139.0217240449124,140.38488073006698,144.59221658457116,145.50676867531126,140.57523236552393,140.08785816497536,143.1686503647772,143.05865036956004,147.99272274507425,148.00752996056895,150.69187972276669,157.5321488632785,160.76351420223227,154.39565566350035,154.96751832661104,150.28779544432382,147.25596483855367,142.01720721697967,139.57821734198123,142.82989113228894,148.92488940615524,150.81344826984355,153.00121587727932,150.16204974200824,149.95332676492134,144.37893549479728,139.91137565772246,138.77764020023233,144.68765481165585,143.45543762445843,141.17500245323188,139.7129198579668,142.10488331787894,148.51522615635378,146.07290885645335,143.77451828469492,138.56076150699428,137.16943738448273,136.17444595523114,131.93073930875275,129.63272391535892,128.4789635693201,129.82895029634957,130.7058366972578,130.72034105203932,136.48090125550152,138.81890161382557,141.13530049813426,140.64820086297595,138.09326598589624,140.25144976403118,132.82433549551402,126.3439799536419,126.49069210736482,124.46669776829268,123.80126298737248,125.29257614286105,130.01757024862698,131.5078001427996,140.51621326370895,143.58285485725588,144.79205544405943,143.6331067181758,140.57382219782377,140.91347408957753,142.22082128218435,143.62895912507543,146.4287710135446,149.53838433154982,150.21077824377358,149.36034521212417,151.7772037211245,146.3959135896783,144.6339238572031,143.43859931392177,141.1931183844916,142.44651927041784,155.5095899196629,156.13543259407695,162.2807151612368,172.23751675659398,180.420725750968,187.01882467298196,187.21793404843703,194.77216914946283,203.29813637730035,212.61658941069862,201.44956429567475,182.62887336836604,170.73553561360188,169.6167078061307,166.39915483898767,171.36336554136946
6,2000-02-20 21:52:29+00:00,137.2740317352941,119.41376201384469,116.12934978323722,120.921617394836,114.3847797411936,114.46981905274134,121.60364237059915,122.27668791649901,125.49764036809944,125.13278690259449,121.13257825016473,120.77313983347545,123.45678506244988,122.85916693132776,128.57863657665038,131.54344391861292,136.5969230452357,144.62869475261314,141.36341590126938,142.23482433267452,140.58586410446688,140.02874427081375,142.89422228031938,143.26774122262523,146.0770304475407,143.06128886082075,136.08281260340968,142.1254599910431,150.5457123820152,154.6376687670538,161.39774473995453,162.197587321204,157.36646983860584,156.4407258927174,,,,145.1154575633248,147.14122645080144,154.80516438063336,165.70030928727425,160.57324500363197,154.5484031830602,153.55627591480717,150.05482578145444,142.22048101638006,139.94533023101948,141.32425841038673,141.21241287130292,144.10308794704477,144.36936749613196,147.2947243753001,146.28486071466293,145.80351378921097,142.42451884501816,137.2761594082271,136.00252120690072,133.26547587600928,133.39612221706608,131.44582713867186,131.2086205476436,132.70702364259648,130.94186102129186,132.92271336829677,135.64613692554053,138.5850401711959,140.460534980338,139.55573801617084,139.69871354881127,136.0947698990151,134.42183683167653,128.55889314080883,127.31286254932817,126.65238342713359,128.04651881299802,123.09313774920315,131.6400570036078,133.4523045741199,133.60302339040493,136.51809744654147,139.3851829064013,134.19384549063017,129.0140312157916,131.29973273374512,138.03769423881064,142.40468679687436,144.207783031997,144.37021832874606,144.12852130088552,148.94646302288496,146.02382343872563,143.5585223681833,147.79473260542693,146.02802558773146,146.82178909932736,147.22647853290104,154.90742409282402,161.8575401224091,161.5076150985773,168.86913274991025,176.72646578965615,182.89157300527765,186.97022061064294,195.45801570894884,204.01899169075926,198.31754073021216,186.96622250357487,180.17767432389502,169.03059829574295,167.69955908480935,169.79074632311844,171.48666144604576
7,2000-03-14 21:58:35+00:00,140.03997736204477,121.80364954700855,122.07094825166666,128.39555135290956,115.56037396132767,117.01530134284499,118.46203020812939,117.86880572572638,128.3132118326033,130.88943213336762,125.05542189173214,121.3991358890848,123.12292852059348,128.09137370322705,132.01158597732828,135.78491225420524,140.9517617807151,142.053411873346,143.49541351500017,144.01909490135358,141.1512959521897,140.17181443777918,142.26216451131603,139.9835157045804,142.79544947179969,138.72524470755394,134.24717642747726,151.01415377458298,148.70389430638357,155.6603961919109,160.9527444710697,160.59481724296933,159.63006377436352,158.83483590446187,153.29321869214004,149.91413564656534,145.92179869979634,140.8631911808994,146.48978649562767,156.31874509668626,160.29500400445886,160.37730344834353,162.29362318714615,160.0591444318535,156.88922095683745,150.1756916320138,148.14378198091688,150.04187960112293,150.8301903272035,151.74136868816944,151.7204447023665,151.18519450016868,150.4055683909728,146.4444591378775,143.82080796007506,140.33547061101464,137.60800084697357,132.9688406291652,128.91680891222404,131.86583490836367,129.95643634615453,132.96784930912654,131.0979925050716,134.47828592170242,136.43419427412908,138.80252867843916,140.0665417873899,143.45087697768824,140.8629423649136,140.88796339684657,137.4654957157264,135.13038585849966,133.58772283261715,135.0058208271581,133.89861531556818,134.17134022801267,139.40653992894113,143.61968957955645,144.12027911824703,141.61400818035446,144.19351120162602,140.38790028647549,131.13140814435013,131.07121699783133,148.0526583435561,146.59224184368227,146.3801341437124,146.51032851677283,147.00733878564088,149.2892856246423,147.71741135205085,145.4200000424738,147.52399208120542,152.9302191700703,153.70826015214672,155.42703159234983,163.79971006317936,163.19290663856063,167.79317781624266,181.0808468168634,183.42940300482147,179.50724317758636,177.5410728438855,194.40302200182563,200.59555925732866,191.39530044453636,181.93578527672702,177.14921455335264,170.05476061901777,169.23342107719256,179.93172637865322,193.8566041473862
8,2000-03-30 21:58:33+00:00,145.1936093065734,121.27560841611711,119.71923830533194,125.82974205367057,112.37670227363124,121.39438693565899,122.06243258563893,123.4483910130601,127.02734337851255,125.07187463373681,124.2106098245779,120.49488378658297,121.32778173709256,123.08693535608448,127.38369490915869,135.45666640877613,139.5847253762364,140.47165927443672,136.8285977373216,134.66458596747097,131.1026719651734,133.46755447716654,138.50581677642643,139.19715326632678,140.08345196727691,137.3236537260965,131.73790054398654,141.99591099716002,147.01456430140496,151.69184785780388,156.17437078152165,159.47960531152432,156.9920290416075,152.21860558820828,149.39345125029877,145.6798455967299,142.1909099619936,135.59999318756815,143.57820644234283,150.23780907994097,159.05179244870368,159.4367426517282,158.09586933463706,152.94653203512004,151.17329088572757,144.50089720693256,140.81745420575277,142.97223567699282,145.03007928033182,150.88211532392722,152.29497759349888,147.0168592520513,146.34497021867134,140.93256462430156,141.22309280144208,142.1526039053387,132.03306563579144,132.0998577456208,130.25824638086533,128.45488685094617,126.82779145576659,127.9564511201737,129.82397858541216,130.43123248406698,132.37653389592597,137.85141025232332,140.67709049071925,135.76130610681344,136.13015402017504,136.0206154842199,131.69174145413916,133.93931565891688,133.04475561055983,134.02784720776216,132.93581363107535,129.84520140640345,137.28569209808177,138.33246044001174,137.3197944962764,133.68607433510232,136.17343199188173,131.56985548122373,125.8628025498747,129.4680516774202,137.30331730555284,142.25768835139044,140.85412929032594,141.34054031434323,143.71413338367927,145.23391778704013,143.54190535461106,141.6039853113839,144.42301269796152,146.49792977371484,147.917358561791,153.68568233780962,159.68789304070472,159.20039739271064,171.2944391348233,181.8202336877387,185.1715369965447,177.5675942309239,183.00535722489124,192.61050652949388,201.72365095436822,194.74317154849854,181.66701049384818,173.9606551842109,170.12040344455204,173.45781268994398,179.0503123168024,187.774866081869
9,2000-05-01 21:58:18+00:00,143.0755298908752,126.86405938257157,123.7524872331747,135.3297085349532,113.66649822113479,127.0757674199359,127.70863358069035,122.23849254538597,133.70917299267958,132.15139572921265,123.71704349295837,121.08441235588703,125.04352670339233,125.94447695114584,127.70002969171159,133.52337449295504,138.58996729938207,141.55500378440397,138.82641680032827,137.21566721686804,134.76092283920187,136.8920977715405,139.29759073241468,137.78661430192156,140.50787834145623,132.78616721995593,125.09876522390186,153.0342504283249,149.57677885904076,155.96990637682956,159.57868562612515,162.1211652147107,151.93061814204046,152.66552231835882,147.33876735511785,144.1448336539043,141.64143699194955,,142.08741610955363,151.95274332471809,159.4017028709625,157.9844442940025,157.0197453811283,154.23311992661374,153.40461762211368,149.55569664745158,138.6233883385954,144.07842853468085,155.47750607254912,151.8446940702821,147.85470918331265,154.06805453616047,152.66723947704816,143.56259979874528,139.83879459218016,138.80337278255152,136.6667461937191,131.3408786504852,126.0832817473365,130.08677184698388,127.56288861586478,124.61077698699381,131.92923907163922,136.36478126113252,138.63612741466673,144.48484210286153,142.5728772537212,138.60127707581137,133.23631041845485,136.75557684519973,130.2723551928942,131.56762428944248,133.88937321137368,132.6054609698586,135.71611643483718,126.40794133075495,129.26604950746346,131.32793685892617,136.08953299076552,143.1425946649718,138.61609290609937,132.5079561010476,130.36734106239834,130.60378598100652,140.45077400284845,144.10738755452772,138.7563557080774,148.76797231495453,143.5872312013228,150.32038173898462,142.84853311785068,144.7590021900409,142.47581388940023,152.9224672023712,151.97377782953484,159.63723821913098,162.7650371523725,166.5883719556302,174.89634270602738,176.11998258022032,178.9953054100753,180.9582431308109,186.478293416559,193.11212804919225,204.0926547896397,206.12854225268154,181.62311984535998,164.832621226814,173.7063252721806,173.341282229201,178.06138724155747,193.41900328581593
