dates,satname,nzd0088-0000,nzd0088-0001,nzd0088-0002,nzd0088-0003
1999-09-27 22:04:48+00:00,L7,348.40,345.75,349.04,352.47
1999-11-14 22:04:42+00:00,L7,350.37,349.84,352.05,356.05
2000-01-17 22:04:35+00:00,L7,365.21,358.86,357.86,370.51
2000-05-24 22:03:46+00:00,L7,348.55,351.98,,
2000-08-12 22:02:54+00:00,L7,353.38,348.54,357.74,347.83
2000-10-15 22:01:56+00:00,L7,344.25,337.98,340.51,338.15
2001-01-03 22:02:12+00:00,L7,356.62,353.98,,
2001-03-24 22:01:59+00:00,L7,330.30,323.54,332.82,333.60
2001-06-12 22:01:24+00:00,L7,334.54,336.53,344.90,354.72
2001-06-28 22:01:09+00:00,L7,354.33,354.50,357.61,369.28
2001-08-15 22:00:38+00:00,L7,350.23,360.45,355.62,365.04
2001-10-02 22:00:04+00:00,L7,328.72,329.53,335.63,338.82
2002-01-22 22:00:40+00:00,L7,354.64,353.11,353.99,367.51
2002-03-27 22:00:37+00:00,L7,345.80,335.39,336.42,345.67
2002-04-28 22:00:38+00:00,L7,334.77,329.37,328.57,328.94
2002-07-01 22:00:15+00:00,L7,356.36,355.01,356.33,366.86
2002-07-17 22:00:08+00:00,L7,353.57,358.46,362.09,363.66
2002-08-02 22:00:01+00:00,L7,339.07,339.39,349.33,344.05
2002-08-18 21:59:57+00:00,L7,366.68,353.49,356.78,369.44
2003-02-10 22:00:29+00:00,L7,,,339.47,345.09
2003-02-26 22:00:28+00:00,L7,332.32,326.59,,
2003-07-28 21:48:28+00:00,L5,340.83,323.65,337.36,343.80
2003-08-05 22:00:11+00:00,L7,350.09,347.03,350.09,347.30
2003-09-14 21:49:18+00:00,L5,346.09,345.22,343.12,346.43
2003-12-19 21:50:27+00:00,L5,341.31,339.49,345.38,365.24
2004-04-01 22:01:04+00:00,L7,371.80,359.21,359.43,368.71
2004-04-25 21:51:47+00:00,L5,352.97,339.90,,
2004-05-03 22:00:59+00:00,L7,,,352.66,354.43
2004-06-12 21:53:11+00:00,L5,376.40,355.47,363.20,368.96
2004-06-20 22:00:50+00:00,L7,345.03,329.76,331.45,336.21
2004-07-06 22:00:48+00:00,L7,,340.98,338.78,344.39
2004-07-22 22:00:44+00:00,L7,345.81,337.50,343.51,347.18
2004-07-30 21:54:28+00:00,L5,371.31,358.55,354.98,359.79
2004-11-03 21:56:42+00:00,L5,337.78,331.15,331.81,341.53
2004-11-11 22:00:45+00:00,L7,,,342.96,344.34
2004-12-13 22:01:00+00:00,L7,343.82,338.93,340.39,339.49
2005-01-14 22:01:13+00:00,L7,342.67,337.87,330.80,343.66
2005-02-23 21:58:31+00:00,L5,344.67,336.09,337.99,339.42
2005-03-03 22:01:30+00:00,L7,353.85,356.26,,
2005-03-11 21:58:44+00:00,L5,339.30,332.69,339.98,346.63
2005-04-12 21:58:55+00:00,L5,,315.62,316.37,320.28
2005-04-20 22:01:20+00:00,L7,354.83,355.83,353.91,356.94
2005-04-28 21:58:59+00:00,L5,,348.76,348.35,349.65
2005-05-06 22:01:25+00:00,L7,340.27,,,345.64
2005-06-07 22:01:19+00:00,L7,343.96,344.08,,
2005-07-09 22:01:14+00:00,L7,345.49,337.55,349.26,347.52
2005-07-17 21:59:35+00:00,L5,362.62,358.80,362.66,365.47
2005-07-25 22:01:13+00:00,L7,345.66,338.40,348.29,345.89
2005-08-10 22:01:10+00:00,L7,342.17,335.66,338.80,340.65
2005-08-26 22:01:03+00:00,L7,333.06,331.84,,
2005-11-30 22:01:24+00:00,L7,341.87,338.33,345.21,347.31
2006-01-17 22:01:43+00:00,L7,344.44,343.12,348.51,346.94
2006-02-18 22:01:53+00:00,L7,329.20,322.37,324.43,324.32
2006-04-07 22:01:51+00:00,L7,358.96,355.95,362.64,366.55
2006-04-15 22:03:30+00:00,L5,349.73,343.51,350.10,348.84
2006-05-17 22:03:57+00:00,L5,340.62,341.84,351.34,347.87
2006-06-10 22:01:49+00:00,L7,364.78,364.91,364.03,365.82
2006-06-26 22:01:44+00:00,L7,338.76,337.79,340.78,343.27
2006-07-28 22:01:30+00:00,L7,347.43,344.35,346.39,344.56
2006-08-13 22:01:29+00:00,L7,346.17,340.37,341.91,347.30
2006-09-14 22:01:21+00:00,L7,346.79,,,
2006-11-25 22:06:19+00:00,L5,288.45,295.56,303.80,322.82
2006-12-11 22:06:28+00:00,L5,235.92,254.98,267.04,306.33
2007-05-28 22:02:04+00:00,L7,361.44,364.95,371.75,380.44
2007-11-20 22:01:58+00:00,L7,351.53,351.46,351.32,361.04
2008-04-28 22:01:53+00:00,L7,348.35,350.61,355.13,357.33
2008-05-30 22:01:41+00:00,L7,371.49,365.45,362.51,368.40
2008-08-18 22:00:56+00:00,L7,349.84,352.50,,
2009-01-25 22:01:34+00:00,L7,343.14,,,341.91
