dates,satname,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0036,nzd0278-0037,nzd0278-0038,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0048,nzd0278-0049,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0054,nzd0278-0055,nzd0278-0056,nzd0278-0057,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0062,nzd0278-0063,nzd0278-0064,nzd0278-0065,nzd0278-0066,nzd0278-0067
1999-07-09 22:05:23+00:00,L7,301.86,283.69,274.47,268.64,251.47,245.70,248.73,230.89,219.93,227.40,228.00,220.19,236.43,241.60,251.13,269.81,286.71,299.58,297.17,289.02,287.19,295.65,310.04,322.00,,,,,,,,,,,,,,,,300.50,298.36,304.09,318.10,340.65,346.87,348.44,353.40,360.18,372.98,362.97,340.89,331.01,329.56,329.29,329.24,325.40,325.36,326.09,323.78,318.19,319.09,337.06,347.21,354.35,318.08,276.78,305.71,311.31
1999-07-25 22:05:27+00:00,L7,279.25,269.43,265.52,253.99,239.09,228.63,228.96,221.68,215.40,219.67,219.11,222.38,233.56,242.27,253.86,265.42,279.40,279.16,280.76,274.68,273.83,284.30,296.52,264.95,176.67,117.60,158.53,140.98,82.49,72.22,88.51,,,,,169.51,,221.77,260.04,276.97,281.63,281.04,298.18,,,,,343.29,353.08,340.33,327.64,324.60,324.69,322.89,323.09,316.26,316.81,314.80,314.40,308.42,310.03,321.05,333.89,326.65,293.78,277.48,297.55,
1999-08-26 22:05:32+00:00,L7,270.56,261.00,257.56,244.45,226.80,216.81,215.46,208.89,198.14,202.24,201.29,206.81,214.05,222.20,237.09,246.02,258.29,267.32,268.38,267.16,265.54,280.33,291.05,267.00,180.28,101.08,154.97,137.83,119.72,107.87,121.79,153.36,,206.57,208.14,214.35,226.80,259.04,269.19,273.23,276.97,,,,,,,,,,,315.66,317.71,312.42,318.65,311.45,312.66,308.55,304.85,304.52,309.50,316.41,324.00,312.88,267.82,261.81,277.55,284.81
1999-10-13 22:05:36+00:00,L7,283.21,269.10,263.85,253.05,234.79,229.21,223.49,214.23,208.33,212.49,213.52,222.03,225.57,237.43,254.74,263.18,271.43,285.20,287.03,281.70,280.09,289.10,299.46,286.67,180.93,118.11,195.06,161.00,134.58,129.98,148.81,220.00,199.08,215.82,217.55,215.58,227.19,263.70,269.83,275.54,278.24,284.69,302.27,321.69,327.83,329.32,338.52,349.25,354.50,345.39,327.94,322.34,323.52,322.45,323.56,318.78,317.90,316.45,312.13,308.07,310.74,319.62,328.89,322.30,270.76,266.92,285.65,289.35
1999-11-30 22:05:23+00:00,L7,288.92,264.41,260.16,251.46,245.05,227.02,221.68,216.27,205.34,217.82,216.25,232.35,,283.02,258.15,265.79,279.76,283.43,289.41,289.31,289.73,290.12,306.75,307.46,198.89,176.22,248.82,161.84,135.84,129.85,185.22,205.24,227.96,230.95,225.78,217.61,246.22,272.71,285.90,280.61,280.08,285.45,299.11,324.40,334.11,341.29,348.61,358.74,364.32,347.06,330.09,324.61,325.95,319.99,321.88,318.01,313.96,327.95,315.70,313.11,315.43,338.39,346.59,,274.70,274.67,,
1999-12-09 21:59:21+00:00,L7,270.05,256.15,251.89,238.78,225.14,218.51,209.66,204.21,199.69,203.50,204.76,211.42,217.93,225.32,237.14,246.88,258.80,265.05,266.12,265.83,271.57,278.36,295.22,268.99,168.75,70.39,149.12,139.85,112.56,104.73,118.25,149.24,,200.54,207.17,212.80,227.69,253.00,266.10,270.40,272.41,277.21,293.12,316.80,320.52,327.20,333.42,344.47,347.58,342.13,324.68,317.64,319.42,314.65,312.59,311.03,310.78,308.53,303.01,300.93,305.11,309.35,324.37,316.30,270.20,262.16,274.55,282.01
1999-12-25 21:59:16+00:00,L7,284.33,265.50,262.57,253.31,241.25,232.47,224.22,216.74,212.52,211.04,214.63,222.71,230.77,237.76,253.62,260.40,273.72,282.74,282.50,275.81,274.46,280.84,301.93,271.86,185.23,103.66,184.90,155.20,132.57,120.32,162.27,207.75,218.14,225.72,214.88,218.16,230.51,264.08,272.00,276.35,276.66,283.20,302.31,322.93,327.72,331.24,339.88,351.32,355.40,346.66,330.62,320.13,322.09,321.47,319.04,315.13,309.53,312.17,308.57,308.76,313.24,322.72,330.96,322.54,273.81,267.56,280.24,286.52
2000-01-10 21:59:16+00:00,L7,293.68,273.44,273.73,267.71,255.89,247.46,230.02,227.45,215.39,218.38,223.94,231.28,242.21,251.00,265.24,273.76,282.57,297.21,295.76,286.94,288.17,291.61,301.33,312.42,190.11,165.13,217.85,170.21,151.76,147.69,194.17,227.43,243.88,235.14,227.26,223.18,235.31,273.38,281.83,280.39,279.04,288.20,304.45,327.46,333.17,336.71,345.41,353.64,363.49,353.68,334.97,328.93,327.94,329.87,329.04,322.54,317.41,317.86,314.70,312.09,317.22,322.52,336.24,334.82,278.96,274.49,290.73,296.08
2000-01-26 21:59:14+00:00,L7,339.20,286.27,314.74,322.68,295.22,269.45,272.03,267.64,274.26,284.03,282.93,294.32,290.69,307.61,308.17,319.69,332.21,328.41,319.09,299.42,298.11,309.86,323.15,332.19,318.25,286.71,326.45,308.76,322.18,272.20,330.88,347.72,,344.52,352.34,331.67,,369.93,,306.02,305.64,295.33,336.33,359.34,358.42,360.95,367.57,379.83,396.48,382.21,358.73,351.73,351.38,360.01,359.39,351.44,331.68,358.90,,325.98,335.09,354.64,381.60,382.55,307.46,325.87,364.59,334.31
2000-02-27 21:59:04+00:00,L7,302.22,278.21,280.23,273.80,265.90,254.31,239.74,238.45,229.53,228.31,237.70,264.24,277.77,287.20,288.20,282.05,291.53,307.19,304.98,298.54,302.29,307.41,321.59,328.44,197.95,251.86,308.63,308.13,155.78,222.06,252.88,335.72,275.84,,,286.10,276.86,,291.71,300.36,299.74,302.44,312.92,331.13,337.50,340.47,348.52,358.22,371.79,361.27,344.98,342.54,342.44,347.11,345.92,335.03,322.50,328.79,323.91,315.61,319.71,337.31,358.39,366.66,289.38,283.86,,324.83
