dates,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0036,nzd0278-0037,nzd0278-0038,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0048,nzd0278-0049,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0054,nzd0278-0055,nzd0278-0056,nzd0278-0057,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0062,nzd0278-0063,nzd0278-0064,nzd0278-0065,nzd0278-0066,nzd0278-0067,satname
1999-07-09 22:05:23+00:00,297.19,280.46,271.47,265.41,247.97,242.20,245.73,227.66,216.93,224.40,224.18,216.37,232.23,237.40,246.93,266.58,283.48,296.35,294.37,286.22,284.56,293.02,307.24,,,,,,,,,,,,,,,,,297.27,295.13,301.62,315.89,338.32,344.54,345.97,350.93,357.85,370.36,360.35,338.79,328.68,327.35,326.96,327.03,323.40,323.15,323.29,321.45,315.86,316.88,333.83,342.54,348.35,311.08,272.11,298.71,306.64,L7
1999-07-25 22:05:27+00:00,293.88,278.87,272.14,263.62,247.78,239.66,240.99,228.59,219.81,225.68,226.28,224.01,238.00,244.94,255.50,269.92,285.37,291.68,290.97,283.85,282.38,291.85,305.28,275.15,193.67,,,,,,,,,,,,,,267.89,291.04,292.31,294.33,309.72,338.32,344.54,345.97,350.93,353.40,364.90,353.52,335.76,329.48,328.71,327.76,327.75,322.26,322.66,322.45,320.76,314.98,316.14,331.37,343.88,344.79,310.93,280.46,306.63,306.64,L7
1999-08-26 22:05:32+00:00,296.48,280.09,273.95,264.41,248.56,239.82,239.15,229.21,219.25,224.53,226.43,226.76,239.35,246.69,258.69,269.14,283.52,290.74,289.66,284.51,282.60,293.84,306.76,285.07,210.31,,248.30,,166.39,,215.12,246.69,,262.57,264.14,270.35,254.80,305.71,279.31,292.29,294.37,294.33,309.72,338.32,344.54,345.97,350.93,353.40,364.90,353.52,335.76,330.06,329.95,327.83,329.63,323.10,324.24,324.04,320.64,316.68,318.84,333.56,347.62,347.48,312.12,284.61,312.49,311.28,L7
1999-10-13 22:05:36+00:00,295.50,278.96,272.92,263.19,246.87,238.92,236.73,227.08,218.02,223.02,225.12,227.49,238.00,246.47,259.81,269.26,282.11,290.97,290.40,285.21,283.28,293.97,306.34,288.41,205.18,146.11,235.68,,157.49,,195.97,247.34,,247.59,249.25,251.37,245.19,291.70,278.30,289.71,291.95,292.76,308.71,332.34,338.52,340.12,347.19,353.58,363.19,352.56,334.56,329.30,329.45,327.65,329.21,323.02,323.76,323.54,319.68,315.69,317.92,331.69,345.27,344.19,305.28,282.52,309.28,307.08,L7
1999-11-30 22:05:23+00:00,289.60,272.88,267.43,257.67,243.07,233.11,230.78,221.75,212.54,219.04,219.60,224.71,238.00,249.66,255.35,265.40,278.47,286.29,287.46,283.28,282.00,290.63,303.67,288.02,195.03,126.83,235.68,,157.49,,195.97,247.34,,247.59,249.25,251.37,238.67,273.93,276.24,284.72,286.41,287.90,303.60,325.88,333.24,336.47,343.63,352.01,360.25,347.97,330.87,326.07,326.58,323.83,325.58,320.06,319.63,321.68,316.60,312.89,315.25,329.86,340.96,344.19,305.28,276.37,309.28,307.08,L7
1999-12-09 21:59:21+00:00,290.42,272.91,267.46,257.34,243.14,233.73,229.88,221.64,213.02,219.07,220.46,225.83,238.39,249.27,255.98,265.13,278.01,285.57,286.35,282.82,282.55,290.87,304.71,288.61,197.11,132.46,231.27,213.18,154.73,178.06,194.50,239.09,,246.58,249.89,253.18,241.43,277.87,277.60,285.16,286.90,288.35,303.82,326.66,333.11,337.38,344.31,352.94,360.47,349.55,331.83,326.70,327.32,324.34,325.34,320.30,320.09,321.93,316.37,312.93,315.49,329.26,342.27,344.90,305.60,278.08,309.67,306.92,L7
1999-12-25 21:59:16+00:00,291.48,273.19,268.00,258.11,244.32,235.00,230.31,222.28,214.19,219.17,221.21,226.97,239.15,249.37,257.39,265.80,278.74,286.51,286.96,282.98,282.49,290.53,305.47,287.86,198.51,135.43,229.84,204.53,154.28,169.53,196.61,241.42,248.64,247.46,247.23,250.52,241.68,279.17,278.23,285.24,286.77,288.69,304.64,327.27,333.39,337.59,344.86,353.80,360.89,350.34,332.64,326.73,327.49,324.90,325.36,320.39,319.50,321.70,316.22,313.30,316.09,329.67,342.59,344.08,303.69,278.51,308.15,305.55,L7
2000-01-10 21:59:16+00:00,292.03,272.92,269.00,259.16,246.24,236.54,228.74,222.98,214.65,218.98,222.03,229.96,241.91,252.26,260.95,267.55,279.34,287.36,287.79,283.71,283.59,290.92,305.26,292.31,198.89,145.77,231.85,200.42,155.97,169.58,200.52,243.02,254.51,247.64,245.88,247.69,241.72,280.04,279.47,283.55,285.20,287.10,303.31,325.84,331.85,336.52,344.53,353.71,360.43,349.92,332.56,327.29,328.07,325.84,326.14,320.72,319.17,321.55,315.78,313.29,316.63,328.78,342.74,343.39,300.17,279.90,308.66,304.91,L7
2000-01-26 21:59:14+00:00,296.75,272.66,273.56,266.31,251.38,239.49,232.43,226.88,213.30,217.65,220.97,237.09,247.40,258.13,265.25,272.64,284.22,291.73,290.96,284.94,284.90,292.41,306.76,298.46,199.75,161.48,239.84,215.84,155.97,169.58,200.52,243.02,254.51,247.64,245.88,247.69,241.72,280.04,281.40,285.04,285.97,287.11,307.55,330.12,334.98,339.21,347.00,357.56,365.15,354.38,335.72,329.25,330.06,329.22,329.51,324.09,319.48,325.55,315.07,313.88,318.39,330.92,345.71,346.95,295.72,282.97,313.11,307.22,L7
2000-02-27 21:59:04+00:00,294.83,270.66,272.66,266.05,252.13,240.01,231.75,226.65,213.70,217.16,220.89,240.02,251.26,261.62,266.75,273.33,284.51,292.97,292.32,285.56,286.53,292.65,307.25,301.43,191.42,168.39,242.89,225.90,149.65,172.20,199.68,242.10,251.12,243.91,241.32,245.80,243.30,274.91,279.94,284.46,284.76,288.24,307.37,329.27,334.34,338.34,346.16,356.66,364.97,354.24,336.14,329.86,330.54,330.95,330.35,324.70,317.83,324.57,314.49,312.24,316.80,329.44,344.18,346.24,288.04,279.68,310.89,306.37,L7
