,dates,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023
0,1999-10-22 21:58:28+00:00,266.76593235200284,260.03412563914236,251.09445463231754,244.7667394884132,240.4323492498287,239.69062215826392,,235.08242475262685,,227.45394156777294,233.25812563065207,247.1305445096932,243.70571601351955,239.0985485667798,242.6374445097576,231.62314291531925,225.70400280281402,228.60175360844352,222.8849511281721,219.13928080176458,216.8042721877539,218.8134306253328,222.75208883624268,220.57319563761578
1,1999-12-09 21:58:33+00:00,283.5691657272976,249.08766424806967,244.4257594367693,224.73127318867577,215.65197291276598,219.4544125037258,,219.26448827812754,,216.68321558553552,234.94624224088054,242.3743683192751,242.1485720077953,231.7484502924991,235.5477702177281,228.86435317583243,226.59891899591682,231.3266167267476,232.9398402791163,229.23581741968658,221.56360015531263,226.87334316145802,214.90800005113326,216.27764029774818
2,1999-12-25 21:58:28+00:00,249.499468142319,232.30191166313136,220.7224879983778,212.81368641514942,,209.05674534826522,,207.43977681971774,,212.63122285884802,224.46917490404738,229.58576039603435,229.4581509896068,222.86320870624914,225.1558508316796,219.42345348147106,211.2946473940549,216.515784868874,220.9249290288213,218.16650753253748,208.89658203606461,221.16327076049987,218.8301780720309,223.24056432531768
3,2000-03-14 21:58:11+00:00,241.75828319321656,,241.3311505768011,240.95961225913354,238.39927087726105,238.06742931260007,235.5900348473173,238.13278600908953,243.44285586097664,250.07823673967613,244.23940594770826,248.78989043529444,247.04769143374872,243.12871382751123,253.35140071124553,242.19584676661233,232.72957892576486,244.32937627295735,236.41170131081503,232.38709398173617,227.6300362195557,233.89872906100751,239.04284851110722,226.01879250040344
4,2000-03-30 21:58:33+00:00,250.60209324340076,,272.494942338122,258.54550541522656,,252.6493879823492,252.99132619399637,253.8665021722062,251.5905763522524,251.09395909368288,254.65192666783446,255.43342584764787,252.76964039435003,246.32153175786632,250.32705286821044,240.28639900272412,233.3360103275454,240.0863952670158,240.53740585001322,235.5391767371741,230.8903242379578,233.57430763636933,242.67635731327422,221.5346044227849
5,2000-05-01 21:57:54+00:00,,,248.29180415300195,240.90753967398402,249.67940777006058,246.01821220074243,243.23455159749187,242.01000285111337,235.6595947541088,247.1929648204858,256.2159878354889,254.4914082385956,239.22672144791983,234.94023938500752,246.6602842532486,241.3867845643278,225.7727096346253,235.86719847197512,239.52522632278252,214.1744327875383,213.68444783682762,228.25699704708282,242.53956460956795,225.16209000835693
6,2000-05-17 21:57:43+00:00,,,,234.32246918257493,238.30874361167076,231.7167466782323,222.933599399014,216.7528012473563,231.7687867019313,,241.02222444922094,233.06961303601372,242.78527521806498,221.5028311213809,234.3851867494884,,,,,,213.31642589459645,236.10322027460097,236.73505549097445,217.29921192042872
7,2000-08-05 21:57:08+00:00,,228.89001820688006,221.26664043258,216.0549570924498,203.0476558452021,187.72057117431495,189.49834189180254,196.38232053800735,210.68502312566227,216.45616577014798,212.17280356843312,206.65246197848452,205.60578916134176,197.79606761003933,191.91845589610008,203.61378109685666,191.46376938088804,196.0339685908495,181.7007514692864,175.90233061804494,191.73186351980414,203.5036984519594,213.21386211387414,181.65948879749558
8,2000-12-11 21:56:24+00:00,,,220.20342712001278,213.311787022538,208.12972716350822,202.37890076957686,211.42159787091748,219.94029857028792,,218.5063551826888,,223.63446077919122,222.16083724420795,213.74431119082527,211.31347836478744,206.0783836822775,206.8991561144962,206.6519295790986,199.62025530633443,187.07390909049738,195.84423422380658,199.9412658771485,207.1855145385082,194.3684835818362
9,2001-01-12 21:56:06+00:00,255.2806679336638,224.4427632232962,,199.9052536588604,198.79900600295412,192.69534778101894,190.1837134524352,198.42557244143924,196.1967711029935,196.9625237803323,199.44061032528114,193.33189380319305,193.67485988538812,197.4933315905263,191.27754685450975,181.91255340410606,182.94091347152468,190.52624525700585,178.77329089574388,166.80082290167655,179.96052114118493,185.8372953374069,190.71742415095727,175.66793963790334
