dates,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0005,nzd0330-0006,nzd0330-0007,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0019,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0028,nzd0330-0029,nzd0330-0030,nzd0330-0031,nzd0330-0032,nzd0330-0033,nzd0330-0034,nzd0330-0035,nzd0330-0036,nzd0330-0037,nzd0330-0038,nzd0330-0039,nzd0330-0040,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,satname
1999-08-21 21:47:20+00:00,358.43,348.99,359.33,363.26,355.45,359.59,362.81,359.37,352.91,347.26,343.85,348.58,341.25,336.83,335.33,340.93,344.23,348.49,351.30,358.72,360.46,348.52,345.23,345.91,340.58,342.67,342.46,346.12,339.45,335.13,326.01,336.29,338.76,334.05,341.18,336.42,337.90,348.42,351.38,355.19,349.53,341.78,345.86,345.78,353.50,348.77,348.79,340.93,,,,,,,,,,,,,,,,L7
1999-08-28 21:53:35+00:00,358.43,348.99,359.33,363.26,355.45,359.59,362.81,359.37,352.91,347.26,343.85,348.58,341.25,336.83,335.33,327.47,329.46,348.49,342.58,343.83,341.74,339.19,336.56,338.22,331.82,332.06,335.50,337.62,331.79,331.00,326.01,331.84,334.56,332.51,332.81,328.20,330.82,338.59,343.81,348.74,342.65,331.55,341.90,337.77,344.62,337.05,335.11,327.38,319.89,344.76,341.66,,,,,,,,,,,,,L7
1999-09-22 21:47:48+00:00,356.81,353.08,356.40,356.19,350.98,353.29,353.47,359.37,351.40,347.06,346.60,348.31,341.99,337.47,334.44,332.20,333.45,346.31,344.21,346.86,345.91,341.77,337.18,337.49,333.38,333.59,336.88,341.40,335.94,334.95,330.42,333.60,334.31,335.72,334.66,326.57,330.18,341.64,345.05,348.55,343.86,335.06,344.64,339.19,344.78,337.96,338.35,330.13,331.60,363.81,352.58,362.89,348.09,389.57,382.86,374.87,377.81,355.19,362.58,375.35,373.57,368.62,374.69,L7
1999-09-29 21:53:40+00:00,352.57,352.22,352.42,352.99,350.47,353.29,352.15,359.37,348.73,344.76,344.17,342.67,336.32,331.70,329.81,330.31,329.51,343.42,343.16,345.93,344.87,341.06,337.24,337.02,332.48,333.42,335.53,337.69,333.44,334.38,329.29,331.19,332.12,335.71,332.80,323.48,327.64,340.07,344.39,345.16,339.88,332.93,341.98,335.88,342.55,335.64,337.24,328.60,331.11,361.57,349.95,356.57,344.44,379.75,378.83,366.68,364.64,344.96,356.76,367.83,365.13,359.02,364.02,L7
1999-10-24 21:47:44+00:00,351.23,350.97,351.07,352.01,347.23,348.66,350.47,359.37,347.19,345.25,342.39,342.08,337.56,332.47,329.75,331.73,330.48,341.52,342.54,344.12,343.71,340.09,336.49,335.15,330.84,333.27,335.03,338.40,334.12,333.88,328.07,330.23,331.67,335.17,329.64,320.81,325.99,339.85,343.45,342.60,337.42,332.86,341.57,335.05,340.53,332.91,335.57,326.94,330.23,360.90,348.26,353.10,342.89,377.79,375.18,367.57,358.92,341.88,352.62,362.57,360.93,354.96,359.18,L7
2000-01-19 21:53:25+00:00,350.22,349.80,351.06,352.09,347.38,347.86,349.15,352.11,346.83,345.50,343.21,343.43,337.96,332.61,330.14,332.92,331.45,342.05,343.77,344.71,344.58,340.21,335.36,333.09,329.41,331.88,334.82,339.23,334.75,333.81,327.47,330.51,331.27,334.00,328.26,319.80,325.17,338.52,341.70,339.13,335.59,331.21,340.58,332.63,339.44,330.85,334.63,325.72,328.93,358.33,346.05,349.84,342.89,373.20,371.02,363.52,355.77,339.46,349.76,359.65,358.79,352.47,356.82,L7
2000-04-17 21:47:08+00:00,346.70,346.16,349.01,350.75,342.74,342.43,344.64,344.84,343.98,346.61,341.77,344.57,340.42,333.98,330.64,338.14,335.32,340.00,344.99,342.28,343.99,338.52,331.59,325.23,323.27,330.47,338.22,346.06,340.96,334.56,326.32,330.21,332.70,329.81,323.06,316.16,322.21,334.58,335.35,328.12,331.24,331.16,340.23,327.20,333.80,324.87,330.18,318.16,324.47,354.08,340.26,342.56,338.63,369.07,366.33,362.34,351.04,339.11,347.88,354.52,352.66,345.26,348.35,L7
2000-05-03 21:47:07+00:00,347.23,347.05,352.53,356.50,352.04,350.47,349.34,349.15,351.53,355.25,353.30,346.23,341.70,333.51,335.49,342.69,336.30,344.17,349.94,347.66,348.93,340.82,329.66,322.78,322.25,329.36,340.83,348.47,343.03,332.53,332.03,329.95,337.86,332.88,330.39,322.90,325.67,339.23,339.63,325.99,331.37,329.88,339.94,324.56,333.08,327.33,332.89,322.16,327.63,357.45,341.72,345.43,340.53,366.47,363.68,358.48,351.89,339.09,350.68,358.57,356.90,347.58,352.15,L7
2000-05-19 21:46:31+00:00,347.23,347.05,352.53,356.50,352.04,350.47,349.34,349.15,351.53,355.25,353.30,346.23,341.70,333.51,335.49,342.69,336.30,344.17,349.94,347.66,348.93,340.82,332.60,329.36,325.94,331.26,340.25,348.07,343.98,335.02,331.96,331.09,337.10,334.20,332.16,324.39,324.61,336.92,336.41,323.25,329.41,328.40,338.81,326.91,335.24,329.66,333.43,324.49,328.13,355.25,341.84,345.20,342.31,366.19,363.68,358.48,351.89,339.09,350.68,358.57,356.90,347.58,352.15,L7
2000-05-26 21:52:36+00:00,347.23,351.01,354.77,356.50,353.03,353.25,352.83,349.15,354.73,355.33,353.22,351.16,344.54,335.73,340.47,346.17,343.86,347.06,348.50,345.47,347.38,340.16,335.49,331.42,329.09,333.44,340.79,348.14,343.41,335.83,332.33,331.92,336.69,332.96,333.33,325.19,325.64,337.26,336.53,323.25,330.14,328.23,338.86,327.36,336.47,329.78,333.69,324.99,329.24,355.07,343.84,345.37,344.85,367.01,366.53,358.13,352.52,340.31,352.28,358.72,357.70,348.81,352.61,L7
2000-06-20 21:46:40+00:00,347.23,346.98,350.48,356.50,351.20,353.83,351.77,349.15,351.48,352.68,351.23,348.52,340.06,332.18,335.99,339.06,339.02,344.69,347.79,345.17,345.78,340.22,335.52,328.86,329.04,333.59,340.03,346.62,340.60,333.13,330.18,330.64,335.83,332.44,332.49,325.21,325.82,337.38,338.12,325.87,330.37,328.50,339.48,327.52,336.82,330.10,334.54,325.13,330.09,355.44,344.73,347.28,345.92,367.80,367.84,357.15,351.96,340.02,351.44,359.61,358.53,350.26,353.69,L7
2000-07-13 21:52:07+00:00,344.77,345.99,349.29,356.50,350.64,353.42,351.40,344.66,348.92,350.29,349.28,345.67,338.60,330.69,333.53,337.72,339.80,344.25,347.39,347.07,346.94,337.45,333.76,327.96,330.38,336.27,344.81,346.62,340.22,330.40,327.06,329.95,336.78,333.68,333.44,326.46,326.35,338.03,339.40,325.87,330.37,328.49,339.06,326.86,335.90,329.02,333.41,324.19,329.36,354.98,344.16,346.70,345.31,366.96,367.04,356.09,351.49,340.52,352.03,358.35,358.56,349.71,352.63,L7
2000-07-29 21:51:50+00:00,341.20,344.97,346.83,352.30,349.03,352.68,351.11,342.75,347.72,347.78,347.06,341.83,335.92,328.52,332.18,336.84,339.95,345.97,347.23,347.58,346.85,338.91,335.89,330.81,333.28,339.00,348.10,351.13,342.20,329.99,326.91,330.45,338.49,336.20,336.25,329.21,328.91,341.02,342.18,332.44,333.67,330.81,341.08,328.65,336.71,330.45,334.26,326.19,330.99,358.63,346.73,349.01,347.39,369.96,371.00,359.20,355.80,344.51,355.85,362.32,362.16,353.10,356.89,L7
2000-08-07 21:45:32+00:00,343.96,345.41,346.80,352.30,349.47,353.49,352.78,342.75,348.19,347.13,345.73,340.68,334.41,329.20,331.22,337.10,342.27,346.49,348.09,349.66,350.03,341.54,336.30,330.56,333.38,339.30,347.72,351.33,342.55,331.87,328.22,331.00,339.28,338.13,337.53,329.67,329.57,340.95,342.68,334.85,334.99,330.81,341.08,328.65,336.71,330.45,334.26,326.19,330.99,358.63,346.73,349.01,347.39,369.96,371.00,359.20,355.80,344.51,355.85,362.32,362.16,353.10,356.89,L7
2000-08-14 21:51:44+00:00,342.22,344.17,345.82,347.88,348.31,351.29,350.57,342.75,347.59,346.34,344.71,339.31,334.29,329.17,330.45,336.19,340.71,344.22,347.65,349.78,349.12,341.69,335.11,329.37,332.46,338.91,347.23,350.78,341.29,332.13,328.40,330.69,338.33,337.25,336.86,328.99,329.56,340.64,342.10,334.79,334.43,330.04,340.05,327.39,335.42,329.16,332.28,324.54,329.34,357.83,346.13,348.29,346.52,369.16,370.02,358.21,354.20,343.31,354.36,360.74,360.41,351.84,355.60,L7
2000-09-15 21:51:13+00:00,340.96,342.51,344.72,345.52,347.03,349.62,349.14,342.75,345.65,344.84,342.46,337.66,332.38,327.40,330.34,336.34,338.96,341.58,346.10,347.32,347.20,340.50,333.72,328.11,331.45,338.21,346.45,349.25,340.75,331.28,327.92,330.62,337.15,336.33,335.84,328.60,329.45,340.20,341.79,335.04,334.24,329.59,339.50,326.89,334.63,328.58,331.26,323.47,328.42,356.00,345.76,347.58,345.87,368.71,369.36,357.35,353.18,342.90,353.14,359.71,359.18,350.80,354.02,L7
2000-10-26 21:45:10+00:00,340.96,342.51,344.72,345.52,347.03,349.62,349.14,342.75,345.65,344.84,342.46,337.66,332.38,327.40,330.83,336.29,338.37,341.89,346.00,347.49,347.50,342.00,334.94,328.63,331.47,338.77,345.40,347.92,339.93,331.31,327.97,330.68,336.50,337.65,336.88,329.07,329.94,341.43,342.74,336.15,333.20,328.87,339.21,327.04,334.99,328.52,332.64,324.54,330.12,356.09,346.66,348.64,347.27,369.57,370.98,357.45,353.49,342.69,353.18,360.93,360.77,352.67,356.65,L7
2000-12-04 21:50:58+00:00,339.50,338.70,340.75,340.50,344.19,347.10,346.42,337.39,341.07,339.87,337.75,332.77,327.50,324.20,326.82,332.42,336.51,340.73,345.85,348.09,347.74,342.35,333.95,326.60,331.18,339.12,346.73,347.96,338.83,329.40,324.83,330.20,335.67,338.31,336.32,329.02,331.21,341.83,344.45,339.21,335.71,329.93,339.90,326.07,333.58,326.75,331.42,322.18,328.42,354.93,346.00,349.06,347.70,370.46,372.13,356.93,353.80,342.93,351.67,360.37,359.68,351.69,355.41,L7
2001-01-05 21:51:04+00:00,341.97,342.05,343.63,344.94,345.14,346.45,346.59,342.48,343.20,341.38,338.66,334.12,330.38,326.13,328.30,335.59,338.64,342.85,347.03,349.55,349.19,344.25,336.69,329.83,332.95,339.98,348.04,349.95,341.39,332.83,328.29,332.64,337.82,339.43,337.05,329.08,331.23,342.42,344.79,341.54,337.22,331.43,341.02,327.12,334.82,327.50,331.58,322.59,329.30,356.78,346.93,348.75,348.29,371.17,373.99,358.94,355.06,344.16,353.74,360.93,360.07,351.45,355.02,L7
2001-02-06 21:51:02+00:00,340.81,342.36,347.37,348.47,345.14,343.73,341.88,347.13,343.85,343.86,341.40,338.55,335.10,329.50,331.62,336.43,335.45,339.65,344.92,344.89,344.20,343.85,337.43,330.45,330.82,335.55,340.53,344.78,340.10,335.27,332.41,333.90,334.35,334.38,332.76,325.94,328.64,340.53,341.67,339.17,333.61,331.18,340.77,328.46,335.76,329.66,333.43,322.63,331.86,355.01,349.07,349.62,347.19,374.61,375.56,360.37,356.83,343.51,353.78,362.48,359.47,352.24,356.09,L7
2001-04-04 21:44:54+00:00,346.66,350.92,356.24,358.22,350.55,349.47,345.54,347.13,349.62,349.74,350.16,348.48,343.90,337.00,334.24,336.48,336.03,341.30,342.53,342.63,343.68,344.67,342.63,337.48,334.34,336.22,341.05,347.13,343.24,336.67,332.26,334.76,336.11,334.75,334.93,326.80,328.24,341.96,343.62,341.68,334.93,334.66,345.28,331.33,338.86,331.80,337.82,325.54,335.95,357.44,350.00,352.45,348.43,377.16,379.15,364.19,360.27,345.08,356.91,365.00,362.78,354.99,359.34,L7
2001-04-27 21:50:43+00:00,350.45,353.95,355.04,355.02,352.88,354.87,351.92,350.13,350.18,349.30,349.76,348.91,342.73,337.46,334.79,337.52,339.09,341.84,342.39,340.72,341.73,340.87,340.36,338.81,334.31,334.89,341.94,347.40,343.79,336.00,331.58,334.89,336.70,332.19,332.39,326.00,328.03,339.99,342.84,342.08,335.94,334.65,344.95,332.03,339.79,331.84,335.92,325.41,334.37,356.01,348.93,352.90,348.18,375.41,378.13,363.88,359.04,344.37,355.48,363.34,360.92,353.41,357.20,L7
