dates,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0005,nzd0330-0006,nzd0330-0007,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0019,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0028,nzd0330-0029,nzd0330-0030,nzd0330-0031,nzd0330-0032,nzd0330-0033,nzd0330-0034,nzd0330-0035,nzd0330-0036,nzd0330-0037,nzd0330-0038,nzd0330-0039,nzd0330-0040,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,satname
1999-08-21 21:47:20+00:00,358.43,348.99,359.33,363.26,355.45,359.59,362.81,359.37,352.91,347.26,343.85,348.58,341.25,336.83,335.33,340.93,344.23,348.49,351.30,358.72,360.46,348.52,345.23,345.91,340.58,342.67,342.46,346.12,339.45,335.13,326.01,336.29,338.76,334.05,341.18,336.42,337.90,348.42,351.38,355.19,349.53,341.78,345.86,345.78,353.50,348.77,348.79,340.93,,,,,,,,,,,,,,,,L7
1999-08-28 21:53:35+00:00,,,,,,,,,,,,,,,,314.01,314.68,,333.86,328.94,323.01,329.85,327.90,330.53,323.07,321.45,328.55,329.12,324.13,326.88,326.02,327.39,330.35,330.97,324.45,319.98,323.75,328.76,336.25,342.29,335.78,321.32,337.94,329.76,335.73,325.33,321.42,313.84,319.89,344.76,341.66,,,,,,,,,,,,,L7
1999-09-22 21:47:48+00:00,355.18,357.17,353.47,349.12,346.50,347.00,344.13,,349.90,346.85,349.34,348.05,342.73,338.10,333.56,341.65,341.45,344.14,347.46,352.91,354.27,346.94,338.42,336.03,336.49,336.66,339.63,348.97,344.25,342.83,339.24,337.11,333.82,342.13,338.34,323.30,328.88,347.73,347.51,348.17,346.28,342.09,350.12,342.03,345.11,339.78,344.85,335.63,343.31,382.87,363.49,362.89,348.09,389.57,382.86,374.87,377.81,355.19,362.58,375.35,373.57,368.62,374.69,L7
1999-09-29 21:53:40+00:00,344.11,350.51,344.46,346.60,349.46,,349.51,,343.39,340.18,339.33,331.39,324.98,320.17,320.53,324.64,317.70,337.63,340.01,343.14,341.75,338.93,337.41,335.62,329.79,332.90,331.50,326.53,325.94,332.70,325.90,323.96,325.53,335.68,327.23,314.22,320.03,335.39,342.44,334.98,327.94,326.53,334.01,325.95,335.84,328.70,333.91,323.98,330.12,357.09,344.70,350.25,340.80,369.92,374.80,358.49,351.48,334.72,350.95,360.31,356.69,349.43,353.36,L7
1999-10-24 21:47:44+00:00,347.20,347.21,347.01,349.06,337.52,339.40,345.42,,342.55,346.71,337.05,340.30,341.27,334.77,329.56,337.42,334.34,335.83,340.05,336.90,339.04,336.22,333.51,327.68,324.29,332.69,333.00,341.24,336.81,331.84,323.16,326.39,329.90,333.00,317.01,310.12,319.37,338.97,339.66,332.39,327.58,332.56,339.90,331.73,332.46,321.96,328.90,320.33,327.60,358.88,343.20,346.16,339.78,373.87,367.88,369.34,347.47,335.74,344.32,352.06,352.52,346.83,349.48,L7
2000-01-19 21:53:25+00:00,346.20,345.12,351.02,352.43,347.96,345.46,343.87,344.84,345.40,346.51,346.49,348.84,339.57,333.19,331.71,338.87,336.30,344.17,349.94,347.66,348.93,340.82,329.66,322.78,322.25,324.91,333.79,343.41,337.94,333.48,324.51,331.93,329.26,328.16,321.36,314.74,321.08,331.84,332.94,321.77,326.42,322.98,335.68,320.53,333.97,320.55,329.91,319.63,323.75,348.07,337.21,340.06,,359.44,358.53,351.37,346.32,332.17,341.21,350.88,352.40,345.00,349.77,L7
2000-04-17 21:47:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,333.81,347.87,353.52,348.12,338.37,331.29,332.30,338.93,328.26,330.80,323.63,326.17,332.92,333.45,330.20,339.73,337.93,345.10,329.35,334.96,332.11,331.72,314.53,322.07,355.29,340.36,341.47,337.48,373.91,372.58,366.32,359.34,349.42,358.10,360.61,353.07,343.95,345.80,L7
2000-05-03 21:47:07+00:00,348.25,348.98,354.05,360.58,356.13,355.47,354.81,353.46,357.67,363.98,360.11,343.62,343.84,333.84,339.26,346.52,,,,,,,,,,,,,,325.74,340.29,325.62,345.40,342.23,339.02,330.34,329.75,352.94,352.50,,327.96,328.74,339.03,323.80,330.31,329.33,337.03,332.33,337.06,369.00,347.58,354.77,343.59,366.05,359.92,357.74,350.00,335.68,352.74,364.22,365.22,353.78,360.87,L7
2000-05-19 21:46:31+00:00,,,,,,,,,,,,,,,,,,,,,,,335.54,335.94,329.63,335.07,339.08,347.29,345.87,342.50,331.76,334.51,334.82,338.16,337.46,328.85,321.44,329.97,326.77,317.77,323.54,323.94,335.42,333.96,341.73,336.65,335.07,331.46,329.64,348.62,342.21,344.51,345.87,365.35,,,,,,,,,,L7
2000-05-26 21:52:36+00:00,,358.94,359.23,,355.00,358.83,359.80,,361.12,355.51,353.07,361.02,350.22,340.17,350.45,353.11,351.42,349.95,347.07,343.28,345.84,339.51,341.27,335.55,335.39,339.97,342.43,348.33,341.72,339.05,333.81,335.25,335.05,327.99,338.03,328.39,329.77,338.61,336.99,,333.04,327.57,339.09,329.17,341.39,330.25,334.71,327.00,333.69,354.38,351.86,346.02,352.46,370.29,375.09,357.10,354.41,343.96,357.06,359.16,360.13,352.49,354.00,L7
