dates,satname,nzd0337-0000,nzd0337-0001,nzd0337-0002,nzd0337-0003,nzd0337-0004,nzd0337-0005,nzd0337-0006
1999-08-17 22:12:02+00:00,L7,398.24,,,,,,121.45
1999-08-26 22:06:20+00:00,L7,364.70,,,,,,124.67
1999-10-13 22:06:00+00:00,L7,345.55,326.56,321.68,311.69,326.10,329.51,354.93
1999-11-21 22:12:00+00:00,L7,361.42,344.83,330.64,324.99,329.57,329.75,340.91
2000-01-17 22:06:11+00:00,L7,359.11,328.52,326.05,338.12,334.69,,
2000-02-18 22:06:05+00:00,L7,347.11,333.15,326.84,330.15,333.79,331.29,332.92
2000-03-21 22:06:01+00:00,L7,366.74,325.02,312.55,309.72,307.03,298.80,124.28
2000-04-13 22:11:30+00:00,L7,400.21,367.66,,,,,116.89
2000-05-24 22:05:22+00:00,L7,,,,,,,93.04
2000-06-25 22:05:07+00:00,L7,,,,,,,87.12
2000-07-11 22:04:53+00:00,L7,,,,,,,93.23
2000-08-12 22:04:29+00:00,L7,279.83,,,,,,122.64
2000-08-19 22:10:13+00:00,L7,393.01,,,,,,126.33
2000-09-13 22:04:02+00:00,L7,343.63,326.42,318.36,309.41,296.35,,136.43
2000-11-07 22:09:29+00:00,L7,362.89,344.56,333.86,338.12,336.16,333.26,352.40
2000-11-23 22:09:30+00:00,L7,368.02,325.07,322.46,331.17,333.23,331.73,343.25
2000-12-18 22:03:49+00:00,L7,408.61,365.10,356.23,359.58,363.11,359.99,391.03
2001-01-10 22:09:39+00:00,L7,349.43,340.44,326.36,331.27,334.92,334.06,343.67
2001-01-19 22:03:55+00:00,L7,383.43,345.39,345.50,343.55,339.64,348.13,367.93
2001-01-26 22:09:42+00:00,L7,350.22,338.25,320.49,322.69,321.92,331.33,335.97
2001-02-20 22:03:48+00:00,L7,385.00,339.95,333.95,343.63,340.22,349.68,355.76
2001-03-15 22:09:27+00:00,L7,407.58,375.08,360.32,358.61,368.03,358.86,396.63
2001-03-31 22:09:19+00:00,L7,417.11,372.66,362.81,368.24,365.40,,122.39
2001-05-02 22:09:15+00:00,L7,388.59,329.13,327.90,318.78,330.90,,
2001-05-11 22:03:21+00:00,L7,263.88,,,,,,99.63
